Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4B 0phi 0"
Duration Time,60.085
Ambient Temperature,"89.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"619442"
Raw Accumulated Counts,"640596"
Valid Count Last Packet,"9741"
Raw Count Last Packet,"10029"
Live Time,58.557014
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8048
Number of Channels,2048
Vacuum,761
Channel#,Intensity
0,"1719"
1,"1469"
2,"943"
3,"500"
4,"227"
5,"69"
6,"13"
7,"2"
8,"2"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"7"
22,"44"
23,"97"
24,"174"
25,"184"
26,"170"
27,"198"
28,"177"
29,"168"
30,"166"
31,"180"
32,"145"
33,"150"
34,"144"
35,"155"
36,"151"
37,"170"
38,"157"
39,"156"
40,"131"
41,"167"
42,"156"
43,"152"
44,"149"
45,"145"
46,"169"
47,"168"
48,"166"
49,"141"
50,"132"
51,"137"
52,"130"
53,"134"
54,"114"
55,"154"
56,"137"
57,"146"
58,"138"
59,"160"
60,"140"
61,"129"
62,"142"
63,"143"
64,"144"
65,"113"
66,"125"
67,"136"
68,"130"
69,"127"
70,"139"
71,"152"
72,"201"
73,"166"
74,"184"
75,"157"
76,"175"
77,"168"
78,"161"
79,"175"
80,"197"
81,"285"
82,"422"
83,"648"
84,"979"
85,"1263"
86,"1341"
87,"1288"
88,"1031"
89,"778"
90,"541"
91,"379"
92,"217"
93,"169"
94,"139"
95,"130"
96,"122"
97,"126"
98,"129"
99,"99"
100,"141"
101,"131"
102,"111"
103,"114"
104,"116"
105,"126"
106,"116"
107,"116"
108,"127"
109,"124"
110,"128"
111,"162"
112,"171"
113,"186"
114,"232"
115,"229"
116,"241"
117,"210"
118,"197"
119,"179"
120,"185"
121,"164"
122,"167"
123,"166"
124,"210"
125,"225"
126,"275"
127,"349"
128,"501"
129,"703"
130,"980"
131,"1379"
132,"1683"
133,"1851"
134,"1920"
135,"1903"
136,"1544"
137,"1451"
138,"1235"
139,"1254"
140,"1309"
141,"1378"
142,"1494"
143,"1498"
144,"1664"
145,"1803"
146,"1879"
147,"1795"
148,"1562"
149,"1218"
150,"1022"
151,"644"
152,"445"
153,"340"
154,"327"
155,"306"
156,"355"
157,"430"
158,"448"
159,"639"
160,"916"
161,"1332"
162,"1724"
163,"2018"
164,"2324"
165,"2102"
166,"1878"
167,"1531"
168,"1013"
169,"703"
170,"412"
171,"286"
172,"225"
173,"225"
174,"256"
175,"364"
176,"389"
177,"454"
