Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4B -1phi 6"
Duration Time,60.096
Ambient Temperature,"86.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"663459"
Raw Accumulated Counts,"686637"
Valid Count Last Packet,"10437"
Raw Count Last Packet,"10758"
Live Time,58.453007
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8081
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1780"
1,"1498"
2,"948"
3,"545"
4,"211"
5,"74"
6,"22"
7,"5"
8,"1"
9,"2"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"1"
21,"5"
22,"45"
23,"101"
24,"145"
25,"165"
26,"188"
27,"147"
28,"148"
29,"160"
30,"185"
31,"167"
32,"136"
33,"159"
34,"142"
35,"140"
36,"143"
37,"136"
38,"156"
39,"131"
40,"137"
41,"142"
42,"136"
43,"137"
44,"141"
45,"133"
46,"171"
47,"154"
48,"147"
49,"157"
50,"152"
51,"145"
52,"150"
53,"159"
54,"139"
55,"141"
56,"144"
57,"146"
58,"139"
59,"144"
60,"141"
61,"131"
62,"150"
63,"140"
64,"130"
65,"115"
66,"129"
67,"115"
68,"106"
69,"121"
70,"145"
71,"153"
72,"169"
73,"194"
74,"192"
75,"157"
76,"157"
77,"150"
78,"142"
79,"163"
80,"170"
81,"270"
82,"362"
83,"512"
84,"777"
85,"938"
86,"1089"
87,"1029"
88,"801"
89,"664"
90,"438"
91,"318"
92,"218"
93,"186"
94,"146"
95,"140"
96,"142"
97,"133"
98,"111"
99,"143"
100,"130"
101,"127"
102,"125"
103,"118"
104,"113"
105,"121"
106,"103"
107,"116"
108,"130"
109,"134"
110,"129"
111,"150"
112,"191"
113,"205"
114,"184"
115,"220"
116,"217"
117,"211"
118,"186"
119,"207"
120,"183"
121,"177"
122,"169"
123,"190"
124,"195"
125,"223"
126,"272"
127,"395"
128,"529"
129,"765"
130,"1048"
131,"1361"
132,"1707"
133,"1892"
134,"1899"
135,"1862"
136,"1633"
137,"1447"
138,"1311"
139,"1234"
140,"1312"
141,"1400"
142,"1442"
143,"1548"
144,"1665"
145,"1874"
146,"1910"
147,"1826"
148,"1589"
149,"1272"
150,"944"
151,"662"
152,"442"
153,"348"
154,"322"
155,"301"
156,"315"
157,"419"
158,"480"
159,"515"
160,"765"
161,"956"
162,"1184"
163,"1437"
164,"1665"
165,"1542"
166,"1398"
167,"1124"
168,"768"
169,"465"
170,"355"
171,"224"
172,"221"
173,"222"
174,"241"
175,"287"
176,"349"
177,"323"
178,"450"
179,"450"
180,"492"
181,"542"
182,"503"
183,"497"
184,"467"
185,"409"
186,"347"
187,"303"
188,"221"
189,"204"
190,"196"
191,"187"
192,"165"
193,"209"
194,"192"
195,"210"
196,"216"
197,"206"
198,"233"
199,"249"
200,"225"
201,"241"
202,"219"
203,"228"
204,"210"
205,"202"
206,"192"
207,"218"
208,"178"
209,"212"
210,"215"
211,"192"
212,"215"
213,"210"
214,"218"
215,"205"
216,"246"
217,"286"
218,"278"
