Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4B -1phi 4"
Duration Time,60.161
Ambient Temperature,"86.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"511408"
Raw Accumulated Counts,"527026"
Valid Count Last Packet,"7869"
Raw Count Last Packet,"8103"
Live Time,58.923031
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0875
Number of Channels,2048
Vacuum,761
Channel#,Intensity
0,"1721"
1,"1579"
2,"982"
3,"535"
4,"215"
5,"85"
6,"13"
7,"9"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"27"
23,"89"
24,"148"
25,"150"
26,"137"
27,"130"
28,"153"
29,"153"
30,"151"
31,"141"
32,"134"
33,"137"
34,"137"
35,"122"
36,"137"
37,"119"
38,"124"
39,"116"
40,"135"
41,"139"
42,"132"
43,"105"
44,"132"
45,"136"
46,"154"
47,"143"
48,"132"
49,"132"
50,"114"
51,"122"
52,"136"
53,"126"
54,"121"
55,"120"
56,"131"
57,"106"
58,"140"
59,"136"
60,"124"
61,"137"
62,"130"
63,"113"
64,"109"
65,"110"
66,"112"
67,"83"
68,"108"
69,"111"
70,"122"
71,"139"
72,"126"
73,"141"
74,"148"
75,"128"
76,"146"
77,"125"
78,"118"
79,"107"
80,"121"
81,"173"
82,"287"
83,"407"
84,"565"
85,"737"
86,"733"
87,"724"
88,"607"
89,"445"
90,"321"
91,"209"
92,"149"
93,"129"
94,"108"
95,"99"
96,"130"
97,"114"
98,"104"
99,"116"
100,"102"
101,"97"
102,"116"
103,"120"
104,"105"
105,"109"
106,"104"
107,"104"
108,"103"
109,"125"
110,"109"
111,"133"
112,"172"
113,"178"
114,"216"
115,"189"
116,"207"
117,"196"
118,"173"
119,"185"
120,"175"
121,"171"
122,"154"
123,"174"
124,"191"
125,"229"
126,"255"
127,"360"
128,"489"
129,"689"
130,"967"
131,"1319"
132,"1639"
133,"1873"
134,"1861"
135,"1787"
136,"1551"
137,"1363"
138,"1343"
139,"1311"
140,"1339"
141,"1385"
142,"1495"
143,"1469"
144,"1660"
145,"1772"
146,"1928"
147,"1700"
148,"1619"
149,"1283"
150,"934"
151,"634"
152,"430"
153,"375"
154,"313"
155,"276"
156,"319"
157,"328"
158,"430"
159,"503"
160,"627"
161,"783"
162,"1007"
163,"1117"
164,"1291"
165,"1222"
166,"1123"
167,"941"
168,"604"
169,"411"
170,"257"
171,"178"
172,"207"
173,"195"
174,"203"
175,"271"
176,"307"
177,"325"
178,"385"
179,"421"
180,"456"
181,"471"
182,"527"
183,"547"
184,"484"
185,"471"
186,"386"
187,"245"
188,"260"
189,"197"
190,"160"
191,"175"
192,"162"
193,"189"
194,"171"
195,"176"
196,"227"
197,"213"
198,"222"
199,"226"
200,"249"
201,"222"
202,"240"
203,"176"
204,"189"
205,"204"
206,"193"
207,"156"
208,"184"
209,"178"
210,"192"
211,"212"
212,"198"
213,"190"
214,"223"
215,"199"
216,"212"
217,"231"
218,"263"
219,"291"
220,"346"
221,"397"
222,"412"
223,"507"
224,"464"
225,"441"
226,"385"
227,"351"
228,"297"
229,"287"
230,"219"
231,"229"
232,"235"
233,"244"
234,"235"
235,"238"
236,"251"
237,"224"
238,"258"
239,"253"
240,"271"
241,"278"
242,"322"
243,"326"
244,"306"
245,"281"
246,"323"
247,"274"
248,"258"
249,"271"
250,"268"
251,"258"
252,"278"
253,"254"
254,"262"
255,"258"
256,"280"
257,"288"
258,"233"
259,"242"
260,"286"
261,"235"
262,"264"
263,"272"
264,"273"
265,"297"
266,"299"
267,"273"
268,"283"
269,"306"
270,"277"
271,"289"
272,"303"
273,"295"
274,"326"
275,"367"
276,"315"
277,"320"
278,"329"
279,"325"
280,"331"
281,"328"
282,"355"
283,"346"
284,"371"
285,"379"
286,"359"
287,"352"
288,"357"
289,"372"
290,"376"
291,"399"
292,"382"
293,"385"
294,"361"
295,"365"
296,"415"
297,"406"
298,"420"
299,"411"
300,"379"
301,"367"
302,"377"
303,"395"
304,"406"
305,"431"
306,"399"
307,"414"
308,"423"
309,"500"
310,"565"
311,"751"
312,"933"
313,"1245"
314,"1503"
315,"1843"
316,"2129"
317,"2370"
318,"2205"
319,"2142"
320,"1762"
321,"1412"
322,"1069"
323,"868"
324,"673"
325,"529"
326,"470"
327,"427"
328,"396"
329,"427"
330,"429"
331,"391"
332,"372"
333,"428"
334,"419"
335,"447"
336,"404"
337,"413"
338,"436"
339,"422"
340,"479"
341,"483"
342,"462"
343,"483"
344,"512"
345,"525"
346,"561"
347,"672"
348,"708"
349,"688"
350,"749"
351,"685"
352,"685"
353,"699"
354,"626"
355,"613"
356,"609"
357,"650"
358,"671"
359,"637"
360,"769"
361,"706"
362,"789"
363,"751"
364,"783"
365,"848"
366,"912"
367,"981"
368,"1052"
369,"1081"
370,"1066"
371,"1066"
372,"1114"
373,"914"
374,"831"
375,"657"
376,"598"
377,"488"
378,"442"
379,"404"
380,"428"
381,"353"
382,"401"
