Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4B -1phi 7"
Duration Time,60.096
Ambient Temperature,"88.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"631054"
Raw Accumulated Counts,"652149"
Valid Count Last Packet,"9912"
Raw Count Last Packet,"10235"
Live Time,58.550022
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8064
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1772"
1,"1475"
2,"945"
3,"501"
4,"242"
5,"67"
6,"20"
7,"6"
8,"3"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"2"
21,"7"
22,"28"
23,"113"
24,"157"
25,"148"
26,"175"
27,"164"
28,"176"
29,"143"
30,"170"
31,"157"
32,"142"
33,"165"
34,"156"
35,"142"
36,"131"
37,"114"
38,"162"
39,"123"
40,"127"
41,"124"
42,"144"
43,"148"
44,"145"
45,"144"
46,"156"
47,"177"
48,"161"
49,"143"
50,"137"
51,"147"
52,"145"
53,"123"
54,"145"
55,"134"
56,"154"
57,"130"
58,"130"
59,"144"
60,"127"
61,"130"
62,"125"
63,"132"
64,"129"
65,"133"
66,"112"
67,"111"
68,"120"
69,"132"
70,"161"
71,"192"
72,"201"
73,"204"
74,"212"
75,"198"
76,"197"
77,"213"
78,"155"
79,"154"
80,"172"
81,"234"
82,"384"
83,"536"
84,"802"
85,"998"
86,"1180"
87,"991"
88,"860"
89,"643"
90,"421"
91,"288"
92,"192"
93,"162"
94,"140"
95,"141"
96,"119"
97,"111"
98,"122"
99,"147"
100,"131"
101,"141"
102,"111"
103,"130"
104,"92"
105,"108"
106,"132"
107,"130"
108,"112"
109,"140"
110,"124"
111,"162"
112,"156"
113,"200"
114,"218"
115,"215"
116,"200"
117,"193"
118,"189"
119,"178"
120,"176"
121,"206"
122,"166"
123,"189"
124,"200"
125,"220"
126,"313"
127,"382"
128,"566"
129,"792"
130,"1060"
131,"1326"
132,"1687"
133,"1903"
134,"1905"
135,"1772"
136,"1634"
137,"1365"
138,"1313"
139,"1282"
140,"1445"
141,"1364"
142,"1590"
143,"1528"
144,"1678"
145,"1697"
146,"1766"
147,"1765"
148,"1541"
149,"1227"
150,"964"
151,"630"
152,"477"
153,"369"
154,"336"
155,"307"
156,"369"
157,"428"
158,"467"
159,"636"
160,"915"
161,"1294"
162,"1666"
163,"2090"
164,"2261"
165,"2294"
166,"1933"
167,"1497"
168,"1039"
169,"696"
170,"406"
171,"266"
172,"269"
173,"228"
174,"287"
175,"383"
176,"430"
177,"527"
178,"608"
179,"636"
180,"728"
181,"840"
182,"866"
183,"869"
184,"753"
185,"660"
186,"484"
187,"407"
188,"319"
189,"264"
190,"202"
191,"188"
192,"173"
193,"174"
194,"208"
195,"230"
196,"237"
197,"233"
198,"269"
199,"264"
200,"256"
201,"261"
202,"265"
203,"250"
204,"243"
205,"245"
206,"209"
207,"220"
208,"219"
209,"209"
210,"228"
211,"234"
212,"234"
213,"206"
214,"247"
215,"254"
216,"283"
217,"315"
218,"308"
219,"370"
220,"436"
221,"480"
222,"537"
223,"646"
224,"625"
225,"572"
226,"475"
227,"444"
228,"410"
229,"356"
230,"298"
231,"310"
232,"287"
233,"303"
234,"285"
235,"295"
236,"294"
237,"283"
238,"323"
239,"306"
240,"283"
241,"325"
242,"314"
243,"324"
244,"327"
245,"338"
246,"285"
247,"311"
248,"323"
249,"301"
250,"286"
251,"302"
252,"289"
253,"332"
254,"314"
255,"356"
256,"339"
257,"367"
258,"350"
259,"360"
260,"332"
261,"354"
262,"347"
263,"365"
264,"299"
265,"356"
266,"357"
267,"328"
268,"357"
269,"369"
270,"394"
271,"393"
272,"379"
273,"388"
274,"385"
275,"394"
276,"373"
277,"372"
278,"391"
279,"394"
280,"418"
281,"394"
282,"399"
283,"353"
284,"399"
285,"366"
286,"374"
287,"413"
288,"414"
289,"440"
290,"417"
291,"435"
292,"429"
293,"437"
294,"462"
295,"418"
296,"462"
297,"443"
298,"416"
299,"439"
300,"441"
301,"436"
302,"421"
303,"422"
304,"479"
305,"427"
306,"503"
307,"534"
308,"616"
309,"803"
310,"1087"
311,"1497"
312,"2248"
313,"3199"
314,"4286"
315,"5315"
316,"6176"
317,"6881"
318,"6752"
319,"6272"
320,"5217"
321,"4086"
322,"2967"
323,"2008"
324,"1345"
325,"929"
326,"702"
327,"519"
328,"417"
329,"464"
330,"404"
331,"467"
332,"437"
333,"462"
334,"433"
335,"483"
336,"452"
337,"457"
338,"505"
339,"479"
340,"534"
341,"536"
342,"588"
343,"645"
344,"719"
345,"822"
346,"990"
347,"1147"
348,"1277"
349,"1348"
350,"1378"
351,"1407"
352,"1274"
353,"1225"
354,"994"
355,"881"
356,"812"
357,"751"
358,"741"
359,"764"
360,"740"
361,"786"
362,"796"
363,"854"
364,"881"
365,"996"
366,"1070"
367,"1162"
368,"1205"
369,"1351"
370,"1254"
371,"1336"
372,"1194"
373,"1109"
374,"960"
375,"826"
376,"683"
377,"608"
378,"557"
379,"510"
380,"469"
381,"444"
382,"411"
383,"412"
384,"413"
385,"421"
386,"424"
387,"458"
388,"373"
389,"470"
390,"453"
391,"410"
392,"505"
393,"500"
394,"527"
395,"594"
396,"588"
397,"640"
398,"657"
399,"674"
400,"678"
401,"642"
402,"580"
403,"602"
404,"544"
405,"497"
406,"541"
407,"539"
408,"509"
409,"554"
410,"515"
411,"524"
412,"527"
413,"480"
414,"462"
415,"475"
416,"416"
417,"389"
418,"411"
419,"393"
420,"437"
421,"377"
422,"438"
423,"469"
424,"437"
425,"445"
426,"487"
427,"451"
428,"473"
429,"500"
430,"446"
431,"471"
432,"501"
433,"491"
434,"452"
435,"406"
436,"407"
437,"436"
438,"421"
439,"440"
440,"420"
441,"410"
442,"453"
443,"437"
444,"419"
445,"439"
446,"418"
447,"464"
448,"439"
449,"450"
450,"437"
451,"484"
452,"433"
453,"485"
454,"478"
455,"511"
456,"520"
457,"482"
458,"458"
459,"486"
460,"494"
461,"445"
462,"423"
463,"449"
464,"438"
465,"449"
466,"423"
467,"423"
468,"399"
469,"410"
470,"434"
471,"421"
472,"428"
473,"427"
474,"424"
475,"456"
476,"438"
477,"459"
478,"448"
479,"415"
480,"444"
481,"453"
482,"423"
483,"426"
484,"454"
485,"417"
486,"470"
487,"403"
488,"436"
489,"417"
490,"433"
491,"481"
492,"445"
493,"453"
494,"410"
495,"457"
496,"455"
497,"430"
498,"424"
499,"406"
500,"402"
501,"463"
502,"434"
503,"422"
504,"457"
505,"462"
506,"475"
507,"444"
508,"415"
509,"458"
510,"412"
511,"447"
512,"431"
513,"431"
514,"430"
515,"421"
516,"427"
517,"435"
518,"459"
519,"448"
520,"449"
521,"469"
522,"433"
523,"445"
524,"438"
525,"420"
526,"437"
527,"408"
528,"438"
529,"430"
530,"397"
531,"455"
532,"428"
533,"404"
534,"436"
535,"420"
536,"434"
537,"434"
538,"429"
539,"421"
540,"429"
541,"427"
542,"396"
543,"423"
544,"419"
545,"463"
546,"377"
547,"391"
548,"411"
549,"420"
550,"397"
551,"414"
552,"453"
553,"377"
554,"444"
555,"419"
556,"415"
557,"395"
558,"401"
559,"400"
560,"416"
561,"385"
562,"409"
563,"417"
564,"410"
565,"405"
566,"405"
567,"429"
568,"406"
569,"395"
570,"434"
571,"414"
572,"375"
573,"417"
574,"391"
575,"400"
576,"353"
577,"417"
578,"406"
579,"416"
580,"373"
581,"396"
582,"430"
583,"447"
584,"411"
585,"418"
586,"416"
587,"442"
588,"410"
589,"391"
590,"423"
591,"384"
592,"393"
593,"383"
594,"383"
595,"422"
596,"401"
597,"390"
598,"430"
599,"386"
600,"423"
601,"413"
602,"424"
603,"392"
604,"340"
605,"404"
606,"422"
607,"401"
608,"380"
609,"374"
610,"371"
611,"380"
612,"441"
613,"415"
614,"397"
615,"388"
616,"414"
617,"407"
618,"423"
619,"388"
620,"456"
621,"453"
622,"459"
623,"430"
624,"442"
625,"427"
626,"445"
627,"415"
628,"430"
629,"452"
630,"445"
631,"412"
632,"410"
633,"405"
634,"425"
635,"429"
636,"423"
637,"406"
638,"443"
639,"421"
640,"425"
641,"441"
642,"409"
643,"420"
644,"420"
