Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 -1phi 7"
Duration Time,60.102
Ambient Temperature,"98.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"581242"
Raw Accumulated Counts,"599892"
Valid Count Last Packet,"8988"
Raw Count Last Packet,"9237"
Live Time,58.689983
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7965
Number of Channels,2048
Vacuum,767
Channel#,Intensity
0,"1792"
1,"1523"
2,"956"
3,"485"
4,"200"
5,"69"
6,"23"
7,"5"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"1"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"6"
22,"22"
23,"90"
24,"134"
25,"156"
26,"153"
27,"152"
28,"178"
29,"137"
30,"156"
31,"128"
32,"158"
33,"152"
34,"122"
35,"122"
36,"132"
37,"163"
38,"126"
39,"135"
40,"120"
41,"119"
42,"126"
43,"134"
44,"134"
45,"143"
46,"178"
47,"162"
48,"123"
49,"122"
50,"143"
51,"148"
52,"116"
53,"146"
54,"155"
55,"141"
56,"138"
57,"130"
58,"140"
59,"141"
60,"137"
61,"132"
62,"159"
63,"128"
64,"129"
65,"103"
66,"125"
67,"98"
68,"119"
69,"120"
70,"123"
71,"121"
72,"151"
73,"147"
74,"160"
75,"144"
76,"134"
77,"137"
78,"132"
79,"135"
80,"173"
81,"285"
82,"481"
83,"781"
84,"1174"
85,"1412"
86,"1665"
87,"1494"
88,"1285"
89,"969"
90,"616"
91,"406"
92,"272"
93,"172"
94,"125"
95,"135"
96,"138"
97,"112"
98,"96"
99,"107"
100,"130"
101,"121"
102,"106"
103,"108"
104,"93"
105,"117"
106,"98"
107,"108"
108,"103"
109,"132"
110,"140"
111,"164"
112,"171"
113,"213"
114,"206"
115,"202"
116,"204"
117,"216"
118,"189"
119,"173"
120,"180"
121,"159"
122,"154"
123,"193"
124,"209"
125,"238"
126,"283"
127,"357"
128,"477"
129,"700"
130,"1011"
131,"1300"
132,"1648"
133,"1878"
134,"1901"
135,"1788"
136,"1628"
137,"1394"
138,"1372"
139,"1334"
140,"1349"
141,"1415"
142,"1386"
143,"1535"
144,"1641"
145,"1675"
146,"1748"
147,"1797"
148,"1576"
149,"1201"
150,"919"
151,"668"
152,"446"
153,"329"
154,"244"
155,"283"
156,"289"
157,"313"
158,"319"
159,"352"
160,"338"
161,"411"
162,"394"
163,"461"
164,"489"
165,"505"
166,"433"
167,"401"
168,"308"
169,"237"
170,"171"
171,"130"
172,"161"
173,"125"
174,"154"
175,"148"
176,"201"
177,"232"
178,"304"
179,"377"
180,"460"
181,"577"
182,"625"
183,"690"
184,"626"
185,"541"
186,"438"
187,"313"
188,"281"
189,"224"
190,"171"
191,"142"
192,"175"
193,"197"
194,"193"
195,"227"
196,"238"
197,"255"
198,"239"
199,"277"
200,"234"
201,"255"
202,"239"
203,"230"
204,"216"
205,"177"
206,"186"
207,"189"
208,"182"
209,"187"
210,"179"
211,"191"
212,"180"
213,"200"
214,"196"
215,"196"
216,"202"
217,"215"
218,"226"
219,"248"
220,"279"
221,"285"
222,"315"
223,"315"
224,"349"
225,"363"
226,"313"
227,"293"
228,"312"
229,"293"
230,"290"
231,"289"
232,"305"
233,"345"
234,"307"
235,"313"
236,"329"
237,"304"
238,"261"
239,"301"
240,"305"
241,"286"
242,"295"
243,"289"
244,"263"
245,"262"
246,"264"
247,"250"
248,"272"
249,"223"
250,"287"
251,"273"
252,"263"
253,"261"
254,"267"
255,"269"
256,"299"
257,"293"
258,"286"
259,"268"
260,"281"
261,"288"
262,"309"
263,"279"
264,"287"
265,"321"
266,"313"
267,"323"
268,"321"
269,"325"
270,"317"
271,"301"
272,"283"
273,"343"
274,"303"
275,"319"
276,"346"
277,"329"
278,"325"
279,"373"
