Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 -1phi 0"
Duration Time,60.034
Ambient Temperature,"95.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"783175"
Raw Accumulated Counts,"813515"
Valid Count Last Packet,"12218"
Raw Count Last Packet,"12723"
Live Time,58.118019
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7936
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1773"
1,"1433"
2,"961"
3,"513"
4,"219"
5,"63"
6,"18"
7,"5"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"1"
21,"1"
22,"25"
23,"100"
24,"154"
25,"180"
26,"201"
27,"174"
28,"176"
29,"181"
30,"176"
31,"166"
32,"174"
33,"163"
34,"182"
35,"152"
36,"147"
37,"156"
38,"149"
39,"164"
40,"159"
41,"153"
42,"163"
43,"152"
44,"169"
45,"184"
46,"168"
47,"173"
48,"185"
49,"178"
50,"140"
51,"131"
52,"180"
53,"161"
54,"143"
55,"170"
56,"146"
57,"167"
58,"156"
59,"178"
60,"154"
61,"155"
62,"168"
63,"175"
64,"148"
65,"126"
66,"142"
67,"140"
68,"143"
69,"168"
70,"169"
71,"197"
72,"202"
73,"222"
74,"241"
75,"216"
76,"215"
77,"186"
78,"192"
79,"204"
80,"245"
81,"265"
82,"469"
83,"771"
84,"1090"
85,"1429"
86,"1458"
87,"1445"
88,"1269"
89,"919"
90,"614"
91,"384"
92,"293"
93,"191"
94,"172"
95,"175"
96,"159"
97,"142"
98,"154"
99,"146"
100,"129"
101,"131"
102,"127"
103,"133"
104,"121"
105,"119"
106,"146"
107,"121"
108,"143"
109,"140"
110,"153"
111,"140"
112,"196"
113,"231"
114,"253"
115,"221"
116,"255"
117,"219"
118,"223"
119,"190"
120,"200"
121,"171"
122,"204"
123,"189"
124,"206"
125,"262"
126,"316"
127,"371"
128,"531"
129,"728"
130,"983"
131,"1320"
132,"1733"
133,"2030"
134,"1950"
135,"1905"
136,"1644"
137,"1419"
138,"1283"
139,"1322"
140,"1340"
141,"1500"
142,"1409"
143,"1546"
144,"1576"
145,"1626"
146,"1849"
147,"1795"
148,"1550"
149,"1330"
150,"937"
151,"686"
152,"478"
153,"379"
154,"320"
155,"333"
156,"347"
157,"436"
158,"586"
159,"745"
160,"1125"
161,"1628"
162,"2189"
163,"2693"
164,"3090"
165,"3035"
166,"2626"
167,"1963"
168,"1448"
169,"913"
170,"586"
171,"383"
172,"280"
173,"300"
174,"316"
175,"444"
176,"533"
177,"701"
178,"848"
179,"967"
180,"1167"
181,"1452"
182,"1525"
183,"1512"
184,"1467"
185,"1239"
186,"932"
187,"699"
188,"486"
189,"339"
190,"278"
191,"213"
192,"219"
193,"221"
194,"238"
195,"262"
196,"314"
197,"305"
198,"388"
199,"415"
200,"402"
201,"379"
202,"346"
203,"310"
204,"283"
205,"246"
206,"230"
207,"251"
208,"210"
209,"225"
210,"227"
211,"223"
212,"232"
213,"212"
214,"226"
215,"238"
216,"301"
217,"316"
218,"415"
219,"498"
220,"661"
221,"836"
222,"947"
223,"1076"
224,"1094"
225,"988"
226,"862"
227,"798"
228,"628"
229,"504"
230,"443"
231,"357"
232,"343"
233,"329"
234,"300"
235,"305"
236,"302"
237,"335"
238,"358"
239,"351"
240,"373"
241,"455"
242,"406"
243,"438"
244,"489"
245,"485"
246,"453"
247,"425"
248,"399"
249,"401"
250,"348"
251,"361"
252,"357"
253,"341"
254,"311"
255,"325"
256,"338"
257,"373"
258,"351"
259,"333"
260,"359"
261,"331"
262,"342"
263,"369"
264,"362"
265,"369"
266,"365"
267,"393"
268,"359"
269,"407"
270,"401"
271,"389"
272,"350"
273,"388"
274,"435"
275,"389"
276,"364"
277,"393"
278,"378"
279,"406"
280,"376"
281,"377"
282,"408"
283,"403"
284,"437"
285,"379"
286,"418"
287,"416"
288,"471"
289,"536"
290,"507"
291,"575"
292,"586"
293,"593"
294,"586"
295,"601"
296,"520"
297,"524"
298,"493"
299,"461"
300,"465"
301,"499"
302,"464"
303,"485"
304,"513"
305,"523"
306,"557"
307,"653"
308,"827"
309,"1092"
310,"1746"
311,"2669"
312,"4225"
313,"6233"
314,"8981"
315,"11478"
316,"13624"
317,"14915"
318,"15183"
319,"13637"
320,"11751"
321,"9061"
322,"6547"
323,"4403"
324,"2725"
325,"1763"
326,"1098"
327,"779"
328,"614"
329,"529"
330,"519"
331,"477"
332,"481"
333,"472"
334,"479"
335,"464"
336,"493"
337,"522"
338,"519"
339,"584"
340,"576"
341,"641"
342,"710"
343,"826"
344,"1036"
345,"1358"
346,"1568"
347,"2053"
348,"2346"
349,"2563"
350,"2737"
351,"2698"
352,"2430"
353,"2092"
354,"1770"
355,"1401"
356,"1163"
357,"919"
358,"866"
359,"817"
360,"839"
361,"837"
362,"885"
363,"843"
364,"909"
365,"1054"
366,"1127"
367,"1214"
368,"1244"
369,"1331"
370,"1379"
371,"1303"
372,"1319"
373,"1176"
374,"1055"
375,"916"
376,"753"
377,"644"
378,"565"
379,"540"
380,"506"
381,"530"
382,"498"
383,"485"
384,"463"
385,"502"
386,"459"
387,"458"
388,"457"
389,"450"
390,"419"
391,"450"
392,"468"
393,"514"
394,"512"
395,"583"
396,"655"
397,"663"
398,"689"
399,"711"
400,"734"
401,"691"
402,"657"
403,"661"
404,"633"
405,"623"
406,"627"
407,"578"
408,"570"
409,"605"
410,"593"
411,"571"
412,"523"
413,"592"
414,"522"
415,"470"
416,"522"
417,"461"
418,"451"
419,"463"
420,"437"
421,"477"
422,"440"
423,"471"
424,"493"
425,"499"
426,"524"
427,"525"
428,"524"
429,"492"
430,"462"
431,"450"
432,"482"
433,"464"
434,"451"
435,"433"
436,"477"
437,"461"
438,"469"
439,"464"
440,"491"
441,"505"
442,"509"
443,"443"
444,"480"
445,"461"
446,"517"
447,"526"
448,"478"
449,"506"
450,"541"
451,"532"
452,"532"
453,"544"
454,"530"
455,"574"
456,"557"
457,"565"
458,"531"
459,"568"
460,"543"
461,"499"
462,"511"
463,"482"
464,"519"
465,"451"
466,"437"
467,"470"
468,"468"
469,"481"
470,"458"
471,"478"
472,"474"
473,"476"
474,"463"
475,"523"
476,"514"
477,"471"
478,"461"
479,"504"
480,"442"
481,"466"
482,"433"
483,"461"
484,"478"
485,"453"
486,"445"
487,"488"
488,"445"
489,"469"
490,"432"
491,"470"
492,"427"
493,"466"
494,"458"
495,"487"
496,"484"
497,"463"
498,"491"
499,"482"
500,"441"
501,"455"
502,"506"
503,"485"
504,"519"
505,"509"
506,"476"
507,"482"
508,"469"
509,"477"
510,"517"
511,"470"
512,"495"
513,"445"
514,"474"
515,"473"
516,"456"
517,"451"
518,"490"
519,"470"
520,"470"
521,"473"
522,"494"
523,"456"
524,"481"
525,"498"
526,"477"
527,"452"
528,"479"
529,"488"
530,"443"
531,"435"
532,"448"
533,"441"
534,"437"
535,"461"
536,"450"
537,"439"
538,"438"
539,"461"
540,"470"
541,"447"
542,"435"
