Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 -1phi 1"
Duration Time,60.108
Ambient Temperature,"97.6"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"616519"
Raw Accumulated Counts,"636914"
Valid Count Last Packet,"9656"
Raw Count Last Packet,"9981"
Live Time,58.637001
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7964
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1792"
1,"1435"
2,"970"
3,"501"
4,"222"
5,"63"
6,"18"
7,"6"
8,"0"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"7"
22,"27"
23,"83"
24,"126"
25,"155"
26,"175"
27,"161"
28,"148"
29,"158"
30,"158"
31,"151"
32,"156"
33,"152"
34,"120"
35,"130"
36,"139"
37,"118"
38,"142"
39,"146"
40,"143"
41,"138"
42,"150"
43,"140"
44,"142"
45,"137"
46,"148"
47,"163"
48,"160"
49,"133"
50,"143"
51,"138"
52,"134"
53,"120"
54,"155"
55,"129"
56,"144"
57,"135"
58,"154"
59,"134"
60,"142"
61,"157"
62,"125"
63,"132"
64,"107"
65,"97"
66,"100"
67,"108"
68,"110"
69,"100"
70,"120"
71,"128"
72,"158"
73,"163"
74,"153"
75,"163"
76,"163"
77,"128"
78,"146"
79,"113"
80,"170"
81,"221"
82,"322"
83,"529"
84,"732"
85,"915"
86,"1040"
87,"1025"
88,"785"
89,"591"
90,"430"
91,"300"
92,"198"
93,"133"
94,"132"
95,"117"
96,"138"
97,"114"
98,"130"
99,"119"
100,"109"
101,"114"
102,"119"
103,"101"
104,"108"
105,"115"
106,"106"
107,"122"
108,"105"
109,"122"
110,"146"
111,"159"
112,"178"
113,"189"
114,"219"
115,"226"
116,"216"
117,"194"
118,"183"
119,"201"
120,"178"
121,"178"
122,"189"
123,"186"
124,"171"
125,"234"
126,"277"
127,"374"
128,"478"
129,"704"
130,"968"
131,"1323"
132,"1647"
133,"1893"
134,"1879"
135,"1837"
136,"1585"
137,"1504"
138,"1327"
139,"1262"
140,"1364"
141,"1391"
142,"1431"
143,"1604"
144,"1693"
145,"1839"
146,"1844"
147,"1794"
148,"1677"
149,"1314"
150,"997"
151,"685"
152,"490"
153,"362"
154,"263"
155,"296"
156,"300"
157,"337"
158,"370"
159,"500"
160,"548"
161,"765"
162,"990"
163,"1116"
164,"1225"
165,"1225"
166,"1099"
167,"872"
168,"607"
169,"414"
170,"305"
171,"201"
172,"200"
173,"203"
174,"200"
175,"236"
176,"290"
177,"361"
178,"413"
179,"530"
180,"609"
181,"672"
182,"711"
183,"732"
184,"683"
185,"586"
186,"475"
187,"376"
188,"278"
189,"235"
190,"208"
191,"174"
192,"179"
193,"163"
194,"199"
195,"218"
196,"236"
197,"247"
198,"284"
199,"248"
200,"296"
201,"239"
202,"259"
203,"219"
204,"206"
205,"197"
206,"198"
207,"196"
208,"215"
209,"197"
210,"195"
211,"226"
212,"227"
213,"230"
214,"238"
215,"202"
216,"240"
217,"238"
218,"248"
219,"250"
220,"280"
221,"320"
222,"379"
223,"360"
224,"387"
225,"343"
226,"311"
227,"358"
228,"309"
229,"345"
230,"271"
231,"280"
232,"277"
233,"276"
234,"316"
235,"258"
236,"310"
237,"275"
238,"291"
239,"307"
240,"298"
241,"323"
242,"307"
243,"326"
244,"307"
245,"319"
246,"316"
247,"301"
248,"308"
249,"265"
250,"290"
251,"288"
252,"304"
253,"279"
254,"292"
255,"296"
256,"307"
257,"286"
258,"322"
259,"307"
260,"324"
261,"323"
262,"310"
263,"311"
264,"315"
265,"296"
266,"304"
267,"359"
