Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 0phi 1"
Duration Time,60.019
Ambient Temperature,"98.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"768104"
Raw Accumulated Counts,"797108"
Valid Count Last Packet,"12129"
Raw Count Last Packet,"12594"
Live Time,58.142017
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7999
Number of Channels,2048
Vacuum,767
Channel#,Intensity
0,"1782"
1,"1434"
2,"920"
3,"532"
4,"222"
5,"86"
6,"16"
7,"6"
8,"1"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"5"
22,"36"
23,"116"
24,"181"
25,"200"
26,"206"
27,"191"
28,"197"
29,"181"
30,"178"
31,"185"
32,"162"
33,"170"
34,"167"
35,"144"
36,"139"
37,"136"
38,"162"
39,"160"
40,"188"
41,"166"
42,"146"
43,"168"
44,"159"
45,"185"
46,"158"
47,"171"
48,"167"
49,"156"
50,"162"
51,"157"
52,"141"
53,"136"
54,"150"
55,"149"
56,"174"
57,"155"
58,"158"
59,"128"
60,"156"
61,"177"
62,"131"
63,"137"
64,"136"
65,"135"
66,"147"
67,"122"
68,"135"
69,"152"
70,"175"
71,"174"
72,"180"
73,"223"
74,"217"
75,"221"
76,"211"
77,"194"
78,"187"
79,"177"
80,"225"
81,"393"
82,"538"
83,"856"
84,"1197"
85,"1552"
86,"1648"
87,"1681"
88,"1344"
89,"1013"
90,"669"
91,"429"
92,"322"
93,"182"
94,"159"
95,"164"
96,"150"
97,"128"
98,"155"
99,"127"
100,"115"
101,"166"
102,"130"
103,"107"
104,"138"
105,"116"
106,"130"
107,"113"
108,"125"
109,"138"
110,"156"
111,"164"
112,"213"
113,"233"
114,"246"
115,"238"
116,"235"
117,"182"
118,"195"
119,"206"
120,"202"
121,"186"
122,"173"
123,"171"
124,"207"
125,"235"
126,"307"
127,"398"
128,"546"
129,"704"
130,"1001"
131,"1369"
132,"1668"
133,"1832"
134,"2014"
135,"1938"
136,"1696"
137,"1473"
138,"1339"
139,"1412"
140,"1404"
141,"1496"
142,"1513"
143,"1627"
144,"1639"
145,"1752"
146,"1797"
147,"1782"
148,"1569"
149,"1210"
150,"889"
151,"695"
152,"464"
153,"376"
154,"307"
155,"294"
156,"325"
157,"355"
158,"414"
159,"518"
160,"616"
161,"747"
162,"1022"
163,"1234"
164,"1322"
165,"1305"
166,"1178"
167,"847"
168,"680"
169,"449"
170,"325"
171,"237"
172,"185"
173,"203"
174,"207"
175,"286"
176,"346"
177,"370"
178,"525"
179,"649"
180,"881"
181,"948"
182,"1085"
183,"1088"
184,"1054"
185,"963"
186,"685"
187,"549"
188,"433"
189,"326"
190,"251"
191,"209"
192,"230"
193,"230"
194,"245"
195,"273"
196,"255"
197,"354"
198,"328"
199,"363"
200,"341"
201,"306"
202,"291"
203,"247"
204,"252"
205,"228"
206,"214"
207,"216"
208,"210"
209,"207"
210,"228"
211,"244"
212,"203"
213,"228"
214,"220"
215,"278"
216,"257"
217,"332"
218,"330"
219,"403"
220,"493"
221,"563"
222,"682"
223,"709"
224,"755"
225,"671"
226,"573"
227,"553"
228,"467"
229,"351"
230,"364"
231,"316"
232,"308"
233,"300"
234,"270"
235,"282"
236,"282"
237,"280"
238,"313"
239,"348"
240,"353"
241,"363"
242,"385"
243,"382"
244,"432"
245,"415"
246,"379"
247,"385"
248,"394"
249,"396"
250,"389"
251,"367"
252,"336"
253,"343"
254,"340"
255,"347"
256,"311"
257,"355"
258,"314"
259,"356"
260,"343"
261,"355"
262,"385"
263,"342"
264,"312"
265,"351"
266,"377"
267,"359"
268,"375"
269,"375"
270,"359"
271,"425"
272,"434"
273,"407"
274,"477"
275,"402"
276,"436"
277,"426"
278,"443"
279,"423"
280,"386"
281,"411"
282,"410"
283,"424"
284,"415"
285,"442"
286,"454"
287,"478"
288,"459"
289,"505"
290,"528"
291,"492"
292,"581"
293,"574"
294,"544"
295,"505"
296,"559"
297,"557"
298,"464"
299,"459"
300,"431"
301,"489"
302,"455"
303,"447"
304,"484"
