Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 0phi 4"
Duration Time,60.062
Ambient Temperature,"99.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"694902"
Raw Accumulated Counts,"719898"
Valid Count Last Packet,"10930"
Raw Count Last Packet,"11339"
Live Time,58.358967
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7998
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1775"
1,"1430"
2,"995"
3,"496"
4,"225"
5,"73"
6,"17"
7,"12"
8,"0"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"1"
21,"3"
22,"30"
23,"93"
24,"150"
25,"169"
26,"185"
27,"175"
28,"176"
29,"178"
30,"177"
31,"174"
32,"166"
33,"144"
34,"134"
35,"145"
36,"153"
37,"167"
38,"160"
39,"135"
40,"148"
41,"169"
42,"158"
43,"148"
44,"155"
45,"155"
46,"155"
47,"181"
48,"173"
49,"164"
50,"156"
51,"148"
52,"155"
53,"156"
54,"132"
55,"145"
56,"147"
57,"147"
58,"140"
59,"143"
60,"150"
61,"149"
62,"146"
63,"142"
64,"145"
65,"137"
66,"138"
67,"120"
68,"151"
69,"131"
70,"154"
71,"147"
72,"178"
73,"183"
74,"186"
75,"161"
76,"194"
77,"154"
78,"158"
79,"148"
80,"167"
81,"262"
82,"436"
83,"586"
84,"872"
85,"1060"
86,"1204"
87,"1177"
88,"980"
89,"765"
90,"510"
91,"313"
92,"260"
93,"179"
94,"145"
95,"126"
96,"116"
97,"144"
98,"151"
99,"120"
100,"131"
101,"143"
102,"125"
103,"138"
104,"123"
105,"126"
106,"151"
107,"117"
108,"135"
109,"132"
110,"142"
111,"177"
112,"191"
113,"215"
114,"201"
115,"209"
116,"233"
117,"220"
118,"225"
119,"185"
120,"188"
121,"170"
122,"192"
123,"194"
124,"216"
125,"238"
126,"250"
127,"350"
128,"510"
129,"711"
130,"1024"
131,"1358"
132,"1653"
133,"1937"
134,"1972"
135,"1796"
136,"1594"
137,"1435"
138,"1323"
139,"1341"
140,"1396"
141,"1436"
142,"1421"
143,"1527"
144,"1641"
145,"1725"
146,"1754"
147,"1717"
148,"1559"
149,"1342"
150,"940"
151,"666"
152,"483"
153,"371"
154,"319"
155,"299"
156,"325"
157,"335"
158,"378"
159,"487"
160,"612"
161,"715"
162,"940"
163,"1059"
164,"1195"
165,"1176"
166,"1050"
167,"784"
168,"605"
169,"446"
170,"289"
171,"231"
172,"166"
173,"201"
174,"240"
175,"259"
176,"346"
177,"377"
178,"472"
179,"660"
180,"793"
181,"965"
182,"1083"
183,"1173"
184,"1198"
185,"941"
186,"753"
187,"552"
188,"435"
189,"280"
190,"239"
191,"210"
192,"208"
193,"184"
194,"224"
195,"215"
196,"275"
197,"313"
198,"331"
199,"332"
200,"350"
201,"358"
202,"299"
203,"283"
204,"259"
205,"211"
206,"206"
207,"188"
208,"195"
209,"242"
210,"226"
211,"245"
212,"236"
213,"216"
214,"225"
215,"252"
216,"259"
217,"293"
218,"357"
219,"393"
220,"456"
221,"580"
222,"637"
223,"739"
224,"699"
225,"656"
226,"614"
227,"535"
228,"417"
229,"373"
230,"337"
231,"308"
232,"318"
233,"299"
234,"315"
235,"290"
236,"279"
237,"307"
238,"319"
239,"306"
240,"320"
241,"331"
242,"352"
243,"357"
244,"365"
245,"339"
246,"378"
247,"345"
248,"339"
249,"338"
250,"295"
251,"293"
252,"290"
253,"343"
254,"293"
255,"330"
256,"332"
257,"311"
258,"337"
259,"327"
260,"341"
261,"364"
262,"355"
263,"354"
264,"355"
265,"404"
266,"373"
267,"374"
268,"396"
269,"403"
270,"425"
271,"381"
272,"400"
273,"365"
274,"429"
275,"400"
276,"356"
277,"371"
278,"366"
279,"381"
280,"376"
281,"371"
282,"377"
283,"391"
284,"379"
285,"406"
286,"452"
287,"464"
288,"466"
289,"483"
290,"547"
291,"568"
292,"526"
293,"586"
294,"512"
295,"481"
296,"497"
297,"460"
298,"480"
299,"470"
300,"457"
301,"473"
302,"468"
303,"465"
