Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 3phi 0"
Duration Time,60.842
Ambient Temperature,"98.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1034671"
Raw Accumulated Counts,"1083627"
Valid Count Last Packet,"15655"
Raw Count Last Packet,"16412"
Live Time,58.342987
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7932
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1787"
1,"1446"
2,"946"
3,"491"
4,"224"
5,"61"
6,"17"
7,"3"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"1"
22,"40"
23,"125"
24,"201"
25,"230"
26,"210"
27,"212"
28,"210"
29,"189"
30,"204"
31,"184"
32,"176"
33,"198"
34,"190"
35,"188"
36,"182"
37,"170"
38,"166"
39,"157"
40,"185"
41,"172"
42,"172"
43,"179"
44,"189"
45,"175"
46,"192"
47,"180"
48,"184"
49,"190"
50,"193"
51,"164"
52,"157"
53,"172"
54,"170"
55,"187"
56,"179"
57,"165"
58,"156"
59,"151"
60,"188"
61,"186"
62,"187"
63,"159"
64,"166"
65,"175"
66,"143"
67,"130"
68,"153"
69,"175"
70,"197"
71,"220"
72,"261"
73,"283"
74,"286"
75,"249"
76,"240"
77,"223"
78,"227"
79,"239"
80,"233"
81,"366"
82,"544"
83,"850"
84,"1290"
85,"1590"
86,"1765"
87,"1732"
88,"1443"
89,"1049"
90,"714"
91,"464"
92,"292"
93,"231"
94,"176"
95,"187"
96,"158"
97,"171"
98,"172"
99,"172"
100,"165"
101,"158"
102,"143"
103,"148"
104,"147"
105,"141"
106,"132"
107,"172"
108,"137"
109,"149"
110,"179"
111,"220"
112,"210"
113,"220"
114,"271"
115,"250"
116,"268"
117,"250"
118,"235"
119,"207"
120,"220"
121,"176"
122,"197"
123,"200"
124,"245"
125,"267"
126,"328"
127,"420"
128,"542"
129,"754"
130,"1088"
131,"1390"
132,"1726"
133,"2048"
134,"1959"
135,"1848"
136,"1691"
137,"1497"
138,"1352"
139,"1335"
140,"1341"
141,"1469"
142,"1452"
143,"1482"
144,"1575"
145,"1711"
146,"1799"
147,"1751"
148,"1547"
149,"1281"
150,"956"
151,"660"
152,"519"
153,"409"
154,"352"
155,"339"
156,"413"
157,"460"
158,"544"
159,"768"
160,"1082"
161,"1602"
162,"2144"
163,"2589"
164,"2912"
165,"2851"
166,"2607"
167,"1989"
168,"1355"
169,"915"
170,"594"
171,"391"
172,"311"
173,"300"
174,"358"
175,"464"
176,"555"
177,"723"
178,"926"
179,"1121"
180,"1401"
181,"1672"
182,"1900"
183,"1931"
184,"1792"
185,"1547"
186,"1219"
187,"865"
188,"605"
189,"441"
190,"306"
191,"280"
192,"224"
193,"223"
194,"321"
195,"307"
196,"363"
197,"421"
198,"450"
199,"489"
200,"496"
201,"431"
202,"376"
203,"332"
204,"309"
205,"253"
206,"242"
207,"279"
208,"238"
209,"232"
210,"247"
211,"228"
212,"229"
213,"255"
214,"242"
215,"256"
216,"336"
217,"365"
218,"460"
219,"523"
220,"824"
221,"1076"
222,"1255"
223,"1415"
224,"1378"
225,"1283"
226,"1089"
227,"990"
228,"752"
229,"627"
230,"556"
231,"448"
232,"432"
233,"427"
234,"426"
235,"397"
236,"387"
237,"399"
238,"422"
239,"414"
240,"512"
241,"542"
242,"534"
243,"531"
244,"568"
245,"594"
246,"597"
247,"546"
248,"466"
249,"447"
250,"461"
251,"390"
252,"424"
253,"403"
254,"392"
255,"385"
256,"417"
257,"411"
258,"406"
259,"403"
260,"432"
261,"395"
262,"434"
263,"464"
264,"440"
265,"475"
266,"471"
267,"494"
268,"507"
269,"463"
270,"502"
271,"501"
272,"511"
273,"485"
274,"500"
275,"485"
276,"465"
277,"487"
278,"479"
279,"505"
280,"467"
281,"471"
282,"526"
283,"498"
284,"451"
285,"484"
286,"538"
287,"581"
288,"578"
289,"695"
290,"697"
291,"790"
292,"823"
293,"835"
294,"778"
295,"782"
296,"649"
297,"619"
298,"661"
299,"611"
300,"663"
301,"615"
302,"602"
303,"641"
304,"643"
305,"710"
306,"730"
307,"980"
308,"1252"
309,"2027"
310,"3123"
311,"5191"
312,"8625"
313,"12872"
314,"18361"
315,"23712"
316,"29031"
317,"31785"
318,"32076"
319,"29716"
320,"24945"
321,"19681"
322,"13883"
323,"9078"
324,"5701"
325,"3407"
326,"2022"
327,"1261"
328,"872"
329,"731"
330,"606"
331,"576"
332,"584"
333,"600"
334,"641"
335,"587"
336,"606"
337,"641"
338,"641"
339,"683"
340,"804"
341,"910"
342,"1080"
343,"1389"
344,"1697"
345,"2298"
346,"2998"
347,"3958"
348,"4672"
349,"5231"
350,"5465"
351,"5320"
352,"4773"
353,"3935"
354,"3262"
355,"2599"
356,"1893"
357,"1405"
358,"1147"
359,"973"
360,"947"
361,"954"
362,"963"
363,"921"
364,"997"
365,"1056"
366,"1167"
367,"1274"
368,"1341"
369,"1434"
370,"1496"
371,"1500"
372,"1405"
373,"1288"
374,"1090"
375,"942"
376,"808"
377,"688"
378,"579"
379,"533"
380,"540"
381,"494"
382,"501"
383,"480"
384,"475"
385,"525"
386,"481"
387,"530"
388,"515"
389,"484"
390,"533"
391,"535"
392,"562"
393,"617"
394,"596"
395,"673"
396,"676"
397,"692"
398,"751"
399,"769"
400,"820"
401,"753"
402,"744"
403,"708"
404,"684"
405,"638"
406,"621"
407,"646"
408,"660"
409,"698"
410,"692"
411,"708"
412,"648"
413,"649"
414,"561"
415,"536"
416,"588"
417,"538"
418,"553"
419,"509"
420,"508"
421,"549"
422,"586"
423,"553"
424,"548"
425,"584"
426,"585"
427,"631"
428,"594"
429,"630"
430,"642"
431,"620"
432,"569"
433,"581"
434,"589"
435,"529"
436,"554"
437,"569"
438,"583"
439,"595"
440,"541"
441,"597"
442,"584"
443,"582"
444,"601"
445,"561"
446,"599"
447,"575"
448,"581"
449,"588"
450,"536"
451,"575"
452,"569"
453,"576"
454,"613"
455,"622"
456,"607"
457,"603"
458,"625"
459,"586"
460,"601"
461,"637"
462,"603"
463,"581"
464,"554"
465,"546"
466,"563"
467,"567"
468,"558"
469,"533"
470,"595"
471,"587"
472,"576"
473,"591"
474,"546"
475,"616"
476,"563"
477,"577"
478,"615"
479,"595"
480,"576"
481,"583"
482,"579"
483,"639"
484,"575"
485,"549"
486,"592"
487,"525"
488,"555"
489,"568"
490,"587"
491,"543"
492,"592"
493,"572"
494,"554"
495,"544"
496,"591"
497,"561"
498,"555"
499,"573"
500,"602"
501,"588"
502,"576"
503,"589"
504,"579"
505,"616"
506,"587"
507,"570"
508,"546"
509,"630"
510,"542"
511,"568"
512,"598"
513,"536"
514,"554"
515,"586"
516,"588"
517,"542"
518,"541"
519,"573"
520,"543"
521,"560"
522,"583"
523,"562"
524,"579"
525,"595"
526,"555"
527,"571"
528,"541"
529,"568"
530,"579"
531,"570"
532,"583"
533,"542"
534,"541"
535,"574"
536,"567"
537,"609"
538,"575"
539,"581"
540,"516"
541,"533"
542,"590"
543,"533"
544,"567"
545,"584"
546,"574"
547,"532"
548,"541"
549,"595"
550,"562"
551,"528"
552,"540"
553,"543"
