Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 2phi 3"
Duration Time,60.842
Ambient Temperature,"99.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"989386"
Raw Accumulated Counts,"1034663"
Valid Count Last Packet,"15401"
Raw Count Last Packet,"16074"
Live Time,58.428001
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7968
Number of Channels,2048
Vacuum,767
Channel#,Intensity
0,"1710"
1,"1498"
2,"993"
3,"512"
4,"205"
5,"74"
6,"23"
7,"7"
8,"2"
9,"0"
10,"2"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"0"
21,"4"
22,"41"
23,"109"
24,"184"
25,"258"
26,"220"
27,"213"
28,"222"
29,"197"
30,"196"
31,"200"
32,"182"
33,"193"
34,"177"
35,"177"
36,"186"
37,"195"
38,"185"
39,"171"
40,"189"
41,"152"
42,"202"
43,"185"
44,"170"
45,"173"
46,"202"
47,"204"
48,"178"
49,"195"
50,"164"
51,"179"
52,"181"
53,"166"
54,"160"
55,"179"
56,"166"
57,"167"
58,"157"
59,"175"
60,"179"
61,"188"
62,"165"
63,"175"
64,"161"
65,"185"
66,"132"
67,"136"
68,"143"
69,"162"
70,"204"
71,"211"
72,"280"
73,"291"
74,"299"
75,"281"
76,"273"
77,"237"
78,"216"
79,"244"
80,"254"
81,"413"
82,"631"
83,"1036"
84,"1411"
85,"1884"
86,"2071"
87,"2046"
88,"1679"
89,"1207"
90,"799"
91,"514"
92,"364"
93,"255"
94,"185"
95,"166"
96,"177"
97,"148"
98,"170"
99,"167"
100,"148"
101,"145"
102,"170"
103,"129"
104,"133"
105,"149"
106,"155"
107,"144"
108,"133"
109,"146"
110,"174"
111,"178"
112,"231"
113,"245"
114,"255"
115,"253"
116,"234"
117,"238"
118,"210"
119,"226"
120,"221"
121,"233"
122,"205"
123,"219"
124,"245"
125,"224"
126,"310"
127,"399"
128,"493"
129,"760"
130,"1052"
131,"1339"
132,"1682"
133,"1948"
134,"2040"
135,"1837"
136,"1707"
137,"1527"
138,"1383"
139,"1348"
140,"1426"
141,"1419"
142,"1457"
143,"1527"
144,"1616"
145,"1773"
146,"1730"
147,"1697"
148,"1526"
149,"1290"
150,"989"
151,"691"
152,"506"
153,"394"
154,"338"
155,"355"
156,"377"
157,"448"
158,"584"
159,"783"
160,"1177"
161,"1639"
162,"2133"
163,"2720"
164,"3123"
165,"3007"
166,"2595"
167,"2130"
168,"1388"
169,"977"
170,"557"
171,"366"
172,"323"
173,"314"
174,"361"
175,"447"
176,"580"
177,"653"
178,"853"
179,"1049"
180,"1215"
181,"1374"
182,"1561"
183,"1638"
184,"1452"
185,"1223"
186,"945"
187,"693"
188,"503"
189,"355"
190,"299"
191,"242"
192,"241"
193,"213"
194,"240"
195,"300"
196,"340"
197,"364"
198,"419"
199,"393"
200,"419"
201,"380"
202,"367"
203,"315"
204,"274"
205,"248"
206,"280"
207,"226"
208,"254"
209,"235"
210,"237"
211,"260"
212,"234"
213,"240"
214,"255"
215,"255"
216,"329"
217,"362"
218,"447"
219,"592"
220,"754"
221,"965"
222,"1171"
223,"1268"
224,"1290"
225,"1220"
226,"998"
227,"866"
228,"679"
229,"538"
230,"492"
231,"419"
232,"359"
233,"366"
234,"356"
235,"321"
236,"378"
237,"377"
238,"409"
239,"395"
240,"476"
241,"467"
242,"510"
243,"530"
244,"543"
245,"562"
246,"518"
247,"494"
248,"483"
249,"443"
250,"462"
251,"392"
252,"396"
253,"399"
254,"390"
255,"416"
256,"417"
257,"458"
258,"414"
259,"461"
260,"470"
261,"449"
262,"464"
263,"447"
264,"444"
265,"485"
266,"475"
267,"486"
268,"488"
269,"440"
270,"513"
271,"469"
272,"459"
273,"465"
274,"446"
275,"471"
276,"428"
277,"431"
278,"434"
279,"426"
280,"463"
281,"464"
282,"437"
283,"457"
284,"469"
285,"494"
286,"492"
287,"539"
288,"550"
289,"660"
290,"675"
291,"716"
292,"755"
293,"783"
294,"753"
295,"691"
296,"655"
297,"639"
298,"551"
299,"600"
300,"584"
301,"563"
302,"527"
303,"553"
304,"597"
305,"652"
306,"725"
307,"793"
308,"1053"
309,"1652"
310,"2545"
311,"4230"
312,"6630"
313,"10051"
314,"14313"
315,"18845"
316,"22179"
317,"24966"
318,"24980"
319,"23342"
320,"19935"
321,"15274"
322,"10942"
323,"7174"
324,"4505"
325,"2760"
326,"1594"
327,"1060"
328,"803"
329,"647"
330,"528"
331,"518"
332,"551"
333,"580"
334,"579"
335,"557"
336,"623"
337,"638"
338,"698"
339,"691"
340,"730"
341,"781"
342,"890"
343,"1125"
344,"1414"
345,"2055"
346,"2552"
347,"3192"
348,"3734"
349,"4199"
350,"4345"
351,"4291"
352,"3836"
353,"3226"
354,"2587"
355,"2091"
356,"1585"
357,"1281"
358,"1061"
359,"973"
360,"911"
361,"947"
362,"938"
363,"919"
364,"997"
365,"1004"
366,"1184"
367,"1314"
368,"1372"
369,"1429"
370,"1579"
371,"1479"
372,"1435"
373,"1289"
374,"1142"
375,"911"
376,"814"
377,"657"
378,"606"
379,"575"
380,"497"
381,"495"
382,"438"
383,"498"
384,"467"
385,"490"
386,"459"
387,"519"
388,"483"
389,"529"
390,"520"
391,"578"
392,"551"
393,"597"
394,"632"
395,"651"
396,"729"
397,"743"
398,"759"
399,"798"
400,"772"
401,"810"
402,"733"
403,"708"
404,"638"
405,"639"
406,"652"
407,"684"
408,"650"
409,"661"
410,"652"
411,"651"
412,"663"
413,"621"
