Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 2phi 0"
Duration Time,60.842
Ambient Temperature,"99.2"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"1006470"
Raw Accumulated Counts,"1053382"
Valid Count Last Packet,"15602"
Raw Count Last Packet,"16298"
Live Time,58.396000
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7926
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1776"
1,"1510"
2,"966"
3,"478"
4,"205"
5,"84"
6,"21"
7,"2"
8,"0"
9,"3"
10,"2"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"6"
22,"38"
23,"142"
24,"205"
25,"228"
26,"222"
27,"212"
28,"220"
29,"213"
30,"189"
31,"186"
32,"215"
33,"192"
34,"169"
35,"187"
36,"176"
37,"163"
38,"185"
39,"165"
40,"176"
41,"202"
42,"148"
43,"177"
44,"194"
45,"185"
46,"187"
47,"200"
48,"195"
49,"184"
50,"180"
51,"170"
52,"180"
53,"160"
54,"188"
55,"181"
56,"181"
57,"176"
58,"178"
59,"173"
60,"181"
61,"161"
62,"157"
63,"173"
64,"162"
65,"145"
66,"141"
67,"166"
68,"151"
69,"188"
70,"203"
71,"209"
72,"259"
73,"276"
74,"284"
75,"267"
76,"254"
77,"228"
78,"218"
79,"209"
80,"206"
81,"363"
82,"532"
83,"847"
84,"1219"
85,"1565"
86,"1710"
87,"1601"
88,"1292"
89,"993"
90,"676"
91,"433"
92,"312"
93,"214"
94,"172"
95,"165"
96,"175"
97,"134"
98,"151"
99,"142"
100,"151"
101,"163"
102,"171"
103,"145"
104,"141"
105,"140"
106,"136"
107,"155"
108,"142"
109,"151"
110,"190"
111,"189"
112,"207"
113,"256"
114,"268"
115,"261"
116,"244"
117,"238"
118,"233"
119,"194"
120,"199"
121,"205"
122,"208"
123,"211"
124,"245"
125,"289"
126,"302"
127,"411"
128,"507"
129,"738"
130,"1074"
131,"1343"
132,"1765"
133,"2028"
134,"1905"
135,"1824"
136,"1739"
137,"1552"
138,"1440"
139,"1394"
140,"1392"
141,"1470"
142,"1454"
143,"1580"
144,"1610"
145,"1690"
146,"1790"
147,"1662"
148,"1526"
149,"1273"
150,"958"
151,"708"
152,"526"
153,"374"
154,"315"
155,"341"
156,"385"
157,"463"
158,"550"
159,"745"
160,"1015"
161,"1425"
162,"1905"
163,"2424"
164,"2626"
165,"2652"
166,"2333"
167,"1875"
168,"1238"
169,"882"
170,"516"
171,"336"
172,"273"
173,"274"
174,"347"
175,"412"
176,"490"
177,"665"
178,"801"
179,"938"
180,"1094"
181,"1287"
182,"1432"
183,"1460"
184,"1271"
185,"1185"
186,"923"
187,"668"
188,"436"
189,"353"
190,"301"
191,"258"
192,"230"
193,"219"
194,"238"
195,"280"
196,"360"
197,"377"
198,"353"
199,"407"
200,"388"
201,"409"
202,"319"
203,"330"
204,"265"
205,"232"
206,"249"
207,"273"
208,"252"
209,"219"
210,"254"
211,"275"
212,"265"
213,"240"
214,"263"
215,"283"
216,"314"
217,"392"
218,"474"
219,"665"
220,"907"
221,"1124"
222,"1326"
223,"1429"
224,"1450"
225,"1416"
226,"1184"
227,"993"
228,"758"
229,"629"
230,"479"
231,"502"
232,"440"
233,"454"
234,"390"
235,"379"
236,"388"
237,"407"
238,"404"
239,"437"
240,"471"
241,"527"
242,"542"
243,"575"
244,"616"
245,"595"
246,"607"
247,"529"
248,"516"
249,"459"
250,"449"
251,"408"
252,"397"
253,"376"
254,"391"
255,"356"
256,"391"
257,"413"
258,"366"
259,"389"
260,"436"
261,"432"
262,"400"
263,"409"
264,"396"
265,"417"
266,"433"
267,"459"
268,"441"
269,"428"
270,"485"
271,"479"
272,"451"
273,"437"
274,"425"
275,"414"
276,"429"
277,"436"
278,"413"
279,"422"
280,"416"
281,"419"
282,"424"
283,"429"
284,"446"
285,"449"
286,"508"
287,"562"
288,"577"
289,"637"
290,"680"
291,"716"
292,"822"
293,"831"
294,"768"
295,"717"
296,"729"
297,"633"
298,"578"
299,"603"
300,"577"
301,"562"
302,"600"
303,"625"
304,"606"
305,"705"
306,"716"
307,"891"
308,"1236"
309,"1884"
310,"3066"
311,"4984"
312,"8077"
313,"12339"
314,"17652"
315,"23137"
316,"27511"
317,"30209"
318,"30441"
319,"28076"
320,"23783"
321,"18422"
322,"13332"
323,"8701"
324,"5452"
325,"3321"
326,"1888"
327,"1138"
328,"758"
329,"656"
330,"634"
331,"539"
332,"575"
333,"587"
334,"574"
335,"609"
336,"645"
337,"574"
338,"627"
339,"627"
340,"764"
341,"864"
342,"1049"
343,"1331"
344,"1725"
345,"2193"
346,"2883"
347,"3667"
348,"4381"
349,"4918"
350,"5143"
351,"5142"
352,"4472"
353,"3794"
354,"3044"
355,"2289"
356,"1747"
357,"1310"
358,"1083"
359,"1012"
360,"877"
361,"867"
362,"909"
363,"956"
364,"992"
365,"1029"
366,"1175"
367,"1313"
368,"1379"
369,"1483"
370,"1557"
371,"1470"
372,"1527"
373,"1421"
374,"1148"
375,"903"
376,"826"
377,"682"
378,"618"
379,"570"
380,"509"
381,"473"
382,"462"
383,"491"
384,"470"
385,"414"
386,"448"
387,"498"
388,"446"
389,"471"
390,"499"
391,"513"
392,"548"
393,"538"
394,"549"
395,"627"
396,"628"
397,"723"
398,"784"
399,"742"
400,"771"
401,"705"
402,"724"
403,"711"
404,"625"
405,"562"
406,"644"
407,"655"
408,"591"
409,"611"
410,"639"
411,"629"
412,"625"
413,"586"
414,"544"
415,"570"
416,"525"
417,"471"
418,"490"
419,"502"
420,"542"
421,"530"
422,"473"
423,"518"
424,"499"
425,"535"
426,"561"
427,"599"
428,"581"
429,"604"
430,"618"
431,"576"
432,"565"
433,"565"
434,"544"
435,"479"
436,"554"
437,"528"
438,"509"
439,"516"
440,"555"
441,"569"
442,"551"
443,"502"
444,"561"
445,"556"
446,"574"
447,"527"
448,"504"
449,"581"
450,"499"
451,"487"
452,"506"
453,"531"
454,"522"
455,"548"
456,"539"
457,"558"
458,"594"
459,"560"
460,"525"
461,"527"
462,"585"
463,"532"
464,"524"
465,"546"
466,"557"
467,"499"
468,"553"
469,"544"
470,"547"
471,"540"
472,"514"
473,"545"
474,"554"
475,"530"
476,"564"
477,"503"
478,"530"
479,"527"
480,"530"
481,"564"
482,"547"
483,"566"
484,"528"
485,"546"
486,"569"
487,"529"
488,"521"
489,"536"
490,"523"
491,"509"
492,"558"
493,"576"
494,"580"
495,"554"
496,"571"
497,"532"
498,"557"
499,"563"
500,"524"
501,"533"
502,"589"
503,"564"
504,"566"
505,"590"
506,"509"
507,"533"
508,"594"
509,"569"
510,"518"
511,"536"
512,"552"
513,"544"
514,"516"
515,"540"
