Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 -1phi 9"
Duration Time,60.098
Ambient Temperature,"98.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"690196"
Raw Accumulated Counts,"714248"
Valid Count Last Packet,"10808"
Raw Count Last Packet,"11187"
Live Time,58.443012
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7974
Number of Channels,2048
Vacuum,1022
Channel#,Intensity
0,"1807"
1,"1450"
2,"971"
3,"509"
4,"197"
5,"64"
6,"11"
7,"4"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"0"
19,"0"
20,"0"
21,"4"
22,"27"
23,"92"
24,"141"
25,"176"
26,"145"
27,"166"
28,"154"
29,"148"
30,"154"
31,"147"
32,"187"
33,"153"
34,"148"
35,"135"
36,"160"
37,"142"
38,"141"
39,"128"
40,"139"
41,"152"
42,"133"
43,"151"
44,"138"
45,"149"
46,"176"
47,"150"
48,"148"
49,"143"
50,"150"
51,"120"
52,"141"
53,"143"
54,"140"
55,"130"
56,"139"
57,"141"
58,"145"
59,"144"
60,"135"
61,"151"
62,"126"
63,"142"
64,"127"
65,"104"
66,"130"
67,"139"
68,"115"
69,"143"
70,"125"
71,"171"
72,"202"
73,"178"
74,"199"
75,"226"
76,"182"
77,"185"
78,"136"
79,"121"
80,"175"
81,"212"
82,"269"
83,"479"
84,"651"
85,"802"
86,"924"
87,"871"
88,"692"
89,"556"
90,"413"
91,"273"
92,"199"
93,"168"
94,"138"
95,"127"
96,"159"
97,"130"
98,"126"
99,"125"
100,"130"
101,"136"
102,"129"
103,"129"
104,"122"
105,"130"
106,"110"
107,"114"
108,"119"
109,"140"
110,"146"
111,"170"
112,"205"
113,"228"
114,"244"
115,"243"
116,"233"
117,"242"
118,"207"
119,"171"
120,"196"
121,"183"
122,"175"
123,"200"
124,"191"
125,"209"
126,"300"
127,"354"
128,"501"
129,"752"
130,"1060"
131,"1402"
132,"1694"
133,"1899"
134,"2070"
135,"1807"
136,"1602"
137,"1465"
138,"1355"
139,"1342"
140,"1364"
141,"1401"
142,"1544"
143,"1554"
144,"1708"
145,"1821"
146,"1832"
147,"1713"
148,"1560"
149,"1324"
150,"1016"
151,"694"
152,"463"
153,"377"
154,"329"
155,"297"
156,"354"
157,"360"
158,"430"
159,"546"
160,"732"
161,"948"
162,"1223"
163,"1464"
164,"1729"
165,"1603"
166,"1445"
167,"1134"
168,"867"
169,"543"
170,"382"
171,"251"
172,"213"
173,"180"
174,"271"
175,"273"
176,"333"
177,"469"
178,"511"
179,"613"
180,"776"
181,"863"
182,"1008"
183,"1008"
184,"965"
185,"873"
186,"662"
187,"505"
188,"343"
189,"277"
190,"239"
191,"191"
192,"179"
193,"201"
194,"197"
195,"223"
196,"285"
197,"291"
198,"304"
199,"334"
200,"321"
201,"331"
202,"299"
203,"248"
204,"241"
205,"226"
206,"228"
207,"227"
208,"223"
209,"216"
210,"242"
211,"236"
212,"269"
213,"242"
214,"271"
215,"238"
216,"277"
217,"289"
218,"332"
219,"396"
220,"469"
221,"546"
222,"683"
223,"753"
224,"752"
225,"698"
226,"620"
227,"516"
228,"438"
229,"427"
230,"404"
231,"351"
232,"328"
233,"349"
234,"302"
235,"308"
236,"290"
237,"319"
238,"310"
239,"367"
240,"349"
241,"389"
242,"400"
243,"452"
244,"405"
245,"436"
246,"429"
247,"378"
248,"375"
249,"356"
250,"345"
251,"317"
252,"331"
253,"316"
254,"370"
255,"308"
256,"305"
257,"308"
258,"304"
259,"297"
260,"342"
261,"338"
262,"342"
263,"345"
264,"356"
265,"340"
266,"340"
267,"389"
268,"371"
269,"358"
270,"380"
271,"380"
272,"373"
273,"376"
274,"383"
275,"413"
276,"381"
277,"388"
278,"401"
279,"397"
280,"411"
281,"400"
282,"407"
283,"470"
284,"449"
285,"405"
286,"451"
287,"460"
288,"476"
289,"478"
290,"502"
291,"487"
292,"458"
293,"518"
294,"546"
295,"478"
296,"485"
297,"431"
298,"429"
299,"478"
300,"465"
301,"416"
302,"439"
303,"458"
304,"487"
305,"436"
306,"572"
307,"597"
308,"815"
309,"1119"
310,"1702"
311,"2611"
312,"4210"
313,"6277"
314,"8564"
315,"11315"
316,"13576"
317,"14842"
318,"14826"
319,"13978"
320,"11755"
321,"8951"
322,"6536"
323,"4518"
324,"2726"
325,"1696"
326,"1090"
327,"745"
328,"553"
329,"484"
330,"478"
331,"453"
332,"464"
333,"504"
