Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 1phi 2"
Duration Time,60.906
Ambient Temperature,"99.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"873218"
Raw Accumulated Counts,"909457"
Valid Count Last Packet,"13560"
Raw Count Last Packet,"14175"
Live Time,58.769974
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.795
Number of Channels,2048
Vacuum,768
Channel#,Intensity
0,"1778"
1,"1470"
2,"979"
3,"538"
4,"212"
5,"80"
6,"25"
7,"7"
8,"2"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"6"
22,"35"
23,"106"
24,"182"
25,"194"
26,"217"
27,"215"
28,"198"
29,"203"
30,"175"
31,"203"
32,"193"
33,"189"
34,"186"
35,"175"
36,"165"
37,"170"
38,"181"
39,"201"
40,"156"
41,"168"
42,"190"
43,"171"
44,"173"
45,"179"
46,"195"
47,"194"
48,"177"
49,"179"
50,"207"
51,"195"
52,"166"
53,"170"
54,"199"
55,"180"
56,"172"
57,"179"
58,"137"
59,"152"
60,"191"
61,"166"
62,"156"
63,"160"
64,"141"
65,"146"
66,"180"
67,"142"
68,"157"
69,"186"
70,"205"
71,"191"
72,"222"
73,"259"
74,"265"
75,"286"
76,"237"
77,"254"
78,"191"
79,"232"
80,"233"
81,"314"
82,"537"
83,"877"
84,"1259"
85,"1518"
86,"1666"
87,"1657"
88,"1296"
89,"1011"
90,"645"
91,"473"
92,"315"
93,"213"
94,"173"
95,"162"
96,"145"
97,"165"
98,"154"
99,"139"
100,"165"
101,"138"
102,"159"
103,"115"
104,"130"
105,"138"
106,"155"
107,"103"
108,"148"
109,"152"
110,"171"
111,"172"
112,"205"
113,"205"
114,"239"
115,"247"
116,"269"
117,"225"
118,"221"
119,"227"
120,"190"
121,"211"
122,"208"
123,"214"
124,"239"
125,"254"
126,"306"
127,"382"
128,"542"
129,"739"
130,"1123"
131,"1413"
132,"1770"
133,"2034"
134,"2049"
135,"1923"
136,"1684"
137,"1516"
138,"1440"
139,"1327"
140,"1372"
141,"1489"
142,"1447"
143,"1509"
144,"1682"
145,"1798"
146,"1796"
147,"1758"
148,"1554"
149,"1325"
150,"955"
151,"645"
152,"487"
153,"360"
154,"312"
155,"341"
156,"366"
157,"380"
158,"521"
159,"712"
160,"1001"
161,"1423"
162,"1892"
163,"2326"
164,"2619"
165,"2463"
166,"2326"
167,"1765"
168,"1192"
169,"842"
170,"524"
171,"343"
172,"248"
173,"273"
174,"318"
175,"373"
176,"443"
177,"647"
178,"812"
179,"889"
180,"1046"
181,"1209"
182,"1252"
183,"1348"
184,"1250"
185,"1080"
186,"855"
187,"623"
188,"453"
189,"345"
190,"265"
191,"240"
192,"210"
193,"235"
194,"280"
195,"303"
196,"294"
197,"350"
198,"359"
199,"391"
200,"397"
201,"356"
202,"331"
203,"300"
204,"247"
205,"234"
206,"235"
207,"206"
208,"192"
209,"241"
210,"223"
211,"224"
212,"236"
213,"233"
214,"259"
215,"267"
216,"280"
217,"294"
218,"375"
219,"448"
220,"588"
221,"667"
222,"788"
223,"808"
224,"813"
225,"718"
226,"641"
227,"573"
228,"499"
229,"424"
230,"387"
231,"332"
232,"323"
233,"308"
234,"347"
235,"302"
236,"311"
237,"331"
238,"331"
239,"368"
