Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 -1phi 3"
Duration Time,60.099
Ambient Temperature,"98.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"650109"
Raw Accumulated Counts,"672578"
Valid Count Last Packet,"10092"
Raw Count Last Packet,"10451"
Live Time,58.551025
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7919
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1748"
1,"1520"
2,"998"
3,"518"
4,"204"
5,"62"
6,"19"
7,"6"
8,"1"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"22"
23,"94"
24,"159"
25,"132"
26,"150"
27,"150"
28,"144"
29,"168"
30,"157"
31,"155"
32,"139"
33,"148"
34,"138"
35,"161"
36,"139"
37,"147"
38,"125"
39,"139"
40,"105"
41,"150"
42,"139"
43,"141"
44,"132"
45,"147"
46,"166"
47,"153"
48,"153"
49,"146"
50,"134"
51,"135"
52,"151"
53,"148"
54,"143"
55,"134"
56,"127"
57,"130"
58,"144"
59,"149"
60,"154"
61,"134"
62,"128"
63,"128"
64,"124"
65,"116"
66,"117"
67,"103"
68,"117"
69,"129"
70,"124"
71,"153"
72,"139"
73,"169"
74,"146"
75,"176"
76,"161"
77,"142"
78,"130"
79,"133"
80,"165"
81,"205"
82,"329"
83,"513"
84,"665"
85,"835"
86,"991"
87,"901"
88,"773"
89,"556"
90,"379"
91,"285"
92,"201"
93,"143"
94,"149"
95,"117"
96,"143"
97,"146"
98,"106"
99,"132"
100,"139"
101,"123"
102,"108"
103,"116"
104,"121"
105,"117"
106,"104"
107,"101"
108,"108"
109,"135"
110,"125"
111,"154"
112,"144"
113,"185"
114,"190"
115,"216"
116,"219"
117,"215"
118,"211"
119,"171"
120,"171"
121,"171"
122,"209"
123,"184"
124,"196"
125,"242"
126,"273"
127,"380"
128,"507"
129,"748"
130,"1055"
131,"1371"
132,"1715"
133,"1904"
134,"1995"
135,"1911"
136,"1658"
137,"1411"
138,"1278"
139,"1354"
140,"1339"
141,"1327"
142,"1402"
143,"1483"
144,"1671"
145,"1664"
146,"1928"
147,"1767"
148,"1668"
149,"1302"
150,"960"
151,"702"
152,"468"
153,"337"
154,"305"
155,"313"
156,"341"
157,"359"
158,"440"
159,"540"
160,"726"
161,"953"
162,"1198"
163,"1431"
164,"1620"
165,"1594"
166,"1376"
167,"1055"
168,"765"
169,"535"
170,"373"
171,"229"
172,"205"
173,"194"
174,"239"
175,"278"
176,"365"
177,"465"
178,"503"
179,"584"
180,"770"
181,"868"
182,"929"
183,"991"
184,"906"
185,"757"
186,"613"
187,"497"
188,"394"
189,"238"
190,"253"
191,"177"
192,"209"
193,"196"
194,"230"
195,"222"
196,"253"
197,"287"
198,"317"
199,"316"
200,"301"
201,"310"
202,"279"
203,"227"
204,"214"
205,"216"
206,"186"
207,"217"
208,"209"
209,"171"
210,"211"
211,"220"
212,"200"
213,"205"
214,"230"
215,"257"
216,"223"
217,"261"
218,"308"
219,"373"
220,"435"
221,"527"
222,"590"
223,"683"
224,"644"
225,"591"
226,"588"
227,"479"
228,"440"
229,"378"
230,"339"
231,"332"
232,"299"
233,"325"
234,"283"
235,"340"
236,"309"
237,"320"
238,"327"
239,"355"
240,"348"
241,"416"
242,"400"
243,"370"
244,"401"
245,"420"
246,"363"
247,"368"
248,"383"
249,"355"
250,"310"
251,"329"
252,"300"
253,"287"
254,"338"
255,"294"
256,"293"
257,"336"
258,"345"
259,"300"
260,"336"
261,"290"
262,"317"
263,"306"
264,"323"
265,"330"
266,"358"
267,"354"
268,"375"
269,"325"
270,"346"
271,"351"
272,"389"
273,"388"
274,"373"
275,"359"
276,"371"
277,"428"
278,"420"
279,"453"
280,"453"
281,"455"
282,"404"
283,"434"
284,"395"
285,"399"
286,"388"
287,"400"
288,"418"
289,"414"
290,"413"
291,"470"
292,"459"
293,"476"
294,"485"
295,"434"
296,"497"
297,"457"
298,"402"
299,"443"
300,"438"
301,"454"
302,"407"
303,"444"
304,"455"
305,"474"
306,"526"
307,"563"
308,"695"
309,"961"
310,"1298"
311,"1860"
312,"3036"
313,"4482"
314,"6082"
315,"8011"
316,"9283"
317,"10372"
318,"10467"
319,"9705"
320,"8266"
321,"6320"
322,"4644"
323,"3160"
324,"2047"
325,"1299"
326,"876"
327,"617"
328,"536"
329,"486"
330,"473"
331,"426"
332,"489"
333,"415"
334,"474"
335,"460"
336,"450"
337,"464"
338,"475"
339,"505"
340,"521"
341,"555"
342,"618"
343,"656"
344,"836"
345,"1033"
346,"1289"
347,"1500"
348,"1704"
349,"1941"
350,"2038"
351,"1912"
352,"1829"
353,"1629"
354,"1376"
355,"1120"
356,"988"
357,"883"
358,"751"
359,"795"
360,"803"
361,"801"
362,"848"
363,"909"
364,"857"
365,"938"
366,"1061"
367,"1181"
368,"1214"
369,"1401"
370,"1367"
371,"1384"
372,"1257"
373,"1144"
374,"983"
375,"866"
376,"642"
377,"563"
378,"490"
379,"470"
380,"377"
381,"416"
382,"381"
383,"401"
384,"405"
385,"386"
386,"361"
387,"374"
388,"376"
389,"368"
390,"384"
391,"413"
392,"461"
393,"435"
394,"489"
395,"483"
396,"607"
397,"565"
398,"628"
399,"663"
400,"661"
401,"600"
402,"611"
403,"562"
404,"602"
405,"551"
406,"538"
407,"535"
408,"559"
409,"618"
410,"594"
411,"590"
412,"639"
413,"575"
414,"564"
415,"555"
416,"515"
417,"500"
418,"479"
419,"421"
420,"455"
421,"478"
422,"491"
423,"469"
424,"461"
425,"465"
426,"465"
427,"506"
428,"488"
429,"441"
430,"455"
431,"467"
432,"455"
433,"468"
434,"411"
435,"420"
436,"437"
437,"424"
438,"443"
439,"500"
440,"477"
441,"499"
442,"488"
443,"490"
444,"473"
445,"460"
446,"392"
447,"436"
448,"435"
449,"438"
450,"426"
451,"471"
452,"442"
453,"418"
454,"456"
455,"439"
456,"466"
457,"490"
458,"464"
459,"444"
460,"483"
461,"464"
462,"475"
463,"487"
464,"479"
465,"472"
466,"416"
467,"423"
468,"471"
469,"460"
470,"475"
471,"461"
472,"472"
473,"443"
474,"436"
475,"431"
476,"410"
477,"423"
478,"448"
479,"400"
480,"464"
481,"460"
482,"438"
483,"427"
484,"437"
485,"423"
486,"432"
487,"436"
488,"442"
489,"380"
490,"387"
491,"432"
492,"427"
493,"392"
494,"422"
495,"396"
496,"429"
497,"421"
498,"361"
499,"387"
500,"440"
501,"413"
502,"403"
503,"436"
504,"396"
505,"439"
506,"396"
507,"396"
508,"412"
