Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 3phi 1"
Duration Time,60.842
Ambient Temperature,"99.0"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"1047121"
Raw Accumulated Counts,"1097883"
Valid Count Last Packet,"16313"
Raw Count Last Packet,"17021"
Live Time,58.289982
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.792
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1774"
1,"1452"
2,"898"
3,"490"
4,"195"
5,"83"
6,"13"
7,"3"
8,"0"
9,"1"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"0"
21,"8"
22,"34"
23,"102"
24,"184"
25,"227"
26,"228"
27,"240"
28,"207"
29,"214"
30,"206"
31,"198"
32,"177"
33,"193"
34,"180"
35,"184"
36,"216"
37,"199"
38,"171"
39,"183"
40,"170"
41,"162"
42,"184"
43,"194"
44,"175"
45,"156"
46,"187"
47,"185"
48,"225"
49,"172"
50,"172"
51,"170"
52,"184"
53,"174"
54,"160"
55,"173"
56,"162"
57,"182"
58,"174"
59,"194"
60,"178"
61,"166"
62,"171"
63,"174"
64,"173"
65,"162"
66,"150"
67,"174"
68,"160"
69,"181"
70,"197"
71,"235"
72,"286"
73,"253"
74,"259"
75,"284"
76,"244"
77,"235"
78,"213"
79,"191"
80,"238"
81,"337"
82,"514"
83,"785"
84,"1167"
85,"1474"
86,"1734"
87,"1654"
88,"1374"
89,"965"
90,"673"
91,"416"
92,"301"
93,"187"
94,"201"
95,"185"
96,"183"
97,"172"
98,"158"
99,"192"
100,"174"
101,"167"
102,"133"
103,"145"
104,"110"
105,"154"
106,"131"
107,"151"
108,"139"
109,"153"
110,"180"
111,"177"
112,"201"
113,"221"
114,"248"
115,"259"
116,"277"
117,"244"
118,"220"
119,"206"
120,"226"
121,"191"
122,"213"
123,"221"
124,"224"
125,"256"
126,"306"
127,"409"
128,"533"
129,"740"
130,"992"
131,"1425"
132,"1675"
133,"1936"
134,"2065"
135,"1926"
136,"1686"
137,"1438"
138,"1402"
139,"1297"
140,"1403"
141,"1505"
142,"1513"
143,"1576"
144,"1581"
145,"1749"
146,"1726"
147,"1736"
148,"1496"
149,"1280"
150,"1022"
151,"733"
152,"489"
153,"396"
154,"367"
155,"337"
156,"389"
157,"429"
158,"576"
159,"709"
160,"1063"
161,"1542"
162,"2017"
163,"2460"
164,"2663"
165,"2769"
166,"2435"
167,"1872"
168,"1309"
169,"891"
170,"567"
171,"401"
172,"320"
173,"293"
174,"349"
175,"462"
176,"542"
177,"655"
178,"873"
179,"1076"
180,"1275"
181,"1525"
182,"1673"
183,"1727"
184,"1632"
185,"1407"
186,"1110"
187,"719"
188,"578"
189,"383"
190,"276"
191,"256"
192,"231"
193,"235"
194,"285"
195,"274"
196,"345"
197,"364"
198,"471"
199,"492"
200,"443"
201,"417"
202,"376"
203,"315"
204,"307"
205,"248"
206,"278"
207,"258"
208,"247"
209,"234"
210,"239"
211,"246"
212,"276"
213,"261"
214,"281"
215,"262"
216,"334"
217,"365"
218,"520"
219,"618"
220,"826"
221,"1077"
222,"1205"
223,"1371"
224,"1451"
225,"1292"
226,"1109"
227,"939"
228,"741"
229,"633"
230,"534"
231,"484"
232,"444"
233,"450"
234,"393"
235,"426"
236,"368"
237,"410"
238,"409"
239,"487"
240,"468"
241,"526"
242,"534"
243,"546"
244,"629"
245,"633"
246,"567"
247,"563"
248,"490"
249,"490"
250,"446"
251,"405"
252,"388"
253,"412"
254,"380"
255,"415"
256,"413"
257,"371"
258,"383"
259,"424"
260,"411"
261,"391"
262,"379"
263,"425"
264,"412"
265,"436"
266,"479"
267,"509"
268,"494"
269,"512"
270,"488"
271,"457"
272,"495"
273,"486"
274,"454"
275,"476"
276,"498"
277,"505"
278,"460"
279,"467"
280,"470"
281,"472"
282,"501"
283,"479"
284,"518"
285,"505"
286,"551"
287,"598"
288,"617"
289,"693"
290,"745"
291,"845"
292,"891"
293,"898"
294,"879"
295,"807"
296,"709"
297,"690"
298,"642"
299,"588"
300,"598"
301,"629"
302,"589"
303,"641"
304,"669"
305,"760"
306,"845"
307,"956"
308,"1291"
309,"2141"
310,"3430"
311,"5758"
312,"9239"
313,"14091"
314,"19996"
315,"25914"
316,"31449"
317,"35087"
318,"35115"
319,"32426"
320,"27482"
321,"21316"
322,"15185"
323,"10000"
324,"6284"
325,"3576"
326,"2099"
327,"1230"
328,"896"
329,"665"
330,"620"
331,"599"
332,"582"
333,"592"
334,"600"
335,"621"
336,"614"
337,"648"
338,"682"
339,"749"
340,"758"
341,"946"
342,"1084"
343,"1357"
344,"1843"
345,"2458"
346,"3276"
347,"4132"
348,"5017"
349,"5740"
350,"5815"
351,"5778"
352,"5144"
353,"4390"
354,"3340"
355,"2668"
356,"1968"
357,"1465"
358,"1129"
359,"983"
360,"926"
361,"940"
362,"954"
363,"913"
364,"1010"
365,"1095"
366,"1108"
367,"1311"
368,"1345"
369,"1384"
370,"1441"
371,"1452"
372,"1342"
373,"1277"
374,"1042"
375,"923"
376,"769"
377,"678"
378,"557"
379,"558"
380,"510"
381,"508"
382,"481"
383,"494"
384,"466"
385,"479"
386,"473"
387,"447"
388,"487"
389,"524"
390,"494"
391,"518"
392,"504"
393,"532"
394,"622"
395,"623"
396,"661"
397,"750"
398,"732"
399,"741"
400,"814"
401,"736"
402,"727"
403,"706"
404,"630"
405,"623"
406,"655"
407,"657"
408,"619"
409,"625"
410,"616"
411,"677"
412,"586"
