Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 3phi 6"
Duration Time,60.842
Ambient Temperature,"99.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1051061"
Raw Accumulated Counts,"1101887"
Valid Count Last Packet,"16097"
Raw Count Last Packet,"16884"
Live Time,58.262989
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7944
Number of Channels,2048
Vacuum,770
Channel#,Intensity
0,"1738"
1,"1464"
2,"956"
3,"507"
4,"207"
5,"67"
6,"19"
7,"4"
8,"2"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"39"
23,"133"
24,"228"
25,"210"
26,"234"
27,"224"
28,"191"
29,"198"
30,"205"
31,"194"
32,"186"
33,"188"
34,"200"
35,"195"
36,"170"
37,"186"
38,"178"
39,"171"
40,"195"
41,"166"
42,"177"
43,"155"
44,"177"
45,"197"
46,"186"
47,"216"
48,"159"
49,"194"
50,"185"
51,"164"
52,"167"
53,"179"
54,"169"
55,"174"
56,"162"
57,"167"
58,"181"
59,"162"
60,"190"
61,"145"
62,"178"
63,"166"
64,"171"
65,"147"
66,"150"
67,"147"
68,"164"
69,"183"
70,"191"
71,"226"
72,"257"
73,"287"
74,"303"
75,"295"
76,"252"
77,"213"
78,"229"
79,"211"
80,"272"
81,"348"
82,"576"
83,"954"
84,"1351"
85,"1670"
86,"1932"
87,"1809"
88,"1457"
89,"1054"
90,"730"
91,"447"
92,"290"
93,"253"
94,"188"
95,"155"
96,"148"
97,"140"
98,"156"
99,"182"
100,"148"
101,"164"
102,"160"
103,"146"
104,"147"
105,"128"
106,"131"
107,"129"
108,"144"
109,"147"
110,"193"
111,"174"
112,"238"
113,"216"
114,"265"
115,"253"
116,"256"
117,"250"
118,"228"
119,"223"
120,"197"
121,"207"
122,"183"
123,"219"
124,"230"
125,"237"
126,"306"
127,"384"
128,"493"
129,"730"
130,"1062"
131,"1398"
132,"1731"
133,"1902"
134,"1932"
135,"1926"
136,"1647"
137,"1471"
138,"1314"
139,"1364"
140,"1418"
141,"1462"
142,"1527"
143,"1519"
144,"1738"
145,"1673"
146,"1815"
147,"1742"
148,"1584"
149,"1293"
150,"1022"
151,"655"
152,"440"
153,"385"
154,"360"
155,"362"
156,"371"
157,"463"
158,"538"
159,"755"
160,"1054"
161,"1546"
162,"2097"
163,"2585"
164,"2880"
165,"2873"
166,"2481"
167,"1908"
168,"1428"
169,"901"
170,"563"
171,"358"
172,"290"
173,"302"
174,"393"
175,"419"
176,"556"
177,"709"
178,"906"
179,"1072"
180,"1328"
181,"1472"
182,"1752"
183,"1821"
184,"1754"
185,"1474"
186,"1089"
187,"772"
188,"593"
189,"403"
190,"299"
191,"261"
192,"235"
193,"254"
194,"298"
195,"334"
196,"384"
197,"372"
198,"454"
199,"459"
200,"427"
201,"438"
202,"375"
203,"366"
204,"318"
205,"274"
206,"261"
207,"259"
208,"259"
209,"237"
210,"247"
211,"252"
212,"257"
213,"258"
214,"278"
215,"292"
216,"288"
217,"389"
218,"460"
219,"618"
220,"737"
221,"988"
222,"1180"
223,"1284"
224,"1311"
225,"1260"
226,"1038"
227,"861"
228,"708"
229,"606"
230,"504"
231,"423"
232,"437"
233,"404"
234,"405"
235,"355"
236,"377"
237,"386"
238,"378"
239,"428"
240,"464"
241,"488"
242,"560"
243,"570"
244,"591"
245,"579"
246,"558"
247,"531"
248,"517"
249,"469"
250,"440"
251,"433"
252,"374"
253,"437"
254,"387"
255,"414"
256,"419"
257,"395"
258,"444"
259,"434"
260,"420"
261,"479"
262,"467"
263,"435"
264,"484"
265,"456"
266,"439"
267,"464"
268,"474"
269,"490"
270,"514"
271,"458"
272,"508"
273,"421"
274,"463"
275,"463"
276,"461"
277,"443"
278,"473"
279,"464"
280,"459"
281,"455"
282,"441"
283,"511"
284,"485"
285,"513"
286,"583"
287,"537"
288,"579"
289,"679"
290,"709"
291,"839"
292,"880"
293,"860"
294,"828"
295,"789"
296,"726"
297,"666"
298,"659"
299,"610"
300,"622"
301,"608"
302,"627"
303,"667"
304,"690"
305,"668"
306,"786"
307,"971"
308,"1324"
309,"2056"
310,"3272"
311,"5442"
312,"8741"
313,"13173"
314,"18820"
315,"24624"
316,"29926"
317,"32684"
318,"33230"
319,"30732"
320,"25997"
321,"20470"
322,"14587"
323,"9583"
324,"5980"
325,"3593"
326,"2091"
327,"1186"
328,"850"
329,"698"
330,"635"
331,"634"
332,"592"
333,"658"
334,"578"
335,"581"
336,"643"
337,"634"
338,"678"
339,"753"
340,"791"
341,"941"
342,"1082"
343,"1372"
344,"1855"
345,"2395"
346,"3235"
347,"4040"
348,"4767"
349,"5337"
350,"5690"
351,"5267"
352,"4990"
353,"4167"
354,"3266"
355,"2492"
356,"1847"
357,"1492"
358,"1145"
359,"1011"
360,"990"
361,"921"
362,"1013"
363,"969"
364,"972"
365,"1072"
366,"1119"
367,"1294"
368,"1424"
369,"1586"
370,"1561"
371,"1551"
372,"1521"
373,"1236"
374,"1207"
375,"1025"
376,"860"
377,"693"
378,"614"
379,"570"
380,"577"
381,"545"
382,"478"
383,"505"
384,"463"
385,"482"
386,"476"
387,"538"
388,"481"
389,"508"
390,"537"
391,"553"
392,"556"
393,"611"
394,"562"
395,"650"
396,"694"
397,"712"
398,"698"
399,"752"
400,"765"
401,"755"
402,"729"
403,"706"
404,"705"
405,"701"
406,"628"
407,"609"
408,"691"
409,"679"
410,"698"
411,"640"
412,"658"
413,"680"
414,"608"
415,"570"
416,"544"
417,"562"
418,"564"
419,"520"
420,"569"
421,"552"
422,"558"
423,"595"
424,"549"
425,"581"
426,"629"
427,"581"
428,"582"
429,"605"
430,"616"
431,"639"
432,"625"
433,"621"
434,"620"
435,"591"
436,"570"
437,"577"
438,"562"
439,"591"
440,"533"
441,"601"
442,"584"
443,"586"
444,"611"
445,"580"
446,"581"
447,"546"
448,"566"
449,"608"
450,"553"
451,"552"
452,"526"
453,"632"
454,"609"
455,"607"
456,"628"
457,"569"
458,"578"
459,"627"
460,"590"
461,"641"
462,"609"
463,"619"
464,"586"
465,"638"
466,"576"
467,"605"
468,"583"
469,"559"
470,"586"
471,"577"
472,"595"
473,"604"
474,"637"
475,"625"
476,"561"
477,"578"
478,"560"
479,"578"
480,"550"
481,"567"
482,"576"
483,"567"
484,"579"
485,"563"
486,"560"
487,"562"
488,"582"
489,"573"
490,"559"
491,"602"
492,"637"
493,"592"
494,"632"
495,"526"
496,"561"
497,"530"
498,"600"
499,"572"
500,"605"
501,"596"
502,"548"
503,"581"
504,"567"
505,"595"
506,"565"
507,"589"
508,"601"
509,"560"
510,"581"
511,"598"
512,"552"
513,"564"
514,"607"
