Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AM-0102 -1phi 4"
Duration Time,60.08
Ambient Temperature,"97.8"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"732557"
Raw Accumulated Counts,"759588"
Valid Count Last Packet,"11539"
Raw Count Last Packet,"11972"
Live Time,58.286987
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7943
Number of Channels,2048
Vacuum,767
Channel#,Intensity
0,"1785"
1,"1409"
2,"960"
3,"510"
4,"205"
5,"69"
6,"20"
7,"9"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"30"
23,"111"
24,"165"
25,"217"
26,"160"
27,"169"
28,"171"
29,"172"
30,"161"
31,"150"
32,"148"
33,"148"
34,"166"
35,"157"
36,"143"
37,"139"
38,"143"
39,"142"
40,"150"
41,"155"
42,"139"
43,"124"
44,"155"
45,"153"
46,"181"
47,"162"
48,"149"
49,"150"
50,"151"
51,"118"
52,"145"
53,"123"
54,"128"
55,"124"
56,"142"
57,"159"
58,"142"
59,"123"
60,"122"
61,"177"
62,"151"
63,"157"
64,"137"
65,"124"
66,"117"
67,"135"
68,"111"
69,"106"
70,"155"
71,"172"
72,"192"
73,"194"
74,"188"
75,"163"
76,"160"
77,"151"
78,"166"
79,"147"
80,"182"
81,"216"
82,"344"
83,"487"
84,"705"
85,"893"
86,"1001"
87,"935"
88,"833"
89,"631"
90,"447"
91,"299"
92,"171"
93,"156"
94,"156"
95,"147"
96,"125"
97,"104"
98,"117"
99,"115"
100,"135"
101,"126"
102,"128"
103,"120"
104,"118"
105,"138"
106,"111"
107,"104"
108,"125"
109,"123"
110,"154"
111,"177"
112,"185"
113,"206"
114,"210"
115,"235"
116,"236"
117,"201"
118,"193"
119,"194"
120,"197"
121,"190"
122,"187"
123,"207"
124,"215"
125,"234"
126,"265"
127,"377"
128,"513"
129,"744"
130,"1021"
131,"1307"
132,"1673"
133,"1940"
134,"1972"
135,"1922"
136,"1639"
137,"1382"
138,"1346"
139,"1305"
140,"1474"
141,"1342"
142,"1533"
143,"1569"
144,"1644"
145,"1771"
146,"1821"
147,"1792"
148,"1576"
149,"1292"
150,"981"
151,"681"
152,"470"
153,"369"
154,"308"
155,"313"
156,"326"
157,"360"
158,"429"
159,"465"
160,"598"
161,"725"
162,"904"
163,"1068"
164,"1147"
165,"1197"
166,"1045"
167,"818"
168,"573"
169,"450"
170,"317"
171,"211"
172,"188"
173,"186"
174,"215"
175,"252"
176,"301"
177,"412"
178,"522"
179,"599"
180,"720"
181,"868"
182,"987"
183,"1051"
184,"993"
185,"879"
186,"707"
187,"511"
188,"383"
189,"306"
190,"245"
191,"172"
192,"185"
193,"191"
194,"230"
195,"252"
196,"281"
197,"281"
198,"331"
199,"339"
200,"324"
201,"314"
202,"296"
203,"274"
204,"299"
205,"236"
206,"249"
207,"237"
208,"233"
209,"230"
210,"218"
211,"238"
212,"232"
213,"230"
214,"225"
215,"254"
216,"271"
217,"302"
218,"327"
219,"400"
220,"503"
221,"561"
222,"630"
223,"684"
224,"731"
225,"718"
226,"618"
227,"532"
228,"477"
229,"410"
230,"352"
231,"363"
232,"297"
233,"349"
234,"284"
235,"321"
236,"341"
237,"318"
238,"326"
239,"382"
240,"365"
241,"382"
242,"403"
243,"408"
244,"423"
245,"435"
246,"398"
247,"409"
248,"394"
249,"362"
250,"347"
251,"339"
252,"331"
253,"310"
254,"328"
255,"339"
256,"367"
257,"338"
258,"353"
259,"344"
260,"369"
261,"367"
262,"364"
263,"376"
264,"364"
265,"367"
266,"403"
267,"436"
268,"391"
269,"396"
270,"403"
271,"400"
272,"419"
273,"401"
274,"360"
275,"410"
276,"414"
