Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 -1phi 5"
Duration Time,60.907
Ambient Temperature,"92.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"953635"
Raw Accumulated Counts,"996348"
Valid Count Last Packet,"14649"
Raw Count Last Packet,"15328"
Live Time,58.598011
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8021
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1784"
1,"1444"
2,"976"
3,"506"
4,"212"
5,"69"
6,"13"
7,"9"
8,"2"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"29"
23,"129"
24,"183"
25,"180"
26,"203"
27,"171"
28,"182"
29,"164"
30,"158"
31,"162"
32,"171"
33,"162"
34,"162"
35,"202"
36,"182"
37,"165"
38,"152"
39,"156"
40,"169"
41,"151"
42,"157"
43,"142"
44,"165"
45,"164"
46,"155"
47,"125"
48,"182"
49,"153"
50,"151"
51,"142"
52,"169"
53,"156"
54,"160"
55,"158"
56,"185"
57,"167"
58,"153"
59,"149"
60,"142"
61,"175"
62,"149"
63,"125"
64,"133"
65,"128"
66,"162"
67,"123"
68,"162"
69,"148"
70,"143"
71,"200"
72,"226"
73,"231"
74,"256"
75,"232"
76,"210"
77,"195"
78,"189"
79,"180"
80,"196"
81,"253"
82,"460"
83,"792"
84,"1000"
85,"1200"
86,"1337"
87,"1301"
88,"1088"
89,"808"
90,"573"
91,"366"
92,"249"
93,"205"
94,"141"
95,"150"
96,"141"
97,"134"
98,"150"
99,"133"
100,"161"
101,"145"
102,"132"
103,"146"
104,"123"
105,"130"
106,"133"
107,"123"
108,"155"
109,"137"
110,"170"
111,"170"
112,"215"
113,"235"
114,"262"
115,"231"
116,"240"
117,"232"
118,"231"
119,"231"
120,"211"
121,"212"
122,"192"
123,"229"
124,"235"
125,"257"
126,"332"
127,"396"
128,"555"
129,"762"
130,"1105"
131,"1460"
132,"1717"
133,"1988"
134,"1982"
135,"1897"
136,"1695"
137,"1440"
138,"1349"
139,"1306"
140,"1393"
141,"1458"
142,"1460"
143,"1586"
144,"1628"
145,"1862"
146,"1882"
147,"1782"
148,"1620"
149,"1244"
150,"988"
151,"653"
152,"499"
153,"419"
154,"317"
155,"298"
156,"375"
157,"414"
158,"578"
159,"643"
160,"904"
161,"1266"
162,"1658"
163,"1987"
164,"2239"
165,"2212"
166,"1879"
167,"1485"
168,"1103"
169,"702"
170,"399"
171,"279"
172,"255"
173,"267"
174,"307"
175,"369"
176,"440"
177,"552"
178,"596"
179,"613"
180,"671"
181,"744"
182,"742"
183,"751"
184,"671"
185,"579"
186,"475"
187,"406"
188,"283"
189,"254"
190,"225"
191,"214"
192,"204"
193,"226"
194,"209"
195,"233"
196,"276"
197,"269"
198,"306"
199,"273"
200,"290"
201,"245"
202,"242"
203,"282"
204,"242"
205,"227"
206,"227"
207,"255"
208,"258"
209,"247"
210,"238"
211,"243"
212,"251"
213,"258"
214,"284"
215,"310"
216,"333"
217,"431"
218,"506"
219,"684"
220,"923"
221,"1155"
222,"1372"
223,"1536"
224,"1535"
225,"1426"
226,"1277"
227,"1009"
228,"788"
229,"665"
230,"638"
231,"530"
232,"466"
233,"413"
234,"384"
235,"395"
236,"396"
237,"358"
238,"405"
239,"426"
240,"457"
241,"518"
242,"574"
243,"622"
244,"576"
245,"611"
246,"650"
247,"554"
248,"537"
249,"500"
250,"433"
251,"392"
252,"402"
253,"412"
254,"372"
255,"377"
256,"367"
257,"343"
258,"387"
259,"418"
260,"374"
261,"398"
262,"431"
263,"421"
264,"430"
265,"454"
266,"448"
267,"479"
268,"451"
269,"484"
270,"437"
271,"435"
272,"455"
273,"478"
274,"514"
275,"441"
276,"459"
277,"446"
278,"437"
279,"483"
280,"456"
281,"482"
282,"454"
283,"496"
284,"486"
285,"508"
286,"530"
287,"568"
288,"574"
289,"632"
290,"663"
291,"734"
292,"742"
293,"738"
294,"728"
295,"679"
296,"686"
297,"606"
298,"605"
299,"548"
300,"557"
301,"608"
302,"614"
303,"625"
304,"664"
305,"731"
306,"828"
307,"1012"
308,"1361"
309,"2392"
310,"3826"
311,"6503"
312,"10484"
313,"15721"
314,"22519"
315,"28708"
316,"34635"
317,"37450"
318,"37178"
319,"33630"
320,"28514"
321,"21862"
322,"15403"
323,"10017"
324,"5891"
325,"3473"
326,"1982"
327,"1234"
328,"806"
329,"660"
330,"591"
331,"531"
332,"569"
333,"569"
334,"561"
335,"564"
336,"594"
337,"649"
338,"626"
339,"729"
340,"818"
341,"936"
342,"1126"
343,"1535"
344,"1971"
345,"2812"
346,"3697"
347,"4616"
348,"5434"
349,"6170"
350,"6330"
351,"5932"
352,"5395"
353,"4445"
354,"3520"
355,"2570"
356,"1974"
357,"1407"
358,"1073"
359,"902"
360,"819"
361,"876"
362,"889"
363,"924"
364,"1027"
365,"992"
366,"1110"
367,"1271"
368,"1333"
369,"1479"
370,"1400"
371,"1402"
372,"1293"
373,"1167"
374,"1001"
375,"835"
376,"750"
377,"610"
378,"518"
379,"454"
380,"482"
381,"451"
382,"440"
383,"410"
384,"435"
385,"425"
386,"436"
387,"417"
388,"449"
389,"487"
390,"443"
391,"483"
392,"496"
393,"516"
394,"582"
395,"601"
396,"625"
397,"687"
398,"709"
399,"723"
400,"653"
401,"641"
402,"627"
403,"611"
404,"540"
405,"558"
406,"519"
407,"496"
408,"571"
409,"508"
410,"530"
411,"539"
412,"490"
413,"527"
414,"458"
415,"486"
416,"459"
417,"435"
418,"444"
419,"453"
420,"452"
421,"423"
422,"466"
423,"517"
424,"519"
425,"530"
426,"577"
427,"627"
428,"600"
429,"616"
430,"570"
431,"550"
432,"531"
433,"514"
434,"526"
435,"485"
436,"444"
437,"485"
438,"425"
439,"452"
440,"469"
441,"456"
442,"469"
443,"455"
444,"479"
445,"468"
446,"447"
447,"470"
448,"435"
449,"423"
450,"469"
451,"458"
452,"525"
453,"495"
454,"470"
455,"471"
456,"472"
457,"454"
458,"507"
459,"499"
460,"493"
461,"520"
462,"455"
463,"468"
464,"478"
465,"439"
466,"477"
467,"450"
468,"489"
469,"481"
470,"512"
471,"469"
472,"475"
473,"480"
474,"475"
475,"459"
476,"498"
477,"503"
478,"467"
479,"435"
480,"464"
481,"511"
482,"467"
483,"469"
484,"458"
485,"442"
486,"435"
487,"439"
488,"431"
489,"438"
490,"460"
491,"447"
492,"455"
493,"431"
494,"410"
495,"459"
496,"456"
497,"436"
498,"459"
499,"429"
500,"429"
501,"437"
502,"459"
503,"444"
504,"419"
505,"397"
506,"433"
507,"429"
508,"426"
509,"423"
510,"461"
511,"451"
512,"408"
513,"471"
514,"450"
515,"405"
516,"445"
517,"479"
518,"485"
519,"512"
520,"428"
521,"465"
522,"516"
523,"502"
524,"479"
525,"461"
526,"456"
527,"473"
528,"432"
529,"432"
530,"436"
531,"436"
532,"429"
533,"446"
534,"410"
535,"450"
536,"437"
537,"400"
538,"419"
539,"458"
540,"452"
541,"438"
542,"397"
543,"409"
544,"444"
545,"464"
546,"392"
547,"413"
548,"416"
549,"408"
550,"451"
551,"459"
552,"423"
553,"419"
554,"391"
555,"394"
556,"413"
557,"426"
558,"423"
559,"371"
560,"466"
561,"407"
562,"419"
563,"411"
564,"390"
565,"433"
566,"423"
567,"399"
568,"428"
569,"399"
570,"432"
571,"418"
572,"381"
573,"415"
574,"413"
575,"392"
576,"428"
577,"422"
578,"396"
579,"403"
580,"431"
581,"394"
582,"421"
583,"385"
584,"439"
585,"408"
586,"392"
587,"425"
588,"386"
589,"402"
590,"390"
591,"430"
592,"389"
593,"428"
594,"409"
595,"448"
596,"426"
597,"390"
598,"389"
599,"398"
600,"406"
601,"397"
602,"441"
603,"396"
604,"418"
605,"429"
606,"413"
607,"382"
608,"427"
609,"432"
610,"406"
611,"408"
612,"418"
613,"414"
614,"398"
615,"406"
616,"444"
617,"406"
618,"399"
619,"407"
620,"438"
621,"428"
622,"416"
623,"450"
624,"419"
625,"475"
626,"466"
627,"420"
628,"407"
629,"440"
630,"426"
631,"435"
632,"406"
633,"400"
634,"416"
635,"438"
636,"437"
637,"441"
638,"397"
639,"406"
640,"413"
641,"432"
642,"427"
643,"429"
644,"398"
645,"398"
646,"422"
647,"419"
648,"401"
649,"381"
650,"411"
651,"426"
652,"410"
653,"439"
654,"463"
655,"486"
656,"482"
657,"532"
658,"532"
659,"596"
660,"616"
661,"603"
662,"673"
663,"661"
664,"694"
665,"663"
666,"631"
667,"610"
668,"558"
669,"569"
670,"519"
671,"495"
672,"441"
673,"427"
674,"424"
675,"422"
676,"416"
677,"441"
678,"420"
679,"412"
680,"392"
681,"367"
682,"414"
683,"437"
684,"390"
685,"375"
686,"391"
687,"396"
688,"381"
689,"373"
690,"398"
691,"437"
692,"406"
693,"433"
694,"434"
695,"437"
696,"506"
697,"469"
698,"486"
699,"486"
700,"563"
701,"504"
702,"513"
703,"566"
704,"523"
705,"476"
706,"484"
707,"445"
708,"437"
709,"442"
710,"384"
711,"407"
712,"416"
713,"382"
714,"386"
715,"346"
716,"355"
717,"374"
718,"374"
719,"356"
720,"387"
721,"346"
722,"380"
723,"348"
724,"388"
725,"390"
726,"382"
727,"383"
728,"405"
729,"366"
730,"375"
731,"360"
732,"377"
733,"380"
734,"407"
735,"368"
736,"382"
737,"413"
738,"394"
739,"422"
740,"440"
741,"408"
742,"427"
743,"428"
744,"430"
745,"418"
746,"402"
747,"405"
748,"382"
749,"356"
750,"402"
751,"372"
752,"361"
753,"378"
754,"369"
755,"363"
756,"362"
757,"333"
758,"339"
759,"344"
760,"368"
761,"353"
762,"338"
763,"341"
764,"349"
765,"366"
766,"367"
767,"367"
768,"348"
769,"374"
770,"359"
771,"364"
772,"414"
773,"435"
774,"434"
775,"446"
776,"499"
777,"524"
778,"497"
779,"535"
780,"620"
781,"546"
782,"565"
783,"557"
784,"583"
785,"516"
786,"499"
787,"490"
788,"429"
789,"462"
790,"381"
791,"400"
792,"374"
793,"346"
794,"346"
795,"362"
796,"357"
797,"352"
798,"326"
799,"285"
800,"332"
801,"339"
802,"335"
803,"366"
804,"311"
805,"367"
806,"346"
807,"370"
808,"311"
809,"340"
810,"340"
811,"329"
812,"349"
813,"313"
814,"325"
815,"329"
816,"351"
817,"372"
818,"357"
819,"360"
820,"332"
821,"354"
822,"352"
823,"354"
824,"366"
825,"328"
826,"333"
827,"334"
828,"315"
829,"356"
830,"323"
831,"362"
832,"345"
833,"356"
834,"322"
835,"357"
836,"341"
837,"353"
838,"309"
839,"330"
840,"282"
841,"336"
842,"317"
843,"333"
844,"322"
845,"316"
846,"319"
847,"310"
848,"322"
849,"302"
850,"339"
851,"342"
852,"331"
853,"318"
854,"327"
855,"325"
856,"352"
857,"322"
858,"341"
859,"333"
860,"336"
861,"366"
862,"349"
863,"327"
864,"317"
865,"332"
866,"342"
867,"357"
868,"329"
869,"339"
870,"341"
871,"361"
872,"334"
873,"326"
874,"411"
875,"358"
876,"362"
877,"349"
878,"392"
879,"374"
880,"399"
881,"366"
882,"371"
883,"350"
884,"348"
885,"329"
886,"374"
887,"365"
888,"377"
889,"313"
890,"378"
891,"385"
892,"373"
893,"372"
894,"378"
895,"414"
896,"415"
897,"401"
898,"372"
899,"399"
900,"381"
901,"416"
902,"420"
903,"432"
904,"433"
905,"448"
906,"477"
907,"476"
908,"489"
909,"476"
910,"497"
911,"484"
912,"521"
913,"527"
914,"558"
915,"570"
916,"576"
917,"635"
918,"614"
919,"662"
920,"681"
921,"695"
922,"746"
923,"790"
924,"780"
925,"896"
926,"846"
927,"940"
928,"922"
929,"994"
930,"962"
931,"1010"
932,"1069"
933,"1096"
934,"1065"
935,"1101"
936,"1117"
937,"1131"
938,"1138"
939,"1094"
940,"1202"
941,"1160"
942,"1064"
943,"1099"
944,"1111"
945,"1083"
946,"1038"
947,"1057"
948,"989"
949,"967"
950,"909"
951,"864"
952,"904"
953,"759"
954,"772"
955,"798"
956,"720"
957,"698"
958,"703"
959,"703"
960,"608"
961,"589"
962,"576"
963,"579"
964,"506"
965,"524"
966,"549"
967,"487"
968,"479"
969,"412"
970,"428"
971,"405"
972,"380"
973,"418"
974,"367"
975,"379"
976,"363"
977,"372"
978,"345"
979,"321"
980,"354"
981,"333"
982,"336"
983,"321"
984,"343"
985,"331"
986,"326"
987,"381"
988,"381"
989,"412"
990,"410"
991,"454"
992,"477"
993,"500"
994,"593"
995,"650"
996,"651"
997,"670"
998,"773"
999,"766"
1000,"780"
1001,"754"
1002,"772"
1003,"765"
1004,"718"
1005,"676"
1006,"655"
1007,"612"
1008,"492"
1009,"470"
1010,"445"
1011,"366"
1012,"363"
1013,"329"
1014,"311"
1015,"273"
1016,"262"
1017,"313"
1018,"309"
1019,"277"
1020,"282"
1021,"309"
1022,"281"
1023,"292"
1024,"316"
1025,"290"
1026,"269"
1027,"313"
1028,"299"
1029,"307"
1030,"317"
