Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 -1phi 1"
Duration Time,60.034
Ambient Temperature,"90.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"821139"
Raw Accumulated Counts,"854005"
Valid Count Last Packet,"12876"
Raw Count Last Packet,"13404"
Live Time,58.025997
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8036
Number of Channels,2048
Vacuum,758
Channel#,Intensity
0,"1808"
1,"1419"
2,"882"
3,"530"
4,"191"
5,"65"
6,"22"
7,"5"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"1"
16,"0"
17,"0"
18,"0"
19,"1"
20,"2"
21,"5"
22,"40"
23,"100"
24,"183"
25,"183"
26,"186"
27,"195"
28,"188"
29,"174"
30,"199"
31,"162"
32,"172"
33,"145"
34,"170"
35,"177"
36,"163"
37,"163"
38,"141"
39,"145"
40,"143"
41,"167"
42,"163"
43,"160"
44,"184"
45,"169"
46,"162"
47,"160"
48,"168"
49,"175"
50,"175"
51,"158"
52,"148"
53,"158"
54,"135"
55,"135"
56,"148"
57,"152"
58,"135"
59,"154"
60,"151"
61,"154"
62,"163"
63,"151"
64,"141"
65,"142"
66,"159"
67,"139"
68,"117"
69,"161"
70,"147"
71,"171"
72,"175"
73,"212"
74,"207"
75,"228"
76,"194"
77,"186"
78,"175"
79,"193"
80,"223"
81,"234"
82,"421"
83,"536"
84,"766"
85,"948"
86,"1010"
87,"989"
88,"809"
89,"612"
90,"452"
91,"322"
92,"230"
93,"155"
94,"149"
95,"142"
96,"134"
97,"136"
98,"144"
99,"133"
100,"134"
101,"129"
102,"133"
103,"124"
104,"107"
105,"127"
106,"141"
107,"123"
108,"144"
109,"148"
110,"169"
111,"165"
112,"174"
113,"215"
114,"211"
115,"239"
116,"244"
117,"253"
118,"212"
119,"232"
120,"199"
121,"200"
122,"194"
123,"213"
124,"230"
125,"225"
126,"322"
127,"384"
128,"539"
129,"698"
130,"1050"
131,"1397"
132,"1745"
133,"1897"
134,"1936"
135,"1839"
136,"1655"
137,"1455"
138,"1386"
139,"1380"
140,"1407"
141,"1436"
142,"1499"
143,"1541"
144,"1593"
145,"1756"
146,"1822"
147,"1848"
148,"1668"
149,"1302"
150,"963"
151,"621"
152,"500"
153,"383"
154,"340"
155,"337"
156,"343"
157,"390"
158,"539"
159,"722"
160,"901"
161,"1264"
162,"1707"
163,"2143"
164,"2264"
165,"2254"
166,"1972"
167,"1570"
168,"1089"
169,"734"
170,"456"
171,"298"
172,"269"
173,"256"
174,"320"
175,"377"
176,"495"
177,"605"
178,"729"
179,"971"
180,"1174"
181,"1396"
182,"1533"
183,"1558"
184,"1535"
185,"1234"
186,"1005"
187,"691"
188,"517"
189,"359"
190,"251"
191,"251"
192,"209"
193,"219"
194,"240"
195,"257"
196,"339"
197,"356"
198,"387"
199,"382"
200,"436"
201,"355"
202,"368"
203,"295"
204,"272"
205,"230"
206,"238"
207,"233"
208,"245"
209,"233"
210,"229"
211,"215"
212,"259"
213,"266"
214,"270"
215,"307"
216,"340"
217,"377"
218,"453"
219,"637"
220,"816"
221,"958"
222,"1145"
223,"1249"
224,"1307"
225,"1208"
226,"986"
227,"810"
228,"648"
229,"530"
230,"469"
231,"365"
232,"362"
233,"366"
234,"327"
235,"352"
236,"296"
237,"371"
238,"353"
239,"393"
240,"402"
241,"428"
242,"468"
243,"508"
244,"532"
245,"518"
246,"526"
247,"489"
248,"501"
249,"401"
250,"395"
251,"362"
252,"363"
253,"332"
254,"335"
255,"363"
256,"325"
257,"309"
258,"357"
259,"328"
260,"350"
261,"362"
262,"373"
263,"338"
264,"370"
265,"385"
266,"415"
267,"396"
268,"427"
269,"380"
270,"425"
271,"404"
272,"426"
273,"464"
274,"401"
275,"437"
276,"405"
277,"403"
278,"404"
279,"395"
280,"395"
281,"392"
282,"398"
283,"412"
284,"439"
285,"458"
286,"530"
287,"556"
288,"560"
289,"583"
290,"733"
291,"789"
292,"843"
293,"801"
294,"768"
295,"811"
296,"661"
297,"592"
298,"513"
299,"575"
300,"477"
301,"509"
302,"461"
303,"492"
304,"567"
305,"564"
306,"669"
307,"733"
308,"1066"
309,"1669"
310,"2597"
311,"4406"
312,"6988"
313,"10583"
314,"14654"
315,"18763"
316,"22375"
317,"24300"
318,"24369"
319,"22031"
320,"18300"
321,"14297"
322,"10007"
323,"6706"
324,"3959"
325,"2387"
326,"1359"
327,"913"
328,"690"
329,"570"
330,"514"
331,"503"
332,"539"
333,"523"
334,"527"
335,"552"
336,"554"
337,"572"
338,"558"
339,"629"
340,"653"
341,"798"
342,"916"
343,"1090"
344,"1473"
345,"1996"
346,"2532"
347,"3145"
348,"3595"
349,"3959"
350,"4311"
351,"3893"
352,"3595"
353,"2996"
354,"2363"
355,"1923"
356,"1434"
357,"1073"
358,"920"
359,"839"
360,"740"
361,"775"
362,"815"
363,"852"
364,"855"
365,"889"
366,"1042"
367,"1064"
368,"1221"
369,"1277"
370,"1291"
371,"1218"
372,"1130"
373,"1053"
374,"916"
375,"790"
376,"636"
377,"576"
378,"506"
379,"408"
380,"457"
381,"399"
382,"385"
383,"397"
384,"377"
385,"404"
386,"406"
387,"409"
388,"390"
389,"403"
390,"433"
391,"454"
392,"441"
393,"493"
394,"517"
395,"521"
396,"611"
397,"663"
398,"639"
399,"658"
400,"640"
401,"624"
402,"638"
403,"624"
404,"558"
405,"548"
406,"518"
407,"571"
408,"550"
409,"535"
410,"576"
411,"535"
412,"516"
413,"521"
414,"499"
415,"478"
416,"478"
417,"463"
418,"444"
419,"442"
420,"487"
421,"485"
422,"486"
423,"519"
424,"509"
425,"567"
426,"531"
427,"571"
428,"592"
429,"514"
430,"487"
431,"445"
432,"475"
433,"467"
434,"440"
435,"434"
436,"428"
437,"427"
438,"431"
439,"412"
440,"440"
441,"409"
442,"431"
443,"427"
444,"442"
445,"419"
446,"432"
447,"422"
448,"415"
449,"425"
450,"378"
451,"416"
452,"399"
453,"437"
454,"484"
455,"429"
456,"427"
457,"447"
458,"489"
459,"464"
460,"450"
461,"463"
462,"459"
463,"447"
464,"446"
465,"449"
466,"446"
467,"435"
468,"461"
469,"431"
470,"415"
471,"462"
472,"419"
473,"425"
474,"451"
475,"446"
476,"483"
477,"441"
478,"440"
479,"508"
480,"485"
481,"477"
482,"454"
483,"454"
484,"509"
485,"445"
486,"446"
487,"454"
488,"475"
489,"460"
490,"427"
491,"466"
492,"440"
493,"412"
494,"439"
495,"436"
496,"363"
497,"449"
498,"403"
499,"420"
500,"393"
501,"446"
502,"463"
503,"450"
504,"408"
505,"460"
506,"403"
507,"415"
508,"448"
509,"440"
510,"408"
511,"415"
512,"398"
513,"445"
514,"442"
515,"405"
516,"448"
517,"417"
518,"456"
519,"491"
520,"441"
521,"439"
522,"427"
523,"452"
524,"505"
525,"455"
526,"427"
527,"422"
528,"438"
529,"414"
530,"416"
531,"403"
532,"388"
533,"434"
534,"420"
535,"426"
536,"413"
537,"396"
538,"391"
539,"377"
540,"423"
541,"404"
542,"413"
543,"430"
544,"404"
545,"433"
546,"402"
547,"423"
548,"411"
549,"410"
550,"468"
551,"433"
552,"426"
553,"437"
554,"435"
555,"455"
556,"425"
557,"421"
558,"391"
559,"446"
560,"405"
561,"441"
562,"433"
563,"452"
564,"392"
565,"426"
566,"409"
567,"423"
568,"455"
569,"400"
570,"400"
571,"419"
572,"387"
573,"396"
574,"427"
575,"449"
576,"397"
577,"403"
578,"396"
579,"400"
580,"396"
581,"404"
582,"396"
583,"380"
584,"417"
585,"384"
586,"379"
587,"399"
588,"394"
589,"436"
590,"434"
591,"368"
592,"406"
593,"381"
594,"444"
595,"396"
596,"385"
597,"407"
598,"397"
599,"407"
600,"352"
601,"387"
602,"404"
603,"385"
604,"380"
605,"407"
606,"384"
607,"384"
608,"404"
609,"420"
610,"430"
611,"416"
612,"391"
613,"392"
614,"399"
615,"407"
616,"418"
617,"411"
618,"373"
619,"440"
620,"424"
621,"421"
622,"417"
623,"460"
624,"471"
625,"411"
626,"424"
627,"478"
628,"424"
629,"417"
630,"432"
631,"442"
632,"383"
633,"406"
634,"420"
635,"425"
636,"397"
637,"355"
638,"403"
639,"419"
640,"411"
641,"401"
642,"375"
643,"410"
644,"432"
645,"417"
646,"376"
647,"432"
648,"389"
649,"421"
650,"405"
651,"398"
652,"387"
653,"421"
654,"439"
655,"431"
656,"477"
657,"495"
658,"511"
659,"543"
