Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 -1phi 4"
Duration Time,60.907
Ambient Temperature,"91.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"874377"
Raw Accumulated Counts,"911017"
Valid Count Last Packet,"13431"
Raw Count Last Packet,"13964"
Live Time,58.774986
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8032
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1789"
1,"1498"
2,"948"
3,"534"
4,"227"
5,"68"
6,"13"
7,"8"
8,"0"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"1"
21,"1"
22,"41"
23,"93"
24,"183"
25,"189"
26,"169"
27,"181"
28,"199"
29,"187"
30,"173"
31,"160"
32,"169"
33,"182"
34,"166"
35,"182"
36,"144"
37,"145"
38,"157"
39,"164"
40,"134"
41,"162"
42,"134"
43,"175"
44,"149"
45,"166"
46,"176"
47,"178"
48,"181"
49,"163"
50,"163"
51,"171"
52,"156"
53,"151"
54,"151"
55,"137"
56,"157"
57,"156"
58,"167"
59,"181"
60,"153"
61,"149"
62,"163"
63,"136"
64,"149"
65,"154"
66,"145"
67,"110"
68,"134"
69,"155"
70,"153"
71,"179"
72,"175"
73,"203"
74,"194"
75,"200"
76,"197"
77,"194"
78,"177"
79,"186"
80,"220"
81,"346"
82,"570"
83,"941"
84,"1237"
85,"1583"
86,"1782"
87,"1741"
88,"1380"
89,"1017"
90,"668"
91,"403"
92,"274"
93,"204"
94,"182"
95,"155"
96,"155"
97,"142"
98,"162"
99,"161"
100,"151"
101,"161"
102,"137"
103,"136"
104,"137"
105,"128"
106,"131"
107,"137"
108,"134"
109,"134"
110,"142"
111,"160"
112,"200"
113,"230"
114,"203"
115,"237"
116,"249"
117,"221"
118,"206"
119,"197"
120,"185"
121,"184"
122,"197"
123,"199"
124,"248"
125,"256"
126,"308"
127,"383"
128,"569"
129,"750"
130,"1052"
131,"1406"
132,"1697"
133,"1849"
134,"2073"
135,"1928"
136,"1691"
137,"1582"
138,"1420"
139,"1435"
140,"1507"
141,"1575"
142,"1510"
143,"1584"
144,"1694"
145,"1753"
146,"1767"
147,"1771"
148,"1545"
149,"1290"
150,"935"
151,"690"
152,"449"
153,"339"
154,"299"
155,"286"
156,"331"
157,"363"
158,"411"
159,"432"
160,"493"
161,"637"
162,"825"
163,"838"
164,"1003"
165,"962"
166,"875"
167,"710"
168,"547"
169,"386"
170,"268"
171,"212"
172,"182"
173,"194"
174,"213"
175,"275"
176,"317"
177,"427"
178,"589"
179,"757"
180,"1060"
181,"1231"
182,"1486"
183,"1559"
184,"1450"
185,"1301"
186,"1078"
187,"802"
188,"581"
189,"445"
190,"353"
191,"272"
192,"262"
193,"234"
194,"262"
195,"330"
196,"310"
197,"341"
198,"423"
199,"417"
200,"437"
201,"352"
202,"377"
203,"309"
204,"302"
205,"284"
206,"264"
207,"268"
208,"281"
209,"252"
210,"264"
211,"261"
212,"276"
213,"282"
214,"265"
215,"256"
216,"275"
217,"324"
218,"414"
219,"564"
220,"639"
221,"912"
222,"1089"
223,"1182"
224,"1144"
225,"1138"
226,"957"
227,"826"
228,"683"
229,"545"
230,"463"
231,"407"
232,"420"
233,"347"
234,"314"
235,"294"
236,"343"
237,"322"
238,"342"
239,"309"
240,"398"
241,"382"
242,"447"
243,"483"
244,"448"
245,"458"
246,"487"
247,"429"
248,"448"
249,"361"
250,"357"
251,"353"
252,"355"
253,"365"
254,"357"
255,"337"
256,"353"
257,"365"
258,"345"
259,"366"
260,"380"
261,"363"
262,"381"
263,"383"
264,"387"
265,"424"
266,"426"
267,"431"
268,"455"
269,"473"
270,"456"
271,"418"
272,"450"
273,"438"
274,"422"
275,"400"
276,"399"
277,"425"
278,"417"
279,"475"
280,"433"
281,"441"
282,"398"
283,"397"
284,"443"
285,"421"
286,"408"
287,"509"
288,"602"
289,"606"
290,"719"
291,"784"
292,"757"
293,"772"
294,"708"
295,"692"
296,"609"
297,"622"
298,"530"
299,"543"
300,"506"
301,"506"
302,"539"
303,"572"
304,"561"
305,"594"
306,"696"
307,"839"
308,"1165"
309,"1756"
310,"2877"
311,"4716"
312,"7498"
313,"11511"
314,"15968"
315,"20459"
316,"24682"
317,"26669"
318,"26626"
319,"24049"
320,"20246"
321,"15406"
322,"11149"
323,"7061"
324,"4462"
325,"2484"
326,"1495"
327,"932"
328,"696"
329,"567"
330,"506"
331,"530"
332,"481"
333,"516"
334,"557"
335,"529"
336,"550"
337,"525"
338,"573"
339,"656"
340,"662"
341,"780"
342,"948"
343,"1239"
344,"1533"
345,"2165"
346,"2769"
347,"3412"
348,"3963"
349,"4525"
350,"4595"
351,"4468"
352,"4032"
353,"3278"
354,"2655"
355,"1961"
356,"1555"
357,"1198"
358,"1003"
359,"905"
360,"868"
361,"896"
362,"891"
363,"915"
364,"1037"
365,"1094"
366,"1159"
367,"1316"
368,"1422"
369,"1511"
370,"1604"
371,"1542"
372,"1444"
373,"1294"
374,"1146"
375,"956"
376,"736"
377,"621"
378,"507"
379,"507"
380,"458"
381,"449"
382,"442"
383,"425"
384,"418"
385,"404"
386,"409"
387,"431"
388,"451"
389,"437"
390,"440"
391,"489"
392,"523"
393,"540"
394,"557"
395,"619"
396,"703"
397,"666"
398,"732"
399,"728"
400,"705"
401,"647"
402,"632"
403,"620"
404,"545"
405,"560"
406,"513"
407,"513"
408,"489"
409,"516"
410,"519"
411,"484"
412,"493"
413,"480"
414,"473"
415,"442"
416,"464"
417,"462"
418,"403"
419,"381"
420,"437"
421,"441"
422,"415"
423,"478"
424,"478"
425,"461"
426,"483"
427,"517"
428,"523"
429,"526"
430,"492"
431,"510"
432,"507"
433,"502"
434,"449"
435,"477"
436,"453"
437,"495"
438,"515"
439,"534"
440,"537"
441,"515"
442,"569"
443,"567"
444,"571"
445,"556"
446,"568"
447,"554"
448,"499"
449,"551"
450,"540"
451,"578"
452,"565"
453,"523"
454,"483"
455,"572"
456,"570"
457,"517"
458,"487"
459,"528"
460,"535"
461,"486"
462,"491"
463,"458"
464,"478"
465,"516"
466,"454"
467,"444"
468,"464"
469,"429"
470,"444"
471,"447"
472,"450"
473,"496"
474,"421"
475,"456"
476,"458"
477,"468"
478,"470"
479,"483"
480,"468"
481,"484"
482,"498"
483,"526"
484,"513"
485,"509"
486,"535"
487,"531"
488,"571"
489,"473"
490,"466"
491,"520"
492,"461"
493,"484"
494,"466"
495,"462"
496,"492"
497,"448"
498,"432"
499,"437"
500,"439"
501,"410"
502,"458"
503,"395"
504,"438"
505,"390"
506,"397"
507,"435"
508,"477"
509,"469"
510,"463"
511,"480"
512,"417"
513,"491"
514,"470"
515,"456"
516,"459"
517,"468"
518,"468"
519,"450"
520,"521"
521,"498"
522,"526"
523,"572"
524,"560"
525,"511"
526,"534"
527,"518"
528,"517"
529,"528"
530,"475"
531,"462"
532,"462"
533,"422"
534,"472"
535,"465"
536,"440"
537,"436"
538,"414"
539,"425"
540,"478"
541,"422"
542,"430"
543,"471"
544,"438"
545,"446"
546,"464"
547,"490"
548,"454"
549,"441"
550,"439"
551,"436"
552,"491"
553,"453"
554,"425"
555,"402"
556,"449"
557,"429"
558,"438"
559,"478"
560,"443"
561,"439"
562,"473"
563,"437"
564,"474"
565,"435"
566,"460"
567,"436"
568,"434"
569,"391"
570,"442"
571,"413"
572,"434"
573,"404"
574,"475"
575,"434"
576,"438"
577,"443"
578,"453"
579,"438"
580,"406"
581,"445"
582,"428"
583,"427"
584,"423"
585,"441"
586,"439"
587,"437"
588,"475"
589,"415"
590,"428"
591,"403"
592,"429"
593,"437"
594,"420"
595,"455"
596,"442"
597,"420"
598,"420"
599,"502"
600,"456"
601,"449"
602,"406"
603,"448"
604,"429"
605,"415"
606,"499"
607,"429"
608,"442"
609,"458"
610,"396"
611,"429"
612,"424"
613,"433"
614,"419"
615,"443"
616,"434"
617,"414"
618,"451"
619,"471"
620,"473"
621,"480"
622,"445"
623,"431"
624,"466"
625,"489"
626,"471"
627,"505"
628,"488"
629,"481"
630,"511"
631,"446"
632,"439"
633,"463"
634,"430"
635,"473"
636,"466"
637,"460"
638,"446"
639,"487"
640,"457"
641,"410"
642,"481"
643,"466"
644,"469"
645,"438"
646,"418"
647,"453"
648,"430"
649,"448"
650,"454"
651,"474"
652,"426"
653,"479"
654,"413"
655,"446"
656,"469"
657,"499"
658,"505"
659,"530"
660,"510"
661,"556"
662,"571"
663,"557"
664,"561"
665,"569"
666,"524"
667,"512"
668,"535"
669,"489"
670,"512"
671,"430"
672,"436"
673,"408"
674,"406"
675,"397"
676,"405"
677,"409"
678,"415"
679,"418"
680,"429"
681,"411"
682,"436"
683,"411"
684,"422"
685,"423"
686,"440"
687,"437"
688,"421"
689,"407"
690,"459"
691,"461"
692,"423"
693,"512"
694,"511"
695,"526"
696,"633"
697,"639"
698,"735"
699,"720"
700,"726"
701,"787"
702,"743"
703,"753"
704,"748"
705,"691"
706,"641"
707,"529"
708,"573"
709,"519"
710,"479"
711,"440"
712,"435"
713,"431"
714,"409"
715,"441"
716,"361"
717,"400"
718,"374"
719,"378"
720,"386"
721,"381"
722,"424"
723,"378"
724,"379"
725,"422"
726,"392"
727,"384"
728,"392"
729,"430"
730,"407"
731,"393"
732,"384"
733,"385"
734,"395"
735,"394"
736,"400"
737,"398"
738,"425"
739,"442"
740,"391"
741,"427"
742,"464"
743,"433"
744,"447"
745,"392"
746,"397"
747,"414"
748,"429"
749,"398"
750,"369"
751,"367"
752,"368"
753,"387"
754,"373"
755,"365"
756,"415"
757,"358"
758,"359"
759,"368"
760,"368"
761,"383"
762,"348"
763,"377"
764,"389"
765,"372"
766,"377"
767,"400"
768,"374"
769,"405"
770,"379"
771,"384"
772,"431"
773,"446"
774,"439"
775,"467"
776,"524"
777,"577"
778,"520"
779,"584"
780,"625"
781,"597"
782,"653"
783,"617"
784,"617"
785,"573"
786,"565"
787,"595"
788,"478"
789,"481"
790,"435"
791,"454"
792,"428"
793,"389"
794,"372"
795,"359"
796,"388"
797,"394"
798,"362"
799,"361"
800,"389"
801,"388"
802,"354"
803,"323"
804,"352"
805,"389"
806,"434"
807,"405"
808,"358"
809,"360"
810,"379"
811,"382"
812,"354"
813,"380"
814,"373"
815,"352"
816,"363"
817,"368"
818,"352"
819,"391"
820,"362"
821,"378"
822,"348"
823,"397"
824,"363"
825,"328"
826,"373"
827,"415"
828,"384"
829,"373"
830,"402"
831,"386"
832,"379"
833,"380"
834,"355"
835,"343"
836,"359"
837,"377"
838,"378"
839,"339"
840,"362"
841,"346"
842,"366"
843,"355"
844,"335"
845,"392"
846,"352"
847,"377"
848,"363"
849,"363"
850,"358"
851,"325"
852,"366"
853,"358"
854,"369"
855,"375"
856,"372"
857,"358"
858,"377"
859,"365"
860,"361"
861,"394"
862,"401"
863,"367"
864,"364"
865,"370"
866,"383"
867,"385"
868,"422"
869,"364"
870,"403"
871,"382"
872,"386"
873,"399"
874,"381"
875,"381"
876,"396"
877,"448"
878,"425"
879,"413"
880,"404"
881,"393"
882,"404"
883,"421"
884,"418"
885,"428"
886,"429"
887,"403"
888,"429"
889,"412"
890,"427"
891,"438"
892,"449"
893,"444"
894,"401"
895,"444"
896,"480"
897,"410"
898,"472"
899,"450"
900,"466"
901,"481"
902,"478"
903,"507"
904,"494"
905,"459"
906,"457"
907,"499"
908,"519"
909,"562"
910,"569"
911,"571"
912,"594"
913,"597"
914,"601"
915,"651"
916,"650"
917,"674"
918,"733"
919,"732"
920,"695"
921,"774"
922,"851"
923,"817"
924,"889"
925,"908"
926,"922"
927,"933"
928,"1033"
929,"1051"
930,"1142"
931,"1123"
932,"1134"
933,"1140"
934,"1197"
935,"1211"
936,"1330"
937,"1297"
938,"1292"
939,"1302"
940,"1270"
941,"1274"
942,"1234"
943,"1220"
944,"1255"
945,"1201"
946,"1201"
947,"1153"
948,"1096"
949,"1045"
950,"1086"
951,"1022"
952,"999"
953,"928"
954,"900"
955,"910"
956,"856"
957,"769"
958,"785"
959,"747"
960,"766"
961,"674"
962,"620"
963,"616"
964,"608"
965,"549"
966,"529"
967,"501"
968,"490"
969,"482"
970,"506"
971,"458"
972,"453"
973,"468"
974,"389"
975,"427"
976,"380"
977,"402"
978,"448"
979,"395"
980,"347"
981,"395"
982,"371"
983,"370"
984,"408"
985,"395"
986,"378"
987,"419"
988,"427"
989,"419"
990,"492"
991,"469"
992,"486"
993,"587"
