Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 -1phi 8"
Duration Time,60.907
Ambient Temperature,"93.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"902729"
Raw Accumulated Counts,"942075"
Valid Count Last Packet,"13791"
Raw Count Last Packet,"14388"
Live Time,58.697994
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7972
Number of Channels,2048
Vacuum,514
Channel#,Intensity
0,"1769"
1,"1460"
2,"921"
3,"506"
4,"214"
5,"68"
6,"18"
7,"7"
8,"0"
9,"1"
10,"1"
11,"1"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"4"
22,"40"
23,"108"
24,"200"
25,"220"
26,"201"
27,"191"
28,"201"
29,"171"
30,"207"
31,"180"
32,"183"
33,"150"
34,"148"
35,"145"
36,"156"
37,"156"
38,"150"
39,"165"
40,"161"
41,"147"
42,"127"
43,"176"
44,"150"
45,"148"
46,"167"
47,"165"
48,"164"
49,"176"
50,"155"
51,"154"
52,"137"
53,"153"
54,"155"
55,"136"
56,"158"
57,"142"
58,"126"
59,"156"
60,"136"
61,"150"
62,"150"
63,"156"
64,"117"
65,"139"
66,"120"
67,"133"
68,"125"
69,"153"
70,"155"
71,"199"
72,"191"
73,"231"
74,"260"
75,"231"
76,"228"
77,"177"
78,"164"
79,"208"
80,"217"
81,"293"
82,"475"
83,"770"
84,"1027"
85,"1276"
86,"1459"
87,"1473"
88,"1142"
89,"866"
90,"602"
91,"365"
92,"258"
93,"176"
94,"173"
95,"143"
96,"141"
97,"146"
98,"132"
99,"138"
100,"147"
101,"141"
102,"119"
103,"143"
104,"111"
105,"121"
106,"121"
107,"139"
108,"136"
109,"156"
110,"146"
111,"184"
112,"202"
113,"229"
114,"234"
115,"217"
116,"240"
117,"207"
118,"221"
119,"201"
120,"195"
121,"206"
122,"183"
123,"221"
124,"212"
125,"256"
126,"312"
127,"414"
128,"554"
129,"760"
130,"1099"
131,"1371"
132,"1743"
133,"2003"
134,"1912"
135,"1833"
136,"1621"
137,"1453"
138,"1360"
139,"1300"
140,"1385"
141,"1364"
142,"1473"
143,"1590"
144,"1650"
145,"1822"
146,"1801"
147,"1782"
148,"1554"
149,"1374"
150,"1043"
151,"714"
152,"486"
153,"408"
154,"360"
155,"339"
