Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 3phi 0"
Duration Time,60.842
Ambient Temperature,"95.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"993314"
Raw Accumulated Counts,"1038608"
Valid Count Last Packet,"15283"
Raw Count Last Packet,"15957"
Live Time,58.447994
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7985
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1746"
1,"1523"
2,"956"
3,"537"
4,"202"
5,"58"
6,"18"
7,"4"
8,"1"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"37"
23,"136"
24,"205"
25,"187"
26,"213"
27,"192"
28,"201"
29,"206"
30,"208"
31,"187"
32,"172"
33,"165"
34,"187"
35,"191"
36,"171"
37,"153"
38,"169"
39,"197"
40,"175"
41,"157"
42,"165"
43,"182"
44,"158"
45,"176"
46,"186"
47,"173"
48,"166"
49,"181"
50,"173"
51,"166"
52,"179"
53,"191"
54,"166"
55,"167"
56,"194"
57,"157"
58,"167"
59,"179"
60,"186"
61,"191"
62,"150"
63,"153"
64,"155"
65,"144"
66,"147"
67,"136"
68,"158"
69,"169"
70,"180"
71,"212"
72,"250"
73,"287"
74,"297"
75,"260"
76,"241"
77,"230"
78,"223"
79,"204"
80,"251"
81,"332"
82,"586"
83,"956"
84,"1284"
85,"1542"
86,"1866"
87,"1692"
88,"1324"
89,"1022"
90,"727"
91,"434"
92,"308"
93,"233"
94,"192"
95,"143"
96,"182"
97,"159"
98,"169"
99,"151"
100,"185"
101,"151"
102,"140"
103,"131"
104,"138"
105,"158"
106,"127"
107,"141"
108,"142"
109,"153"
110,"164"
111,"201"
112,"205"
113,"215"
114,"254"
115,"257"
116,"262"
117,"266"
118,"228"
119,"242"
120,"187"
121,"188"
122,"224"
123,"195"
124,"248"
125,"240"
126,"305"
127,"406"
128,"563"
129,"768"
130,"1079"
131,"1407"
132,"1739"
133,"1964"
134,"2013"
135,"1855"
136,"1586"
137,"1477"
138,"1321"
139,"1342"
140,"1406"
141,"1414"
142,"1476"
143,"1582"
144,"1683"
145,"1752"
146,"1783"
147,"1736"
148,"1530"
149,"1267"
150,"920"
151,"695"
152,"506"
153,"363"
154,"334"
155,"326"
156,"348"
157,"424"
158,"504"
159,"706"
160,"1047"
161,"1428"
162,"1891"
163,"2262"
164,"2541"
165,"2384"
166,"2246"
167,"1729"
168,"1219"
169,"811"
170,"522"
171,"336"
172,"261"
173,"278"
174,"309"
175,"406"
176,"515"
177,"681"
178,"768"
179,"885"
180,"1103"
181,"1352"
182,"1416"
183,"1537"
184,"1389"
185,"1226"
186,"937"
187,"682"
188,"486"
189,"374"
190,"279"
191,"251"
192,"241"
193,"210"
194,"256"
195,"294"
196,"344"
197,"388"
198,"389"
199,"416"
200,"408"
201,"373"
202,"334"
203,"309"
204,"258"
205,"271"
206,"234"
207,"231"
208,"246"
209,"225"
210,"246"
211,"244"
212,"267"
213,"287"
214,"288"
215,"281"
216,"313"
217,"391"
218,"544"
219,"712"
220,"957"
221,"1186"
222,"1384"
223,"1561"
224,"1546"
225,"1500"
226,"1214"
227,"1095"
228,"850"
229,"667"
230,"555"
231,"517"
232,"430"
233,"470"
234,"396"
235,"386"
236,"394"
237,"391"
238,"393"
239,"423"
240,"506"
241,"556"
242,"549"
243,"617"
244,"628"
245,"653"
246,"626"
247,"614"
248,"536"
249,"439"
250,"433"
251,"464"
252,"415"
253,"405"
254,"426"
255,"418"
256,"422"
257,"404"
258,"448"
259,"488"
260,"448"
261,"454"
262,"461"
263,"453"
264,"485"
265,"463"
266,"463"
267,"478"
268,"454"
269,"459"
270,"443"
271,"471"
272,"462"
273,"442"
274,"469"
275,"451"
276,"427"
277,"437"
278,"486"
279,"475"
280,"439"
281,"479"
282,"466"
283,"464"
284,"487"
285,"511"
286,"529"
287,"589"
288,"697"
289,"699"
290,"805"
291,"830"
292,"870"
293,"875"
294,"878"
295,"794"
296,"764"
297,"649"
298,"643"
299,"580"
300,"587"
301,"608"
302,"614"
303,"640"
304,"592"
305,"618"
306,"756"
307,"874"
308,"1184"
309,"1813"
310,"2941"
311,"4975"
312,"8126"
313,"12181"
314,"17011"
315,"22251"
316,"26628"
317,"28647"
318,"28790"
319,"26286"
320,"22357"
321,"17003"
322,"12360"
323,"7969"
324,"5133"
325,"2999"
326,"1749"
327,"1063"
328,"766"
329,"651"
330,"603"
331,"626"
332,"591"
333,"585"
334,"551"
335,"605"
336,"642"
337,"614"
338,"652"
339,"728"
340,"753"
341,"809"
342,"1005"
343,"1335"
344,"1747"
345,"2207"
346,"2937"
347,"3690"
348,"4356"
349,"4807"
350,"4964"
351,"4923"
352,"4296"
353,"3687"
354,"2967"
355,"2230"
356,"1687"
357,"1397"
358,"1074"
359,"998"
360,"943"
361,"903"
362,"940"
363,"955"
364,"1015"
365,"1084"
366,"1192"
367,"1306"
368,"1452"
369,"1508"
370,"1535"
371,"1533"
372,"1375"
373,"1260"
374,"1150"
375,"929"
376,"845"
377,"676"
378,"605"
379,"524"
380,"526"
381,"489"
382,"496"
383,"505"
384,"489"
385,"498"
386,"473"
387,"492"
388,"478"
389,"529"
390,"523"
391,"552"
392,"567"
393,"607"
394,"623"
395,"686"
396,"688"
397,"754"
398,"764"
399,"717"
400,"780"
401,"799"
402,"720"
403,"716"
404,"678"
405,"656"
406,"665"
407,"686"
408,"679"
409,"629"
410,"656"
411,"648"
412,"624"
413,"610"
414,"589"
415,"555"
416,"572"
417,"573"
418,"542"
419,"525"
420,"573"
421,"565"
422,"609"
423,"584"
424,"613"
425,"657"
426,"615"
427,"659"
428,"672"
429,"663"
430,"696"
431,"629"
432,"552"
433,"573"
434,"559"
435,"561"
436,"546"
437,"585"
438,"570"
439,"564"
440,"542"
441,"568"
442,"602"
443,"555"
444,"561"
445,"551"
446,"526"
447,"577"
448,"522"
449,"559"
450,"562"
451,"544"
452,"549"
453,"579"
454,"534"
455,"580"
456,"619"
457,"555"
458,"599"
459,"564"
460,"570"
461,"573"
462,"601"
463,"568"
464,"564"
465,"603"
466,"560"
467,"610"
468,"604"
469,"566"
470,"517"
471,"551"
472,"559"
473,"607"
474,"604"
475,"598"
476,"564"
477,"587"
478,"582"
479,"623"
480,"591"
481,"606"
482,"548"
483,"548"
484,"601"
485,"623"
486,"545"
487,"564"
488,"570"
489,"566"
490,"541"
491,"592"
492,"541"
493,"529"
494,"605"
495,"559"
496,"541"
497,"542"
498,"555"
499,"557"
500,"542"
501,"583"
502,"505"
503,"570"
504,"504"
505,"524"
506,"526"
507,"578"
508,"565"
509,"568"
510,"541"
511,"577"
512,"594"
513,"558"
514,"520"
515,"604"
516,"635"
517,"594"
518,"582"
519,"617"
520,"620"
521,"605"
522,"635"
523,"622"
524,"617"
525,"631"
526,"559"
527,"670"
528,"570"
529,"548"
530,"562"
531,"592"
532,"540"
533,"530"
534,"511"
535,"537"
536,"534"
537,"537"
538,"560"
539,"537"
540,"611"
541,"534"
542,"597"
543,"534"
544,"515"
545,"539"
546,"541"
547,"527"
548,"540"
549,"544"
550,"532"
551,"538"
552,"529"
553,"549"
554,"574"
555,"534"
556,"537"
557,"533"
558,"533"
559,"556"
560,"543"
561,"562"
562,"571"
