Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 4phi 3"
Duration Time,60.252
Ambient Temperature,"99.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"515279"
Raw Accumulated Counts,"530448"
Valid Count Last Packet,"8007"
Raw Count Last Packet,"8252"
Live Time,59.035023
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7956
Number of Channels,2048
Vacuum,765
Channel#,Intensity
0,"1779"
1,"1522"
2,"977"
3,"491"
4,"225"
5,"68"
6,"19"
7,"4"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"14"
23,"69"
24,"117"
25,"129"
26,"126"
27,"118"
28,"106"
29,"102"
30,"114"
31,"111"
32,"104"
33,"100"
34,"112"
35,"99"
36,"109"
37,"117"
38,"83"
39,"108"
40,"106"
41,"96"
42,"97"
43,"106"
44,"100"
45,"102"
46,"116"
47,"126"
48,"141"
49,"101"
50,"118"
51,"102"
52,"105"
53,"96"
54,"91"
55,"97"
56,"116"
57,"109"
58,"116"
59,"127"
60,"107"
61,"94"
62,"105"
63,"86"
64,"92"
65,"91"
66,"92"
67,"96"
68,"90"
69,"82"
70,"98"
71,"114"
72,"107"
73,"101"
74,"116"
75,"108"
76,"103"
77,"79"
78,"92"
79,"77"
80,"84"
81,"131"
82,"128"
83,"139"
84,"182"
85,"230"
86,"222"
87,"236"
88,"179"
89,"159"
90,"112"
91,"112"
92,"116"
93,"92"
94,"79"
95,"109"
96,"87"
97,"84"
98,"96"
99,"103"
100,"97"
101,"87"
102,"104"
103,"97"
104,"101"
105,"97"
106,"83"
107,"127"
108,"93"
109,"106"
110,"108"
111,"148"
112,"173"
113,"171"
114,"196"
115,"200"
116,"207"
117,"189"
118,"186"
119,"153"
120,"160"
121,"168"
122,"171"
123,"172"
124,"208"
125,"216"
126,"253"
127,"348"
128,"494"
129,"737"
130,"985"
131,"1329"
132,"1684"
133,"1943"
134,"1876"
135,"1865"
136,"1607"
137,"1404"
138,"1343"
139,"1307"
140,"1374"
141,"1314"
142,"1563"
143,"1555"
144,"1679"
145,"1816"
146,"2030"
147,"1887"
148,"1623"
149,"1337"
150,"964"
151,"689"
152,"450"
153,"329"
154,"295"
155,"274"
156,"293"
157,"332"
158,"339"
159,"403"
160,"448"
161,"473"
162,"576"
163,"718"
164,"727"
165,"712"
166,"626"
167,"477"
168,"399"
169,"287"
170,"206"
171,"189"
172,"167"
173,"137"
174,"166"
175,"193"
176,"262"
177,"290"
178,"337"
179,"390"
180,"495"
181,"488"
182,"637"
183,"666"
184,"612"
185,"535"
186,"412"
187,"334"
188,"276"
189,"260"
190,"188"
191,"160"
192,"187"
193,"191"
194,"194"
195,"183"
196,"210"
197,"240"
198,"241"
199,"237"
200,"233"
201,"260"
202,"262"
203,"213"
204,"209"
205,"209"
206,"191"
207,"206"
208,"201"
209,"214"
210,"225"
211,"204"
212,"211"
213,"198"
214,"195"
215,"185"
216,"233"
217,"283"
218,"319"
219,"380"
220,"441"
221,"613"
222,"676"
223,"744"
224,"775"
225,"730"
226,"649"
227,"525"
228,"429"
229,"369"
230,"359"
231,"335"
232,"320"
233,"278"
234,"297"
235,"278"
236,"248"
237,"272"
238,"281"
239,"270"
240,"288"
241,"329"
242,"371"
243,"367"
244,"355"
245,"353"
246,"369"
247,"331"
248,"296"
249,"288"
250,"299"
251,"265"
252,"238"
253,"256"
254,"295"
255,"290"
256,"266"
257,"279"
258,"274"
259,"293"
260,"288"
261,"295"
262,"295"
263,"283"
264,"326"
265,"306"
266,"286"
267,"312"
268,"342"
269,"296"
270,"316"
271,"326"
272,"333"
273,"325"
274,"340"
275,"313"
276,"308"
277,"320"
278,"308"
279,"324"
280,"321"
281,"340"
282,"312"
283,"305"
284,"347"
285,"350"
286,"335"
287,"356"
288,"434"
289,"463"
290,"496"
291,"524"
292,"549"
293,"501"
294,"503"
295,"540"
296,"510"
297,"457"
298,"377"
299,"442"
300,"374"
301,"430"
302,"401"
303,"414"
304,"447"
305,"435"
306,"500"
307,"574"
308,"735"
309,"998"
310,"1525"
311,"2368"
312,"3616"
313,"5419"
314,"7661"
315,"9926"
316,"11612"
317,"12809"
318,"12906"
319,"11718"
320,"10099"
321,"7714"
322,"5570"
323,"3698"
324,"2319"
325,"1444"
326,"906"
327,"607"
328,"518"
329,"438"
330,"418"
331,"407"
332,"391"
333,"372"
334,"426"
335,"426"
336,"442"
337,"432"
338,"476"
339,"441"
340,"477"
341,"511"
342,"614"
343,"703"
344,"886"
345,"1144"
346,"1451"
347,"1696"
348,"2122"
349,"2336"
350,"2305"
351,"2386"
352,"2110"
353,"1837"
354,"1449"
355,"1259"
356,"974"
357,"771"
358,"701"
359,"682"
360,"706"
361,"644"
362,"711"
363,"724"
364,"725"
365,"737"
366,"846"
367,"874"
368,"914"
369,"937"
370,"954"
371,"891"
372,"873"
373,"785"
374,"670"
375,"624"
376,"480"
377,"437"
378,"361"
379,"357"
380,"349"
381,"319"
382,"348"
383,"287"
384,"325"
385,"334"
386,"326"
387,"285"
388,"333"
389,"369"
390,"316"
391,"367"
392,"349"
393,"388"
394,"416"
395,"449"
396,"493"
397,"512"
398,"576"
399,"618"
400,"574"
401,"549"
402,"540"
403,"566"
404,"486"
405,"434"
406,"433"
407,"368"
408,"407"
409,"353"
410,"428"
411,"404"
412,"368"
413,"412"
414,"360"
415,"338"
416,"344"
417,"339"
418,"323"
419,"329"
420,"290"
421,"307"
422,"331"
423,"361"
424,"354"
425,"381"
426,"367"
427,"374"
428,"365"
429,"395"
430,"367"
431,"388"
432,"355"
433,"347"
434,"330"
435,"332"
436,"327"
437,"318"
438,"363"
439,"327"
440,"335"
441,"368"
442,"374"
443,"332"
444,"315"
445,"326"
446,"368"
447,"338"
448,"314"
449,"317"
450,"313"
451,"330"
452,"312"
453,"315"
454,"334"
455,"270"
456,"327"
457,"303"
458,"306"
459,"343"
460,"318"
461,"311"
462,"343"
463,"329"
464,"340"
465,"305"
466,"285"
467,"288"
468,"304"
469,"316"
470,"321"
471,"342"
472,"322"
473,"317"
474,"297"
475,"324"
476,"303"
477,"341"
478,"293"
479,"297"
480,"305"
481,"306"
482,"312"
483,"275"
484,"318"
485,"293"
486,"325"
487,"296"
488,"288"
489,"308"
490,"312"
491,"293"
492,"282"
493,"329"
494,"321"
495,"307"
496,"274"
497,"294"
498,"310"
499,"319"
500,"278"
501,"275"
502,"308"
503,"321"
504,"310"
505,"284"
506,"295"
507,"300"
508,"282"
509,"309"
510,"318"
511,"299"
512,"262"
513,"312"
514,"305"
515,"303"
516,"301"
517,"351"
518,"284"
519,"324"
520,"320"
521,"320"
522,"323"
523,"336"
524,"347"
525,"322"
526,"345"
527,"336"
528,"293"
529,"311"
530,"301"
531,"282"
532,"289"
533,"298"
534,"278"
535,"265"
536,"293"
537,"334"
538,"300"
539,"248"
540,"287"
541,"266"
542,"308"
543,"302"
544,"311"
545,"278"
546,"318"
547,"302"
548,"270"
549,"292"
550,"264"
551,"303"
552,"293"
553,"296"
554,"269"
555,"278"
556,"290"
557,"278"
558,"308"
559,"254"
560,"259"
561,"273"
562,"290"
563,"307"
564,"293"
565,"279"
566,"282"
567,"258"
568,"245"
569,"317"
570,"312"
571,"259"
572,"304"
573,"259"
574,"270"
575,"272"
576,"242"
577,"260"
578,"283"
579,"293"
580,"276"
581,"275"
582,"250"
583,"287"
584,"268"
585,"264"
586,"257"
587,"276"
588,"280"
589,"271"
590,"255"
591,"272"
592,"257"
593,"251"
594,"265"
595,"269"
596,"230"
597,"267"
598,"243"
599,"253"
600,"288"
601,"294"
602,"260"
603,"274"
604,"280"
605,"232"
606,"297"
607,"225"
608,"258"
609,"252"
610,"269"
611,"252"
612,"246"
613,"277"
614,"247"
615,"255"
616,"248"
617,"248"
618,"256"
619,"270"
620,"276"
621,"259"
622,"288"
623,"269"
624,"289"
625,"289"
626,"286"
627,"269"
628,"261"
629,"281"
630,"291"
631,"300"
632,"263"
633,"286"
634,"305"
635,"268"
636,"255"
637,"273"
638,"267"
639,"278"
640,"258"
641,"260"
642,"288"
643,"265"
644,"255"
645,"282"
646,"270"
647,"271"
648,"273"
649,"272"
650,"266"
651,"297"
652,"256"
653,"274"
654,"251"
655,"289"
656,"298"
657,"302"
658,"299"
659,"315"
660,"321"
661,"335"
662,"346"
663,"351"
664,"355"
665,"341"
666,"318"
667,"298"
668,"280"
669,"323"
670,"278"
671,"292"
672,"276"
673,"236"
674,"235"
675,"266"
676,"266"
677,"222"
678,"223"
679,"246"
680,"220"
681,"231"
682,"217"
683,"256"
684,"235"
685,"233"
686,"218"
687,"224"
688,"227"
689,"234"
690,"236"
691,"228"
692,"239"
693,"252"
694,"264"
695,"278"
696,"274"
697,"298"
698,"295"
699,"343"
700,"386"
701,"321"
702,"338"
703,"337"
704,"344"
705,"322"
706,"304"
707,"311"
708,"283"
709,"293"
710,"241"
711,"193"
712,"266"
713,"230"
714,"252"
715,"229"
716,"213"
717,"235"
718,"226"
719,"224"
720,"246"
721,"215"
722,"217"
723,"199"
724,"212"
725,"209"
726,"202"
727,"222"
728,"216"
729,"245"
730,"218"
731,"228"
732,"234"
733,"253"
734,"227"
735,"284"
736,"275"
737,"280"
738,"309"
739,"313"
740,"297"
741,"301"
742,"295"
743,"322"
744,"271"
745,"246"
746,"286"
747,"269"
748,"277"
749,"256"
750,"232"
751,"250"
752,"217"
753,"223"
754,"206"
755,"216"
756,"218"
757,"218"
758,"216"
759,"206"
760,"226"
761,"207"
762,"196"
763,"233"
764,"218"
765,"222"
766,"265"
767,"220"
768,"251"
769,"300"
770,"366"
771,"413"
772,"470"
773,"656"
774,"796"
775,"877"
776,"1106"
777,"1213"
778,"1450"
779,"1623"
780,"1707"
781,"1767"
782,"1806"
783,"1714"
784,"1672"
785,"1395"
786,"1317"
787,"1019"
788,"826"
789,"658"
790,"598"
791,"416"
792,"380"
793,"326"
794,"254"
795,"241"
796,"233"
797,"200"
798,"189"
799,"209"
800,"207"
801,"200"
802,"233"
803,"221"
804,"210"
805,"218"
806,"221"
807,"197"
808,"200"
809,"206"
810,"221"
811,"228"
812,"214"
813,"180"
814,"197"
815,"193"
816,"208"
817,"178"
818,"201"
819,"210"
820,"205"
821,"180"
822,"187"
823,"218"
824,"212"
825,"212"
826,"219"
827,"233"
828,"195"
829,"202"
830,"204"
831,"207"
832,"198"
833,"199"
834,"200"
835,"209"
836,"184"
837,"177"
838,"204"
839,"186"
840,"182"
841,"198"
842,"185"
843,"200"
844,"182"
845,"190"
846,"179"
847,"208"
848,"186"
849,"181"
850,"200"
851,"190"
852,"200"
853,"204"
854,"211"
855,"198"
856,"184"
857,"180"
858,"191"
859,"167"
860,"198"
861,"194"
862,"205"
863,"192"
864,"193"
865,"230"
866,"216"
867,"227"
868,"229"
869,"278"
870,"305"
871,"329"
872,"354"
873,"406"
874,"398"
875,"417"
876,"457"
877,"455"
878,"444"
879,"425"
880,"387"
881,"342"
882,"318"
883,"310"
884,"281"
885,"264"
886,"251"
887,"245"
888,"262"
889,"219"
890,"227"
891,"240"
892,"249"
893,"286"
894,"273"
895,"232"
896,"254"
897,"263"
898,"237"
899,"250"
900,"233"
901,"261"
902,"246"
903,"252"
904,"253"
905,"253"
906,"268"
907,"237"
908,"261"
909,"257"
910,"280"
911,"284"
912,"294"
913,"332"
914,"336"
915,"344"
916,"375"
917,"389"
918,"381"
919,"406"
920,"418"
921,"410"
922,"456"
923,"476"
924,"531"
925,"509"
926,"561"
927,"590"
928,"610"
929,"556"
930,"619"
931,"608"
932,"621"
933,"618"
934,"630"
935,"599"
936,"686"
937,"609"
938,"641"
939,"626"
940,"622"
941,"620"
942,"544"
943,"574"
944,"573"
945,"571"
946,"526"
947,"519"
948,"493"
949,"483"
950,"463"
951,"410"
952,"433"
953,"373"
954,"425"
955,"379"
956,"354"
957,"366"
958,"353"
959,"303"
960,"341"
961,"326"
962,"275"
963,"291"
964,"270"
965,"218"
966,"259"
967,"246"
968,"234"
969,"234"
970,"219"
971,"203"
972,"226"
973,"227"
974,"177"
975,"198"
976,"224"
977,"181"
978,"176"
979,"185"
980,"179"
981,"170"
982,"182"
983,"175"
984,"168"
985,"164"
986,"173"
987,"182"
988,"224"
989,"214"
990,"189"
991,"240"
992,"239"
993,"218"
994,"276"
995,"287"
996,"320"
997,"297"
998,"345"
999,"396"
1000,"338"
1001,"382"
1002,"373"
1003,"359"
1004,"362"
1005,"321"
1006,"298"
1007,"288"
1008,"272"
1009,"231"
1010,"216"
1011,"236"
1012,"191"
1013,"163"
1014,"170"
1015,"146"
1016,"178"
1017,"161"
1018,"139"
1019,"149"
1020,"136"
1021,"148"
1022,"166"
1023,"157"
1024,"187"
1025,"160"
1026,"186"
1027,"184"
1028,"152"
1029,"173"
1030,"196"
1031,"172"
1032,"194"
1033,"177"
1034,"219"
1035,"195"
1036,"226"
1037,"221"
1038,"241"
1039,"223"
1040,"271"
1041,"256"
1042,"278"
1043,"305"
1044,"279"
1045,"286"
1046,"290"
1047,"308"
1048,"269"
1049,"325"
1050,"277"
1051,"292"
1052,"312"
1053,"257"
1054,"270"
1055,"246"
1056,"234"
1057,"218"
1058,"196"
1059,"199"
1060,"197"
1061,"185"
1062,"187"
1063,"169"
1064,"175"
1065,"164"
1066,"160"
1067,"152"
1068,"146"
1069,"147"
1070,"142"
1071,"133"
1072,"143"
1073,"141"
1074,"133"
1075,"116"
1076,"145"
1077,"152"
1078,"132"
1079,"107"
1080,"124"
1081,"116"
1082,"117"
1083,"112"
1084,"131"
1085,"102"
1086,"115"
1087,"140"
1088,"124"
1089,"114"
1090,"136"
1091,"105"
1092,"132"
1093,"95"
1094,"128"
1095,"116"
1096,"111"
1097,"107"
1098,"114"
1099,"92"
1100,"109"
1101,"127"
1102,"121"
1103,"90"
1104,"103"
1105,"108"
1106,"81"
1107,"92"
1108,"94"
1109,"102"
1110,"104"
1111,"102"
1112,"92"
1113,"103"
1114,"101"
1115,"102"
1116,"109"
1117,"102"
1118,"93"
1119,"117"
1120,"110"
1121,"116"
1122,"111"
1123,"130"
1124,"118"
1125,"122"
1126,"128"
1127,"122"
1128,"100"
1129,"133"
1130,"104"
1131,"124"
1132,"112"
1133,"104"
1134,"100"
1135,"91"
1136,"112"
1137,"120"
1138,"109"
1139,"117"
1140,"98"
1141,"97"
1142,"110"
1143,"117"
1144,"134"
1145,"108"
1146,"109"
1147,"111"
1148,"126"
1149,"121"
1150,"111"
1151,"119"
1152,"106"
1153,"111"
1154,"106"
1155,"118"
1156,"109"
1157,"115"
1158,"98"
1159,"84"
1160,"85"
1161,"83"
1162,"69"
1163,"81"
1164,"89"
1165,"76"
1166,"82"
1167,"69"
1168,"86"
1169,"83"
1170,"83"
1171,"81"
1172,"79"
1173,"91"
1174,"81"
1175,"82"
1176,"100"
1177,"84"
1178,"105"
1179,"105"
1180,"86"
1181,"89"
1182,"90"
1183,"97"
1184,"110"
1185,"101"
1186,"108"
1187,"89"
1188,"81"
1189,"95"
1190,"89"
1191,"77"
1192,"76"
1193,"82"
1194,"78"
1195,"86"
1196,"95"
1197,"106"
1198,"88"
1199,"68"
1200,"76"
1201,"80"
1202,"85"
1203,"76"
1204,"77"
1205,"73"
1206,"67"
1207,"78"
1208,"79"
1209,"75"
1210,"82"
1211,"69"
1212,"88"
1213,"103"
1214,"76"
1215,"75"
1216,"65"
1217,"77"
1218,"66"
1219,"67"
1220,"69"
1221,"81"
1222,"70"
1223,"83"
1224,"70"
1225,"75"
1226,"63"
1227,"75"
1228,"77"
1229,"67"
1230,"66"
1231,"60"
1232,"71"
1233,"55"
1234,"66"
1235,"57"
1236,"70"
1237,"73"
1238,"67"
1239,"63"
1240,"66"
1241,"67"
1242,"74"
1243,"64"
1244,"68"
1245,"71"
1246,"61"
1247,"84"
1248,"69"
1249,"72"
1250,"77"
1251,"89"
1252,"64"
1253,"70"
1254,"77"
1255,"62"
1256,"83"
1257,"70"
1258,"66"
1259,"62"
1260,"70"
1261,"77"
1262,"68"
1263,"52"
1264,"55"
1265,"67"
1266,"71"
1267,"59"
1268,"57"
1269,"56"
1270,"54"
1271,"73"
1272,"67"
1273,"42"
1274,"66"
1275,"71"
1276,"62"
1277,"70"
1278,"50"
1279,"43"
1280,"64"
1281,"64"
1282,"52"
1283,"51"
1284,"62"
1285,"61"
1286,"54"
1287,"59"
1288,"61"
1289,"61"
1290,"55"
1291,"69"
1292,"63"
1293,"62"
1294,"58"
1295,"60"
1296,"58"
1297,"54"
1298,"62"
1299,"55"
1300,"48"
1301,"63"
1302,"54"
1303,"51"
1304,"43"
1305,"62"
1306,"53"
1307,"58"
1308,"66"
1309,"39"
1310,"66"
1311,"64"
1312,"54"
1313,"64"
1314,"46"
1315,"60"
1316,"47"
1317,"55"
1318,"62"
1319,"45"
1320,"43"
1321,"45"
1322,"47"
1323,"54"
1324,"66"
1325,"55"
1326,"46"
1327,"55"
1328,"62"
1329,"48"
1330,"58"
1331,"49"
1332,"52"
1333,"44"
1334,"66"
1335,"71"
1336,"48"
1337,"48"
1338,"51"
1339,"48"
1340,"53"
1341,"39"
1342,"52"
1343,"43"
1344,"41"
1345,"51"
1346,"41"
1347,"49"
1348,"45"
1349,"41"
1350,"50"
1351,"54"
1352,"39"
1353,"45"
1354,"45"
1355,"44"
1356,"55"
1357,"42"
1358,"41"
1359,"49"
1360,"46"
1361,"37"
1362,"58"
1363,"48"
1364,"43"
1365,"46"
1366,"44"
1367,"48"
1368,"56"
1369,"41"
1370,"43"
1371,"44"
1372,"37"
1373,"35"
1374,"44"
1375,"37"
1376,"45"
1377,"42"
1378,"24"
1379,"38"
1380,"44"
1381,"42"
1382,"40"
1383,"40"
1384,"34"
1385,"42"
1386,"55"
1387,"52"
1388,"38"
