Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 -1phi 6"
Duration Time,60.078
Ambient Temperature,"92.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"803480"
Raw Accumulated Counts,"835024"
Valid Count Last Packet,"12586"
Raw Count Last Packet,"13120"
Live Time,58.112007
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8011
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1811"
1,"1417"
2,"971"
3,"543"
4,"224"
5,"71"
6,"14"
7,"5"
8,"1"
9,"2"
10,"0"
11,"0"
12,"1"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"43"
23,"99"
24,"154"
25,"160"
26,"165"
27,"156"
28,"180"
29,"138"
30,"144"
31,"159"
32,"156"
33,"141"
34,"157"
35,"154"
36,"135"
37,"138"
38,"117"
39,"142"
40,"124"
41,"147"
42,"131"
43,"163"
44,"177"
45,"170"
46,"163"
47,"159"
48,"130"
49,"145"
50,"134"
51,"132"
52,"139"
53,"139"
54,"130"
55,"138"
56,"148"
57,"165"
58,"145"
59,"136"
60,"141"
61,"145"
62,"148"
63,"136"
64,"141"
65,"122"
66,"90"
67,"138"
68,"127"
69,"127"
70,"129"
71,"155"
72,"160"
73,"197"
74,"175"
75,"184"
76,"159"
77,"164"
78,"141"
79,"146"
80,"165"
81,"188"
82,"233"
83,"322"
84,"452"
85,"540"
86,"581"
87,"567"
88,"480"
89,"385"
90,"266"
91,"202"
92,"152"
93,"131"
94,"163"
95,"122"
96,"112"
97,"127"
98,"138"
99,"140"
100,"125"
101,"153"
102,"135"
103,"128"
104,"143"
105,"103"
106,"116"
107,"117"
108,"127"
109,"129"
110,"158"
111,"179"
112,"204"
113,"191"
114,"268"
115,"230"
116,"223"
117,"236"
118,"188"
119,"201"
120,"181"
121,"195"
122,"198"
123,"201"
124,"204"
125,"226"
126,"291"
127,"367"
128,"525"
129,"775"
130,"1070"
131,"1392"
132,"1599"
133,"1942"
134,"1968"
135,"1873"
136,"1613"
137,"1445"
138,"1351"
139,"1306"
140,"1387"
141,"1452"
142,"1449"
143,"1551"
144,"1615"
145,"1841"
146,"1810"
147,"1744"
148,"1564"
149,"1300"
150,"947"
151,"694"
152,"507"
153,"359"
154,"352"
155,"331"
156,"352"
157,"386"
158,"449"
159,"531"
160,"734"
161,"1019"
162,"1253"
163,"1515"
164,"1734"
165,"1706"
166,"1419"
167,"1114"
168,"811"
169,"556"
170,"372"
171,"265"
172,"219"
173,"234"
174,"255"
175,"328"
176,"368"
177,"417"
178,"521"
179,"516"
180,"622"
181,"690"
182,"675"
183,"709"
184,"659"
185,"582"
186,"489"
187,"350"
188,"307"
189,"279"
190,"205"
191,"182"
192,"199"
193,"203"
194,"208"
195,"216"
196,"245"
197,"221"
198,"289"
199,"297"
200,"297"
201,"309"
202,"228"
203,"249"
204,"241"
205,"259"
206,"216"
207,"214"
208,"207"
209,"230"
210,"255"
211,"255"
212,"246"
213,"254"
214,"258"
215,"255"
216,"289"
217,"352"
218,"457"
219,"555"
220,"794"
221,"924"
222,"1103"
223,"1279"
224,"1330"
225,"1159"
226,"1043"
227,"844"
228,"672"
229,"562"
230,"479"
231,"430"
232,"381"
233,"379"
234,"415"
235,"339"
236,"330"
237,"366"
238,"348"
239,"397"
240,"396"
241,"464"
242,"495"
243,"496"
244,"518"
245,"546"
246,"479"
247,"437"
248,"417"
249,"411"
250,"364"
251,"327"
252,"331"
253,"347"
254,"318"
255,"370"
256,"326"
257,"369"
258,"338"
