Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 -1phi 2"
Duration Time,60.158
Ambient Temperature,"91.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"693665"
Raw Accumulated Counts,"718283"
Valid Count Last Packet,"11073"
Raw Count Last Packet,"11449"
Live Time,58.472012
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8008
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1802"
1,"1436"
2,"969"
3,"522"
4,"201"
5,"81"
6,"29"
7,"14"
8,"3"
9,"6"
10,"2"
11,"1"
12,"2"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"33"
23,"93"
24,"133"
25,"141"
26,"150"
27,"137"
28,"158"
29,"145"
30,"150"
31,"148"
32,"169"
33,"113"
34,"133"
35,"121"
36,"117"
37,"128"
38,"120"
39,"125"
40,"110"
41,"125"
42,"132"
43,"108"
44,"124"
45,"145"
46,"149"
47,"152"
48,"137"
49,"112"
50,"119"
51,"138"
52,"120"
53,"142"
54,"123"
55,"135"
56,"104"
57,"126"
58,"116"
59,"127"
60,"143"
61,"152"
62,"114"
63,"120"
64,"130"
65,"118"
66,"116"
67,"86"
68,"122"
69,"121"
70,"131"
71,"128"
72,"151"
73,"166"
74,"165"
75,"172"
76,"154"
77,"140"
78,"157"
79,"120"
80,"132"
81,"165"
82,"214"
83,"323"
84,"443"
85,"532"
86,"543"
87,"531"
88,"448"
89,"343"
90,"220"
91,"194"
92,"131"
93,"128"
94,"101"
95,"119"
96,"104"
97,"108"
98,"143"
99,"112"
100,"121"
101,"118"
102,"115"
103,"113"
104,"119"
105,"111"
106,"97"
107,"115"
108,"117"
109,"128"
110,"143"
111,"174"
112,"171"
113,"211"
114,"227"
115,"214"
116,"202"
117,"213"
118,"192"
119,"182"
120,"164"
121,"192"
122,"175"
123,"184"
124,"190"
125,"235"
126,"280"
127,"349"
128,"518"
129,"732"
130,"1085"
131,"1328"
132,"1703"
133,"1938"
134,"1943"
135,"1820"
136,"1638"
137,"1426"
138,"1344"
139,"1319"
140,"1316"
141,"1461"
142,"1469"
143,"1529"
144,"1660"
145,"1816"
146,"1868"
147,"1796"
148,"1581"
149,"1334"
150,"974"
151,"685"
152,"477"
153,"359"
154,"299"
155,"315"
156,"345"
157,"366"
158,"434"
159,"523"
160,"693"
161,"874"
162,"992"
163,"1297"
164,"1370"
165,"1359"
166,"1253"
167,"995"
168,"752"
169,"515"
170,"363"
171,"254"
172,"191"
173,"194"
174,"251"
175,"284"
176,"307"
177,"330"
178,"376"
179,"426"
180,"452"
181,"479"
182,"510"
183,"468"
184,"428"
185,"372"
186,"325"
187,"278"
188,"247"
189,"209"
190,"190"
191,"185"
192,"156"
193,"173"
194,"188"
195,"182"
196,"208"
197,"238"
198,"227"
199,"229"
200,"237"
201,"251"
202,"247"
203,"228"
204,"203"
205,"197"
206,"225"
