Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 2phi 4"
Duration Time,60.906
Ambient Temperature,"97.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"888562"
Raw Accumulated Counts,"926090"
Valid Count Last Packet,"13785"
Raw Count Last Packet,"14375"
Live Time,58.698997
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8002
Number of Channels,2048
Vacuum,1022
Channel#,Intensity
0,"1752"
1,"1532"
2,"977"
3,"466"
4,"198"
5,"61"
6,"19"
7,"3"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"32"
23,"121"
24,"201"
25,"193"
26,"172"
27,"195"
28,"196"
29,"197"
30,"176"
31,"179"
32,"196"
33,"176"
34,"188"
35,"184"
36,"183"
37,"177"
38,"177"
39,"173"
40,"146"
41,"191"
42,"183"
43,"159"
44,"183"
45,"179"
46,"185"
47,"195"
48,"181"
49,"197"
50,"165"
51,"164"
52,"170"
53,"150"
54,"174"
55,"158"
56,"171"
57,"153"
58,"154"
59,"166"
60,"142"
61,"147"
62,"161"
63,"166"
64,"157"
65,"138"
66,"164"
67,"135"
68,"152"
69,"161"
70,"220"
71,"224"
72,"233"
73,"249"
74,"269"
75,"252"
76,"209"
77,"201"
78,"202"
79,"214"
80,"234"
81,"359"
82,"517"
83,"861"
84,"1204"
85,"1484"
86,"1728"
87,"1669"
88,"1352"
89,"1026"
90,"643"
91,"416"
92,"284"
93,"188"
94,"198"
95,"156"
96,"162"
97,"155"
98,"132"
99,"141"
100,"151"
101,"155"
102,"142"
103,"139"
104,"130"
105,"141"
106,"123"
107,"136"
108,"141"
109,"142"
110,"152"
111,"194"
112,"199"
113,"245"
114,"218"
115,"253"
116,"257"
117,"235"
118,"232"
119,"228"
120,"191"
121,"196"
122,"187"
123,"219"
124,"205"
125,"229"
126,"300"
127,"425"
128,"519"
129,"697"
130,"1049"
131,"1391"
132,"1710"
133,"1941"
134,"2049"
135,"1867"
136,"1681"
137,"1459"
138,"1353"
139,"1395"
140,"1275"
141,"1484"
142,"1457"
143,"1547"
144,"1646"
145,"1837"
146,"1825"
147,"1709"
148,"1455"
149,"1255"
150,"961"
151,"685"
152,"483"
153,"397"
154,"307"
155,"323"
156,"340"
157,"440"
158,"560"
159,"730"
160,"1003"
161,"1396"
162,"1925"
163,"2354"
164,"2518"
165,"2458"
166,"2322"
167,"1680"
168,"1204"
169,"816"
170,"471"
171,"339"
172,"272"
173,"258"
174,"359"
175,"370"
176,"493"
177,"646"
178,"723"
179,"844"
180,"1031"
181,"1160"
182,"1300"
183,"1331"
184,"1162"
185,"1090"
186,"788"
187,"601"
188,"434"
189,"324"
190,"246"
191,"236"
192,"230"
193,"194"
194,"246"
195,"265"
196,"284"
197,"332"
198,"320"
199,"372"
200,"397"
201,"361"
202,"303"
203,"274"
204,"240"
205,"262"
206,"212"
207,"234"
208,"237"
209,"236"
210,"226"
211,"241"
212,"242"
213,"240"
214,"232"
215,"245"
216,"275"
217,"330"
218,"382"
219,"426"
220,"564"
221,"709"
222,"792"
223,"823"
224,"874"
225,"804"
226,"739"
227,"651"
228,"508"
229,"446"
230,"379"
231,"365"
232,"398"
233,"351"
234,"311"
235,"344"
236,"373"
237,"380"
238,"374"
239,"373"
240,"388"
241,"439"
242,"427"
243,"468"
244,"456"
245,"460"
246,"449"
247,"424"
248,"393"
249,"392"
250,"334"
251,"366"
252,"363"
253,"385"
254,"379"
255,"357"
256,"363"
257,"408"
258,"378"
259,"374"
260,"387"
261,"377"
262,"393"
263,"430"
264,"407"
265,"416"
266,"420"
267,"452"
268,"374"
269,"419"
270,"397"
271,"416"
272,"371"
273,"402"
274,"389"
275,"426"
276,"424"
277,"398"
278,"449"
279,"432"
280,"446"
281,"442"
282,"415"
283,"452"
284,"452"
285,"463"
286,"495"
287,"521"
288,"567"
289,"620"
290,"634"
291,"714"
292,"706"
293,"720"
294,"737"
295,"658"
296,"635"
297,"591"
298,"537"
299,"532"
300,"476"
301,"507"
302,"529"
303,"546"
304,"547"
305,"625"
306,"666"
307,"759"
308,"993"
309,"1472"
310,"2259"
311,"3569"
312,"5500"
313,"8461"
314,"12154"
315,"15574"
316,"18333"
317,"20280"
318,"19914"
319,"18242"
320,"15363"
321,"12015"
322,"8533"
323,"5567"
324,"3541"
325,"2134"
326,"1341"
327,"896"
328,"661"
329,"579"
330,"543"
331,"499"
332,"518"
333,"552"
334,"507"
335,"567"
336,"548"
337,"574"
338,"580"
339,"585"
340,"668"
341,"732"
342,"823"
343,"1000"
344,"1296"
345,"1648"
346,"2218"
347,"2741"
348,"3079"
349,"3475"
350,"3621"
351,"3564"
352,"3114"
353,"2667"
354,"2231"
355,"1702"
356,"1373"
357,"1088"
358,"975"
359,"915"
360,"927"
361,"919"
