Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
188452,8035;489,8423846;K-feldspar;;794,1025633;;;;;;;;;
342686,0724;660,5463336;K-feldspar;;1070,837382;;;;;;;;;
788424,7122;1001,924908;K-feldspar;;1624,259482;;;;;;;;;
760750,5016;984,183734;K-feldspar;;1595,498574;;;;;;;;;
161836,074;453,9340141;K-feldspar;;735,8901057;;;;;;;;;
456520,7997;762,4043121;K-feldspar;;1235,963317;;;;;;;;;
341407,4188;659,3128442;K-feldspar;;1068,837724;;;;;;;;;
709853,1773;950,6908731;K-feldspar;;1541,201993;;;;;;;;;
240082,7618;552,8859433;K-feldspar;;896,3049311;;;;;;;;;
877004,3032;1056,710253;K-feldspar;;1713,074138;;;;;;;;;
230586,167;541,8407758;K-feldspar;;878,39918;;;;;;;;;
438287,8907;747,0244136;K-feldspar;;1211,030365;;;;;;;;;
294387,5251;612,2302169;K-feldspar;;992,5102438;;;;;;;;;
473627,1112;776,5569956;K-feldspar;;1258,906783;;;;;;;;;
791617,8903;1003,951793;K-feldspar;;1627,545343;;;;;;;;;
527696,8787;819,685631;K-feldspar;;1328,824293;;;;;;;;;
184568,4613;484,767845;K-feldspar;;785,8760296;;;;;;;;;
1451237,261;1359,328021;K-feldspar;;2203,659585;;;;;;;;;
766922,597;988,1680921;K-feldspar;;1601,957772;;;;;;;;;
4503328,075;2394,538659;K-feldspar;;3881,879859;;;;;;;;;
1737206,407;1487,239017;K-feldspar;;2411,021082;;;;;;;;;
5337901,814;2606,99591;K-feldspar;;4226,302582;;;;;;;;;
76339,07485;311,7658238;K-feldspar;;505,4157166;;;;;;;;;
511122,7636;806,7104281;K-feldspar;;1307,789687;;;;;;;;;
362349,6911;679,2333588;K-feldspar;;1101,131646;;;;;;;;;
102969,6276;362,0842468;K-feldspar;;586,9888714;;;;;;;;;
117,497897;12,23122925;K-feldspar;;19,82852199;;;;;;;;;
173005,2859;469,3369487;K-feldspar;;760,8604027;;;;;;;;;
310761,2026;629,0257961;K-feldspar;;1019,738211;;;;;;;;;
180732,5005;479,7038322;K-feldspar;;777,6665613;;;;;;;;;
166770,9857;460,8030099;K-feldspar;;747,0257022;;;;;;;;;
513286,1072;808,4158395;K-feldspar;;1310,554396;;;;;;;;;
421534,0729;732,6075697;K-feldspar;;1187,658658;;;;;;;;;
1324906,287;1298,816029;K-feldspar;;2105,561238;;;;;;;;;
756416,9027;981,3765398;K-feldspar;;1590,947722;;;;;;;;;
825851,2482;1025,429894;K-feldspar;;1662,364329;;;;;;;;;
589500,7725;866,3577178;K-feldspar;;1404,486231;;;;;;;;;
230309,7014;541,5158533;K-feldspar;;877,8724355;;;;;;;;;
333168,7428;651,3091573;K-feldspar;;1055,862636;;;;;;;;;
218553,0001;527,5133385;K-feldspar;;855,1724135;;;;;;;;;
647095,477;907,6935334;K-feldspar;;1471,497331;;;;;;;;;
541395,7512;830,2568758;K-feldspar;;1345,96175;;;;;;;;;
142421,2744;425,8361171;K-feldspar;;690,3395108;;;;;;;;;
445994,3704;753,5633146;K-feldspar;;1221,630832;;;;;;;;;
1065726,661;1164,871378;K-feldspar;;1888,41835;;;;;;;;;
941745,6445;1095,019541;K-feldspar;;1775,178816;;;;;;;;;
882022,1546;1059,728968;K-feldspar;;1717,967895;;;;;;;;;
1134905,275;1202,084139;K-feldspar;;1948,745404;;;;;;;;;
384335,6211;699,5364974;K-feldspar;;1134,045855;;;;;;;;;
419764,6929;731,0684006;K-feldspar;;1185,163451;;;;;;;;;
1001883,833;1129,441506;K-feldspar;;1830,981604;;;;;;;;;
1046042,307;1154,063443;K-feldspar;;1870,897185;;;;;;;;;
520107,8969;813,7702021;K-feldspar;;1319,234561;;;;;;;;;
66973,80129;292,0165959;K-feldspar;;473,3994742;;;;;;;;;
352887,6545;670,3062857;K-feldspar;;1086,65962;;;;;;;;;
1576372,521;1416,721508;K-feldspar;;2296,702401;;;;;;;;;
1260510,527;1266,859049;K-feldspar;;2053,754534;;;;;;;;;
1017047,973;1137,956809;K-feldspar;;1844,786093;;;;;;;;;
440423,5878;748,8422587;K-feldspar;;1213,977344;;;;;;;;;
1042399,872;1152,052403;K-feldspar;;1867,637009;;;;;;;;;
3826408,867;2207,246041;K-feldspar;;3578,252503;;;;;;;;;
2926969,377;1930,474853;K-feldspar;;3129,567953;;;;;;;;;
3670938,414;2161,939859;K-feldspar;;3504,804888;;;;;;;;;
5416977,899;2626,235038;K-feldspar;;4257,491881;;;;;;;;;
1735789,521;1486,632389;K-feldspar;;2410,037652;;;;;;;;;
2811316,888;1891,95133;K-feldspar;;3067,11597;;;;;;;;;
4068184,981;2275,911684;K-feldspar;;3689,569051;;;;;;;;;
3830065,125;2208,300337;K-feldspar;;3579,961663;;;;;;;;;
350461,6685;667,998245;K-feldspar;;1082,917966;;;;;;;;;
504059,0665;801,1166808;K-feldspar;;1298,721445;;;;;;;;;
282257,5952;599,4843884;K-feldspar;;971,847485;;;;;;;;;
111844,1747;377,3651097;K-feldspar;;611,7612733;;;;;;;;;
587275,2241;864,7207867;K-feldspar;;1401,832538;;;;;;;;;
224559,2161;534,7127024;K-feldspar;;866,8435826;;;;;;;;;
86167,42835;331,2276819;K-feldspar;;536,9660925;;;;;;;;;
1471709,541;1368,882313;K-feldspar;;2219,148419;;;;;;;;;
1144256,726;1207,026476;K-feldspar;;1956,757619;;;;;;;;;
291429,3428;609,1464222;K-feldspar;;987,5109842;;;;;;;;;
1068629,55;1166,456772;K-feldspar;;1890,988493;;;;;;;;;
1621553,918;1436,880848;K-feldspar;;2329,383493;;;;;;;;;
464904,6202;769,373087;K-feldspar;;1247,260669;;;;;;;;;
1151894,089;1211,047937;K-feldspar;;1963,276967;;;;;;;;;
66324,10704;290,5967582;K-feldspar;;471,09772;;;;;;;;;
274170,9752;590,8344333;K-feldspar;;957,824706;;;;;;;;;
1070606,279;1167,535118;K-feldspar;;1892,736641;;;;;;;;;
502255,1282;799,6818685;K-feldspar;;1296,395415;;;;;;;;;
479978,9092;781,7468439;K-feldspar;;1267,320248;;;;;;;;;
203955,6143;509,5923405;K-feldspar;;826,1199858;;;;;;;;;
298949,2082;616,9553904;K-feldspar;;1000,170407;;;;;;;;;
1490647,438;1377,66152;K-feldspar;;2233,380735;;;;;;;;;
1113493,012;1190,690277;K-feldspar;;1930,274371;;;;;;;;;
1280340,025;1276,784849;K-feldspar;;2069,845635;;;;;;;;;
170337,3924;465,7040949;K-feldspar;;754,971042;;;;;;;;;
94903,74257;347,6135757;K-feldspar;;563,529903;;;;;;;;;
131493,97;409,1739514;K-feldspar;;663,3278252;;;;;;;;;
479267,0102;781,1668899;K-feldspar;;1266,380063;;;;;;;;;
225810,2231;536,2000612;K-feldspar;;869,254798;;;;;;;;;
494617,7649;793,5785391;K-feldspar;;1286,50107;;;;;;;;;
301568,7201;619,6524993;K-feldspar;;1004,542795;;;;;;;;;
426275,4587;736,7162079;K-feldspar;;1194,319331;;;;;;;;;
56295,31595;267,7263947;K-feldspar;;434,0216833;;;;;;;;;
506823,7229;803,3106536;K-feldspar;;1302,27818;;;;;;;;;
401939,5707;715,3777715;K-feldspar;;1159,726761;;;;;;;;;
115908,2196;384,1600301;K-feldspar;;622,7767833;;;;;;;;;
333459,0317;651,5928374;K-feldspar;;1056,322521;;;;;;;;;
1959699,043;1579,609546;K-feldspar;;2560,766542;;;;;;;;;
2081316,278;1627,886418;K-feldspar;;2639,030059;;;;;;;;;
2595300,461;1817,811645;K-feldspar;;2946,92524;;;;;;;;;
5521523,381;2651,456565;K-feldspar;;4298,37948;;;;;;;;;
6186188,249;2806,510201;K-feldspar;;4549,742968;;;;;;;;;
3,78E+07;6938,169507;K-feldspar;;11247,73675;;;;;;;;;
2520972,673;1791,592057;K-feldspar;;2904,419645;;;;;;;;;
3458868,534;2098,563365;K-feldspar;;3402,062786;;;;;;;;;
566471,1847;849,266456;K-feldspar;;1376,778921;;;;;;;;;
298465,3933;616,4559526;K-feldspar;;999,3607485;;;;;;;;;
79877,83504;318,9100474;K-feldspar;;516,9974956;;;;;;;;;
73256,48296;305,4063703;K-feldspar;;495,1061589;;;;;;;;;
170648,4163;466,1290721;K-feldspar;;755,6599891;;;;;;;;;
104531,6585;364,8202862;K-feldspar;;591,4243715;;;;;;;;;
100882,312;358,3955204;K-feldspar;;581,0089334;;;;;;;;;
67436,88124;293,0244085;K-feldspar;;475,0332785;;;;;;;;;
162195,4793;454,4377826;K-feldspar;;736,7067844;;;;;;;;;
433346,0674;742,8010161;K-feldspar;;1204,183651;;;;;;;;;
102561,8408;361,3665611;K-feldspar;;585,8254032;;;;;;;;;
90583,96695;339,6102013;K-feldspar;;550,5553212;;;;;;;;;
89298,40172;337,1917205;Others;;546,6346277;;;;;;;;;
402879,5539;716,2137808;Others;;1161,082048;;;;;;;;;
187657,9648;488,8082872;Others;;792,4261478;;;;;;;;;
78053,16181;315,2465261;Others;;511,0584186;;;;;;;;;
64001,79566;285,4638632;Others;;462,776584;;;;;;;;;
42285,41964;232,0333348;Others;;376,158274;;;;;;;;;
146913,8411;432,5003031;Others;;701,1430821;;;;;;;;;
121382,2392;393,1267824;Others;;637,3131346;;;;;;;;;
193104,3379;495,8508639;Others;;803,8431431;;;;;;;;;
33203,52336;205,6113785;Others;;333,3246119;;;;;;;;;
246738,6721;560,4974884;Others;;908,6443032;;;;;;;;;
72136,79712;303,0633972;Others;;491,307874;;;;;;;;;
83451,15343;325,9651954;Others;;528,4348708;;;;;;;;;
54567,4057;263,5856195;Others;;427,3089113;;;;;;;;;
161068,8819;452,8567873;Others;;734,1437714;;;;;;;;;
558211,7737;843,0523736;Others;;1366,70503;;;;;;;;;
100992,8983;358,5919015;Others;;581,3272945;;;;;;;;;
131231,3277;408,7651109;Others;;662,6650379;;;;;;;;;
150549,3643;437,8189169;Others;;709,7652941;;;;;;;;;
133629,6671;412,4834257;Others;;668,6929428;;;;;;;;;
59868,63434;276,09258;Others;;447,584432;;;;;;;;;
72689,7284;304,2226762;Others;;493,1872262;;;;;;;;;
204460,1641;510,2222714;Others;;827,1411913;;;;;;;;;
175424,3602;472,6068478;Others;;766,1613634;;;;;;;;;
79718,86729;318,5925522;Others;;516,4827918;;;;;;;;;
