Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
80921,49283;320,9866737;Biotite;;520,3639954;;total area (µm^2);;;Quartz;Plagioclase;K-feldspar;Biotite;Others
37772,11807;219,3010588;Biotite;;355,5174857;;385841819,7;;Model mineralogy (%);25,750;24,052;40,772;0,460;8,967
20866,24418;162,9960958;Biotite;;264,2393177;;;;Mean 3-D diameter (mm);1,517;1,993;2,137;0,444;0,787
210749,7574;518,0105454;Biotite;;839,7670656;;;;SD 3-D diameter (mm);1,145;1,097;1,847;0,248;0,489
27515,24282;187,1723677;Biotite;;303,4324135;;;;;;;;;
106169,7174;367,6676252;Biotite;;596,0403036;;;;;;;;;
284842,5489;602,2232122;Biotite;;976,2874988;;;;;;;;;
94336,98801;346,5740666;Biotite;;561,8447144;;;;;;;;;
92298,05391;342,8083023;Biotite;;555,7398873;;;;;;;;;
101801,5603;360,0246829;Biotite;;583,6500321;;;;;;;;;
656,605895;28,91395149;Biotite;;46,87353262;;;;;;;;;
248,819076;17,79905298;Biotite;;28,85473785;;;;;;;;;
511,461434;25,51887387;Biotite;;41,36964008;;;;;;;;;
14431,50641;135,553549;Biotite;;219,7511365;;;;;;;;;
35097,313;211,3936773;Biotite;;342,6985217;;;;;;;;;
24722,93986;177,4210379;Biotite;;287,624153;;;;;;;;;
81591,92201;322,3136076;Biotite;;522,5151396;;;;;;;;;
43183,93297;234,4855884;Biotite;;380,1337178;;;;;;;;;
48077,3748;247,4146616;Biotite;;401,0935419;;;;;;;;;
240124,2316;552,9336916;Biotite;;896,3823378;;;;;;;;;
43259,96102;234,691911;Biotite;;380,4681954;;;;;;;;;
130028,7021;406,8878046;Biotite;;659,6216635;;;;;;;;;
56924,27528;269,2178269;Biotite;;436,4395021;;;;;;;;;
1072023,166;1168,307446;K-feldspar;;1893,988692;;;;;;;;;
857617,1502;1044,965105;K-feldspar;;1694,03362;;;;;;;;;
570099,7962;851,9821624;K-feldspar;;1381,181458;;;;;;;;;
163557,0726;456,3412459;K-feldspar;;739,7925628;;;;;;;;;
1109643,228;1188,630152;K-feldspar;;1926,934622;;;;;;;;;
469010,135;772,762739;K-feldspar;;1252,755766;;;;;;;;;
335878,106;653,9520524;K-feldspar;;1060,147136;;;;;;;;;
690044,4142;937,3322974;K-feldspar;;1519,545885;;;;;;;;;
586321,4177;864,0182955;K-feldspar;;1400,693702;;;;;;;;;
961637,3473;1106,5237;K-feldspar;;1793,828656;;;;;;;;;
531125,0526;822,3438577;K-feldspar;;1333,133648;;;;;;;;;
1534854,294;1397,940336;K-feldspar;;2266,255511;;;;;;;;;
50192,33694;252,798078;K-feldspar;;409,8208078;;;;;;;;;
1272232,671;1272,736008;K-feldspar;;2063,281901;;;;;;;;;
1263987,083;1268,604879;K-feldspar;;2056,584766;;;;;;;;;
961271,0303;1106,312925;K-feldspar;;1793,486961;;;;;;;;;
94516,69068;346,9040043;K-feldspar;;562,3795892;;;;;;;;;
414656,9902;726,6069621;K-feldspar;;1177,930839;;;;;;;;;
1612596,432;1432,906677;K-feldspar;;2322,94081;;;;;;;;;
980049,9589;1117,066857;K-feldspar;;1810,920579;;;;;;;;;
983802,9799;1119,203671;K-feldspar;;1814,384652;;;;;;;;;
2968964,508;1944,27442;K-feldspar;;3151,938968;;;;;;;;;
3026137,602;1962,905516;K-feldspar;;3182,142563;;;;;;;;;
1979611,48;1587,614443;K-feldspar;;2573,743593;;;;;;;;;
5639339,213;2679,595061;K-feldspar;;4343,995893;;;;;;;;;
8684787,94;3325,329374;K-feldspar;;5390,82093;;;;;;;;;
4,16E+07;7280,38141;K-feldspar;;11802,50979;;;;;;;;;
3036567,269;1966,28521;K-feldspar;;3187,621518;;;;;;;;;
1753186,121;1494,063552;K-feldspar;;2422,084601;;;;;;;;;
6847825,819;2952,782184;K-feldspar;;4786,870175;;;;;;;;;
246641,9091;560,3875731;K-feldspar;;908,4661152;;;;;;;;;
165098,3686;458,486392;K-feldspar;;743,2701427;;;;;;;;;
218601,3815;527,5717236;K-feldspar;;855,2670638;;;;;;;;;
64817,3693;287,2769357;K-feldspar;;465,7158265;;;;;;;;;
35850,68187;213,6504291;K-feldspar;;346,3570298;;;;;;;;;
25324,25262;179,565698;K-feldspar;;291,1009449;;;;;;;;;
82,939692;10,27628803;K-feldspar;;16,65929067;;;;;;;;;
76753,77331;312,6114831;K-feldspar;;506,7866478;;;;;;;;;
169010,3574;463,8864845;K-feldspar;;752,0244429;;;;;;;;;
375620,0418;691,5593185;K-feldspar;;1121,113739;;;;;;;;;
104946,3569;365,5432283;K-feldspar;;592,596361;;;;;;;;;
167807,7318;462,2331015;K-feldspar;;749,3440793;;;;;;;;;
482211,3693;783,5627507;K-feldspar;;1270,264086;;;;;;;;;
260230,1953;575,6173863;K-feldspar;;933,1557584;;;;;;;;;
1122471,233;1195,480975;K-feldspar;;1938,040759;;;;;;;;;
1098902,538;1182,863545;K-feldspar;;1917,586152;;;;;;;;;
776889,1833;994,5682632;K-feldspar;;1612,333338;;;;;;;;;
286528,9893;604,0033443;K-feldspar;;979,1733402;;;;;;;;;
1330041,636;1301,330706;K-feldspar;;2109,637879;;;;;;;;;
