Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
202117,1178;507,2903577;Others;;822,3881519;;;;;;;;;
121893,7007;393,9541597;Others;;638,6544282;;;;;;;;;
30687,68604;197,668347;Others;;320,4478542;;;;;;;;;
180027,5131;478,7673222;Others;;776,1483485;;;;;;;;;
79041,52648;317,2361852;Others;;514,2839324;;;;;;;;;
530164,3345;821,5997785;Others;;1331,927393;;;;;;;;;
186559,0139;487,3749213;Others;;790,1024624;;;;;;;;;
597946,7978;872,541981;Others;;1414,511781;;;;;;;;;
831622,4684;1029,006615;Others;;1668,162691;;;;;;;;;
414795,223;726,7280653;Others;;1178,127164;;;;;;;;;
977706,9126;1115,730749;Others;;1808,754562;;;;;;;;;
1006328,018;1131,943739;Others;;1835,038071;;;;;;;;;
1047784,041;1155,023842;Others;;1872,454124;;;;;;;;;
42326,88948;232,1470859;Others;;376,3426804;;;;;;;;;
819209,1612;1021,297948;Others;;1655,665872;;;;;;;;;
49293,82361;250,5251395;Others;;406,1360587;;;;;;;;;
1147878,426;1208,935153;Others;;1959,85185;;;;;;;;;
139006,9238;420,7007397;Others;;682,0143505;;;;;;;;;
194790,7783;498,0113672;Others;;807,3456191;;;;;;;;;
95691,66965;349,0536032;Others;;565,8643877;;;;;;;;;
670208,0045;923,7615139;Others;;1497,54576;;;;;;;;;
133284,085;411,9497151;Others;;667,8277237;;;;;;;;;
213092,8037;520,8821213;Others;;844,4222892;;;;;;;;;
46777,98629;244,0483189;Others;;395,6362326;;;;;;;;;
47144,30326;245,0020229;Others;;397,1823193;;;;;;;;;
90065,59387;338,6370856;Others;;548,9777654;;;;;;;;;
9330,71535;108,9964943;Others;;176,698461;;;;;;;;;
15343,84302;139,7726286;Others;;226,5908507;;;;;;;;;
50835,11956;254,4116438;Others;;412,436622;;;;;;;;;
113316,3542;379,8405761;Others;;615,7743482;;;;;;;;;
105561,493;366,6129666;Others;;594,3305554;;;;;;;;;
79663,57417;318,4820449;Others;;516,3036441;;;;;;;;;
25676,74632;180,8110859;Others;;293,1198918;;;;;;;;;
13277,26236;130,0197504;Others;;210,7800801;;;;;;;;;
173565,1288;470,0957196;Others;;762,0904757;;;;;;;;;
44158,47435;237,1166712;Others;;384,3990686;;;;;;;;;
35505,09982;212,6181957;Others;;344,683636;;;;;;;;;
33956,89223;207,9308972;Others;;337,0848739;;;;;;;;;
206893,0617;513,2488945;Others;;832,0477679;;;;;;;;;
80575,91078;320,30054;Others;;519,2516774;;;;;;;;;
21771,66915;166,4948952;Others;;269,9113576;;;;;;;;;
49501,17284;251,0514903;Others;;406,9893464;;;;;;;;;
34295,56264;208,9652281;Others;;338,7616681;;;;;;;;;
456465,5066;762,3581401;Others;;1235,888466;;;;;;;;;
136318,2954;416,6123431;Others;;675,3864916;;;;;;;;;
198080,7194;502,1993678;Others;;814,1349499;;;;;;;;;
49978,07607;252,2579292;Others;;408,9451514;;;;;;;;;
1508548,588;1385,908986;Plagioclase;;2246,751022;;;;;;;;;
218096,8318;526,9625326;Plagioclase;;854,2794806;;;;;;;;;
1648585,346;1448,807805;Plagioclase;;2348,718747;;;;;;;;;
349950,2071;667,5106309;Plagioclase;;1082,127475;;;;;;;;;
343805,7583;661,6245817;Plagioclase;;1072,585372;;;;;;;;;
396983,9241;710,9540286;Plagioclase;;1152,555259;;;;;;;;;
566747,6504;849,4736725;Plagioclase;;1377,114848;;;;;;;;;
328994,1116;647,2158163;Plagioclase;;1049,226761;;;;;;;;;
213825,4376;521,7767749;Plagioclase;;845,8726469;;;;;;;;;
310007,8338;628,2628695;Plagioclase;;1018,501401;;;;;;;;;
1713941,824;1477,246935;Plagioclase;;2394,822528;;;;;;;;;
1694153,795;1468,694525;Plagioclase;;2380,957883;;;;;;;;;
515221,3667;809,9384041;Plagioclase;;1313,022684;;;;;;;;;
244444,0072;557,8850926;Plagioclase;;904,4092466;;;;;;;;;
293226,3694;611,021611;Plagioclase;;990,5509257;;;;;;;;;
566415,8916;849,2250067;Plagioclase;;1376,711726;;;;;;;;;
216921,8528;525,5411317;Plagioclase;;851,9751922;;;;;;;;;
98767,34989;354,6188032;Plagioclase;;574,8863502;;;;;;;;;
188452,8035;489,8423846;Plagioclase;;794,1025633;;;;;;;;;
7273050,708;3043,079981;Plagioclase;;4933,25545;;;;;;;;;
2254439,061;1694,237576;Plagioclase;;2746,594505;;;;;;;;;
1906859,547;1558,16847;Plagioclase;;2526,00758;;;;;;;;;
274779,1996;591,4894276;Plagioclase;;958,8865427;;;;;;;;;
138536,9322;419,988929;Plagioclase;;680,8604065;;;;;;;;;
71252,10707;301,1992702;Quartz;;488,2858651;;;;;;;;;
696389,3006;941,6317731;Quartz;;1526,515933;;;;;;;;;
474802,0901;777,5196442;Quartz;;1260,46737;;;;;;;;;
585008,2059;863,0501618;Quartz;;1399,124223;;;;;;;;;
580425,7879;859,6633445;Quartz;;1393,633722;;;;;;;;;
449422,5444;756,453935;Quartz;;1226,316929;;;;;;;;;
1279870,034;1276,550484;Quartz;;2069,465697;;;;;;;;;
410924,704;723,3295121;Quartz;;1172,617637;;;;;;;;;
1447380,565;1357,520597;Quartz;;2200,7295;;;;;;;;;
129814,4413;406,5524322;Quartz;;659,0779782;;;;;;;;;
71535,48435;301,7976268;Quartz;;489,2558842;;;;;;;;;
1101307,789;1184,157349;Quartz;;1919,683588;;;;;;;;;
227372,254;538,0514335;Quartz;;872,2561297;;;;;;;;;
97198,40738;351,7909265;Quartz;;570,3019691;;;;;;;;;
1159441,601;1215,009011;Quartz;;1969,698418;;;;;;;;;
228526,498;539,4154005;Quartz;;874,4673097;;;;;;;;;
107787,0414;370,4574517;Quartz;;600,5629999;;;;;;;;;
776052,8748;994,0328007;Quartz;;1611,465279;;;;;;;;;
1253647,268;1263,405428;Quartz;;2048,155735;;;;;;;;;
833136,1178;1029,942645;Quartz;;1669,680125;;;;;;;;;
399499,7614;713,203263;Quartz;;1156,201581;;;;;;;;;
600690,7193;874,541696;Quartz;;1417,753596;;;;;;;;;
412811,582;724,988297;Quartz;;1175,306758;;;;;;;;;
809760,9479;1015,391383;Quartz;;1646,090509;;;;;;;;;
94855,36108;347,5249585;Quartz;;563,3862422;;;;;;;;;
127879,1818;403,5106333;Quartz;;654,1467997;;;;;;;;;
66911,59652;291,8809529;Quartz;;473,1795782;;;;;;;;;
160156,5453;451,5724159;Quartz;;732,0616268;;;;;;;;;
2985497,153;1949,680239;Quartz;;3160,702553;;;;;;;;;
5779949,638;2712,795688;Quartz;;4397,818722;;;;;;;;;
1883905,987;1548,761958;Quartz;;2510,758316;;;;;;;;;
2885223,066;1916,658577;Quartz;;3107,169851;;;;;;;;;
6818119,586;2946,37056;Quartz;;4776,476041;;;;;;;;;
2208455,914;1676,870121;Quartz;;2718,439447;;;;;;;;;
2203977,17;1675,168914;Quartz;;2715,681554;;;;;;;;;
2097067,907;1634,034818;Quartz;;2648,997471;;;;;;;;;
2932816,626;1932,402159;Quartz;;3132,692385;;;;;;;;;
48360,75208;248,1427451;Quartz;;402,2738664;;;;;;;;;
278013,8476;594,9606918;Quartz;;964,5139441;;;;;;;;;
84792,01179;328,5734963;Quartz;;532,663289;;;;;;;;;
108492,0288;371,6669764;Quartz;;602,5238075;;;;;;;;;
105568,4046;366,6249684;Quartz;;594,350012;;;;;;;;;
7962,210432;100,6866485;Quartz;;163,2270464;;;;;;;;;
