Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3D -1phi 3"
Duration Time,60.155
Ambient Temperature,"103.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"587510"
Raw Accumulated Counts,"606354"
Valid Count Last Packet,"9210"
Raw Count Last Packet,"9485"
Live Time,58.720978
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0871
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1732"
1,"1485"
2,"950"
3,"529"
4,"227"
5,"77"
6,"29"
7,"8"
8,"0"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"1"
21,"3"
22,"27"
23,"93"
24,"153"
25,"172"
26,"172"
27,"169"
28,"150"
29,"152"
30,"162"
31,"171"
32,"127"
33,"138"
34,"162"
35,"142"
36,"154"
37,"144"
38,"121"
39,"144"
40,"133"
41,"135"
42,"125"
43,"137"
44,"142"
45,"147"
46,"145"
47,"139"
48,"126"
49,"144"
50,"145"
51,"136"
52,"133"
53,"143"
54,"132"
55,"110"
56,"147"
57,"145"
58,"141"
59,"125"
60,"138"
61,"137"
62,"123"
63,"133"
64,"124"
65,"123"
66,"105"
67,"117"
68,"97"
69,"125"
70,"136"
71,"148"
72,"152"
73,"142"
74,"182"
75,"170"
76,"171"
77,"128"
78,"141"
79,"137"
80,"172"
81,"272"
82,"383"
83,"615"
84,"841"
85,"1133"
86,"1343"
87,"1251"
88,"1079"
89,"833"
90,"591"
91,"342"
92,"239"
93,"164"
94,"136"
95,"128"
96,"121"
97,"141"
98,"123"
99,"124"
100,"132"
101,"124"
102,"107"
103,"112"
104,"139"
105,"109"
106,"109"
107,"112"
108,"115"
109,"112"
110,"125"
111,"138"
112,"174"
113,"181"
114,"230"
115,"213"
116,"220"
117,"181"
118,"178"
119,"175"
120,"185"
121,"194"
122,"182"
123,"179"
124,"175"
125,"238"
126,"246"
127,"346"
128,"487"
129,"690"
130,"988"
131,"1268"
132,"1578"
133,"1822"
134,"1945"
135,"1853"
136,"1641"
137,"1522"
138,"1353"
139,"1265"
140,"1236"
141,"1409"
142,"1464"
143,"1455"
144,"1550"
145,"1719"
146,"1780"
147,"1762"
148,"1708"
149,"1260"
150,"1069"
151,"712"
152,"471"
153,"355"
154,"332"
155,"304"
156,"322"
157,"354"
158,"385"
159,"470"
160,"535"
161,"751"
162,"888"
163,"1060"
164,"1168"
165,"1234"
166,"1138"
167,"843"
168,"709"
169,"454"
170,"335"
171,"217"
172,"197"
173,"187"
174,"197"
175,"227"
176,"260"
177,"305"
178,"366"
179,"386"
180,"463"
181,"524"
182,"514"
183,"526"
184,"547"
185,"506"
186,"426"
187,"338"
188,"259"
189,"191"
190,"176"
191,"186"
192,"171"
193,"183"
194,"204"
195,"188"
196,"231"
197,"229"
198,"222"
199,"249"
200,"265"
201,"223"
202,"209"
203,"188"
204,"194"
205,"209"
206,"188"
207,"201"
208,"195"
209,"184"
210,"228"
211,"203"
212,"210"
213,"199"
214,"207"
215,"195"
216,"208"
217,"225"
218,"228"
219,"266"
220,"300"
221,"336"
222,"379"
223,"379"
224,"393"
225,"375"
226,"344"
227,"332"
228,"276"
229,"303"
230,"266"
231,"263"
232,"244"
233,"283"
234,"237"
235,"242"
236,"277"
237,"278"
238,"258"
239,"300"
240,"276"
241,"298"
242,"292"
243,"316"
244,"287"
245,"297"
246,"273"
247,"274"
248,"283"
249,"270"
250,"250"
251,"250"
252,"259"
253,"247"
254,"266"
255,"256"
256,"260"
257,"259"
258,"256"
259,"283"
260,"284"
261,"251"
262,"275"
263,"273"
264,"279"
265,"320"
266,"281"
267,"305"
268,"312"
269,"293"
270,"335"
271,"320"
272,"334"
273,"301"
274,"319"
275,"331"
276,"322"
277,"359"
278,"332"
279,"310"
280,"369"
281,"373"
282,"343"
283,"363"
284,"377"
285,"332"
286,"375"
287,"299"
288,"376"
289,"368"
290,"388"
291,"381"
292,"370"
293,"380"
294,"396"
295,"406"
296,"392"
297,"409"
298,"372"
299,"379"
300,"405"
301,"348"
302,"380"
303,"390"
304,"418"
305,"395"
306,"401"
307,"446"
308,"451"
309,"531"
310,"595"
311,"755"
312,"1007"
313,"1422"
314,"1887"
315,"2412"
316,"3010"
317,"3326"
318,"3521"
319,"3509"
320,"3154"
321,"2720"
322,"2052"
323,"1610"
324,"1141"
325,"905"
326,"715"
327,"582"
328,"501"
329,"484"
330,"452"
331,"426"
332,"423"
333,"452"
334,"452"
335,"479"
336,"428"
337,"519"
338,"512"
339,"499"
340,"521"
341,"586"
342,"563"
343,"555"
344,"619"
345,"660"
346,"700"
347,"763"
348,"771"
349,"841"
350,"923"
351,"880"
352,"849"
353,"822"
354,"772"
355,"717"
356,"693"
357,"659"
358,"650"
359,"657"
360,"703"
361,"740"
362,"792"
363,"842"
364,"853"
365,"875"
366,"947"
367,"975"
368,"1094"
369,"1076"
370,"1145"
371,"1154"
372,"1147"
373,"1056"
374,"945"
375,"797"
376,"685"
377,"613"
378,"482"
379,"473"
380,"370"
381,"379"
382,"385"
383,"354"
384,"360"
385,"351"
386,"380"
387,"395"
388,"361"
389,"373"
390,"395"
391,"423"
392,"459"
393,"428"
394,"490"
395,"525"
396,"604"
397,"582"
398,"624"
399,"666"
400,"652"
401,"688"
402,"612"
403,"610"
404,"566"
405,"537"
406,"554"
407,"509"
408,"529"
409,"547"
410,"518"
411,"549"
412,"521"
413,"436"
414,"448"
415,"457"
416,"476"
417,"424"
418,"418"
419,"436"
420,"407"
421,"424"
422,"434"
423,"406"
424,"450"
425,"425"
426,"472"
427,"472"
428,"447"
429,"481"
430,"439"
431,"442"
432,"448"
433,"461"
434,"444"
435,"438"
436,"400"
437,"425"
438,"436"
439,"463"
440,"431"
