Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3AE 1phi 0"
Duration Time,60.034
Ambient Temperature,"102.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"681700"
Raw Accumulated Counts,"706159"
Valid Count Last Packet,"10589"
Raw Count Last Packet,"10994"
Live Time,58.373985
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0871
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1773"
1,"1479"
2,"923"
3,"514"
4,"222"
5,"72"
6,"18"
7,"3"
8,"1"
9,"0"
10,"1"
11,"0"
12,"1"
13,"0"
14,"0"
15,"2"
16,"0"
17,"2"
18,"0"
19,"0"
20,"0"
21,"2"
22,"37"
23,"112"
24,"178"
25,"181"
26,"178"
27,"179"
28,"177"
29,"196"
30,"156"
31,"186"
32,"136"
33,"155"
34,"140"
35,"159"
36,"151"
37,"160"
38,"136"
39,"144"
40,"147"
41,"160"
42,"179"
43,"153"
44,"142"
45,"173"
46,"172"
47,"180"
48,"167"
49,"168"
50,"146"
51,"150"
52,"162"
53,"136"
54,"137"
55,"146"
56,"142"
57,"178"
58,"147"
59,"167"
60,"154"
61,"153"
62,"129"
63,"137"
64,"136"
65,"139"
66,"110"
67,"131"
68,"123"
69,"151"
70,"165"
71,"183"
72,"205"
73,"209"
74,"249"
75,"226"
76,"197"
77,"212"
78,"209"
79,"201"
80,"211"
81,"306"
82,"446"
83,"750"
84,"1042"
85,"1408"
86,"1602"
87,"1610"
88,"1393"
89,"943"
90,"699"
91,"409"
92,"297"
93,"239"
94,"157"
95,"149"
96,"139"
97,"153"
98,"151"
99,"150"
100,"152"
101,"142"
102,"109"
103,"104"
104,"146"
105,"139"
106,"125"
107,"128"
108,"139"
109,"144"
110,"149"
111,"179"
112,"184"
113,"220"
114,"239"
115,"260"
116,"234"
117,"210"
118,"213"
119,"203"
120,"210"
121,"196"
122,"182"
123,"188"
124,"203"
125,"222"
126,"272"
127,"343"
128,"478"
129,"663"
130,"982"
131,"1340"
132,"1634"
133,"1899"
134,"2013"
135,"1943"
136,"1732"
137,"1453"
138,"1327"
139,"1313"
140,"1373"
141,"1410"
142,"1388"
143,"1501"
144,"1536"
145,"1669"
146,"1769"
147,"1692"
148,"1623"
149,"1314"
150,"1025"
151,"751"
152,"485"
153,"376"
154,"319"
155,"315"
156,"334"
157,"409"
158,"506"
159,"796"
160,"1128"
161,"1566"
162,"2215"
163,"2761"
164,"3319"
165,"3292"
166,"2948"
167,"2459"
168,"1650"
169,"1143"
170,"659"
171,"439"
172,"294"
173,"263"
174,"323"
175,"380"
176,"537"
177,"637"
178,"766"
179,"811"
180,"866"
181,"903"
182,"904"
183,"872"
184,"848"
185,"731"
186,"572"
187,"443"
188,"382"
189,"296"
190,"209"
191,"203"
192,"196"
193,"196"
194,"192"
195,"212"
196,"252"
197,"227"
198,"305"
199,"267"
200,"274"
201,"294"
202,"278"
203,"248"
204,"230"
205,"201"
206,"234"
207,"206"
208,"217"
209,"191"
210,"183"
211,"192"
212,"224"
213,"225"
214,"223"
215,"244"
216,"250"
217,"233"
218,"257"
219,"297"
220,"364"
221,"371"
222,"361"
223,"420"
224,"363"
225,"372"
226,"313"
227,"309"
228,"323"
229,"273"
230,"221"
231,"233"
232,"265"
233,"255"
234,"279"
235,"271"
236,"287"
237,"296"
238,"321"
239,"351"
240,"369"
241,"350"
242,"379"
243,"372"
244,"356"
245,"349"
246,"354"
247,"312"
248,"331"
249,"292"
250,"331"
251,"334"
252,"317"
253,"285"
254,"320"
255,"308"
256,"305"
257,"318"
258,"301"
259,"328"
260,"321"
261,"335"
262,"362"
263,"333"
264,"388"
265,"357"
266,"323"
267,"326"
268,"341"
269,"338"
270,"330"
271,"366"
272,"355"
273,"376"
