Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4E -1phi 4"
Duration Time,60.054
Ambient Temperature,"102.6"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"662600"
Raw Accumulated Counts,"686824"
Valid Count Last Packet,"10267"
Raw Count Last Packet,"10652"
Live Time,58.407001
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,754
Channel#,Intensity
0,"1762"
1,"1504"
2,"1060"
3,"489"
4,"209"
5,"73"
6,"26"
7,"8"
8,"2"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"32"
23,"114"
24,"159"
25,"184"
26,"182"
27,"187"
28,"192"
29,"173"
30,"172"
31,"152"
32,"153"
33,"157"
34,"171"
35,"162"
36,"168"
37,"162"
38,"169"
39,"164"
40,"128"
41,"140"
42,"153"
43,"167"
44,"160"
45,"171"
46,"182"
47,"172"
48,"153"
49,"158"
50,"179"
51,"161"
52,"164"
53,"138"
54,"160"
55,"170"
56,"159"
57,"134"
58,"143"
59,"142"
60,"147"
61,"148"
62,"165"
63,"156"
64,"146"
65,"112"
66,"132"
67,"155"
68,"144"
69,"140"
70,"155"
71,"164"
72,"186"
73,"218"
74,"236"
75,"217"
76,"203"
77,"211"
78,"190"
79,"202"
80,"228"
81,"388"
82,"570"
83,"970"
84,"1384"
85,"1769"
86,"1953"
87,"2009"
88,"1677"
89,"1253"
90,"844"
91,"515"
92,"342"
93,"238"
94,"172"
95,"179"
96,"153"
97,"125"
98,"128"
99,"122"
100,"136"
101,"126"
102,"133"
103,"148"
104,"137"
105,"118"
106,"128"
107,"122"
108,"147"
109,"119"
110,"135"
111,"148"
112,"191"
113,"203"
114,"236"
115,"227"
116,"222"
117,"221"
118,"196"
119,"187"
120,"153"
121,"185"
122,"193"
123,"203"
124,"189"
125,"231"
126,"296"
127,"388"
128,"535"
129,"690"
130,"978"
131,"1326"
132,"1639"
133,"2004"
134,"1946"
135,"1905"
136,"1695"
137,"1541"
138,"1405"
139,"1404"
140,"1496"
141,"1508"
142,"1625"
143,"1619"
144,"1707"
145,"1831"
146,"1875"
147,"1907"
148,"1710"
149,"1410"
150,"1196"
151,"832"
152,"589"
153,"455"
154,"373"
155,"343"
156,"343"
157,"406"
158,"517"
159,"734"
160,"1074"
161,"1572"
162,"2211"
163,"2765"
164,"3214"
165,"3269"
166,"2806"
167,"2253"
168,"1561"
169,"1116"
170,"637"
171,"442"
172,"293"
173,"281"
174,"329"
175,"396"
176,"481"
177,"554"
178,"659"
179,"713"
180,"825"
181,"891"
182,"810"
183,"789"
184,"710"
185,"678"
186,"492"
187,"429"
188,"290"
189,"245"
190,"175"
191,"202"
192,"185"
193,"169"
194,"197"
195,"188"
196,"210"
197,"290"
198,"258"
199,"270"
200,"283"
201,"232"
202,"246"
203,"213"
204,"196"
205,"199"
206,"190"
207,"201"
208,"178"
209,"186"
210,"204"
211,"184"
212,"206"
213,"215"
214,"211"
215,"209"
216,"214"
217,"218"
218,"260"
219,"292"
220,"315"
221,"374"
222,"393"
223,"422"
224,"439"
225,"373"
226,"367"
227,"318"
228,"271"
229,"279"
230,"248"
231,"240"
232,"240"
233,"228"
234,"212"
235,"250"
236,"268"
237,"231"
238,"285"
239,"296"
240,"323"
241,"319"
242,"303"
243,"323"
244,"331"
245,"313"
246,"334"
247,"339"
248,"354"
249,"356"
250,"355"
251,"372"
252,"376"
253,"360"
254,"338"
255,"325"
256,"314"
257,"338"
258,"316"
259,"306"
260,"280"
261,"313"
262,"331"
263,"334"
264,"321"
265,"331"
266,"292"
267,"343"
268,"334"
269,"312"
270,"316"
271,"366"
272,"354"
273,"348"
274,"370"
275,"294"
276,"352"
277,"356"
278,"364"
279,"356"
280,"402"
281,"382"
282,"391"
283,"448"
284,"470"
285,"416"
286,"462"
287,"468"
288,"461"
289,"465"
290,"442"
291,"432"
292,"458"
293,"427"
294,"405"
295,"388"
296,"392"
297,"419"
298,"407"
299,"431"
300,"444"
301,"475"
302,"480"
303,"507"
304,"501"
305,"489"
306,"519"
307,"526"
308,"535"
309,"497"
310,"530"
311,"534"
312,"591"
313,"728"
314,"745"
315,"930"
316,"1037"
317,"1122"
318,"1172"
319,"1043"
320,"1004"
321,"883"
322,"692"
323,"626"
324,"522"
325,"460"
326,"459"
327,"425"
328,"386"
329,"448"
330,"401"
331,"430"
332,"410"
333,"406"
334,"434"
335,"442"
336,"442"
337,"416"
338,"415"
339,"431"
340,"415"
341,"443"
342,"440"
343,"453"
344,"458"
345,"507"
346,"561"
347,"592"
348,"590"
349,"555"
350,"625"
351,"643"
352,"637"
353,"590"
354,"654"
355,"676"
356,"653"
357,"689"
358,"724"
359,"777"
360,"825"
361,"817"
362,"861"
363,"896"
364,"930"
365,"997"
366,"1058"
367,"1117"
368,"1216"
369,"1237"
370,"1312"
371,"1285"
372,"1234"
373,"1206"
374,"1064"
375,"885"
376,"775"
377,"622"
378,"603"
379,"503"
380,"479"
381,"450"
382,"446"
383,"456"
384,"435"
385,"414"
386,"466"
387,"425"
388,"439"
389,"446"
390,"432"
391,"447"
392,"436"
393,"448"
394,"511"
395,"534"
396,"561"
397,"608"
398,"666"
399,"674"
400,"655"
401,"673"
402,"663"
403,"603"
404,"622"
405,"589"
406,"548"
407,"505"
408,"579"
409,"535"
410,"564"
411,"534"
412,"541"
413,"526"
414,"515"
415,"441"
416,"451"
417,"471"
418,"440"
419,"460"
420,"399"
421,"442"
422,"490"
423,"461"
424,"426"
425,"484"
426,"485"
427,"512"
428,"504"
429,"515"
430,"553"
431,"493"
432,"580"
433,"492"
434,"511"
435,"517"
436,"509"
437,"478"
438,"518"
439,"521"
440,"475"
441,"477"
442,"494"
443,"451"
444,"485"
445,"564"
446,"544"
447,"501"
448,"588"
449,"561"
450,"506"
451,"539"
452,"535"
453,"523"
454,"502"
455,"493"
456,"563"
457,"522"
458,"515"
459,"548"
460,"520"
461,"561"
462,"608"
463,"573"
464,"599"
465,"594"
466,"558"
467,"547"
468,"603"
469,"552"
470,"508"
471,"562"
472,"524"
473,"521"
474,"509"
475,"505"
476,"490"
477,"460"
478,"532"
479,"469"
480,"490"
481,"511"
482,"498"
483,"497"
484,"497"
485,"517"
486,"527"
487,"516"
488,"495"
489,"506"
490,"506"
491,"495"
492,"504"
493,"482"
494,"532"
495,"485"
496,"549"
497,"524"
498,"539"
499,"573"
500,"569"
501,"573"
502,"553"
503,"580"
504,"529"
505,"556"
506,"565"
507,"534"
508,"481"
509,"532"
510,"508"
511,"498"
512,"502"
513,"502"
514,"494"
515,"482"
516,"520"
517,"515"
518,"525"
519,"490"
520,"531"
521,"537"
522,"534"
523,"538"
524,"513"
525,"507"
526,"522"
527,"557"
528,"545"
529,"529"
530,"486"
531,"474"
532,"486"
533,"464"
534,"489"
535,"424"
536,"463"
537,"431"
538,"469"
539,"469"
540,"414"
541,"477"
542,"473"
