Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3FG 0phi 2"
Duration Time,60.083
Ambient Temperature,"97.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"632729"
Raw Accumulated Counts,"654060"
Valid Count Last Packet,"10005"
Raw Count Last Packet,"10321"
Live Time,58.547024
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,759
Channel#,Intensity
0,"1751"
1,"1428"
2,"1003"
3,"511"
4,"246"
5,"78"
6,"20"
7,"6"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"32"
23,"120"
24,"172"
25,"173"
26,"190"
27,"166"
28,"190"
29,"176"
30,"161"
31,"158"
32,"167"
33,"151"
34,"180"
35,"143"
36,"137"
37,"149"
38,"140"
39,"153"
40,"154"
41,"148"
42,"130"
43,"176"
44,"135"
45,"163"
46,"162"
47,"150"
48,"159"
49,"155"
50,"155"
51,"189"
52,"134"
53,"139"
54,"136"
55,"131"
56,"144"
57,"175"
58,"144"
59,"155"
60,"139"
61,"145"
62,"163"
63,"143"
64,"114"
65,"118"
66,"118"
67,"116"
68,"131"
69,"106"
70,"126"
71,"153"
72,"160"
73,"178"
74,"191"
75,"169"
76,"180"
77,"176"
78,"166"
79,"169"
80,"210"
81,"289"
82,"490"
83,"807"
84,"1106"
85,"1472"
86,"1654"
87,"1674"
88,"1351"
89,"1053"
90,"695"
91,"428"
92,"274"
93,"199"
94,"177"
95,"136"
96,"132"
97,"123"
98,"125"
99,"121"
100,"114"
101,"131"
102,"126"
103,"113"
104,"113"
105,"134"
106,"135"
107,"90"
108,"115"
109,"126"
110,"140"
111,"144"
112,"152"
113,"175"
114,"217"
115,"203"
116,"214"
117,"189"
118,"183"
119,"203"
120,"191"
121,"190"
122,"182"
123,"184"
124,"213"
125,"222"
126,"270"
127,"363"
128,"492"
129,"708"
130,"998"
131,"1290"
132,"1648"
133,"1947"
134,"1978"
135,"1762"
136,"1636"
137,"1425"
138,"1322"
139,"1378"
140,"1368"
141,"1435"
142,"1468"
143,"1464"
144,"1513"
145,"1780"
146,"1874"
147,"1769"
148,"1546"
149,"1314"
150,"1002"
151,"696"
152,"506"
153,"328"
154,"326"
155,"295"
156,"324"
157,"355"
158,"471"
159,"583"
160,"790"
161,"1225"
162,"1600"
163,"1868"
164,"1953"
165,"2033"
166,"1875"
167,"1472"
168,"1023"
169,"743"
170,"443"
171,"285"
172,"239"
173,"215"
174,"247"
