Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2C -1phi 4"
Duration Time,60.034
Ambient Temperature,"98.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"683151"
Raw Accumulated Counts,"707886"
Valid Count Last Packet,"10758"
Raw Count Last Packet,"11210"
Live Time,58.350971
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7946
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1795"
1,"1433"
2,"952"
3,"499"
4,"216"
5,"80"
6,"13"
7,"9"
8,"0"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"3"
22,"32"
23,"94"
24,"177"
25,"190"
26,"207"
27,"172"
28,"174"
29,"207"
30,"165"
31,"181"
32,"162"
33,"150"
34,"164"
35,"174"
36,"158"
37,"146"
38,"150"
39,"179"
40,"157"
41,"159"
42,"180"
43,"150"
44,"162"
45,"153"
46,"161"
47,"179"
48,"175"
49,"157"
50,"174"
51,"169"
52,"158"
53,"158"
54,"152"
55,"144"
56,"147"
57,"138"
58,"166"
59,"162"
60,"156"
61,"141"
62,"142"
63,"148"
64,"128"
65,"142"
66,"138"
67,"132"
68,"143"
69,"169"
70,"171"
71,"187"
72,"205"
73,"217"
74,"237"
75,"221"
76,"214"
77,"178"
78,"208"
79,"198"
80,"238"
81,"400"
82,"623"
83,"1065"
84,"1528"
85,"1964"
86,"2172"
87,"2112"
88,"1748"
89,"1298"
90,"785"
91,"488"
92,"329"
93,"233"
94,"192"
95,"142"
96,"129"
97,"139"
98,"148"
99,"165"
100,"159"
101,"154"
102,"144"
103,"148"
104,"126"
105,"127"
106,"145"
107,"117"
108,"139"
109,"154"
110,"147"
111,"165"
112,"197"
113,"231"
114,"275"
115,"270"
116,"274"
117,"243"
118,"206"
119,"201"
120,"189"
121,"187"
122,"202"
123,"205"
124,"232"
125,"231"
126,"303"
127,"357"
128,"496"
129,"721"
130,"1001"
131,"1336"
132,"1690"
133,"1990"
134,"1926"
135,"1836"
136,"1643"
137,"1333"
138,"1315"
139,"1353"
140,"1337"
141,"1422"
142,"1399"
143,"1559"
144,"1614"
145,"1730"
146,"1731"
147,"1699"
148,"1492"
149,"1288"
150,"934"
151,"656"
152,"452"
153,"349"
154,"319"
155,"308"
156,"355"
157,"374"
158,"490"
159,"628"
160,"757"
161,"1067"
162,"1403"
163,"1817"
164,"1945"
165,"1886"
166,"1705"
167,"1330"
168,"966"
169,"637"
170,"434"
171,"283"
172,"222"
173,"227"
174,"231"
175,"314"
176,"392"
177,"454"
178,"516"
179,"618"
180,"680"
181,"694"
182,"783"
183,"694"
184,"701"
185,"610"
186,"513"
187,"390"
188,"339"
189,"219"
190,"209"
191,"204"
192,"184"
193,"229"
194,"214"
195,"246"
196,"236"
197,"257"
198,"256"
199,"274"
200,"292"
201,"252"
202,"248"
203,"220"
204,"215"
205,"203"
206,"202"
207,"216"
208,"237"
209,"219"
210,"246"
211,"216"
212,"241"
213,"232"
214,"277"
215,"247"
216,"278"
217,"306"
218,"296"
219,"344"
220,"426"
221,"480"
222,"471"
223,"552"
224,"511"
225,"523"
226,"499"
227,"396"
228,"314"
229,"294"
230,"287"
231,"258"
232,"266"
233,"256"
234,"291"
235,"295"
236,"272"
237,"279"
238,"278"
239,"346"
240,"360"
241,"362"
242,"372"
243,"396"
244,"438"
245,"352"
246,"382"
247,"414"
248,"362"
249,"349"
250,"319"
251,"340"
252,"332"
253,"337"
254,"344"
255,"357"
256,"343"
257,"294"
258,"314"
259,"331"
260,"310"
261,"353"
262,"323"
263,"373"
264,"339"
265,"330"
266,"353"
267,"339"
268,"370"
269,"359"
270,"352"
271,"334"
272,"348"
273,"335"
274,"359"
275,"351"
276,"371"
277,"349"
278,"374"
279,"357"
280,"368"
281,"412"
282,"398"
283,"393"
284,"388"
285,"380"
286,"384"
287,"408"
288,"438"
289,"394"
290,"414"
291,"412"
292,"410"
293,"426"
294,"426"
295,"416"
296,"402"
297,"416"
298,"402"
299,"427"
300,"419"
301,"426"
302,"438"
303,"423"
304,"434"
305,"462"
306,"466"
307,"479"
308,"536"
309,"618"
310,"802"
311,"1069"
312,"1467"
313,"1999"
314,"2733"
315,"3283"
316,"3959"
317,"4394"
318,"4292"
319,"3984"
320,"3372"
321,"2736"
322,"2060"
323,"1509"
324,"1048"
325,"780"
326,"620"
327,"596"
328,"544"
329,"509"
330,"443"
331,"493"
332,"429"
333,"488"
334,"476"
335,"479"
336,"450"
337,"471"
338,"447"
339,"502"
340,"449"
341,"480"
342,"513"
343,"555"
344,"607"
345,"653"
346,"767"
347,"808"
348,"934"
349,"989"
350,"1019"
351,"994"
352,"974"
353,"870"
354,"846"
355,"807"
356,"703"
357,"732"
358,"711"
359,"717"
360,"783"
361,"866"
362,"835"
363,"832"
364,"913"
365,"955"
366,"1094"
367,"1154"
368,"1267"
369,"1295"
370,"1376"
371,"1278"
372,"1283"
373,"1154"
374,"975"
375,"867"
376,"743"
377,"629"
378,"566"
379,"498"
380,"467"
381,"449"
382,"458"
383,"459"
384,"417"
385,"410"
386,"414"
387,"452"
388,"428"
389,"450"
390,"451"
391,"448"
392,"504"
393,"462"
394,"516"
395,"611"
396,"595"
397,"694"
398,"635"
399,"657"
400,"718"
401,"722"
402,"726"
403,"645"
404,"623"
405,"647"
406,"626"
407,"627"
408,"632"
409,"634"
410,"660"
411,"687"
412,"658"
413,"624"
414,"625"
415,"599"
416,"556"
417,"541"
418,"530"
419,"515"
420,"492"
421,"496"
422,"511"
423,"508"
424,"520"
425,"477"
426,"539"
427,"488"
428,"533"
429,"557"
430,"552"
431,"524"
432,"539"
433,"471"
434,"518"
435,"529"
