Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4A 3phi 0"
Duration Time,60.033
Ambient Temperature,"97.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"702924"
Raw Accumulated Counts,"728900"
Valid Count Last Packet,"11140"
Raw Count Last Packet,"11492"
Live Time,58.296989
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7856
Number of Channels,2048
Vacuum,754
Channel#,Intensity
0,"1805"
1,"1463"
2,"913"
3,"500"
4,"210"
5,"73"
6,"24"
7,"4"
8,"0"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"7"
22,"30"
23,"115"
24,"174"
25,"203"
26,"188"
27,"191"
28,"196"
29,"165"
30,"180"
31,"169"
32,"169"
33,"155"
34,"168"
35,"154"
36,"170"
37,"145"
38,"156"
39,"166"
40,"163"
41,"153"
42,"147"
43,"154"
44,"165"
45,"162"
46,"178"
47,"138"
48,"180"
49,"168"
50,"154"
51,"138"
52,"148"
53,"133"
54,"167"
55,"136"
56,"140"
57,"143"
58,"166"
59,"161"
60,"152"
61,"156"
62,"143"
63,"152"
64,"133"
65,"131"
66,"119"
67,"113"
68,"132"
69,"128"
70,"150"
71,"157"
72,"154"
73,"181"
74,"218"
75,"230"
76,"193"
77,"187"
78,"169"
79,"204"
80,"238"
81,"347"
82,"495"
83,"836"
84,"1181"
85,"1597"
86,"1711"
87,"1624"
88,"1406"
89,"1020"
90,"678"
91,"444"
92,"281"
93,"196"
94,"145"
95,"153"
96,"130"
97,"126"
98,"142"
99,"145"
100,"134"
101,"130"
102,"114"
103,"125"
104,"118"
105,"136"
106,"110"
107,"114"
108,"117"
109,"138"
110,"149"
111,"154"
112,"180"
113,"217"
114,"215"
115,"236"
116,"232"
117,"196"
118,"209"
119,"206"
120,"188"
121,"185"
122,"176"
123,"199"
124,"222"
125,"286"
126,"309"
127,"390"
128,"569"
129,"773"
130,"1019"
131,"1421"
132,"1779"
133,"2023"
134,"2034"
135,"1927"
136,"1666"
137,"1489"
138,"1293"
139,"1287"
140,"1380"
141,"1432"
142,"1396"
143,"1588"
144,"1613"
145,"1795"
146,"1733"
147,"1746"
148,"1585"
149,"1281"
150,"1032"
151,"685"
152,"455"
153,"354"
154,"303"
155,"292"
156,"331"
