Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,L2-4B 0phi 2
Duration Time,60.034
Ambient Temperature,103.2
Detector Temperature,-15
Valid Accumulated Counts,828811
Raw Accumulated Counts,862456
Valid Count Last Packet,13000
Raw Count Last Packet,13598
Live Time,57.993996
HV DAC,171
HV ADC,40
Filament DAC,200
Filament ADC,5
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0871
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,1770
1,1518
2,970
3,487
4,217
5,76
6,24
7,5
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,4
22,36
23,101
24,181
25,177
26,201
27,174
28,200
29,192
30,169
31,186
32,179
33,174
34,187
35,166
36,132
37,172
38,145
39,184
40,167
41,152
42,155
43,154
44,161
45,171
46,188
47,168
48,182
49,197
50,172
51,154
52,170
53,156
54,151
55,153
56,159
57,148
58,171
59,163
60,145
61,149
62,144
63,141
64,152
65,139
66,128
67,147
68,146
69,160
70,161
71,182
72,200
73,210
74,236
75,200
76,199
77,180
78,190
79,180
80,183
81,250
82,369
83,585
84,833
85,1133
86,1236
87,1299
88,1050
89,781
90,581
91,370
92,263
93,188
94,178
95,177
96,166
97,168
98,169
99,159
100,193
101,153
102,143
103,150
104,154
105,133
106,117
107,130
108,152
109,170
110,176
111,214
112,236
113,295
114,312
115,322
116,312
117,311
118,287
119,231
120,224
121,204
122,178
123,216
124,207
125,233
126,278
127,379
128,454
129,692
130,1020
131,1322
132,1673
133,1928
134,1934
135,1913
136,1727
137,1440
138,1372
139,1339
140,1370
141,1379
142,1504
143,1503
144,1567
145,1685
146,1795
147,1763
148,1558
149,1314
150,1043
151,783
152,563
153,391
154,317
155,310
156,375
157,427
158,477
159,709
160,905
161,1373
162,1912
163,2367
164,2629
165,2800
166,2554
167,2030
168,1493
169,974
170,625
171,389
172,289
173,280
174,287
175,420
176,489
177,593
178,715
179,954
180,1039
181,1200
182,1325
183,1379
184,1354
185,1198
186,919
187,729
188,488
189,369
190,285
191,215
192,188
193,208
194,271
195,270
196,291
197,340
198,370
199,340
200,387
201,321
202,329
203,302
204,256
205,263
206,213
207,228
208,224
209,212
210,257
211,215
212,228
213,228
214,212
215,226
216,254
217,270
218,321
219,350
220,446
221,504
222,602
223,610
224,685
225,646
226,634
227,534
228,499
229,433
230,431
231,391
232,390
233,358
234,334
235,301
236,325
237,321
238,326
239,351
240,344
241,350
242,388
243,426
244,390
245,399
246,410
247,359
248,370
249,329
250,325
251,335
252,340
253,339
254,344
255,311
256,329
257,303
258,338
259,333
260,322
261,358
262,331
263,316
264,357
265,371
266,395
267,366
268,405
269,402
270,376
271,398
272,380
273,388
274,432
275,363
276,374
277,418
278,362
279,393
280,364
281,441
282,406
283,403
284,452
285,439
286,468
287,460
288,493
289,539
290,571
291,609
292,656
293,630
294,636
295,621
296,623
297,548
298,549
299,491
300,528
301,504
302,484
303,535
304,519
305,564
306,621
307,713
308,799
309,1084
310,1690
311,2729
312,4409
313,6939
314,9867
315,13545
316,16886
317,19556
318,20538
319,20443
320,18029
321,14597
322,10866
323,7649
324,4945
325,3010
326,1784
327,1141
328,811
329,616
330,505
331,517
332,528
333,570
334,497
335,537
336,537
337,518
338,556
339,602
340,633
341,641
342,773
343,830
344,1078
345,1251
346,1736
347,2281
348,2695
349,3156
350,3413
351,3431
352,3284
353,2993
354,2494
355,1950
356,1599
357,1183
358,976
359,912
360,786
361,792
362,860
363,869
364,900
365,935
366,998
367,1042
368,1115
369,1232
370,1301
371,1290
372,1213
373,1183
374,1058
375,893
376,752
377,643
378,599
379,473
380,487
381,465
382,475
383,475
384,434
385,462
386,460
387,487
388,442
389,448
390,459
391,491
392,475
393,486
394,502
395,527
396,527
397,628
398,631
399,704
400,691
401,722
402,618
403,640
404,592
405,544
406,566
407,552
408,528
409,553
410,558
411,546
412,539
413,528
414,482
415,502
416,490
417,451
418,430
419,465
420,469
421,473
422,544
423,519
424,528
425,598
426,650
427,691
428,656
429,707
430,629
431,640
432,590
433,596
434,562
435,508
436,483
437,413
438,453
439,457
440,463
441,447
442,499
443,506
444,465
445,490
446,437
447,471
448,468
449,427
450,483
451,457
452,457
453,514
454,476
455,480
456,466
457,469
458,473
459,445
460,472
461,481
462,481
463,438
464,482
465,472
466,487
467,488
468,474
469,463
470,459
471,465
472,529
473,508
474,514
475,491
476,508
477,516
478,494
479,490
480,485
481,463
482,496
483,479
484,454
485,509
486,468
487,447
488,444
489,481
490,448
491,465
492,459
493,451
494,482
495,457
496,523
497,458
498,457
499,471
500,436
501,476
502,477
503,459
504,473
505,544
506,435
507,454
508,486
509,497
510,472
511,438
512,476
513,444
514,489
515,449
516,470
517,454
518,513
519,495
520,524
521,506
522,524
523,554
524,543
525,560
526,505
527,510
528,488
529,479
530,469
531,462
532,454
533,438
534,443
535,431
536,474
537,460
538,458
539,451
540,465
541,476
542,428
543,446
544,474
545,472
546,451
547,462
548,451
549,463
550,429
551,465
552,444
553,490
554,457
555,473
556,458
557,483
558,436
559,470
560,463
561,433
562,481
563,457
564,463
565,433
566,414
567,447
568,433
569,462
570,447
571,453
572,451
573,439
574,425
575,459
576,477
577,498
578,507
579,460
580,431
581,474
582,467
583,445
584,467
585,481
586,424
587,462
588,479
589,471
590,442
591,425
592,433
593,447
594,434
595,444
596,446
597,440
598,448
599,475
600,432
601,453
602,442
603,471
604,471
605,439
606,448
607,492
608,450
609,434
610,476
611,448
612,447
613,421
614,436
615,460
616,422
617,469
618,457
619,462
620,438
621,440
622,457
623,467
624,491
625,464
626,488
627,499
628,495
629,507
630,491
631,462
632,491
633,507
634,494
635,464
636,440
637,464
638,457
639,488
640,436
641,468
642,457
643,446
644,488
645,468
646,473
647,467
648,442
649,478
650,453
651,450
652,454
653,491
654,471
655,488
656,513
657,575
658,632
659,668
660,783
661,764
662,795
663,932
664,939
665,962
666,992
667,965
668,834
669,782
670,771
671,644
672,577
673,557
674,579
675,513
676,477
677,479
678,472
679,489
680,460
681,462
682,447
683,407
684,463
685,464
686,421
687,418
688,451
689,458
690,436
691,440
692,475
693,442
694,522
695,473
696,499
697,555
698,541
699,588
700,620
701,631
702,634
703,700
704,638
705,618
706,669
707,618
708,598
709,556
710,522
711,505
712,473
713,466
714,412
715,435
716,477
717,422
718,445
719,407
720,430
721,407
722,433
723,434
724,394
725,430
726,408
727,461
728,393
729,394
730,458
731,454
732,421
733,461
734,451
735,437
736,434
737,443
738,489
739,440
740,524
741,560
742,481
743,549
744,537
745,512
746,470
747,529
748,477
749,468
750,435
751,444
752,438
753,452
754,440
755,453
756,431
757,458
758,397
759,431
760,439
761,404
762,435
763,383
764,418
765,421
766,390
767,386
768,445
769,422
770,430
771,433
772,423
773,455
774,433
775,482
776,486
777,577
778,537
779,593
780,573
781,612
782,593
783,684
784,651
785,598
786,615
787,612
788,600
789,589
790,515
791,491
792,464
793,443
794,463
795,410
796,420
797,410
798,402
799,392
800,380
801,401
802,371
803,384
804,415
805,398
806,393
807,374
808,426
809,386
810,382
811,383
812,381
813,363
814,406
815,402
816,383
817,387
818,402
819,397
820,361
821,382
822,383
823,395
824,394
825,359
826,378
827,432
828,379
829,393
830,413
831,335
832,357
833,359
834,391
835,347
836,385
837,372
838,423
839,371
840,378
841,386
842,393
843,364
844,390
845,409
846,354
847,383
848,355
849,372
850,381
851,389
852,386
853,352
854,371
855,391
856,404
857,396
858,396
859,378
860,387
861,415
862,381
863,443
864,428
865,384
866,389
867,409
868,400
869,425
870,454
871,436
872,391
873,410
874,436
875,448
876,448
877,452
878,464
879,464
880,458
881,426
882,427
883,447
884,391
885,453
886,430
887,446
888,395
889,464
890,411
891,447
892,447
893,457
894,450
895,439
896,473
897,474
898,434
899,449
900,481
901,465
902,480
903,491
904,521
905,499
906,513
907,515
908,515
909,539
910,580
911,578
912,537
913,612
914,624
915,686
916,659
917,663
918,708
919,710
920,766
921,723
922,764
923,889
924,856
925,902
926,930
927,945
928,1009
929,1023
930,1101
931,1151
932,1087
933,1178
934,1275
935,1278
936,1243
937,1278
938,1325
939,1272
940,1342
941,1321
942,1333
943,1298
944,1351
945,1298
946,1350
947,1262
948,1214
949,1221
950,1117
951,1096
952,1004
953,1101
954,1018
955,929
956,921
957,888
958,823
959,840
960,780
961,773
962,732
963,633
964,609
965,633
966,600
967,596
968,604
969,554
970,481
971,553
972,481
973,522
974,501
975,450
976,450
977,454
978,419
979,411
980,407
981,422
982,382
983,385
984,390
985,377
986,392
987,406
988,408
989,421
990,408
991,446
992,459
993,493
994,530
995,594
996,641
997,677
998,803
999,766
1000,816
1001,838
1002,808
1003,864
1004,846
1005,801
1006,775
1007,810
1008,740
1009,625
1010,573
1011,545
1012,488
1013,421
1014,445
1015,384
1016,368
1017,389
1018,351
1019,323
1020,305
1021,317
1022,348
1023,345
1024,322
1025,339
1026,340
1027,357
1028,346
1029,328
1030,359
1031,324
1032,395
1033,368
1034,390
1035,384
1036,380
1037,440
1038,421
1039,462
1040,478
1041,458
1042,538
1043,513
1044,561
1045,522
1046,576
1047,591
1048,610
1049,638
1050,595
1051,592
1052,619
1053,604
1054,618
1055,623
1056,557
1057,540
1058,524
1059,489
1060,545
1061,437
1062,432
1063,438
1064,427
1065,423
1066,393
1067,388
1068,376
1069,377
1070,358
1071,364
1072,323
1073,326
1074,313
1075,337
1076,318
1077,315
1078,301
1079,304
1080,279
1081,286
1082,283
1083,303
1084,270
1085,280
1086,269
1087,283
1088,301
1089,289
1090,290
1091,259
1092,265
1093,269
1094,290
1095,277
1096,255
1097,267
1098,256
1099,269
1100,282
1101,259
1102,243
1103,248
1104,260
1105,249
1106,241
1107,254
1108,241
1109,258
1110,243
1111,214
1112,241
1113,220
1114,222
1115,214
1116,220
1117,222
1118,212
1119,200
1120,240
1121,248
1122,258
1123,280
1124,259
1125,289
1126,258
1127,301
1128,272
1129,303
1130,292
1131,286
1132,287
1133,307
1134,262
1135,241
1136,263
1137,252
1138,235
1139,209
1140,222
