Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3CDAE 0phi 1"
Duration Time,60.097
Ambient Temperature,"99.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"615186"
Raw Accumulated Counts,"636038"
Valid Count Last Packet,"9670"
Raw Count Last Packet,"9984"
Live Time,58.565014
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1773"
1,"1471"
2,"988"
3,"465"
4,"219"
5,"73"
6,"17"
7,"8"
8,"2"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"2"
22,"36"
23,"95"
24,"162"
25,"168"
26,"178"
27,"154"
28,"167"
29,"181"
30,"177"
31,"171"
32,"154"
33,"163"
34,"169"
35,"163"
36,"157"
37,"145"
38,"146"
39,"139"
40,"168"
41,"139"
42,"144"
43,"132"
44,"139"
45,"161"
46,"163"
47,"173"
48,"168"
49,"172"
50,"139"
51,"156"
52,"127"
53,"151"
54,"136"
55,"139"
56,"126"
57,"128"
58,"113"
59,"145"
60,"144"
61,"135"
62,"137"
63,"120"
64,"121"
65,"128"
66,"110"
67,"135"
68,"141"
69,"129"
70,"113"
71,"153"
72,"163"
73,"175"
74,"182"
75,"183"
76,"188"
77,"142"
78,"158"
79,"136"
80,"203"
81,"258"
82,"375"
83,"659"
84,"929"
85,"1251"
86,"1411"
87,"1317"
88,"1111"
89,"867"
90,"568"
91,"396"
92,"247"
93,"203"
94,"136"
95,"113"
96,"119"
97,"130"
98,"125"
99,"113"
100,"134"
101,"139"
102,"122"
103,"119"
104,"112"
105,"103"
106,"103"
107,"153"
108,"125"
109,"136"
110,"132"
111,"145"
112,"168"
113,"206"
114,"250"
115,"251"
116,"238"
117,"222"
118,"192"
119,"206"
120,"186"
121,"168"
122,"174"
123,"199"
124,"190"
125,"221"
126,"264"
127,"363"
128,"518"
129,"730"
130,"986"
131,"1389"
132,"1692"
133,"1864"
134,"1942"
135,"1912"
136,"1694"
137,"1407"
138,"1317"
139,"1276"
140,"1332"
141,"1363"
142,"1439"
143,"1460"
144,"1606"
145,"1700"
146,"1782"
147,"1754"
148,"1575"
149,"1268"
150,"966"
151,"701"
152,"480"
153,"347"
154,"343"
155,"305"
156,"319"
157,"336"
158,"452"
159,"520"
160,"721"
161,"983"
162,"1378"
163,"1657"
164,"1940"
165,"1933"
166,"1621"
167,"1393"
168,"1026"
169,"667"
170,"395"
171,"309"
172,"221"
173,"232"
174,"258"
175,"279"
176,"347"
177,"401"
178,"431"
179,"518"
180,"552"
181,"504"
182,"552"
183,"571"
184,"511"
185,"405"
186,"368"
187,"325"
188,"257"
189,"211"
190,"216"
191,"183"
192,"173"
193,"188"
194,"178"
195,"204"
196,"230"
197,"247"
198,"228"
199,"238"
200,"240"
201,"217"
202,"196"
203,"226"
204,"211"
205,"214"
206,"198"
207,"218"
208,"222"
209,"241"
210,"184"
211,"213"
212,"192"
213,"214"
214,"200"
215,"217"
216,"205"
217,"237"
218,"245"
219,"256"
220,"298"
221,"326"
222,"334"
223,"366"
224,"347"
225,"366"
226,"318"
227,"271"
228,"263"
229,"237"
230,"254"
231,"234"
232,"231"
233,"250"
234,"248"
235,"262"
236,"223"
237,"241"
238,"288"
239,"262"
240,"273"
241,"275"
242,"267"
243,"305"
244,"280"
245,"295"
246,"308"
247,"273"
248,"311"
249,"298"
250,"283"
251,"293"
252,"278"
253,"319"
254,"315"
255,"316"
256,"320"
257,"309"
258,"295"
259,"295"
260,"300"
261,"302"
262,"318"
263,"264"
264,"327"
265,"315"
266,"324"
267,"312"
268,"328"
269,"327"
270,"332"
271,"356"
272,"334"
273,"332"
274,"320"
275,"346"
276,"373"
277,"321"
278,"371"
279,"390"
280,"332"
281,"330"
282,"361"
283,"331"
284,"374"
285,"356"
286,"422"
287,"403"
288,"400"
289,"399"
290,"406"
291,"414"
292,"442"
293,"442"
294,"479"
295,"467"
296,"451"
297,"433"
298,"423"
299,"433"
300,"410"
301,"427"
302,"425"
303,"476"
304,"423"
305,"442"
306,"418"
307,"481"
308,"443"
309,"468"
310,"497"
311,"532"
312,"661"
313,"790"
314,"932"
315,"1138"
316,"1284"
317,"1426"
318,"1503"
319,"1467"
320,"1309"
321,"1212"
322,"951"
323,"762"
324,"652"
325,"570"
326,"546"
327,"526"
328,"497"
329,"521"
330,"495"
331,"494"
332,"508"
333,"492"
334,"513"
335,"448"
336,"485"
337,"477"
338,"458"
339,"446"
340,"460"
341,"418"
342,"442"
343,"467"
344,"485"
345,"528"
346,"523"
347,"540"
348,"576"
349,"603"
350,"657"
351,"664"
352,"696"
353,"622"
354,"665"
355,"631"
356,"670"
357,"641"
358,"651"
359,"751"
360,"796"
361,"804"
362,"870"
363,"923"
364,"897"
365,"951"
366,"969"
367,"1101"
368,"1141"
369,"1190"
370,"1263"
371,"1216"
372,"1218"
373,"1159"
374,"959"
375,"871"
376,"733"
377,"624"
378,"533"
379,"499"
380,"508"
381,"416"
382,"449"
383,"432"
384,"407"
385,"417"
386,"435"
387,"413"
388,"421"
389,"421"
390,"408"
391,"431"
392,"492"
393,"478"
394,"507"
395,"577"
396,"574"
397,"647"
398,"675"
399,"638"
400,"694"
401,"644"
402,"652"
403,"633"
404,"597"
405,"627"
406,"555"
407,"621"
408,"608"
409,"586"
410,"623"
411,"667"
412,"616"
413,"619"
414,"620"
415,"610"
416,"609"
417,"569"
418,"540"
419,"564"
420,"516"
421,"513"
422,"514"
423,"502"
424,"507"
425,"498"
426,"512"
427,"492"
428,"500"
429,"521"
430,"527"
431,"482"
432,"481"
433,"520"
434,"492"
435,"444"
436,"463"
437,"460"
438,"461"
439,"456"
440,"425"
441,"428"
442,"469"
443,"445"
444,"457"
445,"422"
446,"429"
447,"471"
448,"447"
449,"432"
450,"422"
451,"482"
452,"455"
453,"441"
454,"462"
455,"488"
456,"464"
457,"508"
458,"498"
459,"517"
460,"580"
461,"517"
462,"530"
463,"561"
464,"534"
465,"575"
466,"610"
467,"575"
468,"568"
469,"558"
470,"526"
471,"520"
472,"530"
473,"542"
474,"539"
475,"502"
476,"525"
477,"473"
478,"496"
479,"460"
480,"439"
481,"465"
482,"476"
483,"487"
484,"478"
485,"461"
486,"471"
487,"459"
488,"478"
489,"491"
490,"466"
491,"484"
