Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-5B 4phi 0"
Duration Time,60.034
Ambient Temperature,"102.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"728666"
Raw Accumulated Counts,"755531"
Valid Count Last Packet,"11608"
Raw Count Last Packet,"12039"
Live Time,58.253994
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1739"
1,"1521"
2,"954"
3,"555"
4,"217"
5,"57"
6,"15"
7,"2"
8,"1"
9,"1"
10,"0"
11,"2"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"1"
21,"3"
22,"26"
23,"94"
24,"180"
25,"214"
26,"162"
27,"190"
28,"170"
29,"187"
30,"155"
31,"169"
32,"172"
33,"163"
34,"146"
35,"152"
36,"156"
37,"176"
38,"161"
39,"166"
40,"159"
41,"147"
42,"140"
43,"160"
44,"149"
45,"164"
46,"166"
47,"166"
48,"158"
49,"182"
50,"173"
51,"124"
52,"161"
53,"145"
54,"147"
55,"144"
56,"145"
57,"160"
58,"167"
59,"158"
60,"151"
61,"135"
62,"137"
63,"153"
64,"149"
65,"158"
66,"131"
67,"130"
68,"121"
69,"150"
70,"152"
71,"167"
72,"186"
73,"249"
74,"248"
75,"232"
76,"202"
77,"217"
78,"178"
79,"184"
80,"215"
81,"291"
82,"425"
83,"712"
84,"1084"
85,"1307"
86,"1527"
87,"1526"
88,"1304"
89,"980"
90,"609"
91,"440"
92,"275"
93,"245"
94,"161"
95,"152"
96,"146"
97,"147"
98,"141"
99,"157"
100,"133"
101,"131"
102,"128"
103,"118"
104,"124"
105,"125"
106,"135"
107,"108"
108,"126"
109,"124"
110,"143"
111,"165"
112,"167"
113,"215"
114,"243"
115,"239"
116,"219"
117,"228"
118,"202"
119,"216"
120,"198"
121,"206"
122,"207"
123,"216"
124,"208"
125,"244"
126,"250"
127,"343"
128,"474"
129,"680"
130,"987"
131,"1321"
132,"1718"
133,"1994"
134,"2021"
135,"2018"
136,"1733"
137,"1511"
138,"1365"
139,"1272"
140,"1416"
141,"1370"
142,"1443"
143,"1457"
144,"1671"
145,"1696"
146,"1757"
147,"1809"
148,"1632"
149,"1337"
150,"1067"
151,"771"
152,"501"
153,"346"
154,"323"
155,"304"
156,"313"
157,"389"
158,"490"
159,"601"
160,"939"
161,"1286"
162,"1814"
163,"2361"
164,"2683"
165,"2731"
166,"2482"
167,"2108"
168,"1482"
169,"1016"
170,"646"
171,"405"
172,"290"
173,"255"
174,"288"
175,"361"
176,"481"
177,"688"
178,"828"
179,"975"
180,"1191"
181,"1440"
182,"1617"
183,"1813"
184,"1785"
185,"1582"
186,"1243"
187,"961"
188,"637"
189,"442"
190,"314"
191,"258"
192,"215"
193,"188"
194,"216"
195,"311"
196,"310"
197,"380"
198,"418"
199,"458"
200,"437"
201,"422"
202,"407"
203,"337"
204,"279"
205,"235"
206,"238"
207,"213"
208,"195"
209,"228"
210,"235"
211,"227"
212,"223"
213,"237"
214,"225"
215,"227"
216,"255"
217,"297"
218,"346"
219,"341"
220,"401"
221,"466"
222,"554"
223,"648"
224,"622"
225,"611"
226,"611"
227,"447"
228,"437"
229,"384"
230,"323"
231,"315"
232,"299"
233,"289"
234,"281"
235,"295"
236,"322"
237,"286"
238,"295"
239,"326"
240,"358"
241,"393"
242,"389"
243,"396"
244,"393"
245,"394"
246,"435"
247,"409"
248,"342"
249,"355"
250,"332"
251,"356"
252,"344"
253,"352"
254,"331"
255,"376"
256,"354"
257,"379"
258,"311"
259,"343"
260,"297"
261,"354"
262,"357"
263,"371"
264,"320"
265,"347"
266,"354"
267,"368"
268,"386"
269,"340"
270,"355"
271,"414"
272,"391"
