Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4G -1phi 3"
Duration Time,60.098
Ambient Temperature,"101.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"611243"
Raw Accumulated Counts,"631346"
Valid Count Last Packet,"9777"
Raw Count Last Packet,"10098"
Live Time,58.623009
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0871
Number of Channels,2048
Vacuum,760
Channel#,Intensity
0,"1797"
1,"1482"
2,"1001"
3,"514"
4,"232"
5,"76"
6,"18"
7,"3"
8,"0"
9,"1"
10,"0"
11,"1"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"6"
22,"25"
23,"92"
24,"157"
25,"178"
26,"176"
27,"160"
28,"177"
29,"187"
30,"144"
31,"185"
32,"162"
33,"154"
34,"162"
35,"143"
36,"156"
37,"132"
38,"135"
39,"134"
40,"146"
41,"143"
42,"171"
43,"141"
44,"139"
45,"165"
46,"142"
47,"155"
48,"152"
49,"155"
50,"142"
51,"132"
52,"153"
53,"127"
54,"155"
55,"137"
56,"150"
57,"141"
58,"146"
59,"158"
60,"153"
61,"141"
62,"146"
63,"124"
64,"109"
65,"134"
66,"117"
67,"116"
68,"140"
69,"131"
70,"136"
71,"139"
72,"138"
73,"138"
74,"159"
75,"170"
76,"171"
77,"156"
78,"150"
79,"164"
80,"204"
81,"310"
82,"496"
83,"848"
84,"1216"
85,"1662"
86,"1819"
87,"1799"
88,"1571"
89,"1104"
90,"767"
91,"447"
92,"304"
93,"196"
94,"178"
95,"134"
96,"118"
97,"127"
98,"118"
99,"119"
100,"125"
101,"122"
102,"110"
103,"117"
104,"112"
105,"121"
106,"104"
107,"107"
108,"118"
109,"126"
110,"145"
111,"162"
112,"194"
113,"188"
114,"210"
115,"215"
116,"209"
117,"209"
118,"188"
119,"183"
120,"159"
121,"173"
122,"182"
123,"168"
124,"185"
125,"238"
126,"236"
127,"339"
128,"470"
129,"691"
130,"973"
131,"1299"
132,"1656"
133,"1877"
134,"1898"
135,"1800"
136,"1662"
137,"1483"
138,"1287"
139,"1318"
140,"1316"
141,"1427"
142,"1388"
143,"1526"
144,"1676"
145,"1700"
146,"1896"
147,"1805"
148,"1599"
149,"1295"
150,"1030"
151,"744"
152,"522"
153,"360"
154,"303"
155,"334"
156,"324"
157,"364"
158,"351"
159,"477"
160,"653"
161,"844"
162,"1072"
163,"1353"
164,"1452"
165,"1447"
166,"1308"
167,"1149"
168,"875"
169,"537"
170,"316"
171,"247"
172,"239"
173,"202"
174,"233"
175,"248"
176,"284"
177,"360"
178,"417"
179,"428"
180,"462"
181,"502"
182,"495"
183,"523"
184,"438"
185,"412"
186,"349"
187,"299"
188,"236"
189,"221"
190,"211"
191,"174"
192,"194"
193,"172"
194,"180"
195,"214"
196,"240"
197,"246"
198,"250"
199,"260"
200,"271"
201,"227"
202,"256"
203,"230"
204,"217"
205,"208"
206,"195"
207,"213"
208,"186"
209,"199"
210,"164"
211,"190"
212,"179"
213,"223"
214,"207"
215,"206"
216,"238"
217,"220"
218,"223"
219,"227"
220,"294"
221,"299"
222,"339"
223,"363"
224,"322"
225,"377"
226,"358"
227,"312"
228,"283"
229,"274"
230,"268"
231,"262"
232,"248"
233,"246"
234,"242"
235,"290"
236,"262"
237,"252"
238,"270"
239,"267"
240,"262"
241,"243"
242,"276"
243,"269"
244,"251"
245,"263"
246,"271"
247,"260"
248,"252"
249,"259"
250,"303"
251,"300"
252,"261"
253,"287"
254,"229"
255,"270"
256,"290"
257,"289"
258,"284"
259,"287"
260,"308"
261,"253"
262,"255"
263,"284"
264,"287"
265,"282"
266,"304"
267,"296"
268,"309"
269,"313"
270,"288"
271,"293"
272,"304"
273,"335"
274,"333"
275,"323"
276,"328"
277,"341"
278,"334"
279,"401"
280,"428"
281,"385"
282,"438"
283,"424"
284,"400"
285,"446"
286,"406"
287,"390"
288,"421"
289,"436"
290,"388"
291,"403"
292,"427"
293,"407"
294,"395"
295,"357"
296,"375"
297,"363"
298,"390"
299,"396"
300,"366"
301,"411"
302,"429"
303,"422"
304,"416"
305,"477"
306,"477"
307,"467"
308,"468"
309,"440"
310,"452"
311,"481"
312,"549"
313,"567"
314,"645"
315,"784"
316,"873"
317,"999"
318,"1013"
319,"1008"
320,"919"
321,"839"
322,"702"
323,"674"
324,"616"
325,"596"
326,"588"
327,"548"
328,"561"
329,"549"
330,"538"
331,"505"
332,"507"
333,"551"
334,"522"
335,"510"
336,"484"
337,"455"
338,"426"
339,"435"
340,"408"
341,"442"
342,"420"
343,"477"
344,"454"
345,"476"
346,"509"
347,"528"
348,"493"
349,"537"
350,"563"
351,"550"
352,"594"
353,"666"
354,"635"
355,"697"
356,"709"
357,"776"
358,"832"
359,"855"
360,"954"
361,"962"
362,"976"
363,"1036"
364,"988"
365,"1031"
366,"1026"
367,"1133"
368,"1144"
369,"1209"
370,"1178"
371,"1258"
372,"1208"
373,"1029"
374,"969"
375,"862"
376,"744"
377,"673"
378,"572"
379,"535"
380,"490"
381,"441"
382,"434"
383,"429"
384,"429"
385,"416"
386,"399"
387,"422"
388,"410"
389,"401"
390,"445"
391,"413"
392,"483"
393,"516"
394,"487"
395,"557"
396,"604"
397,"584"
398,"654"
399,"669"
400,"674"
401,"658"
402,"641"
403,"581"
404,"574"
405,"513"
406,"520"
407,"511"
408,"588"
409,"589"
410,"577"
411,"602"
412,"614"
413,"562"
414,"575"
415,"528"
416,"507"
417,"478"
418,"474"
419,"461"
420,"463"
421,"443"
422,"444"
423,"423"
424,"415"
425,"440"
426,"448"
427,"432"
428,"415"
429,"475"
430,"471"
431,"448"
432,"426"
433,"415"
434,"466"
435,"435"
436,"451"
437,"444"
438,"433"
439,"491"
440,"497"
441,"473"
442,"467"
443,"482"
444,"541"
445,"497"
446,"476"
447,"495"
448,"474"
449,"502"
450,"537"
451,"547"
452,"546"
453,"582"
454,"561"
455,"568"
456,"547"
457,"551"
458,"566"
459,"581"
460,"611"
461,"560"
462,"546"
463,"543"
464,"550"
465,"495"
466,"471"
467,"508"
468,"507"
469,"455"
470,"453"
471,"524"
472,"444"
473,"438"
474,"437"
475,"453"
476,"441"
477,"479"
478,"473"
479,"437"
480,"441"
481,"447"
482,"480"
483,"464"
484,"485"
485,"457"
486,"466"
487,"505"
488,"478"
489,"440"
490,"515"
491,"522"
492,"478"
493,"523"
494,"548"
495,"537"
496,"553"
497,"557"
498,"537"
499,"533"
500,"515"
501,"560"
502,"558"
503,"504"
504,"505"
505,"456"
506,"486"
507,"468"
508,"477"
509,"478"
510,"476"
511,"434"
512,"433"
513,"486"
514,"447"
515,"437"
516,"495"
517,"447"
518,"490"
519,"468"
520,"483"
521,"469"
522,"529"
523,"501"
524,"505"
525,"501"
526,"544"
527,"502"
528,"505"
529,"491"
530,"507"
531,"439"
532,"484"
533,"459"
534,"402"
535,"444"
536,"469"
537,"446"
538,"458"
539,"465"
540,"440"
541,"489"
542,"429"
543,"428"
544,"404"
545,"434"
546,"462"
547,"406"
548,"431"
549,"456"
550,"464"
551,"472"
552,"442"
553,"438"
554,"472"
555,"447"
556,"506"
557,"477"
558,"444"
559,"467"
560,"480"
561,"489"
562,"460"
563,"498"
564,"455"
565,"508"
566,"458"
567,"477"
568,"444"
569,"445"
570,"458"
571,"451"
572,"436"
573,"436"
574,"448"
575,"430"
576,"468"
577,"427"
578,"441"
579,"411"
580,"427"
581,"431"
582,"454"
583,"421"
584,"441"
585,"436"
586,"477"
587,"474"
588,"432"
589,"461"
590,"478"
591,"450"
592,"461"
593,"471"
594,"474"
595,"442"
596,"474"
597,"469"
598,"507"
599,"449"
600,"455"
601,"456"
602,"488"
603,"447"
604,"459"
605,"458"
606,"468"
607,"459"
608,"429"
609,"435"
610,"484"
611,"465"
612,"475"
613,"438"
614,"488"
615,"446"
616,"463"
617,"438"
618,"469"
619,"468"
620,"467"
621,"461"
622,"484"
623,"459"
624,"491"
625,"491"
626,"464"
627,"499"
628,"480"
629,"495"
630,"462"
631,"425"
632,"473"
633,"493"
634,"460"
635,"503"
636,"474"
637,"430"
638,"422"
639,"481"
640,"471"
641,"498"
642,"470"
643,"461"
644,"414"
645,"471"
646,"472"
647,"432"
648,"439"
649,"415"
650,"431"
651,"460"
652,"466"
653,"443"
654,"438"
655,"483"
656,"469"
657,"522"
658,"544"
659,"548"
660,"587"
661,"626"
662,"684"
663,"702"
664,"647"
665,"670"
666,"662"
667,"585"
668,"605"
669,"557"
670,"566"
671,"555"
672,"519"
673,"524"
674,"466"
675,"423"
676,"439"
677,"421"
678,"466"
679,"462"
680,"483"
681,"491"
682,"452"
683,"413"
684,"464"
685,"452"
686,"459"
687,"437"
688,"440"
689,"450"
690,"455"
691,"465"
692,"466"
693,"465"
694,"502"
695,"503"
696,"538"
697,"590"
698,"566"
699,"556"
700,"578"
701,"611"
702,"623"
703,"618"
704,"642"
705,"607"
706,"617"
707,"632"
708,"564"
709,"524"
710,"478"
711,"476"
712,"459"
713,"456"
714,"430"
715,"445"
716,"436"
717,"397"
718,"399"
719,"440"
720,"469"
721,"408"
722,"429"
723,"451"
724,"450"
725,"397"
726,"423"
727,"425"
728,"423"
729,"398"
730,"397"
731,"425"
732,"380"
733,"413"
734,"406"
735,"439"
736,"419"
737,"399"
738,"430"
739,"416"
740,"449"
741,"467"
742,"418"
743,"503"
744,"392"
745,"432"
746,"459"
747,"434"
748,"426"
749,"430"
750,"412"
751,"399"
752,"444"
753,"433"
754,"443"
755,"402"
756,"398"
757,"438"
758,"399"
759,"424"
760,"381"
761,"438"
762,"375"
763,"383"
764,"429"
765,"393"
766,"430"
767,"400"
768,"436"
769,"428"
770,"398"
771,"430"
772,"478"
773,"389"
774,"438"
775,"455"
776,"432"
777,"494"
778,"469"
779,"502"
780,"508"
781,"502"
782,"488"
783,"481"
784,"506"
785,"456"
786,"534"
787,"500"
788,"476"
789,"405"
790,"443"
791,"421"
792,"430"
793,"437"
794,"386"
795,"412"
796,"440"
797,"404"
798,"336"
799,"425"
800,"422"
801,"414"
802,"431"
803,"347"
804,"404"
805,"385"
806,"391"
807,"397"
808,"448"
809,"390"
810,"437"
811,"392"
812,"384"
813,"350"
814,"396"
815,"359"
816,"377"
817,"397"
818,"400"
819,"380"
820,"397"
821,"376"
822,"394"
823,"381"
824,"414"
825,"351"
826,"400"
827,"382"
828,"396"
829,"357"
830,"381"
831,"385"
832,"395"
833,"364"
834,"389"
835,"385"
836,"370"
837,"366"
838,"357"
839,"431"
840,"388"
841,"394"
842,"380"
843,"371"
844,"364"
845,"382"
846,"424"
847,"390"
848,"377"
849,"387"
850,"419"
851,"359"
852,"433"
853,"375"
854,"393"
855,"408"
856,"379"
857,"405"
858,"395"
859,"405"
860,"421"
861,"422"
862,"402"
863,"370"
864,"400"
865,"408"
866,"419"
867,"438"
868,"387"
869,"441"
870,"415"
871,"419"
872,"395"
873,"399"
874,"428"
875,"419"
876,"437"
877,"418"
878,"457"
879,"428"
880,"450"
881,"436"
882,"438"
883,"437"
884,"408"
885,"433"
886,"458"
887,"461"
888,"450"
889,"435"
890,"450"
891,"483"
892,"477"
893,"489"
894,"452"
895,"479"
896,"456"
897,"472"
898,"475"
899,"499"
900,"533"
901,"514"
902,"500"
903,"530"
904,"542"
905,"508"
906,"570"
907,"567"
908,"561"
909,"537"
910,"633"
911,"611"
912,"610"
913,"600"
914,"650"
915,"657"
916,"676"
917,"701"
918,"760"
919,"764"
920,"824"
921,"792"
922,"859"
923,"949"
924,"939"
925,"951"
926,"1013"
927,"1047"
928,"1115"
929,"1176"
930,"1169"
931,"1247"
932,"1278"
933,"1257"
934,"1319"
935,"1387"
936,"1372"
937,"1379"
938,"1415"
939,"1384"
940,"1385"
941,"1380"
942,"1416"
943,"1409"
944,"1394"
945,"1358"
946,"1324"
947,"1330"
948,"1176"
949,"1218"
950,"1152"
951,"1022"
952,"1084"
953,"1087"
954,"1004"
955,"898"
956,"946"
957,"914"
958,"830"
959,"822"
960,"783"
961,"736"
962,"716"
963,"696"
964,"627"
965,"651"
966,"609"
967,"540"
968,"568"
969,"556"
970,"547"
971,"541"
972,"556"
973,"509"
974,"496"
975,"440"
976,"427"
977,"469"
978,"445"
979,"426"
980,"421"
981,"425"
982,"394"
983,"417"
984,"386"
985,"394"
986,"402"
987,"429"
988,"411"
989,"479"
990,"449"
991,"489"
992,"491"
993,"548"
994,"604"
995,"633"
996,"672"
997,"716"
998,"740"
999,"831"
1000,"771"
1001,"789"
1002,"831"
