Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-5B -1phi 0"
Duration Time,60.161
Ambient Temperature,"96.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"561669"
Raw Accumulated Counts,"579427"
Valid Count Last Packet,"8829"
Raw Count Last Packet,"9083"
Live Time,58.777981
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7813
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1764"
1,"1474"
2,"1007"
3,"501"
4,"210"
5,"66"
6,"19"
7,"6"
8,"1"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"1"
22,"16"
23,"90"
24,"167"
25,"176"
26,"177"
27,"163"
28,"171"
29,"146"
30,"109"
31,"133"
32,"171"
33,"125"
34,"135"
35,"133"
36,"158"
37,"147"
38,"124"
39,"131"
40,"129"
41,"131"
42,"145"
43,"138"
44,"116"
45,"132"
46,"158"
47,"152"
48,"144"
49,"150"
50,"123"
51,"159"
52,"131"
53,"131"
54,"126"
55,"159"
56,"120"
57,"144"
58,"138"
59,"148"
60,"136"
61,"131"
62,"157"
63,"123"
64,"122"
65,"109"
66,"125"
67,"126"
68,"120"
69,"96"
70,"115"
71,"132"
72,"171"
73,"150"
74,"185"
75,"168"
76,"155"
77,"135"
78,"153"
79,"167"
80,"159"
81,"245"
82,"338"
83,"610"
84,"924"
85,"1128"
86,"1258"
87,"1199"
88,"1034"
89,"724"
90,"508"
91,"358"
92,"227"
93,"171"
94,"121"
95,"125"
96,"127"
97,"107"
98,"106"
99,"120"
100,"134"
101,"120"
102,"122"
103,"114"
104,"121"
105,"101"
106,"97"
107,"94"
108,"118"
109,"120"
110,"125"
111,"159"
112,"165"
113,"206"
114,"229"
115,"223"
116,"246"
117,"194"
118,"202"
119,"185"
120,"168"
121,"187"
122,"196"
123,"190"
124,"174"
125,"210"
126,"297"
127,"368"
128,"527"
129,"660"
130,"994"
131,"1354"
132,"1721"
133,"1917"
134,"2005"
135,"1754"
136,"1716"
137,"1433"
138,"1385"
139,"1316"
140,"1386"
141,"1483"
142,"1432"
143,"1490"
144,"1609"
145,"1719"
146,"1790"
147,"1772"
148,"1578"
149,"1213"
150,"986"
151,"631"
152,"464"
153,"346"
154,"302"
155,"259"
156,"327"
157,"345"
158,"389"
159,"429"
160,"560"
161,"721"
162,"983"
163,"1151"
164,"1314"
165,"1323"
166,"1196"
167,"870"
168,"707"
169,"460"
170,"307"
171,"234"
172,"193"
173,"185"
174,"174"
175,"251"
176,"302"
177,"312"
178,"339"
179,"407"
180,"432"
181,"455"
182,"493"
183,"485"
184,"440"
185,"432"
186,"302"
187,"261"
188,"224"
189,"174"
190,"148"
191,"170"
192,"141"
193,"188"
194,"192"
195,"160"
196,"184"
197,"171"
198,"218"
199,"205"
200,"204"
201,"213"
202,"213"
203,"182"
204,"208"
205,"163"
206,"172"
207,"201"
208,"206"
209,"174"
210,"203"
211,"199"
212,"181"
213,"194"
214,"181"
215,"201"
216,"204"
217,"182"
218,"213"
219,"247"
220,"255"
221,"304"
222,"297"
223,"352"
224,"333"
225,"340"
226,"311"
227,"278"
228,"272"
229,"242"
230,"235"
231,"239"
232,"237"
233,"234"
234,"220"
235,"235"
236,"261"
237,"246"
238,"227"
239,"276"
240,"268"
241,"250"
242,"268"
243,"286"
244,"259"
245,"264"
246,"282"
247,"267"
248,"218"
249,"224"
250,"231"
251,"255"
252,"250"
253,"235"
254,"245"
255,"239"
256,"245"
257,"275"
258,"276"
259,"254"
260,"301"
261,"315"
262,"302"
263,"331"
264,"357"
265,"380"
266,"398"
267,"390"
268,"410"
269,"444"
270,"444"
271,"425"
272,"438"
273,"454"
274,"472"
275,"506"
276,"475"
277,"535"
278,"499"
279,"521"
280,"523"
281,"471"
282,"504"
283,"467"
284,"465"
285,"476"
286,"415"
287,"424"
288,"392"
289,"378"
290,"374"
291,"383"
292,"365"
293,"325"
294,"362"
295,"319"
296,"387"
297,"340"
298,"309"
299,"369"
300,"345"
301,"390"
302,"328"
303,"361"
304,"302"
305,"344"
306,"366"
307,"360"
308,"407"
309,"442"
310,"520"
311,"659"
312,"773"
313,"1003"
314,"1239"
315,"1538"
316,"1932"
317,"1955"
318,"2052"
319,"1975"
320,"1852"
321,"1461"
322,"1125"
323,"893"
324,"747"
325,"610"
326,"551"
327,"464"
328,"466"
329,"418"
330,"442"
331,"440"
332,"450"
333,"450"
334,"419"
335,"417"
336,"426"
337,"411"
338,"417"
339,"411"
340,"443"
341,"431"
342,"448"
343,"421"
344,"486"
345,"491"
346,"548"
347,"611"
348,"603"
349,"670"
350,"734"
351,"686"
352,"659"
353,"686"
354,"610"
355,"618"
356,"589"
357,"623"
358,"662"
359,"692"
360,"755"
361,"754"
362,"827"
363,"881"
364,"884"
365,"883"
366,"891"
367,"1003"
368,"973"
369,"1093"
370,"1072"
371,"1104"
372,"1008"
373,"860"
374,"806"
375,"701"
376,"601"
377,"532"
378,"417"
379,"411"
380,"442"
381,"371"
382,"409"
383,"357"
384,"390"
385,"381"
386,"355"
387,"385"
388,"390"
389,"369"
390,"396"
391,"414"
392,"415"
393,"417"
394,"474"
395,"513"
396,"526"
397,"540"
398,"608"
399,"620"
400,"612"
401,"616"
402,"615"
403,"594"
404,"569"
405,"512"
406,"524"
407,"500"
408,"493"
409,"565"
410,"559"
411,"571"
412,"585"
413,"527"
414,"538"
415,"516"
416,"482"
417,"487"
418,"519"
419,"484"
420,"529"
421,"460"
422,"499"
423,"507"
424,"500"
425,"518"
426,"505"
427,"505"
428,"477"
429,"490"
430,"464"
431,"457"
432,"470"
433,"422"
434,"428"
435,"420"
436,"400"
437,"400"
438,"389"
439,"423"
440,"428"
441,"466"
442,"470"
443,"507"
444,"511"
445,"567"
446,"564"
447,"615"
448,"606"
449,"638"
450,"656"
451,"754"
452,"737"
453,"750"
454,"763"
455,"689"
456,"657"
457,"633"
458,"673"
459,"629"
460,"559"
461,"530"
462,"481"
463,"502"
464,"425"
465,"473"
466,"440"
467,"408"
468,"417"
469,"395"
470,"363"
471,"366"
472,"402"
473,"382"
474,"406"
475,"397"
476,"381"
477,"373"
478,"390"
479,"384"
480,"358"
481,"418"
482,"362"
483,"364"
484,"409"
485,"395"
486,"386"
487,"391"
488,"397"
489,"421"
490,"404"
491,"401"
492,"402"
493,"376"
494,"436"
495,"402"
496,"412"
497,"401"
498,"414"
499,"462"
500,"426"
501,"438"
502,"448"
503,"434"
504,"423"
505,"442"
506,"448"
507,"388"
508,"438"
509,"421"
510,"445"
511,"465"
512,"434"
513,"410"
514,"416"
515,"454"
516,"411"
517,"405"
518,"413"
519,"414"
520,"413"
521,"463"
522,"414"
523,"423"
524,"420"
525,"410"
526,"400"
527,"399"
528,"401"
529,"365"
530,"368"
531,"393"
532,"375"
533,"363"
534,"360"
535,"397"
536,"372"
537,"396"
538,"410"
539,"433"
540,"407"
541,"397"
542,"416"
