Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4E 0phi 0"
Duration Time,60.098
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"644281"
Raw Accumulated Counts,"666746"
Valid Count Last Packet,"9946"
Raw Count Last Packet,"10383"
Live Time,58.496014
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,755
Channel#,Intensity
0,"1790"
1,"1494"
2,"962"
3,"495"
4,"232"
5,"71"
6,"24"
7,"2"
8,"0"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"0"
21,"4"
22,"26"
23,"114"
24,"164"
25,"165"
26,"170"
27,"173"
28,"175"
29,"183"
30,"178"
31,"175"
32,"171"
33,"168"
34,"161"
35,"153"
36,"170"
37,"159"
38,"172"
39,"145"
40,"132"
41,"145"
42,"139"
43,"156"
44,"162"
45,"177"
46,"166"
47,"189"
48,"172"
49,"163"
50,"149"
51,"162"
52,"132"
53,"178"
54,"137"
55,"146"
56,"151"
57,"126"
58,"149"
59,"136"
60,"148"
61,"138"
62,"150"
63,"150"
64,"137"
65,"160"
66,"138"
67,"138"
68,"136"
69,"140"
70,"170"
71,"170"
72,"206"
73,"222"
74,"238"
75,"228"
76,"219"
77,"212"
78,"203"
79,"200"
80,"244"
81,"318"
82,"499"
83,"760"
84,"1137"
85,"1471"
86,"1662"
87,"1638"
88,"1371"
89,"1002"
90,"712"
91,"439"
92,"283"
93,"225"
94,"189"
95,"127"
96,"136"
97,"110"
98,"130"
99,"149"
100,"133"
101,"137"
102,"153"
103,"126"
104,"122"
105,"135"
106,"119"
107,"120"
108,"133"
109,"147"
110,"137"
111,"164"
112,"158"
113,"194"
114,"244"
115,"219"
116,"234"
117,"229"
118,"216"
119,"192"
120,"167"
121,"179"
122,"216"
123,"218"
124,"228"
125,"229"
126,"303"
127,"377"
128,"510"
129,"731"
130,"987"
131,"1376"
132,"1734"
133,"1938"
134,"1992"
135,"1955"
136,"1716"
137,"1478"
138,"1375"
139,"1307"
140,"1396"
141,"1486"
142,"1505"
143,"1504"
144,"1635"
145,"1672"
146,"1801"
147,"1788"
148,"1624"
149,"1352"
150,"1016"
151,"762"
152,"501"
153,"389"
154,"350"
155,"329"
156,"376"
157,"418"
158,"578"
159,"861"
160,"1373"
161,"2042"
162,"2759"
163,"3526"
164,"4055"
165,"4089"
166,"3742"
167,"2838"
168,"2063"
169,"1336"
170,"809"
171,"473"
172,"321"
173,"356"
174,"348"
175,"457"
176,"578"
177,"704"
178,"792"
179,"829"
180,"840"
181,"768"
182,"721"
183,"667"
184,"592"
185,"489"
186,"423"
187,"314"
188,"261"
189,"230"
190,"185"
191,"191"
192,"174"
193,"189"
194,"176"
195,"194"
196,"217"
197,"231"
198,"256"
199,"250"
200,"275"
201,"228"
202,"234"
203,"214"
204,"197"
205,"206"
206,"204"
207,"204"
208,"213"
209,"194"
210,"218"
211,"210"
212,"198"
213,"184"
214,"208"
215,"224"
216,"241"
217,"241"
218,"308"
219,"295"
220,"341"
221,"367"
222,"400"
223,"415"
224,"392"
225,"383"
226,"344"
227,"292"
228,"297"
229,"273"
230,"263"
231,"279"
232,"304"
233,"326"
234,"371"
235,"330"
236,"366"
237,"377"
238,"382"
239,"393"
240,"411"
241,"366"
242,"379"
243,"358"
244,"370"
245,"327"
246,"314"
247,"317"
248,"298"
249,"293"
250,"303"
251,"298"
252,"285"
253,"300"
254,"327"
255,"354"
256,"388"
257,"420"
258,"432"
259,"474"
260,"499"
261,"490"
262,"419"
263,"431"
264,"417"
265,"403"
266,"370"
267,"364"
268,"370"
269,"407"
270,"380"
271,"354"
272,"385"
