Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-2A 3phi 0"
Duration Time,60.034
Ambient Temperature,"101.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"781304"
Raw Accumulated Counts,"811885"
Valid Count Last Packet,"12186"
Raw Count Last Packet,"12665"
Live Time,58.103008
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0893
Number of Channels,2048
Vacuum,755
Channel#,Intensity
0,"1777"
1,"1461"
2,"918"
3,"512"
4,"231"
5,"62"
6,"21"
7,"5"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"1"
22,"37"
23,"90"
24,"181"
25,"194"
26,"214"
27,"180"
28,"207"
29,"194"
30,"184"
31,"147"
32,"171"
33,"181"
34,"159"
35,"148"
36,"151"
37,"168"
38,"143"
39,"178"
40,"135"
41,"160"
42,"134"
43,"178"
44,"166"
45,"171"
46,"158"
47,"161"
48,"176"
49,"149"
50,"164"
51,"163"
52,"152"
53,"126"
54,"151"
55,"172"
56,"165"
57,"176"
58,"166"
59,"159"
60,"144"
61,"144"
62,"168"
63,"148"
64,"131"
65,"136"
66,"129"
67,"115"
68,"139"
69,"145"
70,"178"
71,"162"
72,"209"
73,"232"
74,"238"
75,"237"
76,"208"
77,"208"
78,"168"
79,"188"
80,"216"
81,"290"
82,"440"
83,"742"
84,"1048"
85,"1332"
86,"1492"
87,"1370"
88,"1153"
89,"911"
90,"564"
91,"406"
92,"279"
93,"220"
94,"187"
95,"149"
96,"140"
97,"138"
98,"148"
99,"158"
100,"159"
101,"143"
102,"130"
103,"121"
104,"153"
105,"140"
106,"128"
107,"106"
108,"150"
109,"131"
110,"163"
111,"171"
112,"192"
113,"228"
114,"210"
115,"254"
116,"229"
117,"217"
118,"224"
119,"186"
120,"200"
121,"203"
122,"182"
123,"194"
124,"224"
125,"260"
126,"292"
127,"378"
128,"545"
129,"754"
130,"1091"
131,"1418"
132,"1752"
133,"1986"
134,"2095"
135,"1891"
136,"1674"
137,"1483"
138,"1346"
139,"1373"
140,"1346"
141,"1473"
142,"1440"
143,"1543"
144,"1593"
145,"1698"
146,"1803"
147,"1725"
148,"1594"
149,"1253"
150,"1038"
151,"690"
152,"545"
153,"385"
154,"348"
155,"314"
156,"363"
157,"416"
158,"540"
159,"773"
160,"1199"
161,"1541"
162,"2336"
163,"2921"
164,"3196"
165,"3211"
166,"2872"
167,"2339"
168,"1602"
169,"1028"
170,"707"
171,"413"
172,"363"
173,"292"
174,"310"
175,"448"
176,"519"
177,"634"
178,"771"
179,"837"
180,"889"
181,"1002"
182,"1048"
183,"951"
184,"973"
185,"830"
186,"627"
187,"476"
188,"400"
189,"271"
190,"241"
191,"220"
192,"204"
193,"191"
194,"209"
195,"252"
196,"263"
197,"284"
198,"323"
199,"305"
200,"310"
201,"309"
202,"271"
203,"250"
204,"243"
205,"258"
206,"222"
207,"219"
208,"240"
209,"233"
210,"218"
211,"247"
212,"230"
213,"223"
214,"274"
215,"269"
216,"330"
217,"347"
218,"498"
219,"681"
220,"893"
221,"1153"
222,"1383"
223,"1685"
224,"1727"
225,"1624"
226,"1415"
227,"1194"
228,"908"
229,"661"
230,"491"
231,"441"
232,"372"
233,"326"
234,"317"
235,"334"
236,"298"
237,"319"
238,"347"
239,"352"
240,"401"
241,"430"
242,"480"
243,"520"
244,"574"
245,"574"
246,"563"
247,"512"
248,"436"
249,"423"
250,"386"
251,"371"
252,"366"
253,"362"
254,"331"
255,"336"
256,"342"
257,"337"
258,"358"
259,"372"
260,"371"
261,"374"
262,"334"
263,"357"
264,"398"
265,"414"
266,"371"
267,"373"
268,"409"
269,"401"
270,"412"
271,"410"
272,"411"
273,"430"
274,"395"
275,"377"
276,"418"
277,"414"
278,"419"
279,"428"
280,"403"
281,"418"
282,"421"
283,"366"
284,"430"
285,"452"
286,"456"
287,"455"
288,"468"
289,"500"
290,"586"
291,"583"
292,"593"
293,"626"
294,"585"
295,"592"
296,"550"
297,"517"
298,"489"
299,"529"
300,"458"
301,"454"
302,"464"
303,"486"
304,"510"
305,"505"
306,"557"
307,"589"
308,"667"
309,"883"
310,"1252"
311,"1864"
312,"2820"
313,"4292"
314,"6131"
315,"7942"
316,"9655"
317,"11034"
318,"11346"
319,"10687"
320,"9343"
321,"7593"
322,"5456"
323,"3929"
324,"2611"
325,"1600"
326,"1066"
327,"730"
328,"627"
329,"514"
330,"519"
331,"548"
332,"536"
333,"547"
334,"533"
335,"563"
336,"541"
337,"548"
338,"562"
339,"526"
340,"581"
341,"606"
342,"640"
343,"751"
344,"838"
345,"1067"
346,"1270"
347,"1623"
348,"1764"
349,"2070"
350,"2116"
351,"2145"
352,"1995"
353,"1853"
354,"1573"
355,"1300"
356,"1186"
357,"947"
358,"899"
359,"857"
360,"860"
361,"851"
362,"885"
363,"882"
364,"1051"
365,"995"
366,"1079"
367,"1159"
368,"1391"
369,"1460"
370,"1478"
371,"1497"
372,"1400"
373,"1379"
374,"1149"
375,"916"
376,"864"
377,"707"
378,"564"
379,"522"
380,"494"
381,"480"
382,"466"
383,"483"
384,"467"
385,"476"
386,"472"
387,"488"
388,"487"
389,"491"
390,"450"
391,"516"
392,"512"
393,"522"
394,"555"
395,"599"
396,"681"
397,"692"
398,"784"
399,"733"
400,"807"
401,"740"
402,"746"
403,"704"
404,"697"
405,"677"
406,"669"
407,"659"
408,"660"
409,"641"
410,"690"
411,"644"
412,"650"
413,"636"
414,"542"
415,"579"
416,"530"
417,"491"
418,"522"
419,"546"
420,"495"
421,"490"
422,"520"
423,"539"
424,"550"
425,"557"
426,"546"
427,"611"
428,"572"
429,"605"
430,"633"
431,"599"
432,"593"
433,"594"
434,"560"
435,"575"
436,"576"
437,"551"
438,"548"
439,"559"
440,"554"
441,"513"
442,"543"
443,"508"
444,"556"
445,"536"
446,"560"
447,"519"
448,"552"
449,"553"
450,"570"
451,"549"
452,"496"
453,"519"
454,"560"
455,"532"
456,"539"
457,"605"
458,"556"
459,"568"
460,"580"
461,"558"
462,"558"
463,"575"
464,"577"
465,"553"
466,"537"
467,"539"
468,"524"
469,"543"
470,"547"
471,"555"
472,"574"
473,"581"
474,"527"
475,"535"
476,"590"
477,"557"
478,"557"
479,"570"
480,"579"
481,"577"
482,"548"
483,"518"
484,"521"
485,"599"
486,"613"
487,"498"
488,"519"
489,"576"
490,"551"
491,"518"
492,"585"
493,"572"
494,"553"
495,"548"
496,"520"
497,"542"
498,"532"
499,"572"
500,"540"
501,"531"
502,"565"
503,"555"
504,"525"
505,"540"
506,"547"
507,"562"
508,"516"
509,"531"
510,"523"
511,"488"
512,"507"
513,"537"
514,"540"
515,"535"
516,"567"
517,"520"
518,"607"
519,"564"
520,"601"
521,"564"
522,"619"
523,"613"
524,"589"
525,"588"
526,"619"
527,"595"
528,"558"
529,"571"
530,"541"
531,"545"
532,"527"
533,"525"
534,"529"
535,"529"
536,"530"
537,"480"
538,"525"
539,"543"
540,"547"
541,"575"
542,"529"
543,"538"
544,"483"
545,"533"
546,"555"
547,"531"
548,"507"
549,"512"
550,"516"
551,"515"
552,"496"
553,"507"
554,"510"
555,"528"
556,"521"
557,"533"
558,"521"
559,"478"
560,"522"
561,"511"
562,"552"
563,"521"
564,"524"
565,"525"
566,"526"
567,"528"
568,"534"
569,"512"
570,"473"
571,"565"
572,"502"
573,"511"
574,"534"
575,"491"
576,"554"
577,"529"
578,"532"
579,"520"
580,"523"
581,"453"
582,"527"
583,"485"
584,"505"
585,"484"
586,"534"
587,"512"
588,"517"
589,"503"
590,"516"
591,"506"
592,"548"
593,"485"
594,"567"
595,"545"
596,"515"
597,"528"
598,"586"
599,"528"
600,"524"
601,"517"
602,"534"
603,"476"
604,"537"
605,"553"
606,"512"
607,"535"
608,"545"
609,"512"
610,"486"
611,"551"
612,"515"
613,"488"
614,"505"
615,"510"
616,"514"
617,"521"
618,"528"
619,"511"
620,"529"
621,"542"
622,"554"
623,"550"
624,"526"
625,"579"
626,"571"
627,"565"
628,"605"
629,"570"
630,"594"
631,"554"
632,"564"
633,"572"
634,"560"
635,"547"
636,"529"
637,"523"
638,"526"
639,"553"
640,"537"
641,"545"
642,"487"
643,"525"
644,"525"
645,"544"
646,"524"
647,"516"
648,"518"
649,"570"
650,"510"
651,"553"
652,"525"
653,"567"
654,"508"
655,"617"
656,"693"
657,"657"
658,"747"
659,"857"
660,"944"
661,"1021"
662,"1036"
663,"1108"
664,"1156"
665,"1137"
666,"1079"
667,"1046"
668,"1013"
669,"904"
670,"836"
671,"779"
672,"669"
673,"598"
674,"597"
675,"511"
676,"511"
677,"500"
678,"526"
679,"523"
680,"484"
681,"498"
682,"522"
683,"490"
684,"491"
685,"501"
686,"470"
687,"475"
688,"471"
689,"486"
690,"496"
691,"485"
692,"538"
693,"520"
694,"496"
695,"529"
696,"558"
697,"549"
698,"641"
699,"664"
700,"703"
701,"711"
702,"722"
703,"652"
704,"671"
705,"719"
706,"647"
707,"633"
708,"588"
709,"588"
710,"538"
711,"516"
712,"469"
713,"470"
714,"460"
715,"483"
716,"431"
717,"445"
718,"465"
719,"466"
720,"464"
721,"422"
722,"483"
723,"502"
724,"455"
725,"460"
726,"504"
727,"481"
728,"485"
729,"461"
730,"440"
731,"480"
732,"520"
733,"501"
734,"491"
735,"499"
736,"543"
737,"549"
738,"499"
739,"501"
740,"518"
741,"536"
742,"523"
743,"586"
744,"599"
745,"561"
746,"584"
747,"506"
748,"505"
749,"512"
750,"503"
751,"495"
752,"465"
753,"486"
754,"485"
755,"470"
756,"454"
757,"471"
758,"460"
759,"467"
760,"422"
761,"410"
762,"462"
763,"473"
764,"430"
765,"445"
766,"436"
767,"433"
768,"433"
769,"439"
770,"436"
771,"457"
772,"445"
773,"449"
774,"431"
775,"474"
776,"523"
777,"565"
778,"575"
779,"570"
780,"603"
781,"604"
782,"670"
783,"622"
784,"612"
785,"584"
786,"538"
787,"547"
788,"569"
789,"535"
790,"508"
791,"487"
792,"505"
793,"469"
794,"438"
795,"423"
796,"474"
797,"423"
798,"426"
799,"429"
800,"438"
801,"427"
802,"423"
803,"421"
804,"404"
805,"411"
806,"428"
807,"430"
808,"438"
809,"425"
810,"395"
811,"433"
812,"388"
813,"430"
814,"422"
815,"449"
816,"413"
817,"414"
818,"426"
819,"386"
820,"433"
821,"390"
822,"434"
823,"472"
824,"416"
825,"456"
826,"464"
827,"435"
828,"415"
829,"376"
830,"422"
831,"419"
832,"407"
833,"434"
834,"407"
835,"428"
836,"419"
837,"413"
838,"418"
839,"421"
840,"421"
841,"390"
842,"398"
843,"409"
844,"390"
845,"409"
846,"399"
847,"392"
848,"430"
849,"420"
850,"452"
851,"405"
852,"424"
853,"438"
854,"434"
855,"456"
856,"396"
857,"411"
858,"389"
859,"417"
860,"415"
861,"433"
862,"397"
863,"387"
864,"411"
865,"417"
866,"430"
867,"420"
868,"453"
869,"428"
870,"422"
871,"428"
872,"422"
873,"449"
874,"458"
875,"425"
876,"467"
877,"464"
878,"495"
879,"470"
880,"478"
881,"461"
882,"394"
883,"455"
884,"426"
885,"450"
886,"482"
887,"503"
888,"461"
889,"461"
890,"462"
891,"521"
892,"482"
893,"471"
894,"469"
895,"480"
896,"503"
897,"483"
898,"445"
899,"501"
900,"503"
901,"543"
902,"492"
903,"571"
904,"523"
905,"525"
906,"542"
907,"554"
908,"639"
909,"611"
910,"603"
911,"570"
912,"695"
913,"631"
914,"683"
915,"687"
916,"748"
917,"759"
918,"743"
919,"830"
920,"829"
921,"846"
922,"866"
923,"947"
924,"987"
925,"1037"
926,"1029"
927,"1121"
928,"1093"
929,"1149"
930,"1169"
931,"1238"
932,"1314"
933,"1286"
934,"1339"
935,"1362"
936,"1445"
937,"1267"
938,"1384"
939,"1409"
940,"1423"
941,"1412"
942,"1442"
943,"1437"
944,"1333"
945,"1317"
946,"1344"
947,"1296"
948,"1234"
949,"1171"
950,"1157"
951,"1083"
952,"1076"
953,"1033"
954,"957"
955,"965"
956,"968"
957,"866"
958,"841"
959,"822"
960,"782"
961,"737"
962,"663"
963,"720"
964,"611"
965,"632"
966,"601"
967,"582"
968,"554"
969,"580"
970,"591"
971,"511"
972,"495"
973,"484"
974,"496"
975,"450"
976,"438"
977,"494"
978,"480"
979,"422"
980,"420"
981,"461"
982,"413"
983,"389"
984,"419"
985,"408"
986,"449"
987,"391"
988,"388"
989,"448"
990,"453"
991,"471"
992,"496"
993,"527"
994,"587"
995,"652"
996,"692"
997,"685"
998,"784"
999,"830"
1000,"892"
1001,"896"
1002,"872"
1003,"872"
1004,"919"
1005,"815"
1006,"778"
1007,"720"
1008,"735"
1009,"635"
1010,"586"
1011,"553"
1012,"494"
1013,"427"
1014,"411"
