Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3AE 3phi 0"
Duration Time,60.032
Ambient Temperature,"103.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"742160"
Raw Accumulated Counts,"770391"
Valid Count Last Packet,"11719"
Raw Count Last Packet,"12225"
Live Time,58.181004
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0878
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1861"
1,"1495"
2,"930"
3,"519"
4,"207"
5,"77"
6,"21"
7,"4"
8,"1"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"26"
23,"119"
24,"185"
25,"197"
26,"200"
27,"188"
28,"186"
29,"199"
30,"184"
31,"215"
32,"179"
33,"161"
34,"151"
35,"161"
36,"168"
37,"176"
38,"163"
39,"157"
40,"151"
41,"171"
42,"171"
43,"162"
44,"151"
45,"188"
46,"190"
47,"183"
48,"185"
49,"195"
50,"171"
51,"178"
52,"139"
53,"149"
54,"153"
55,"168"
56,"149"
57,"171"
58,"149"
59,"155"
60,"160"
61,"179"
62,"147"
63,"134"
64,"146"
65,"130"
66,"111"
67,"129"
68,"137"
69,"131"
70,"194"
71,"182"
72,"175"
73,"217"
74,"211"
75,"224"
76,"205"
77,"190"
78,"184"
79,"175"
80,"226"
81,"320"
82,"524"
83,"874"
84,"1183"
85,"1639"
86,"1851"
87,"1839"
88,"1541"
89,"1062"
90,"763"
91,"501"
92,"324"
93,"254"
94,"188"
95,"155"
96,"122"
97,"137"
98,"130"
99,"156"
100,"166"
101,"128"
102,"125"
103,"115"
104,"140"
105,"113"
106,"121"
107,"117"
108,"119"
109,"124"
110,"154"
111,"173"
112,"202"
113,"221"
114,"211"
115,"259"
116,"239"
117,"242"
118,"225"
119,"183"
120,"208"
121,"193"
122,"179"
123,"175"
124,"198"
125,"220"
126,"256"
127,"370"
128,"526"
129,"670"
130,"961"
131,"1389"
132,"1705"
133,"1888"
134,"1888"
135,"1950"
136,"1758"
137,"1498"
138,"1367"
139,"1348"
140,"1371"
141,"1418"
142,"1496"
143,"1562"
144,"1577"
145,"1683"
146,"1709"
147,"1760"
148,"1657"
149,"1285"
150,"1040"
151,"722"
152,"481"
153,"365"
154,"323"
155,"315"
156,"331"
157,"330"
158,"449"
159,"550"
160,"742"
161,"958"
162,"1347"
163,"1598"
164,"1941"
165,"1885"
166,"1714"
167,"1413"
168,"1018"
169,"660"
170,"422"
171,"287"
172,"207"
173,"211"
174,"256"
175,"290"
176,"366"
177,"410"
178,"520"
179,"644"
180,"751"
181,"865"
182,"919"
183,"909"
184,"871"
185,"829"
186,"672"
187,"466"
188,"386"
189,"288"
190,"219"
191,"201"
192,"199"
193,"208"
194,"175"
195,"239"
196,"247"
197,"287"
198,"306"
199,"324"
200,"329"
