Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4A -1phi 2"
Duration Time,60.095
Ambient Temperature,"97.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"615867"
Raw Accumulated Counts,"636208"
Valid Count Last Packet,"9703"
Raw Count Last Packet,"10019"
Live Time,58.597015
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7856
Number of Channels,2048
Vacuum,753
Channel#,Intensity
0,"1769"
1,"1505"
2,"973"
3,"515"
4,"202"
5,"78"
6,"23"
7,"6"
8,"0"
9,"1"
10,"2"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"6"
22,"31"
23,"126"
24,"147"
25,"157"
26,"189"
27,"168"
28,"171"
29,"172"
30,"163"
31,"168"
32,"154"
33,"175"
34,"157"
35,"170"
36,"131"
37,"132"
38,"153"
39,"133"
40,"145"
41,"140"
42,"121"
43,"137"
44,"150"
45,"152"
46,"174"
47,"157"
48,"171"
49,"171"
50,"147"
51,"151"
52,"148"
53,"149"
54,"139"
55,"129"
56,"138"
57,"131"
58,"161"
59,"134"
60,"129"
61,"146"
62,"146"
63,"122"
64,"121"
65,"122"
66,"143"
67,"116"
68,"111"
69,"112"
70,"132"
71,"160"
72,"155"
73,"169"
74,"178"
75,"184"
76,"163"
77,"166"
78,"147"
79,"180"
80,"203"
81,"296"
82,"531"
83,"806"
84,"1134"
85,"1525"
86,"1689"
87,"1628"
88,"1340"
89,"1031"
90,"698"
91,"437"
92,"301"
93,"221"
94,"164"
95,"140"
96,"141"
97,"141"
98,"118"
99,"138"
100,"116"
101,"114"
102,"133"
103,"125"
104,"117"
105,"119"
106,"124"
107,"107"
108,"137"
109,"124"
110,"124"
111,"151"
112,"168"
113,"159"
114,"213"
115,"221"
116,"213"
117,"212"
118,"176"
119,"198"
120,"183"
121,"185"
122,"184"
123,"190"
124,"193"
125,"259"
126,"300"
127,"410"
128,"531"
129,"756"
130,"1071"
131,"1397"
132,"1729"
133,"1959"
134,"2027"
135,"1969"
136,"1615"
137,"1456"
138,"1277"
139,"1343"
140,"1362"
141,"1448"
142,"1443"
143,"1538"
144,"1533"
145,"1764"
146,"1759"
147,"1691"
148,"1624"
149,"1311"
150,"977"
151,"679"
152,"473"
153,"354"
154,"332"
155,"321"
156,"339"
157,"387"
158,"462"
159,"546"
160,"698"
161,"937"
162,"1241"
163,"1553"
164,"1763"
165,"1746"
166,"1521"
167,"1175"
168,"871"
169,"573"
170,"372"
171,"265"
172,"259"
173,"196"
174,"241"
175,"309"
176,"364"
177,"394"
178,"506"
179,"524"
180,"568"
181,"535"
182,"569"
183,"562"
184,"505"
185,"468"
186,"395"
187,"308"
188,"260"
189,"225"
190,"180"
191,"167"
192,"173"
193,"168"
194,"180"
195,"168"
196,"209"
197,"203"
198,"235"
199,"242"
200,"253"
201,"238"
202,"211"
203,"211"
204,"184"
205,"167"
206,"185"
207,"197"
208,"215"
209,"232"
210,"180"
211,"201"
212,"225"
213,"246"
214,"236"
215,"238"
216,"232"
217,"243"
218,"262"
219,"260"
220,"279"
221,"308"
222,"325"
223,"316"
224,"325"
225,"337"
226,"303"
227,"275"
228,"246"
229,"245"
230,"247"
231,"235"
232,"279"
233,"243"
234,"250"
235,"298"
236,"349"
237,"334"
238,"391"
239,"460"
240,"460"
241,"491"
242,"492"
243,"479"
244,"414"
245,"372"
246,"348"
247,"297"
248,"289"
249,"305"
250,"261"
251,"266"
252,"287"
253,"225"
254,"253"
255,"288"
256,"279"
257,"278"
258,"273"
259,"280"
260,"320"
261,"301"
262,"306"
263,"337"
264,"326"
265,"371"
266,"357"
267,"372"
268,"341"
269,"361"
270,"324"
271,"342"
272,"321"
273,"292"
274,"325"
275,"290"
276,"306"
277,"371"
278,"330"
279,"330"
280,"345"
281,"354"
282,"382"
283,"374"
284,"386"
285,"353"
286,"371"
287,"384"
288,"345"
289,"398"
290,"415"
291,"339"
292,"361"
293,"381"
294,"389"
295,"397"
296,"372"
297,"388"
298,"371"
299,"399"
300,"387"
301,"409"
302,"439"
303,"415"
304,"382"
305,"401"
306,"400"
307,"411"
308,"436"
309,"407"
310,"474"
311,"501"
312,"657"
313,"778"
314,"912"
315,"1058"
316,"1267"
317,"1250"
318,"1237"
319,"1178"
320,"1072"
321,"900"
322,"800"
323,"692"
324,"565"
325,"455"
326,"463"
327,"436"
328,"415"
329,"426"
330,"391"
331,"457"
332,"391"
333,"418"
334,"366"
335,"448"
336,"430"
337,"430"
338,"421"
339,"470"
340,"456"
341,"440"
342,"467"
343,"475"
344,"488"
345,"502"
346,"512"
347,"541"
348,"594"
349,"569"
350,"603"
351,"611"
352,"612"
353,"594"
354,"633"
355,"665"
356,"693"
357,"694"
358,"788"
359,"849"
360,"808"
361,"872"
362,"961"
363,"1002"
364,"1052"
365,"1105"
366,"1215"
367,"1360"
368,"1422"
369,"1595"
370,"1602"
371,"1627"
372,"1504"
373,"1399"
374,"1207"
375,"978"
376,"800"
377,"649"
378,"583"
379,"536"
380,"448"
381,"430"
382,"437"
383,"411"
384,"405"
385,"428"
386,"444"
387,"421"
388,"429"
389,"417"
390,"437"
391,"436"
392,"457"
393,"455"
394,"541"
395,"576"
396,"612"
397,"665"
398,"705"
399,"735"
400,"760"
401,"773"
402,"757"
403,"824"
404,"782"
405,"794"
406,"747"
407,"732"
408,"725"
409,"745"
410,"733"
411,"696"
412,"644"
413,"624"
414,"531"
415,"509"
416,"483"
417,"474"
418,"440"
419,"452"
420,"417"
421,"487"
422,"427"
423,"455"
424,"498"
425,"497"
426,"508"
427,"491"
428,"499"
429,"561"
430,"520"
431,"495"
432,"468"
433,"494"
434,"499"
435,"469"
436,"454"
437,"465"
438,"455"
439,"496"
440,"500"
441,"491"
442,"471"
443,"494"
444,"530"
445,"477"
446,"496"
447,"514"
448,"514"
449,"475"
450,"449"
451,"505"
452,"475"
453,"464"
454,"460"
455,"441"
456,"463"
457,"443"
458,"462"
459,"441"
460,"438"
461,"465"
462,"423"
463,"453"
464,"459"
465,"432"
466,"459"
467,"434"
468,"463"
469,"448"
470,"455"
471,"419"
472,"449"
473,"463"
474,"467"
475,"474"
476,"464"
477,"482"
478,"477"
479,"488"
480,"503"
481,"474"
482,"479"
483,"489"
484,"502"
485,"506"
486,"522"
487,"471"
488,"474"
489,"508"
490,"436"
491,"461"
492,"491"
493,"476"
494,"531"
495,"474"
496,"506"
497,"479"
498,"526"
499,"486"
500,"481"
501,"461"
502,"459"
503,"468"
504,"456"
505,"488"
506,"454"
507,"471"
508,"474"
509,"472"
510,"466"
511,"480"
512,"448"
513,"453"
514,"492"
515,"467"
516,"521"
517,"520"
518,"519"
519,"459"
520,"464"
521,"458"
522,"489"
523,"479"
524,"454"
525,"478"
526,"498"
527,"472"
528,"463"
529,"439"
530,"497"
531,"459"
532,"445"
533,"481"
534,"434"
535,"483"
536,"500"
537,"458"
538,"470"
539,"477"
540,"468"
541,"467"
542,"461"
543,"478"
544,"456"
545,"453"
546,"397"
547,"485"
548,"420"
549,"437"
550,"434"
551,"461"
552,"421"
553,"442"
554,"447"
555,"435"
556,"464"
557,"469"
558,"446"
559,"452"
560,"447"
561,"441"
562,"461"
563,"470"
564,"451"
565,"423"
566,"462"
567,"434"
568,"458"
569,"424"
570,"451"
571,"447"
572,"427"
573,"460"
574,"469"
575,"413"
576,"470"
577,"411"
578,"481"
579,"491"
580,"496"
581,"430"
582,"475"
583,"449"
584,"463"
585,"500"
586,"547"
587,"464"
588,"471"
589,"504"
590,"497"
591,"457"
592,"493"
593,"475"
594,"488"
595,"500"
596,"462"
597,"473"
598,"526"
599,"474"
600,"484"
601,"497"
602,"482"
603,"495"
604,"498"
605,"482"
606,"487"
607,"466"
608,"467"
609,"497"
610,"436"
611,"502"
612,"469"
613,"493"
614,"459"
615,"505"
616,"442"
617,"454"
618,"463"
619,"456"
620,"448"
621,"461"
622,"483"
623,"464"
624,"488"
625,"469"
626,"500"
627,"446"
628,"489"
629,"469"
630,"452"
631,"453"
632,"500"
633,"468"
634,"467"
635,"437"
636,"454"
637,"456"
638,"462"
639,"480"
640,"439"
641,"462"
642,"433"
643,"454"
644,"437"
645,"459"
646,"432"
647,"427"
648,"443"
649,"421"
650,"432"
651,"417"
652,"441"
653,"450"
654,"442"
655,"451"
656,"467"
657,"518"
658,"479"
659,"530"
660,"561"
661,"617"
662,"582"
663,"595"
664,"611"
665,"591"
666,"552"
667,"578"
668,"571"
669,"558"
670,"564"
671,"519"
672,"512"
673,"437"
674,"471"
675,"479"
676,"476"
677,"475"
678,"466"
679,"510"
680,"475"
681,"453"
682,"436"
683,"498"
684,"472"
685,"458"
686,"445"
687,"433"
688,"478"
689,"466"
690,"503"
691,"438"
692,"460"
693,"474"
694,"451"
695,"494"
696,"487"
697,"560"
698,"546"
699,"587"
700,"580"
701,"580"
702,"571"
703,"569"
704,"576"
705,"523"
706,"550"
707,"569"
708,"492"
709,"542"
710,"523"
711,"458"
712,"465"
713,"464"
714,"439"
715,"455"
716,"434"
717,"472"
718,"480"
719,"382"
720,"454"
721,"412"
722,"423"
723,"409"
724,"402"
725,"427"
726,"377"
727,"438"
728,"439"
729,"386"
730,"440"
731,"426"
732,"401"
733,"481"
734,"394"
735,"462"
736,"384"
737,"425"
738,"400"
739,"403"
740,"408"
741,"412"
742,"397"
743,"453"
744,"443"
745,"428"
746,"420"
747,"423"
748,"406"
749,"388"
750,"393"
751,"387"
752,"394"
753,"356"
754,"380"
755,"400"
756,"393"
757,"389"
758,"411"
759,"421"
760,"418"
761,"415"
762,"421"
763,"384"
764,"388"
765,"424"
766,"394"
767,"441"
768,"426"
769,"345"
770,"447"
771,"426"
772,"436"
773,"428"
774,"480"
775,"437"
776,"438"
777,"466"
778,"483"
779,"477"
780,"491"
781,"458"
782,"503"
783,"482"
784,"506"
785,"469"
786,"466"
787,"459"
788,"413"
789,"433"
790,"456"
791,"430"
792,"381"
793,"411"
794,"380"
795,"412"
796,"399"
797,"402"
798,"401"
799,"381"
800,"411"
801,"420"
802,"418"
803,"420"
804,"381"
805,"363"
806,"420"
807,"421"
808,"401"
809,"382"
810,"390"
811,"401"
812,"366"
813,"398"
814,"404"
815,"387"
816,"401"
817,"373"
818,"408"
819,"398"
820,"384"
821,"390"
822,"409"
823,"393"
824,"359"
825,"379"
826,"394"
827,"384"
828,"405"
829,"396"
830,"416"
831,"399"
832,"402"
833,"336"
834,"347"
835,"401"
836,"405"
837,"376"
838,"372"
839,"408"
840,"361"
841,"415"
842,"420"
843,"410"
