Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3F 4phi 0"
Duration Time,60.915
Ambient Temperature,"90.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"879796"
Raw Accumulated Counts,"916496"
Valid Count Last Packet,"13655"
Raw Count Last Packet,"14231"
Live Time,58.791973
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7858
Number of Channels,2048
Vacuum,750
Channel#,Intensity
0,"1734"
1,"1464"
2,"1022"
3,"487"
4,"205"
5,"72"
6,"15"
7,"6"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"0"
21,"8"
22,"51"
23,"137"
24,"198"
25,"203"
26,"174"
27,"197"
28,"186"
29,"164"
30,"159"
31,"174"
32,"180"
33,"162"
34,"176"
35,"132"
36,"176"
37,"142"
38,"167"
39,"160"
40,"166"
41,"184"
42,"143"
43,"191"
44,"153"
45,"176"
46,"164"
47,"187"
48,"168"
49,"156"
50,"161"
51,"138"
52,"180"
53,"149"
54,"160"
55,"144"
56,"159"
57,"181"
58,"144"
59,"154"
60,"143"
61,"151"
62,"143"
63,"157"
64,"139"
65,"118"
66,"152"
67,"150"
68,"138"
69,"157"
70,"141"
71,"184"
72,"241"
73,"258"
74,"245"
75,"251"
76,"233"
77,"213"
78,"175"
79,"193"
80,"205"
81,"246"
82,"369"
83,"597"
84,"840"
85,"1071"
86,"1147"
87,"1124"
88,"952"
89,"626"
90,"535"
91,"340"
92,"259"
93,"212"
94,"171"
95,"148"
96,"157"
97,"149"
98,"163"
99,"167"
100,"188"
101,"160"
102,"158"
103,"135"
104,"136"
105,"124"
106,"140"
107,"129"
108,"141"
109,"140"
110,"167"
111,"180"
112,"199"
113,"238"
114,"218"
115,"227"
116,"247"
117,"248"
118,"201"
119,"184"
120,"222"
121,"184"
122,"215"
123,"197"
124,"216"
125,"257"
126,"336"
127,"404"
128,"518"
129,"748"
130,"1033"
131,"1409"
132,"1729"
133,"2024"
134,"2040"
135,"1893"
136,"1720"
137,"1389"
138,"1360"
139,"1382"
140,"1405"
141,"1468"
142,"1482"
143,"1569"
144,"1593"
145,"1805"
146,"1831"
147,"1865"
148,"1641"
149,"1375"
150,"1018"
151,"702"
152,"524"
153,"393"
154,"357"
155,"348"
156,"379"
157,"480"
158,"556"
159,"831"
160,"1235"
161,"1692"
162,"2244"
163,"2957"
164,"3136"
165,"3180"
166,"2836"
167,"2187"
168,"1671"
169,"1014"
170,"602"
171,"418"
172,"313"
173,"303"
174,"356"
175,"463"
176,"579"
177,"697"
178,"868"
179,"945"
180,"1060"
181,"1123"
182,"1161"
183,"1193"
184,"1162"
185,"947"
186,"777"
187,"589"
188,"409"
189,"312"
190,"250"
191,"235"
192,"206"
193,"243"
194,"243"
195,"266"
196,"312"
197,"304"
198,"333"
199,"373"
200,"323"
201,"357"
202,"304"
203,"270"
204,"266"
205,"230"
206,"209"
207,"246"
208,"206"
209,"233"
210,"255"
211,"276"
212,"271"
213,"252"
214,"275"
215,"274"
216,"313"
217,"441"
218,"541"
219,"741"
220,"1049"
221,"1388"
222,"1763"
223,"1975"
224,"1991"
225,"1921"
226,"1669"
227,"1317"
228,"976"
229,"785"
230,"569"
231,"498"
232,"429"
233,"441"
234,"409"
235,"359"
236,"375"
237,"404"
238,"381"
239,"412"
240,"469"
241,"497"
242,"577"
243,"595"
244,"656"
245,"584"
246,"622"
247,"575"
248,"520"
249,"488"
250,"450"
251,"375"
252,"403"
253,"394"
254,"349"
255,"364"
256,"381"
257,"422"
258,"389"
259,"392"
260,"397"
261,"407"
262,"432"
263,"356"
264,"416"
265,"381"
266,"432"
267,"430"
268,"401"
269,"434"
270,"439"
271,"432"
272,"437"
273,"432"
274,"478"
275,"415"
276,"460"
277,"462"
278,"418"
279,"449"
280,"452"
281,"428"
282,"447"
283,"469"
284,"452"
285,"451"
286,"488"
287,"476"
288,"558"
289,"592"
290,"646"
291,"657"
292,"686"
293,"680"
