Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4A -1phi 0"
Duration Time,60.1
Ambient Temperature,"99.2"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"622434"
Raw Accumulated Counts,"643878"
Valid Count Last Packet,"9760"
Raw Count Last Packet,"10078"
Live Time,58.585011
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1739"
1,"1418"
2,"1007"
3,"549"
4,"251"
5,"66"
6,"20"
7,"5"
8,"1"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"21"
23,"97"
24,"152"
25,"171"
26,"153"
27,"161"
28,"174"
29,"146"
30,"140"
31,"169"
32,"146"
33,"122"
34,"163"
35,"136"
36,"116"
37,"151"
38,"162"
39,"125"
40,"146"
41,"156"
42,"140"
43,"134"
44,"145"
45,"165"
46,"143"
47,"146"
48,"165"
49,"139"
50,"118"
51,"129"
52,"121"
53,"126"
54,"122"
55,"155"
56,"153"
57,"138"
58,"150"
59,"134"
60,"118"
61,"127"
62,"135"
63,"115"
64,"107"
65,"117"
66,"110"
67,"119"
68,"122"
69,"140"
70,"132"
71,"168"
72,"204"
73,"227"
74,"258"
75,"199"
76,"206"
77,"177"
78,"175"
79,"198"
80,"169"
81,"281"
82,"409"
83,"596"
84,"883"
85,"1167"
86,"1347"
87,"1286"
88,"1061"
89,"752"
90,"577"
91,"367"
92,"250"
93,"173"
94,"155"
95,"125"
96,"125"
97,"125"
98,"131"
99,"119"
100,"136"
101,"142"
102,"127"
103,"128"
104,"105"
105,"116"
106,"122"
107,"113"
108,"104"
109,"121"
110,"138"
111,"158"
112,"185"
113,"195"
114,"206"
115,"251"
116,"220"
117,"204"
118,"217"
119,"199"
120,"181"
121,"190"
122,"176"
123,"192"
124,"226"
125,"237"
126,"279"
127,"386"
128,"487"
129,"696"
130,"1002"
131,"1333"
132,"1656"
133,"1949"
134,"2000"
135,"1877"
136,"1658"
137,"1492"
138,"1382"
139,"1321"
140,"1331"
141,"1373"
142,"1467"
143,"1534"
144,"1607"
145,"1745"
146,"1780"
147,"1780"
148,"1550"
149,"1350"
150,"958"
151,"691"
152,"498"
153,"383"
154,"302"
155,"349"
156,"352"
157,"463"
158,"565"
159,"725"
160,"1001"
161,"1486"
162,"2160"
163,"2601"
164,"2922"
165,"2985"
166,"2699"
167,"2165"
168,"1504"
169,"965"
170,"652"
171,"390"
172,"292"
173,"268"
174,"282"
175,"398"
176,"470"
177,"644"
178,"649"
179,"670"
180,"770"
181,"771"
182,"682"
183,"718"
184,"610"
185,"537"
186,"474"
187,"367"
188,"268"
189,"212"
190,"205"
191,"196"
192,"169"
193,"177"
194,"176"
195,"212"
196,"229"
197,"240"
198,"273"
199,"245"
200,"242"
201,"255"
202,"269"
203,"233"
204,"233"
205,"197"
206,"208"
207,"184"
208,"194"
209,"208"
210,"225"
211,"201"
212,"204"
213,"221"
214,"225"
215,"233"
216,"215"
217,"235"
218,"258"
219,"303"
220,"354"
221,"415"
222,"487"
223,"514"
224,"492"
225,"502"
226,"437"
227,"406"
228,"376"
229,"298"
230,"322"
231,"262"
232,"257"
233,"255"
234,"280"
235,"294"
236,"303"
237,"327"
238,"325"
239,"356"
240,"368"
241,"397"
242,"406"
243,"387"
244,"380"
245,"376"
246,"386"
247,"354"
248,"326"
249,"315"
250,"311"
251,"300"
252,"285"
253,"283"
254,"314"
255,"282"
256,"275"
257,"327"
258,"315"
259,"287"
260,"308"
261,"339"
262,"327"
263,"358"
264,"327"
265,"368"
266,"406"
267,"390"
268,"402"
269,"386"
270,"380"
271,"456"
272,"363"
273,"379"
274,"386"
275,"349"
276,"331"
277,"342"
278,"347"
279,"305"
280,"366"
281,"340"
282,"349"
283,"338"
284,"338"
285,"334"
286,"341"
287,"377"
288,"380"
289,"368"
290,"408"
291,"398"
292,"401"
293,"399"
294,"436"
295,"407"
296,"414"
297,"408"
298,"428"
299,"369"
300,"436"
301,"398"
302,"414"
303,"415"
304,"486"
305,"444"
306,"497"
307,"463"
308,"537"
309,"566"
310,"660"
311,"863"
312,"1234"
313,"1563"
314,"2096"
315,"2612"
316,"3360"
317,"3436"
318,"3558"
319,"3507"
320,"3047"
321,"2578"
322,"1910"
323,"1465"
324,"1051"
325,"873"
326,"609"
327,"526"
328,"510"
329,"462"
330,"466"
331,"429"
332,"447"
333,"410"
334,"447"
335,"421"
336,"418"
337,"426"
338,"421"
339,"490"
340,"426"
341,"476"
342,"464"
343,"513"
344,"551"
345,"619"
346,"595"
347,"743"
348,"823"
349,"887"
350,"928"
351,"923"
352,"881"
353,"794"
354,"836"
355,"747"
356,"744"
357,"691"
358,"743"
359,"778"
360,"822"
361,"856"
362,"885"
363,"914"
364,"944"
365,"970"
366,"1044"
367,"1111"
368,"1236"
369,"1235"
370,"1361"
371,"1248"
372,"1220"
373,"1088"
374,"1063"
375,"868"
376,"726"
377,"613"
378,"555"
379,"440"
380,"473"
381,"425"
382,"436"
383,"436"
384,"388"
385,"420"
386,"458"
387,"416"
388,"421"
389,"450"
390,"411"
391,"449"
392,"383"
393,"466"
394,"488"
395,"520"
396,"541"
397,"559"
398,"659"
399,"673"
400,"650"
401,"690"
402,"639"
403,"632"
404,"608"
405,"606"
406,"551"
407,"537"
408,"538"
409,"552"
410,"538"
411,"534"
412,"505"
413,"501"
414,"472"
415,"461"
416,"451"
417,"451"
418,"438"
419,"424"
420,"459"
421,"412"
422,"436"
423,"490"
424,"424"
425,"453"
426,"469"
427,"485"
428,"465"
429,"470"
430,"521"
431,"521"
432,"569"
433,"494"
434,"511"
435,"479"
436,"444"
437,"497"
438,"464"
439,"473"
440,"465"
441,"482"
442,"496"
443,"501"
444,"501"
445,"468"
446,"514"
447,"467"
448,"428"
449,"498"
450,"491"
451,"474"
452,"491"
453,"478"
454,"477"
455,"542"
456,"528"
457,"484"
458,"532"
459,"534"
460,"492"
461,"543"
462,"523"
463,"490"
464,"486"
465,"477"
466,"464"
467,"461"
468,"457"
469,"498"
470,"479"
471,"508"
472,"450"
473,"441"
474,"474"
475,"462"
476,"490"
477,"479"
478,"489"
479,"459"
480,"437"
481,"454"
482,"479"
483,"471"
484,"527"
485,"441"
486,"499"
487,"464"
488,"447"
489,"465"
490,"454"
491,"428"
492,"469"
493,"468"
494,"474"
495,"482"
496,"463"
497,"481"
498,"444"
499,"487"
500,"461"
501,"442"
502,"446"
503,"472"
504,"452"
505,"474"
506,"446"
507,"463"
508,"404"
509,"458"
510,"428"
511,"443"
512,"430"
513,"443"
514,"434"
515,"430"
516,"447"
517,"477"
518,"449"
519,"446"
520,"455"
521,"506"
522,"486"
523,"496"
524,"457"
525,"502"
526,"493"
527,"471"
528,"493"
529,"483"
530,"448"
531,"453"
532,"475"
533,"444"
534,"460"
535,"472"
536,"461"
537,"460"
538,"460"
539,"444"
540,"445"
541,"457"
