Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3AE 0phi 1"
Duration Time,60.097
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"637961"
Raw Accumulated Counts,"659670"
Valid Count Last Packet,"10103"
Raw Count Last Packet,"10413"
Live Time,58.536022
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1803"
1,"1428"
2,"970"
3,"506"
4,"213"
5,"68"
6,"19"
7,"3"
8,"2"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"6"
22,"20"
23,"103"
24,"149"
25,"156"
26,"173"
27,"190"
28,"171"
29,"169"
30,"166"
31,"179"
32,"165"
33,"186"
34,"161"
35,"142"
36,"156"
37,"143"
38,"155"
39,"149"
40,"147"
41,"132"
42,"153"
43,"150"
44,"138"
45,"152"
46,"140"
47,"186"
48,"147"
49,"130"
50,"124"
51,"139"
52,"164"
53,"140"
54,"134"
55,"150"
56,"158"
57,"150"
58,"161"
59,"142"
60,"123"
61,"136"
62,"125"
63,"128"
64,"124"
65,"138"
66,"143"
67,"120"
68,"132"
69,"143"
70,"136"
71,"164"
72,"197"
73,"174"
74,"197"
75,"206"
76,"226"
77,"179"
78,"165"
79,"154"
80,"199"
81,"282"
82,"476"
83,"738"
84,"1042"
85,"1399"
86,"1564"
87,"1552"
88,"1289"
89,"1012"
90,"676"
91,"432"
92,"298"
93,"200"
94,"164"
95,"146"
96,"128"
97,"142"
98,"136"
99,"124"
100,"137"
101,"124"
102,"135"
103,"116"
104,"126"
105,"110"
106,"111"
107,"103"
108,"118"
109,"132"
110,"156"
111,"163"
112,"172"
113,"204"
114,"216"
115,"260"
116,"227"
117,"241"
118,"203"
119,"211"
120,"177"
121,"187"
122,"177"
123,"228"
124,"235"
125,"252"
126,"298"
127,"367"
128,"534"
129,"680"
130,"1016"
131,"1298"
132,"1684"
133,"1930"
134,"1913"
135,"1828"
136,"1672"
137,"1430"
138,"1287"
139,"1289"
140,"1342"
141,"1340"
142,"1437"
143,"1568"
144,"1663"
145,"1655"
146,"1794"
147,"1766"
148,"1625"
149,"1295"
150,"1000"
151,"771"
152,"526"
153,"394"
154,"342"
155,"314"
156,"368"
157,"372"
158,"487"
159,"717"
160,"986"
161,"1479"
162,"1971"
163,"2551"
164,"2887"
165,"2884"
166,"2684"
167,"2198"
168,"1541"
169,"964"
170,"640"
171,"394"
172,"270"
173,"248"
174,"341"
175,"394"
176,"469"
177,"590"
178,"676"
179,"678"
180,"757"
181,"734"
182,"744"
183,"698"
184,"686"
185,"572"
186,"484"
187,"367"
188,"274"
189,"249"
190,"211"
191,"183"
192,"201"
193,"189"
194,"206"
195,"241"
196,"230"
197,"255"
198,"244"
199,"256"
200,"254"
201,"257"
202,"255"
203,"242"
204,"214"
205,"221"
206,"184"
207,"198"
208,"193"
209,"211"
210,"174"
211,"180"
212,"195"
213,"214"
214,"225"
215,"206"
216,"240"
217,"277"
218,"272"
219,"283"
220,"281"
221,"321"
222,"396"
223,"410"
224,"372"
225,"368"
226,"320"
227,"330"
228,"284"
229,"267"
230,"251"
231,"243"
232,"228"
233,"252"
234,"242"
235,"265"
236,"274"
237,"265"
238,"271"
239,"297"
240,"319"
241,"290"
242,"326"
243,"300"
244,"305"
245,"316"
246,"279"
247,"284"
248,"334"
249,"297"
250,"286"
251,"270"
252,"263"
253,"306"
254,"298"
255,"294"
256,"318"
257,"268"
258,"315"
259,"356"
260,"322"
261,"294"
262,"307"
263,"299"
264,"318"
265,"311"
266,"311"
267,"307"
268,"330"
269,"362"
270,"331"
271,"349"
272,"320"
273,"309"
274,"331"
275,"363"
276,"341"
277,"325"
278,"361"
279,"335"
280,"372"
281,"334"
282,"308"
283,"369"
284,"354"
285,"347"
286,"386"
287,"363"
288,"383"
289,"381"
290,"383"
291,"406"
292,"434"
293,"411"
294,"416"
295,"466"
296,"450"
297,"455"
298,"489"
299,"479"
300,"476"
301,"460"
302,"455"
303,"461"
304,"426"
305,"446"
306,"445"
307,"490"
308,"503"
309,"531"
310,"657"
