Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3F 1phi 1"
Duration Time,60.034
Ambient Temperature,"87.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"697416"
Raw Accumulated Counts,"722816"
Valid Count Last Packet,"10850"
Raw Count Last Packet,"11281"
Live Time,58.304981
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7981
Number of Channels,2048
Vacuum,747
Channel#,Intensity
0,"1799"
1,"1466"
2,"940"
3,"523"
4,"234"
5,"80"
6,"22"
7,"3"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"0"
21,"3"
22,"33"
23,"124"
24,"172"
25,"185"
26,"180"
27,"167"
28,"179"
29,"159"
30,"172"
31,"194"
32,"186"
33,"175"
34,"191"
35,"165"
36,"138"
37,"162"
38,"138"
39,"185"
40,"162"
41,"168"
42,"164"
43,"139"
44,"155"
45,"169"
46,"160"
47,"162"
48,"177"
49,"148"
50,"176"
51,"152"
52,"158"
53,"161"
54,"149"
55,"139"
56,"149"
57,"184"
58,"142"
59,"141"
60,"163"
61,"173"
62,"153"
63,"144"
64,"139"
65,"145"
66,"157"
67,"131"
68,"152"
69,"155"
70,"176"
71,"195"
72,"218"
73,"207"
74,"232"
75,"201"
76,"233"
77,"196"
78,"185"
79,"231"
80,"217"
81,"322"
82,"442"
83,"727"
84,"1073"
85,"1404"
86,"1544"
87,"1517"
88,"1259"
89,"949"
90,"620"
91,"424"
92,"287"
93,"184"
94,"148"
95,"140"
96,"124"
97,"121"
98,"151"
99,"167"
100,"152"
101,"160"
102,"137"
103,"149"
104,"119"
105,"109"
106,"129"
107,"136"
108,"126"
109,"124"
110,"154"
111,"165"
112,"205"
113,"230"
114,"225"
115,"229"
116,"207"
117,"215"
118,"212"
119,"211"
120,"230"
121,"213"
122,"200"
123,"210"
124,"226"
125,"219"
126,"335"
127,"384"
128,"523"
129,"776"
130,"1063"
131,"1353"
132,"1678"
133,"1908"
134,"1998"
135,"1904"
136,"1635"
137,"1508"
138,"1385"
139,"1333"
140,"1356"
141,"1392"
142,"1428"
143,"1453"
144,"1612"
145,"1690"
146,"1844"
147,"1782"
148,"1489"
149,"1272"
150,"934"
151,"661"
152,"493"
153,"363"
154,"324"
155,"309"
156,"365"
157,"419"
158,"515"
159,"716"
160,"1017"
161,"1453"
162,"1954"
163,"2456"
164,"2725"
165,"2776"
166,"2478"
167,"1969"
168,"1304"
169,"929"
170,"582"
171,"346"
172,"264"
173,"264"
174,"325"
175,"385"
176,"455"
177,"614"
178,"668"
179,"659"
180,"761"
181,"744"
182,"821"
183,"754"
184,"685"
185,"640"
186,"507"
187,"383"
188,"297"
189,"223"
190,"200"
191,"206"
192,"173"
193,"213"
194,"199"
195,"218"
196,"234"
197,"235"
198,"238"
199,"267"
200,"256"
201,"243"
202,"250"
203,"232"
204,"223"
205,"227"
206,"188"
207,"210"
208,"240"
209,"195"
210,"250"
211,"198"
212,"214"
213,"228"
214,"202"
215,"248"
216,"222"
217,"278"
218,"295"
219,"356"
220,"477"
221,"513"
222,"658"
223,"725"
224,"725"
225,"680"
226,"628"
227,"520"
228,"389"
229,"358"
230,"295"
231,"285"
232,"291"
233,"270"
234,"285"
235,"292"
236,"273"
237,"296"
238,"273"
239,"303"
240,"321"
241,"305"
242,"369"
243,"314"
244,"368"
245,"348"
246,"384"
247,"350"
248,"310"
249,"330"
250,"338"
251,"294"
252,"300"
253,"310"
254,"328"
255,"340"
256,"298"
257,"312"
258,"327"
259,"312"
260,"294"
261,"343"
262,"317"
263,"323"
264,"338"
265,"326"
266,"317"
267,"312"
268,"330"
269,"325"
270,"340"
271,"355"
272,"335"
273,"333"
274,"333"
275,"344"
276,"392"
277,"368"
278,"374"
279,"359"
280,"372"
281,"359"
282,"385"
283,"329"
284,"360"
285,"389"
286,"362"
287,"390"
288,"396"
289,"437"
290,"412"
291,"442"
292,"479"
293,"455"
294,"440"
295,"416"
296,"470"
297,"444"
298,"426"
299,"400"
300,"410"
301,"424"
302,"425"
303,"400"
304,"431"
305,"408"
306,"440"
307,"490"
308,"505"
309,"613"
310,"787"
311,"1048"
312,"1425"
313,"1997"
314,"2675"
315,"3389"
316,"4076"
317,"4470"
318,"4515"
319,"4347"
320,"3695"
321,"2922"
322,"2306"
323,"1652"
324,"1162"
325,"845"
326,"661"
327,"531"
328,"561"
329,"472"
330,"473"
331,"495"
332,"478"
333,"520"
334,"501"
335,"509"
336,"513"
337,"536"
338,"506"
339,"538"
340,"557"
341,"559"
342,"555"
343,"597"
344,"651"
345,"749"
346,"821"
347,"857"
348,"950"
349,"1054"
350,"1125"
351,"1136"
352,"1027"
353,"933"
354,"872"
355,"754"
356,"742"
357,"712"
358,"732"
359,"736"
360,"786"
361,"798"
362,"882"
363,"906"
364,"953"
365,"955"
366,"1077"
367,"1204"
368,"1234"
369,"1304"
370,"1514"
371,"1394"
372,"1329"
373,"1249"
374,"1057"
375,"937"
376,"809"
377,"622"
378,"528"
379,"526"
380,"463"
