Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4G 0phi 1"
Duration Time,60.144
Ambient Temperature,"101.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"579263"
Raw Accumulated Counts,"598327"
Valid Count Last Packet,"9072"
Raw Count Last Packet,"9371"
Live Time,58.732983
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1857"
1,"1539"
2,"994"
3,"528"
4,"222"
5,"96"
6,"27"
7,"10"
8,"3"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"31"
23,"117"
24,"158"
25,"165"
26,"175"
27,"173"
28,"166"
29,"170"
30,"158"
31,"178"
32,"161"
33,"136"
34,"147"
35,"133"
36,"131"
37,"138"
38,"133"
39,"153"
40,"111"
41,"160"
42,"129"
43,"132"
44,"149"
45,"146"
46,"147"
47,"167"
48,"175"
49,"151"
50,"157"
51,"127"
52,"137"
53,"137"
54,"152"
55,"146"
56,"132"
57,"137"
58,"128"
59,"135"
60,"166"
61,"127"
62,"146"
63,"134"
64,"135"
65,"127"
66,"114"
67,"112"
68,"141"
69,"114"
70,"122"
71,"129"
72,"138"
73,"165"
74,"179"
75,"166"
76,"148"
77,"171"
78,"144"
79,"167"
80,"187"
81,"260"
82,"401"
83,"656"
84,"978"
85,"1251"
86,"1448"
87,"1435"
88,"1192"
89,"883"
90,"605"
91,"388"
92,"299"
93,"150"
94,"132"
95,"150"
96,"117"
97,"107"
98,"124"
99,"124"
100,"122"
101,"115"
102,"120"
103,"129"
104,"104"
105,"110"
106,"103"
107,"100"
108,"108"
109,"124"
110,"153"
111,"157"
112,"190"
113,"194"
114,"195"
115,"206"
116,"259"
117,"197"
118,"218"
119,"205"
120,"187"
121,"160"
122,"192"
123,"179"
124,"208"
125,"241"
126,"293"
127,"380"
128,"468"
129,"648"
130,"969"
131,"1263"
132,"1551"
133,"1875"
134,"1997"
135,"1843"
136,"1688"
137,"1447"
138,"1235"
139,"1265"
140,"1340"
141,"1441"
142,"1473"
143,"1460"
144,"1641"
145,"1787"
146,"1798"
147,"1864"
148,"1616"
149,"1339"
150,"1024"
151,"686"
152,"530"
153,"348"
154,"320"
155,"308"
156,"358"
157,"410"
158,"475"
159,"575"
160,"735"
161,"1135"
162,"1485"
163,"1929"
164,"2171"
165,"2158"
166,"1991"
167,"1591"
168,"1070"
169,"751"
170,"500"
171,"320"
172,"197"
173,"197"
174,"255"
175,"313"
176,"402"
177,"420"
178,"476"
179,"494"
180,"532"
181,"503"
182,"518"
183,"493"
184,"448"
185,"421"
186,"346"
187,"273"
188,"233"
189,"163"
190,"213"
191,"149"
192,"145"
193,"173"
194,"160"
195,"175"
196,"207"
197,"224"
198,"203"
199,"197"
200,"248"
201,"216"
202,"221"
203,"197"
204,"170"
205,"183"
206,"189"
207,"180"
208,"160"
209,"189"
210,"177"
211,"182"
