Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,L2-4B 2phi 0
Duration Time,60.034
Ambient Temperature,103
Detector Temperature,-15
Valid Accumulated Counts,962350
Raw Accumulated Counts,1005942
Valid Count Last Packet,14979
Raw Count Last Packet,15618
Live Time,57.709003
HV DAC,171
HV ADC,40
Filament DAC,200
Filament ADC,5
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,1825
1,1448
2,910
3,493
4,204
5,84
6,15
7,6
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,6
22,33
23,106
24,177
25,193
26,207
27,224
28,223
29,190
30,193
31,187
32,188
33,188
34,193
35,165
36,178
37,178
38,198
39,174
40,170
41,171
42,178
43,191
44,163
45,186
46,180
47,193
48,190
49,192
50,173
51,196
52,171
53,167
54,205
55,194
56,149
57,177
58,181
59,175
60,185
61,182
62,148
63,164
64,174
65,168
66,143
67,162
68,147
69,167
70,186
71,207
72,196
73,240
74,199
75,215
76,186
77,222
78,190
79,207
80,177
81,230
82,313
83,465
84,677
85,842
86,978
87,947
88,758
89,598
90,496
91,408
92,330
93,339
94,385
95,458
96,474
97,511
98,481
99,391
100,328
101,254
102,243
103,185
104,175
105,163
106,167
107,162
108,215
109,203
110,232
111,288
112,308
113,363
114,368
115,378
116,385
117,317
118,279
119,270
120,255
121,259
122,261
123,280
124,305
125,301
126,334
127,450
128,525
129,738
130,1049
131,1395
132,1786
133,2015
134,2229
135,2054
136,1796
137,1628
138,1473
139,1463
140,1486
141,1534
142,1560
143,1612
144,1721
145,1815
146,1924
147,1801
148,1695
149,1422
150,1151
151,827
152,621
153,495
154,414
155,422
156,460
157,510
158,565
159,656
160,842
161,1141
162,1515
163,1773
164,1982
165,2089
166,1951
167,1618
168,1194
169,940
170,674
171,588
172,518
173,635
174,737
175,1092
176,1791
177,3259
178,5796
179,9915
180,15621
181,21713
182,27467
183,30313
184,30401
185,26941
186,21126
187,14642
188,9311
189,5229
190,2798
191,1526
192,970
193,991
194,1341
195,1941
196,2801
197,3560
198,4513
199,5050
200,5104
201,4435
202,3556
203,2616
204,1700
205,1076
206,637
207,376
208,265
209,230
210,228
211,184
212,227
213,242
214,214
215,228
216,256
217,241
218,293
219,351
220,404
221,457
222,569
223,599
224,614
225,658
226,545
227,475
228,413
229,410
230,360
231,314
232,299
233,300
234,299
235,273
236,295
237,277
238,263
239,313
240,285
241,302
242,359
243,333
244,334
245,313
246,339
247,373
248,325
249,323
250,298
251,266
252,269
253,282
254,269
255,296
256,296
257,301
258,287
259,306
260,293
261,290
262,311
263,297
264,344
265,315
266,324
267,344
268,334
269,401
270,361
271,363
272,354
273,401
274,353
275,366
276,344
277,364
278,343
279,395
280,379
281,388
282,393
283,365
284,372
285,409
286,406
287,406
288,429
289,446
290,481
291,486
292,563
293,498
294,579
295,520
296,493
297,462
298,467
299,422
300,435
301,395
302,473
303,399
304,441
305,457
306,453
307,552
308,618
309,717
310,1110
311,1616
312,2470
313,3832
314,5482
315,7201
316,8871
317,10496
318,10959
319,10637
320,9437
321,7954
322,5925
323,4149
324,2754
325,1829
326,1170
327,870
328,630
329,512
330,498
331,496
332,456
333,478
334,457
335,470
336,528
337,522
338,506
339,492
340,555
341,555
342,600
343,662
344,777
345,935
346,1146
347,1423
348,1699
349,1906
350,2057
351,2061
352,1982
353,1762
354,1548
355,1339
356,998
357,869
358,780
359,793
360,800
361,791
362,764
363,833
364,885
365,997
366,922
367,1071
368,1190
369,1197
370,1233
371,1292
372,1254
373,1221
374,1075
375,934
376,781
377,690
378,531
379,509
380,449
381,429
382,437
383,414
384,421
385,367
386,399
387,396
388,392
389,405
390,410
391,397
392,431
393,469
394,477
395,502
396,598
397,642
398,676
399,639
400,714
401,645
402,701
403,610
404,626
405,572
406,555
407,570
408,497
409,516
410,543
411,557
412,535
413,538
414,497
415,490
416,476
417,466
418,484
419,466
420,490
421,479
422,524
423,501
424,512
425,547
426,600
427,620
428,616
429,612
430,606
431,599
432,576
433,555
434,517
435,500
436,510
437,470
438,451
439,496
440,497
441,486
442,472
443,443
444,506
445,471
446,454
447,457
448,410
449,454
450,463
451,421
452,457
453,437
454,444
455,450
456,489
457,446
458,479
459,460
460,501
461,459
462,444
463,434
464,410
465,446
466,455
467,487
468,382
469,479
470,450
471,440
472,478
473,475
474,492
475,494
476,501
477,490
478,520
479,493
480,426
481,464
482,471
483,455
484,462
485,470
486,480
487,451
488,466
489,480
490,476
491,488
492,439
493,438
494,470
495,449
496,502
497,476
498,472
499,482
500,456
501,495
502,474
503,445
504,476
505,466
506,473
507,455
508,442
509,441
510,454
511,448
512,470
513,462
514,468
515,467
516,444
517,480
518,470
519,493
520,479
521,538
522,562
523,536
524,571
525,571
526,548
527,514
528,507
529,492
530,504
531,490
532,460
533,475
534,464
535,439
536,429
537,455
538,447
539,478
540,447
541,459
542,447
543,409
544,423
545,456
546,456
547,400
548,435
549,477
550,417
551,456
552,440
553,441
554,446
555,426
556,463
557,426
558,445
559,442
560,436
561,434
562,460
563,475
564,440
565,457
566,489
567,448
568,442
569,444
570,434
571,455
572,456
573,467
574,435
575,405
576,454
577,461
578,468
579,472
580,480
581,480
582,457
583,442
584,442
585,470
586,433
587,435
588,484
589,445
590,436
591,430
592,443
593,437
594,466
595,444
596,474
597,429
598,457
599,419
600,400
601,455
602,417
603,465
604,438
605,425
606,448
607,460
608,415
609,419
610,493
611,424
612,448
613,408
614,466
615,434
616,460
617,491
618,472
619,434
620,457
621,458
622,459
623,447
624,449
625,504
626,520
627,496
628,520
629,459
630,460
631,472
632,457
633,466
634,440
635,479
636,407
637,465
638,442
639,453
640,438
641,402
642,446
643,402
644,429
645,460
646,468
647,429
648,451
649,439
650,427
651,439
652,438
653,449
654,432
655,467
656,439
657,464
658,530
659,607
660,595
661,598
662,668
663,669
664,702
665,714
666,684
667,693
668,675
669,655
670,609
671,562
672,505
673,525
674,486
675,487
676,453
677,414
678,429
679,406
680,389
681,399
682,432
683,462
684,404
685,399
686,429
687,438
688,495
689,490
690,479
691,490
692,570
693,611
694,670
695,865
696,1038
697,1270
698,1411
699,1679
700,1954
701,2079
702,2144
703,2312
704,2230
705,2155
706,1989
707,1771
708,1562
709,1277
710,1090
711,890
712,746
713,602
714,498
715,460
716,459
717,437
718,409
719,398
720,420
721,413
722,427
723,396
724,392
725,397
726,392
727,398
728,358
729,389
730,388
731,372
732,414
733,417
734,414
735,386
736,400
737,421
738,380
739,451
740,427
741,465
742,396
743,432
744,471
745,465
746,413
747,422
748,458
749,391
750,414
751,386
752,376
753,367
754,412
755,392
756,379
757,383
758,364
759,397
760,383
761,383
762,393
763,371
764,358
765,370
766,389
767,362
768,386
769,353
770,366
771,388
772,405
773,372
774,414
775,439
776,411
777,480
778,483
779,537
780,555
781,564
782,616
783,638
784,632
785,712
786,738
787,723
788,690
789,661
790,635
791,635
792,559
793,505
794,464
795,474
796,450
797,396
798,396
799,404
800,406
801,447
802,367
803,380
804,362
805,372
806,381
807,374
808,379
809,354
810,324
811,341
812,365
813,332
814,348
815,307
816,354
817,335
818,354
819,327
820,360
821,354
822,317
823,317
824,369
825,349
826,363
827,345
828,360
829,356
830,353
831,345
832,343
833,352
834,332
835,319
836,348
837,345
838,337
839,331
840,372
841,307
842,332
843,348
844,344
845,338
846,366
847,319
848,336
849,344
850,364
851,348
852,281
853,346
854,336
855,364
856,347
857,334
858,347
859,359
860,364
861,365
862,364
863,356
864,359
865,325
866,339
867,340
868,343
869,366
870,386
871,367
872,373
873,356
874,354
875,337
876,350
877,364
878,441
879,359
880,359
881,346
882,368
883,406
884,381
885,409
886,378
887,364
888,377
889,360
890,355
891,399
892,356
893,377
894,367
895,390
896,379
897,396
898,408
899,400
900,399
901,394
902,424
903,389
904,393
905,415
906,458
907,401
908,445
909,452
910,470
911,468
912,457
913,499
914,518
915,567
916,541
917,579
918,581
919,603
920,611
921,634
922,703
923,726
924,740
925,756
926,779
927,805
928,910
929,973
930,937
931,941
932,959
933,1080
934,1087
935,1073
936,1137
937,1132
938,1124
939,1118
940,1148
941,1151
942,1149
943,1140
944,1096
945,1079
946,1117
947,1024
948,1096
949,1021
950,1008
951,926
952,926
953,915
954,849
955,783
956,789
957,738
958,723
959,674
960,714
961,690
962,578
963,630
964,590
965,575
966,553
967,483
968,503
969,453
970,442
971,447
972,431
973,399
974,424
975,393
976,371
977,388
978,360
979,373
980,354
981,325
982,368
983,346
984,348
985,366
986,330
987,338
988,342
989,368
990,338
991,400
992,407
993,455
994,496
995,534
996,556
997,651
998,687
999,707
1000,769
1001,726
1002,803
1003,783
1004,786
1005,825
1006,683
1007,713
1008,668
1009,607
1010,540
1011,492
1012,499
1013,396
1014,361
1015,355
1016,343
1017,294
1018,319
1019,280
1020,298
1021,269
1022,284
1023,263
1024,256
1025,292
1026,270
1027,270
1028,303
1029,306
1030,275
1031,313
1032,291
1033,322
1034,339
1035,337
1036,314
1037,344
1038,351
1039,402
1040,427
1041,412
1042,448
1043,476
1044,465
1045,522
1046,504
1047,552
1048,511
1049,560
1050,528
1051,512
1052,530
1053,553
1054,502
1055,534
1056,488
1057,466
1058,443
1059,449
1060,416
1061,381
1062,366
1063,381
1064,335
1065,324
1066,365
1067,320
1068,307
1069,318
1070,328
1071,285
1072,277
1073,276
1074,271
1075,269
1076,267
1077,259
1078,247
1079,289
1080,275
1081,227
1082,237
1083,245
1084,223
1085,245
1086,225
1087,224
1088,202
1089,215
1090,223
1091,224
1092,233
1093,205
1094,212
1095,220
1096,232
1097,219
1098,215
1099,216
1100,213
1101,198
1102,226
1103,188
1104,223
1105,198
1106,178
1107,187
1108,194
1109,236
1110,205
1111,197
1112,202
1113,205
1114,174
1115,176
1116,198
1117,189
1118,175
1119,226
1120,200
1121,201
1122,222
1123,226
1124,216
1125,233
1126,259
1127,252
1128,258
1129,267
1130,279
1131,262
1132,231
1133,240
1134,252
1135,244
1136,201
1137,217
1138,196
1139,204
1140,196
1141,194
1142,189
1143,180
1144,174
1145,183
1146,180
1147,207
1148,197
1149,175
1150,181
1151,166
1152,195
1153,175
1154,188
1155,186
1156,173
1157,177
1158,161
1159,164
1160,174
1161,168
1162,178
1163,171
1164,151
1165,166
1166,168
1167,157
1168,172
1169,166
1170,169
1171,156
1172,152
1173,176
1174,139
1175,186
1176,167
1177,161
1178,185
1179,151
1180,171
1181,194
1182,170
1183,191
1184,209
1185,198
1186,191
1187,191
1188,170
1189,186
1190,178
1191,187
1192,181
1193,146
1194,142
1195,163
1196,175
1197,151
1198,167
1199,159
1200,144
1201,175
1202,146
1203,153
1204,159
1205,139
1206,170
1207,145
1208,137
1209,171
1210,145
1211,148
1212,147
1213,136
1214,151
1215,146
1216,141
1217,167
1218,133
1219,155
1220,151
1221,145
1222,158
1223,141
1224,153
1225,155
1226,140
1227,148
1228,150
1229,141
1230,133
1231,122
1232,148
1233,156
1234,149
1235,150
1236,152
1237,131
1238,129
1239,154
1240,152
1241,141
1242,162
1243,143
1244,145
1245,141
1246,140
1247,158
1248,142
1249,161
1250,140
1251,138
1252,140
1253,128
1254,159
1255,140
1256,149
1257,139
1258,122
1259,140
1260,140
1261,171
1262,133
1263,118
1264,123
1265,139
1266,145
1267,148
1268,118
1269,122
1270,152
1271,131
1272,143
1273,147
1274,139
1275,143
1276,128
1277,138
1278,154
1279,120
1280,117
1281,128
1282,121
1283,133
1284,132
1285,138
1286,138
1287,123
1288,105
1289,128
1290,116
1291,133
1292,101
1293,119
1294,138
1295,133
1296,110
1297,127
1298,120
1299,135
1300,119
1301,121
1302,135
1303,105
1304,132
1305,128
1306,113
1307,112
1308,116
1309,113
1310,137
1311,119
1312,116
1313,126
1314,127
1315,106
1316,96
1317,116
1318,106
1319,101
1320,130
1321,115
1322,109
1323,98
1324,103
1325,113
1326,111
1327,108
1328,127
1329,98
1330,113
1331,117
1332,104
1333,90
1334,106
1335,124
1336,100
1337,109
1338,103
1339,102
1340,110
1341,109
1342,122
1343,127
1344,109
1345,110
1346,93
1347,89
1348,100
1349,83
1350,104
1351,102
1352,84
1353,101
1354,103
1355,97
1356,95
1357,108
1358,90
1359,106
1360,109
1361,103
1362,100
1363,112
1364,109
1365,104
1366,106
1367,98
1368,115
1369,101
1370,104
1371,111
1372,94
1373,104
1374,92
1375,93
1376,99
1377,96
1378,99
1379,120
1380,96
1381,80
1382,94
1383,71
1384,92
1385,92
1386,106
1387,85
1388,95
1389,99
1390,86
1391,83
1392,86
1393,99
1394,80
1395,88
1396,75
1397,90
1398,93
1399,97
1400,78
1401,79
1402,95
1403,75
1404,117
1405,100
1406,84
1407,85
1408,92
1409,88
1410,93
1411,85
1412,83
1413,100
1414,87
1415,97
1416,85
1417,84
1418,85
1419,85
1420,80
1421,72
1422,91
1423,65
1424,79
1425,83
1426,78
1427,87
1428,87
1429,82
1430,86
1431,75
1432,83
1433,75
1434,74
1435,72
1436,56
1437,74
1438,88
1439,64
1440,93
1441,77
1442,101
1443,86
1444,81
1445,69
1446,91
1447,71
1448,81
1449,74
1450,60
1451,75
1452,70
1453,69
1454,61
1455,77
1456,66
1457,85
1458,76
1459,81
1460,61
1461,72
1462,73
1463,88
1464,66
1465,84
1466,70
1467,69
1468,63
1469,82
1470,74
1471,67
1472,69
1473,75
1474,70
1475,59
1476,55
1477,83
1478,61
1479,59
1480,60
1481,65
1482,82
1483,74
1484,68
1485,64
1486,70
1487,80
1488,61
1489,62
1490,55
1491,50
1492,56
1493,55
1494,79
1495,56
1496,46
1497,61
1498,57
1499,58
1500,65
1501,61
1502,57
1503,57
1504,49
1505,70
1506,64
1507,64
1508,46
1509,42
1510,59
1511,54
1512,59
1513,66
1514,57
1515,43
1516,62
1517,60
1518,50
1519,47
1520,57
1521,60
1522,56
1523,61
1524,62
1525,52
1526,54
1527,57
1528,56
1529,47
1530,56
1531,62
1532,46
1533,57
1534,49
1535,51
1536,41
1537,57
1538,47
1539,52
1540,48
1541,41
1542,47
1543,56
1544,45
1545,49
1546,51
1547,54
1548,59
1549,44
1550,36
1551,43
1552,50
1553,37
1554,46
1555,40
1556,44
1557,52
1558,48
1559,50
1560,43
1561,38
1562,43
1563,48
1564,59
1565,41
1566,39
1567,40
1568,40
1569,39
1570,41
1571,45
1572,44
1573,46
1574,47
1575,41
1576,34
1577,41
1578,42
1579,38
1580,44
1581,32
1582,42
1583,37
1584,32
1585,39
1586,37
1587,42
1588,46
1589,39
1590,42
1591,33
1592,31
1593,36
1594,36
1595,48
1596,33
1597,34
1598,39
1599,38
1600,31
1601,34
1602,43
1603,25
1604,32
1605,43
1606,41
1607,40
1608,33
1609,40
1610,30
1611,33
1612,20
1613,26
1614,29
1615,26
1616,21
1617,33
1618,24
1619,34
1620,28
1621,24
1622,32
1623,35
1624,29
1625,27
1626,26
1627,25
1628,32
1629,25
1630,32
1631,30
1632,23
1633,26
1634,22
1635,33
1636,31
1637,20
1638,18
1639,19
1640,32
1641,22
1642,30
1643,18
1644,24
1645,21
1646,23
1647,27
1648,19
1649,25
1650,29
1651,23
1652,27
1653,20
1654,19
1655,26
1656,22
1657,21
1658,15
1659,19
1660,18
1661,23
1662,14
1663,19
1664,18
1665,13
1666,24
1667,28
1668,21
1669,16
1670,25
1671,18
1672,16
1673,15
1674,14
1675,15
1676,13
1677,14
1678,12
1679,23
1680,20
1681,9
1682,16
1683,16
1684,15
1685,21
1686,17
1687,9
1688,13
1689,11
1690,9
1691,14
1692,8
1693,13
1694,11
1695,14
1696,7
1697,13
1698,15
1699,16
1700,8
1701,9
1702,7
1703,9
1704,9
1705,8
1706,8
1707,11
1708,3
1709,13
1710,11
1711,6
1712,11
1713,5
1714,4
1715,7
1716,10
1717,9
1718,7
1719,5
1720,9
1721,7
1722,10
1723,8
1724,6
1725,11
1726,8
1727,6
1728,6
1729,8
1730,5
1731,4
1732,6
1733,3
1734,6
1735,6
1736,4
1737,2
1738,2
1739,3
1740,4
1741,5
1742,7
1743,1
1744,5
1745,5
1746,5
1747,3
1748,6
1749,6
1750,2
1751,2
1752,3
1753,3
1754,1
1755,5
1756,2
1757,3
1758,4
1759,1
1760,4
1761,3
1762,3
1763,4
1764,3
1765,6
1766,5
1767,0
1768,4
1769,2
1770,3
1771,1
1772,3
1773,3
1774,2
1775,4
1776,4
1777,3
