Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2C -1phi 3"
Duration Time,60.101
Ambient Temperature,"97.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"618382"
Raw Accumulated Counts,"638602"
Valid Count Last Packet,"9762"
Raw Count Last Packet,"10077"
Live Time,58.623013
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7946
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1837"
1,"1456"
2,"1030"
3,"492"
4,"200"
5,"68"
6,"23"
7,"4"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"7"
22,"22"
23,"91"
24,"150"
25,"155"
26,"156"
27,"153"
28,"153"
29,"182"
30,"151"
31,"157"
32,"134"
33,"133"
34,"145"
35,"135"
36,"136"
37,"121"
38,"136"
39,"129"
40,"143"
41,"134"
42,"134"
43,"140"
44,"165"
45,"163"
46,"158"
47,"147"
48,"145"
49,"129"
50,"136"
51,"125"
52,"126"
53,"141"
54,"136"
55,"131"
56,"130"
57,"117"
58,"141"
59,"153"
60,"140"
61,"126"
62,"126"
63,"120"
64,"104"
65,"115"
66,"97"
67,"112"
68,"126"
69,"130"
70,"152"
71,"164"
72,"186"
73,"242"
74,"247"
75,"238"
76,"235"
77,"201"
78,"184"
79,"186"
80,"201"
81,"266"
82,"367"
83,"561"
84,"847"
85,"1047"
86,"1175"
87,"1084"
88,"964"
89,"741"
90,"455"
91,"301"
92,"201"
93,"157"
94,"118"
95,"102"
96,"109"
97,"117"
98,"105"
99,"130"
100,"114"
101,"135"
102,"113"
103,"98"
104,"114"
105,"122"
106,"114"
107,"128"
108,"124"
109,"144"
110,"151"
111,"176"
112,"184"
113,"197"
114,"207"
115,"230"
116,"225"
117,"221"
118,"186"
119,"205"
120,"213"
121,"192"
122,"155"
123,"194"
124,"223"
125,"228"
126,"251"
127,"363"
128,"492"
129,"680"
130,"1089"
131,"1390"
132,"1695"
133,"1934"
134,"2014"
135,"1933"
136,"1739"
137,"1477"
138,"1310"
139,"1297"
140,"1265"
141,"1430"
142,"1453"
143,"1530"
144,"1709"
145,"1826"
146,"1830"
147,"1860"
148,"1567"
149,"1311"
150,"925"
151,"714"
152,"479"
153,"370"
154,"324"
155,"355"
156,"386"
157,"463"
158,"580"
159,"891"
160,"1365"
161,"2011"
162,"2798"
163,"3371"
164,"3990"
165,"3852"
166,"3389"
167,"2600"
168,"1832"
169,"1101"
170,"677"
171,"413"
172,"307"
173,"289"
174,"353"
175,"481"
176,"635"
177,"685"
178,"746"
179,"756"
180,"796"
181,"693"
182,"601"
183,"607"
184,"556"
185,"413"
186,"360"
187,"277"
188,"233"
189,"230"
190,"198"
191,"191"
192,"194"
193,"176"
194,"200"
195,"231"
196,"218"
197,"242"
198,"256"
199,"257"
200,"233"
201,"243"
202,"229"
203,"214"
204,"209"
205,"184"
206,"189"
207,"177"
208,"190"
209,"203"
210,"196"
211,"208"
212,"222"
213,"221"
214,"226"
215,"233"
216,"234"
217,"263"
218,"344"
219,"404"
220,"464"
221,"606"
222,"700"
223,"754"
224,"762"
225,"712"
226,"634"
227,"548"
228,"488"
229,"398"
230,"332"
231,"287"
232,"265"
233,"242"
234,"256"
235,"252"
236,"264"
237,"269"
238,"275"
239,"285"
240,"320"
241,"301"
242,"312"
243,"327"
244,"382"
245,"350"
246,"335"
247,"334"
248,"319"
249,"300"
250,"292"
251,"273"
252,"285"
253,"270"
254,"266"
255,"305"
256,"316"
257,"279"
258,"289"
259,"297"
260,"299"
261,"303"
262,"281"
263,"290"
264,"300"
265,"284"
266,"321"
267,"282"
268,"332"
269,"349"
270,"324"
271,"358"
272,"335"
273,"352"
274,"321"
275,"309"
276,"366"
277,"337"
278,"316"
279,"337"
280,"359"
281,"352"
282,"320"
283,"339"
284,"388"
285,"379"
286,"338"
287,"347"
288,"389"
289,"385"
290,"397"
291,"421"
292,"439"
293,"415"
294,"429"
295,"448"
296,"389"
297,"386"
298,"369"
299,"381"
300,"393"
301,"357"
302,"383"
303,"401"
304,"435"
305,"437"
306,"436"
307,"447"
308,"483"
309,"577"
310,"785"
311,"1013"
312,"1414"
313,"1962"
314,"2690"
315,"3253"
316,"3786"
317,"4187"
318,"4188"
319,"3929"
320,"3436"
321,"2702"
322,"1954"
323,"1421"
324,"1029"
325,"760"
326,"589"
327,"514"
328,"494"
329,"458"
330,"477"
331,"439"
332,"466"
333,"474"
334,"436"
335,"462"
336,"454"
337,"444"
338,"426"
339,"432"
340,"448"
341,"499"
342,"463"
343,"536"
344,"578"
345,"649"
346,"750"
347,"851"
348,"937"
349,"1025"
350,"1003"
351,"1030"
352,"987"
353,"903"
354,"872"
355,"745"
356,"691"
357,"730"
358,"729"
359,"708"
360,"738"
361,"774"
362,"827"
363,"801"
364,"892"
365,"861"
366,"978"
367,"954"
368,"1066"
369,"1119"
370,"1191"
371,"1152"
372,"1044"
373,"956"
374,"779"
375,"692"
376,"630"
377,"541"
378,"460"
379,"405"
380,"428"
381,"404"
382,"398"
383,"361"
384,"437"
385,"409"
386,"407"
387,"415"
388,"440"
389,"436"
390,"420"
391,"482"
392,"455"
393,"483"
394,"505"
395,"547"
396,"606"
397,"613"
398,"642"
399,"670"
400,"657"
401,"665"
402,"629"
403,"638"
404,"572"
405,"523"
406,"562"
407,"586"
408,"558"
409,"596"
410,"551"
411,"535"
412,"557"
413,"516"
414,"466"
415,"480"
416,"416"
417,"466"
418,"458"
419,"418"
420,"405"
421,"432"
422,"401"
423,"424"
424,"417"
425,"467"
426,"484"
427,"474"
428,"467"
429,"486"
430,"434"
431,"476"
432,"463"
433,"468"
434,"426"
435,"419"
436,"446"
437,"440"
438,"443"
439,"444"
440,"490"
441,"493"
442,"420"
443,"489"
444,"487"
445,"449"
446,"504"
447,"407"
448,"461"
449,"429"
450,"425"
451,"435"
452,"453"
453,"458"
454,"476"
455,"485"
456,"515"
457,"478"
458,"486"
459,"512"
460,"471"
461,"489"
462,"475"
463,"507"
464,"448"
465,"455"
466,"477"
467,"437"
468,"499"
469,"459"
470,"466"
471,"458"
472,"482"
473,"465"
474,"490"
475,"462"
476,"440"
477,"405"
478,"437"
479,"480"
480,"456"
481,"433"
482,"423"
483,"433"
484,"457"
485,"419"
486,"426"
487,"430"
488,"445"
489,"429"
490,"441"
491,"438"
492,"470"
493,"438"
494,"417"
495,"421"
496,"450"
497,"422"
498,"439"
499,"432"
500,"413"
501,"418"
502,"459"
503,"460"
504,"434"
505,"456"
506,"442"
507,"424"
508,"418"
509,"386"
510,"402"
511,"454"
512,"431"
513,"447"
514,"419"
515,"430"
516,"454"
517,"434"
518,"441"
519,"466"
520,"449"
521,"478"
522,"454"
523,"498"
524,"474"
525,"461"
526,"468"
527,"476"
528,"434"
529,"426"
530,"424"
531,"430"
532,"444"
533,"436"
534,"405"
535,"421"
536,"417"
537,"418"
538,"424"
539,"426"
540,"449"
541,"457"
542,"474"
543,"423"
544,"455"
545,"409"
546,"425"
547,"439"
548,"406"
549,"404"
550,"406"
551,"422"
552,"428"
553,"434"
554,"407"
555,"415"
556,"437"
557,"406"
558,"427"
559,"442"
560,"391"
561,"435"
562,"413"
563,"418"
564,"468"
565,"398"
566,"389"
567,"391"
568,"412"
569,"386"
570,"467"
571,"424"
572,"422"
573,"446"
574,"451"
575,"433"
576,"442"
577,"411"
578,"406"
579,"402"
580,"417"
581,"401"
582,"397"
583,"401"
584,"387"
585,"471"
586,"430"
587,"413"
588,"426"
589,"449"
590,"425"
591,"413"
592,"419"
593,"457"
594,"429"
595,"457"
596,"432"
597,"433"
598,"415"
599,"433"
600,"431"
601,"422"
602,"394"
603,"440"
604,"472"
605,"438"
606,"400"
607,"447"
608,"378"
609,"433"
610,"401"
611,"378"
612,"402"
613,"411"
614,"427"
615,"397"
616,"398"
617,"433"
618,"410"
619,"399"
620,"391"
621,"405"
622,"433"
623,"434"
624,"410"
625,"429"
626,"456"
627,"425"
628,"456"
629,"434"
630,"449"
631,"418"
632,"441"
633,"417"
634,"411"
635,"435"
636,"439"
637,"395"
638,"397"
639,"439"
640,"425"
641,"418"
642,"462"
643,"437"
644,"439"
645,"437"
646,"392"
647,"422"
648,"398"
649,"422"
650,"459"
651,"438"
652,"466"
653,"476"
654,"471"
655,"519"
656,"630"
657,"677"
658,"734"
659,"848"
660,"960"
661,"1044"
662,"1137"
663,"1164"
664,"1200"
665,"1194"
666,"1111"
667,"1012"
668,"940"
669,"866"
670,"741"
671,"640"
672,"558"
673,"453"
674,"430"
675,"441"
676,"426"
677,"419"
678,"409"
679,"366"
680,"413"
681,"395"
682,"411"
683,"389"
684,"372"
685,"419"
686,"379"
687,"409"
688,"403"
689,"398"
690,"403"
691,"394"
692,"449"
693,"396"
694,"430"
695,"392"
696,"454"
697,"467"
698,"481"
699,"468"
700,"460"
701,"452"
702,"475"
703,"477"
704,"510"
705,"522"
706,"451"
707,"434"
708,"395"
709,"422"
710,"398"
711,"396"
712,"391"
713,"386"
714,"353"
715,"332"
716,"352"
717,"336"
718,"380"
719,"383"
720,"422"
721,"401"
722,"344"
723,"369"
724,"428"
725,"364"
726,"337"
727,"372"
728,"390"
729,"397"
730,"419"
731,"400"
732,"395"
733,"391"
734,"404"
735,"422"
736,"419"
737,"421"
738,"468"
739,"445"
740,"476"
741,"513"
742,"496"
743,"515"
744,"478"
745,"506"
746,"472"
747,"450"
748,"444"
749,"408"
750,"377"
751,"397"
752,"387"
753,"385"
754,"368"
755,"383"
756,"370"
757,"381"
758,"325"
759,"398"
760,"372"
761,"348"
762,"384"
763,"374"
764,"380"
765,"378"
766,"399"
767,"356"
768,"334"
769,"341"
770,"357"
771,"345"
772,"404"
773,"382"
774,"379"
775,"376"
776,"399"
777,"409"
778,"406"
779,"385"
780,"413"
781,"443"
782,"460"
783,"420"
784,"445"
785,"487"
786,"411"
787,"397"
788,"411"
789,"411"
790,"385"
791,"388"
792,"367"
793,"377"
794,"352"
795,"366"
796,"376"
797,"346"
798,"377"
799,"327"
800,"319"
801,"360"
802,"338"
803,"348"
804,"327"
805,"368"
806,"336"
807,"332"
808,"332"
809,"340"
810,"368"
811,"335"
812,"328"
813,"333"
814,"356"
815,"326"
816,"325"
817,"355"
818,"362"
819,"341"
820,"358"
821,"348"
822,"377"
823,"375"
824,"407"
825,"361"
826,"329"
827,"351"
828,"350"
829,"320"
830,"316"
831,"343"
832,"384"
833,"347"
834,"339"
835,"337"
836,"314"
837,"321"
838,"362"
839,"348"
840,"323"
841,"353"
842,"329"
843,"352"
844,"344"
845,"366"
846,"359"
847,"362"
848,"336"
849,"336"
850,"347"
851,"340"
852,"366"
853,"324"
854,"318"
855,"319"
856,"386"
857,"366"
858,"361"
859,"318"
860,"341"
861,"365"
862,"342"
863,"368"
864,"365"
865,"382"
866,"352"
867,"372"
868,"346"
869,"360"
870,"390"
871,"330"
872,"361"
873,"403"
874,"359"
875,"361"
876,"371"
877,"383"
878,"377"
879,"400"
880,"351"
