Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,L2-4B 3phi 0
Duration Time,60.034
Ambient Temperature,103.5
Detector Temperature,-15
Valid Accumulated Counts,944642
Raw Accumulated Counts,987065
Valid Count Last Packet,14971
Raw Count Last Packet,15579
Live Time,57.721001
HV DAC,171
HV ADC,40
Filament DAC,200
Filament ADC,5
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0871
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,1687
1,1520
2,1003
3,484
4,195
5,82
6,20
7,5
8,5
9,1
10,2
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,2
22,35
23,107
24,155
25,230
26,212
27,199
28,181
29,191
30,179
31,181
32,161
33,186
34,175
35,165
36,181
37,165
38,157
39,168
40,177
41,164
42,155
43,166
44,184
45,198
46,174
47,187
48,184
49,204
50,156
51,171
52,184
53,165
54,156
55,173
56,169
57,169
58,156
59,189
60,182
61,168
62,157
63,155
64,163
65,148
66,173
67,152
68,179
69,156
70,155
71,191
72,195
73,228
74,196
75,225
76,236
77,189
78,179
79,172
80,195
81,240
82,362
83,508
84,681
85,952
86,1065
87,1006
88,901
89,710
90,536
91,416
92,303
93,297
94,366
95,393
96,451
97,414
98,425
99,372
100,303
101,250
102,220
103,177
104,181
105,185
106,200
107,163
108,190
109,202
110,248
111,250
112,279
113,343
114,327
115,358
116,326
117,288
118,279
119,233
120,271
121,244
122,229
123,250
124,294
125,263
126,355
127,405
128,533
129,745
130,1081
131,1402
132,1679
133,1960
134,2110
135,2064
136,1846
137,1590
138,1475
139,1394
140,1475
141,1519
142,1582
143,1595
144,1736
145,1837
146,1886
147,1864
148,1749
149,1430
150,1187
151,854
152,623
153,501
154,452
155,410
156,404
157,519
158,565
159,667
160,859
161,1177
162,1494
163,1896
164,2208
165,2276
166,2152
167,1747
168,1271
169,978
170,693
171,522
172,511
173,547
174,637
175,1021
176,1633
177,2757
178,4916
179,8121
180,12632
181,18080
182,22450
183,25079
184,24806
185,22212
186,17200
187,12203
188,7520
189,4324
190,2349
191,1259
192,878
193,854
194,1072
195,1551
196,2329
197,2958
198,3776
199,4124
200,4083
201,3731
202,2887
203,2133
204,1510
205,884
206,547
207,375
208,294
209,235
210,247
211,239
212,245
213,206
214,246
215,237
216,246
217,275
218,313
219,413
220,528
221,623
222,726
223,860
224,891
225,907
226,803
227,686
228,517
229,472
230,378
231,351
232,351
233,320
234,289
235,305
236,280
237,276
238,318
239,297
240,303
241,326
242,371
243,369
244,381
245,412
246,416
247,431
248,361
249,348
250,367
251,323
252,293
253,340
254,287
255,327
256,325
257,317
258,305
259,294
260,327
261,319
262,327
263,363
264,327
265,335
266,384
267,362
268,387
269,371
270,367
271,398
272,402
273,371
274,407
275,388
276,384
277,357
278,391
279,397
280,388
281,397
282,412
283,395
284,442
285,427
286,462
287,456
288,527
289,538
290,601
291,696
292,690
293,758
294,677
295,684
296,595
297,581
298,510
299,516
300,457
301,449
302,467
303,465
304,444
305,504
306,546
307,562
308,639
309,864
310,1182
311,1863
312,2967
313,4484
314,6424
315,8666
316,10740
317,12547
318,13209
319,12678
320,11341
321,9336
322,7058
323,5101
324,3274
325,2102
326,1332
327,859
328,668
329,558
330,531
331,532
332,502
333,482
334,461
335,507
336,485
337,473
338,523
339,530
340,563
341,600
342,702
343,755
344,898
345,1025
346,1244
347,1590
348,1948
349,2159
350,2341
351,2443
352,2278
353,2063
354,1722
355,1512
356,1249
357,968
358,865
359,825
360,787
361,817
362,801
363,871
364,877
365,904
366,965
367,1025
368,1185
369,1190
370,1308
371,1250
372,1245
373,1109
374,1083
375,925
376,749
377,625
378,579
379,526
380,446
381,433
382,412
383,441
384,421
385,429
386,434
387,442
388,427
389,438
390,436
391,460
392,460
393,473
394,556
395,570
396,637
397,624
398,673
399,746
400,674
401,677
402,688
403,663
404,636
405,571
406,551
407,555
408,525
409,578
410,549
411,561
412,508
413,518
414,535
415,491
416,481
417,465
418,446
419,454
420,484
421,443
422,482
423,491
424,525
425,650
426,688
427,641
428,716
429,780
430,780
431,703
432,625
433,619
434,571
435,546
436,474
437,503
438,453
439,474
440,474
441,464
442,481
443,476
444,516
445,482
446,442
447,484
448,462
449,482
450,472
451,465
452,453
453,429
454,476
455,466
456,443
457,512
458,486
459,472
460,486
461,492
462,483
463,506
464,479
465,458
466,473
467,462
468,461
469,484
470,500
471,475
472,513
473,486
474,549
475,502
476,532
477,509
478,562
479,553
480,550
481,533
482,427
483,499
484,482
485,448
486,478
487,483
488,472
489,506
490,491
491,480
492,447
493,471
494,475
495,469
496,510
497,390
498,449
499,462
500,497
501,485
502,520
503,456
504,494
505,465
506,465
507,434
508,495
509,487
510,445
511,461
512,481
513,463
514,513
515,449
516,518
517,488
518,479
519,536
520,523
521,547
522,591
523,602
524,642
525,609
526,602
527,577
528,563
529,526
530,501
531,523
532,460
533,449
534,502
535,489
536,455
537,442
538,508
539,431
540,468
541,478
542,460
543,490
544,442
545,477
546,389
547,461
548,441
549,488
550,437
551,450
552,453
553,448
554,487
555,457
556,436
557,464
558,473
559,487
560,455
561,447
562,467
563,483
564,425
565,491
566,451
567,441
568,411
569,462
570,476
571,459
572,475
573,435
574,450
575,451
576,441
577,433
578,468
579,444
580,483
581,468
582,453
583,491
584,441
585,489
586,444
587,454
588,456
589,429
590,505
591,464
592,472
593,418
594,452
595,451
596,442
597,444
598,448
599,444
600,454
601,491
602,486
603,476
604,447
605,468
606,483
607,444
608,499
609,463
610,415
611,459
612,437
613,457
614,407
615,464
616,448
617,453
618,484
619,485
620,438
621,489
622,450
623,522
624,518
625,545
626,522
627,523
628,549
629,489
630,493
631,487
632,526
633,477
634,522
635,492
636,476
637,480
638,463
639,474
640,442
641,462
642,459
643,431
644,466
645,457
646,444
647,467
648,460
649,429
650,484
651,466
652,465
653,437
654,473
655,433
656,480
657,513
658,510
659,591
660,580
661,614
662,694
663,705
664,682
665,793
666,806
667,679
668,694
669,630
670,635
671,565
672,515
673,505
674,498
675,421
676,449
677,440
678,439
679,455
680,476
681,486
682,442
683,473
684,405
685,440
686,440
687,443
688,427
689,442
690,480
691,492
692,502
693,586
694,640
695,784
696,985
697,1124
698,1290
699,1506
700,1648
701,1790
702,1965
703,1962
704,2005
705,1823
706,1709
707,1531
708,1429
709,1132
710,989
711,858
712,684
713,588
714,507
715,514
716,438
717,407
718,415
719,410
720,412
721,423
722,428
723,406
724,394
725,402
726,369
727,394
728,408
729,382
730,393
731,421
732,449
733,434
734,425
735,412
736,417
737,429
738,476
739,421
740,381
741,431
742,434
743,471
744,520
745,445
746,411
747,428
748,439
749,450
750,416
751,385
752,402
753,393
754,397
755,393
756,366
757,404
758,389
759,389
760,402
761,396
762,368
763,393
764,385
765,331
766,389
767,388
768,386
769,374
770,387
771,384
772,421
773,400
774,424
775,473
776,468
777,476
778,557
779,648
780,591
781,724
782,756
783,757
784,848
785,819
786,827
787,793
788,780
789,744
790,733
791,631
792,558
793,466
794,489
795,448
796,465
797,428
798,403
799,375
800,423
801,392
802,392
803,403
804,355
805,383
806,370
807,375
808,332
809,356
810,321
811,361
812,331
813,338
814,351
815,345
816,331
817,324
818,364
819,374
820,341
821,403
822,347
823,377
824,332
825,360
826,352
827,323
828,373
829,347
830,349
831,353
832,352
833,335
834,348
835,341
836,333
837,317
838,352
839,365
840,350
841,338
842,327
843,348
844,359
845,341
846,364
847,347
848,319
849,335
