Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4D -1phi 0"
Duration Time,60.034
Ambient Temperature,"101.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"689645"
Raw Accumulated Counts,"714490"
Valid Count Last Packet,"10831"
Raw Count Last Packet,"11238"
Live Time,58.331970
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1798"
1,"1449"
2,"959"
3,"517"
4,"225"
5,"70"
6,"18"
7,"2"
8,"0"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"4"
22,"38"
23,"119"
24,"182"
25,"219"
26,"204"
27,"232"
28,"173"
29,"183"
30,"191"
31,"160"
32,"172"
33,"182"
34,"150"
35,"172"
36,"195"
37,"186"
38,"148"
39,"164"
40,"146"
41,"176"
42,"175"
43,"195"
44,"182"
45,"195"
46,"174"
47,"214"
48,"209"
49,"187"
50,"181"
51,"166"
52,"191"
53,"150"
54,"161"
55,"152"
56,"140"
57,"173"
58,"136"
59,"189"
60,"182"
61,"157"
62,"150"
63,"150"
64,"152"
65,"137"
66,"125"
67,"150"
68,"151"
69,"149"
70,"161"
71,"187"
72,"203"
73,"232"
74,"243"
75,"251"
76,"247"
77,"210"
78,"209"
79,"223"
80,"222"
81,"382"
82,"606"
83,"1026"
84,"1466"
85,"1848"
86,"2184"
87,"2110"
88,"1726"
89,"1262"
90,"846"
91,"525"
92,"362"
93,"229"
94,"177"
95,"163"
96,"141"
97,"143"
98,"131"
99,"152"
100,"125"
101,"150"
102,"132"
103,"170"
104,"122"
105,"113"
106,"134"
107,"152"
108,"148"
109,"161"
110,"173"
111,"151"
112,"191"
113,"194"
114,"252"
115,"225"
116,"226"
117,"236"
118,"234"
119,"234"
120,"190"
121,"217"
122,"193"
123,"199"
124,"231"
125,"258"
126,"356"
127,"427"
128,"601"
129,"899"
130,"1460"
131,"2055"
132,"2698"
133,"3187"
134,"3428"
135,"3130"
136,"2687"
137,"2183"
138,"1750"
139,"1618"
140,"1428"
141,"1423"
142,"1489"
143,"1546"
144,"1533"
145,"1672"
146,"1697"
147,"1758"
148,"1576"
149,"1335"
150,"1052"
151,"722"
152,"523"
153,"382"
154,"329"
155,"328"
156,"331"
157,"439"
158,"561"
159,"824"
160,"1262"
161,"1939"
162,"2639"
163,"3501"
164,"3901"
165,"3922"
166,"3537"
167,"2810"
168,"2104"
169,"1338"
170,"788"
171,"457"
172,"339"
173,"305"
174,"316"
175,"425"
176,"533"
177,"692"
178,"778"
179,"747"
180,"814"
181,"794"
182,"740"
183,"627"
184,"566"
185,"485"
186,"390"
187,"320"
188,"270"
189,"233"
190,"183"
191,"167"
192,"199"
193,"164"
194,"194"
195,"178"
196,"207"
197,"205"
198,"209"
199,"246"
200,"261"
201,"240"
202,"253"
203,"225"
204,"198"
205,"210"
206,"172"
207,"194"
208,"208"
209,"209"
210,"164"
211,"191"
212,"175"
213,"209"
214,"180"
215,"198"
216,"186"
217,"229"
218,"275"
219,"321"
220,"344"
221,"395"
222,"414"
223,"372"
224,"370"
225,"383"
226,"337"
227,"297"
228,"296"
229,"246"
230,"230"
231,"230"
232,"272"
233,"212"
234,"241"
235,"240"
236,"242"
237,"271"
238,"296"
239,"319"
240,"314"
241,"334"
242,"324"
243,"303"
244,"337"
245,"266"
246,"315"
247,"330"
248,"304"
249,"343"
250,"301"
251,"317"
252,"317"
253,"297"
254,"324"
255,"306"
256,"306"
257,"315"
258,"320"
259,"310"
260,"313"
261,"331"
262,"323"
263,"308"
264,"347"
265,"342"
266,"348"
267,"358"
268,"419"
269,"403"
270,"426"
271,"441"
272,"482"
273,"472"
274,"484"
275,"509"
276,"529"
277,"515"
278,"601"
279,"517"
280,"511"
281,"537"
282,"515"
283,"430"
284,"430"
285,"432"
286,"389"
287,"370"
288,"349"
289,"353"
290,"363"
291,"336"
292,"336"
293,"359"
294,"333"
295,"356"
296,"384"
297,"338"
298,"322"
299,"359"
300,"378"
301,"356"
302,"372"
303,"363"
304,"387"
305,"407"
306,"378"
307,"377"
308,"432"
309,"434"
310,"489"
311,"505"
312,"551"
313,"622"
314,"743"
315,"858"
316,"946"
317,"1006"
318,"1014"
319,"1039"
320,"945"
321,"879"
322,"694"
323,"680"
324,"543"
325,"487"
326,"446"
327,"440"
328,"417"
329,"429"
330,"399"
331,"483"
332,"418"
333,"444"
334,"480"
335,"421"
336,"453"
337,"472"
338,"473"
339,"462"
340,"471"
341,"486"
342,"494"
343,"534"
344,"500"
345,"516"
346,"513"
347,"583"
348,"581"
349,"641"
350,"606"
351,"626"
352,"667"
353,"641"
354,"653"
355,"656"
356,"647"
357,"692"
358,"728"
359,"727"
360,"775"
361,"786"
362,"896"
363,"855"
364,"926"
365,"966"
366,"1040"
367,"1054"
368,"1131"
369,"1151"
370,"1177"
371,"1208"
372,"1134"
373,"1026"
374,"907"
375,"755"
376,"734"
377,"606"
378,"563"
379,"523"
380,"459"
381,"438"
382,"434"
383,"392"
384,"430"
385,"412"
386,"421"
387,"436"
388,"393"
389,"439"
390,"395"
391,"384"
392,"430"
393,"444"
394,"526"
395,"563"
396,"558"
397,"587"
398,"649"
399,"638"
400,"676"
401,"647"
402,"645"
403,"597"
404,"602"
405,"569"
406,"567"
407,"581"
408,"643"
409,"649"
410,"732"
411,"634"
412,"649"
413,"657"
414,"585"
415,"563"
416,"553"
417,"532"
418,"509"
419,"513"
420,"499"
421,"502"
422,"500"
423,"457"
424,"490"
425,"514"
426,"472"
427,"459"
428,"478"
429,"503"
430,"502"
431,"456"
432,"469"
433,"482"
434,"449"
435,"470"
436,"459"
437,"437"
438,"452"
439,"443"
440,"461"
441,"468"
442,"479"
443,"454"
444,"483"
445,"458"
446,"455"
447,"430"
448,"458"
449,"460"
450,"439"
451,"383"
452,"459"
453,"435"
454,"442"
455,"429"
456,"406"
457,"429"
458,"479"
459,"431"
460,"421"
461,"444"
462,"427"
463,"454"
464,"471"
465,"454"
466,"474"
467,"457"
468,"466"
469,"431"
470,"465"
471,"446"
472,"457"
473,"496"
474,"489"
475,"436"
476,"467"
477,"439"
478,"476"
479,"467"
480,"467"
481,"424"
482,"399"
483,"476"
484,"455"
485,"489"
486,"458"
487,"449"
488,"521"
489,"453"
490,"503"
491,"502"
492,"467"
493,"507"
494,"460"
495,"531"
496,"490"
497,"505"
498,"476"
499,"525"
500,"483"
501,"527"
502,"497"
503,"550"
504,"492"
505,"512"
506,"485"
507,"517"
508,"506"
509,"487"
510,"501"
511,"498"
512,"453"
513,"499"
514,"501"
515,"480"
516,"492"
517,"476"
518,"510"
519,"497"
520,"528"
521,"505"
522,"520"
523,"545"
524,"530"
525,"480"
526,"511"
527,"511"
528,"524"
529,"507"
530,"480"
531,"479"
532,"462"
533,"494"
534,"472"
535,"488"
536,"446"
537,"485"
538,"446"
539,"472"
540,"459"
541,"469"
542,"513"
543,"491"
544,"432"
545,"496"
546,"499"
547,"501"
548,"486"
549,"479"
550,"471"
551,"488"
552,"489"
553,"502"
554,"498"
555,"444"
556,"473"
557,"471"
558,"445"
559,"472"
560,"505"
561,"464"
562,"470"
563,"451"
564,"471"
565,"476"
566,"472"
567,"459"
568,"479"
569,"480"
570,"446"
571,"443"
572,"478"
573,"423"
574,"451"
575,"445"
576,"421"
577,"452"
578,"431"
579,"440"
580,"424"
581,"428"
582,"412"
583,"477"
584,"466"
585,"448"
586,"441"
587,"482"
588,"520"
589,"448"
590,"475"
591,"469"
592,"496"
593,"480"
594,"487"
595,"515"
596,"518"
