Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3CDAE -1phi 4"
Duration Time,60.148
Ambient Temperature,"101.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"575820"
Raw Accumulated Counts,"594677"
Valid Count Last Packet,"9091"
Raw Count Last Packet,"9392"
Live Time,58.729988
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1761"
1,"1463"
2,"958"
3,"498"
4,"219"
5,"64"
6,"19"
7,"4"
8,"3"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"0"
21,"5"
22,"25"
23,"85"
24,"144"
25,"156"
26,"164"
27,"135"
28,"145"
29,"164"
30,"153"
31,"149"
32,"143"
33,"136"
34,"141"
35,"134"
36,"149"
37,"125"
38,"121"
39,"129"
40,"132"
41,"127"
42,"159"
43,"143"
44,"127"
45,"162"
46,"138"
47,"146"
48,"136"
49,"155"
50,"112"
51,"151"
52,"131"
53,"153"
54,"141"
55,"116"
56,"132"
57,"125"
58,"135"
59,"130"
60,"152"
61,"127"
62,"111"
63,"122"
64,"125"
65,"113"
66,"117"
67,"112"
68,"109"
69,"118"
70,"121"
71,"152"
72,"137"
73,"171"
74,"168"
75,"162"
76,"164"
77,"150"
78,"160"
79,"169"
80,"171"
81,"218"
82,"390"
83,"547"
84,"835"
85,"1011"
86,"1126"
87,"1039"
88,"942"
89,"724"
90,"476"
91,"301"
92,"197"
93,"177"
94,"135"
95,"119"
96,"87"
97,"82"
98,"102"
99,"135"
100,"138"
101,"114"
102,"115"
103,"102"
104,"122"
105,"111"
106,"110"
107,"105"
108,"130"
109,"125"
110,"124"
111,"154"
112,"178"
113,"193"
114,"208"
115,"223"
116,"203"
117,"194"
118,"194"
119,"174"
120,"154"
121,"209"
122,"167"
123,"201"
124,"197"
125,"230"
126,"289"
127,"368"
128,"518"
129,"665"
130,"922"
131,"1301"
132,"1666"
133,"1818"
134,"1936"
135,"1902"
136,"1600"
137,"1356"
138,"1380"
139,"1312"
140,"1364"
141,"1448"
142,"1444"
143,"1496"
144,"1605"
145,"1728"
146,"1856"
147,"1812"
148,"1645"
149,"1354"
150,"1037"
151,"674"
152,"507"
153,"382"
154,"321"
155,"300"
156,"328"
157,"383"
158,"496"
159,"622"
160,"887"
161,"1298"
162,"1739"
163,"2136"
164,"2387"
165,"2545"
166,"2310"
167,"1816"
168,"1235"
169,"846"
170,"517"
171,"340"
172,"261"
173,"252"
174,"297"
175,"325"
176,"403"
177,"501"
178,"553"
179,"621"
180,"591"
181,"582"
182,"540"
183,"546"
184,"556"
185,"473"
186,"346"
187,"309"
188,"225"
189,"228"
190,"192"
191,"175"
192,"144"
193,"149"
194,"169"
195,"165"
196,"207"
197,"202"
198,"210"
199,"224"
200,"255"
201,"221"
202,"213"
203,"186"
204,"200"
205,"198"
