Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-5A 1phi 0"
Duration Time,60.908
Ambient Temperature,"87.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"813366"
Raw Accumulated Counts,"845727"
Valid Count Last Packet,"12287"
Raw Count Last Packet,"12813"
Live Time,58.913002
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8078
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1798"
1,"1472"
2,"993"
3,"514"
4,"217"
5,"74"
6,"10"
7,"5"
8,"1"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"0"
21,"4"
22,"46"
23,"133"
24,"182"
25,"203"
26,"221"
27,"233"
28,"198"
29,"200"
30,"197"
31,"195"
32,"205"
33,"222"
34,"156"
35,"178"
36,"180"
37,"145"
38,"189"
39,"178"
40,"163"
41,"167"
42,"174"
43,"186"
44,"179"
45,"164"
46,"194"
47,"181"
48,"172"
49,"188"
50,"164"
51,"167"
52,"179"
53,"162"
54,"187"
55,"158"
56,"173"
57,"184"
58,"170"
59,"170"
60,"149"
61,"173"
62,"162"
63,"175"
64,"141"
65,"144"
66,"146"
67,"145"
68,"161"
69,"162"
70,"186"
71,"205"
72,"226"
73,"286"
74,"268"
75,"269"
76,"270"
77,"258"
78,"235"
79,"232"
80,"255"
81,"349"
82,"493"
83,"828"
84,"1195"
85,"1410"
86,"1718"
87,"1535"
88,"1280"
89,"910"
90,"651"
91,"418"
92,"287"
93,"226"
94,"161"
95,"179"
96,"147"
97,"140"
98,"139"
99,"147"
100,"144"
101,"163"
102,"147"
103,"138"
104,"146"
105,"153"
106,"133"
107,"150"
108,"137"
109,"137"
110,"155"
111,"186"
112,"179"
113,"207"
114,"250"
115,"256"
116,"246"
117,"232"
118,"237"
119,"201"
120,"187"
121,"197"
122,"203"
123,"214"
124,"231"
125,"232"
126,"300"
127,"461"
128,"586"
129,"805"
130,"1106"
131,"1407"
132,"1715"
133,"2013"
134,"2102"
135,"1836"
136,"1667"
137,"1449"
138,"1369"
139,"1345"
140,"1466"
141,"1538"
142,"1536"
143,"1529"
144,"1658"
145,"1713"
146,"1812"
147,"1724"
148,"1613"
149,"1315"
150,"965"
151,"711"
152,"519"
153,"396"
154,"406"
155,"328"
156,"412"
157,"560"
158,"736"
159,"1158"
160,"1723"
161,"2579"
162,"3671"
163,"4528"
164,"5060"
165,"4851"
166,"4333"
167,"3310"
168,"2337"
169,"1433"
170,"886"
171,"522"
172,"370"
173,"381"
174,"465"
175,"577"
176,"748"
177,"912"
178,"1035"
179,"990"
180,"999"
181,"938"
182,"901"
183,"723"
184,"616"
185,"538"
186,"400"
187,"327"
188,"252"
189,"210"
190,"185"
191,"185"
192,"202"
193,"208"
194,"205"
195,"215"
196,"231"
197,"253"
198,"271"
199,"231"
200,"253"
201,"226"
202,"236"
203,"239"
204,"225"
205,"199"
206,"214"
207,"228"
208,"196"
209,"201"
210,"215"
211,"256"
212,"229"
213,"246"
214,"234"
215,"245"
216,"257"
217,"260"
218,"328"
219,"331"
220,"374"
221,"394"
222,"478"
223,"437"
224,"483"
225,"452"
226,"400"
227,"353"
228,"356"
229,"329"
230,"351"
231,"322"
232,"321"
233,"356"
234,"355"
235,"353"
236,"323"
237,"367"
238,"397"
239,"363"
240,"383"
241,"382"
242,"387"
243,"377"
244,"327"
245,"338"
246,"353"
247,"301"
248,"371"
249,"317"
250,"339"
251,"322"
252,"312"
253,"303"
254,"275"
255,"302"
256,"286"
257,"304"
258,"310"
259,"327"
260,"329"
261,"341"
262,"365"
263,"341"
264,"331"
265,"344"
266,"335"
267,"375"
268,"366"
269,"368"
270,"402"
271,"393"
272,"430"
273,"400"
274,"375"
275,"416"
276,"402"
277,"346"
278,"376"
279,"397"
280,"401"
281,"370"
282,"412"
283,"399"
284,"417"
285,"443"
286,"394"
287,"390"
288,"460"
289,"476"
290,"448"
291,"446"
292,"473"
293,"484"
