Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3F -1phi 2"
Duration Time,60.156
Ambient Temperature,"83.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"561261"
Raw Accumulated Counts,"579347"
Valid Count Last Packet,"8762"
Raw Count Last Packet,"9033"
Live Time,58.766983
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,744
Channel#,Intensity
0,"1722"
1,"1527"
2,"958"
3,"479"
4,"211"
5,"85"
6,"16"
7,"6"
8,"0"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"10"
22,"34"
23,"134"
24,"148"
25,"181"
26,"165"
27,"170"
28,"177"
29,"150"
30,"157"
31,"164"
32,"154"
33,"149"
34,"128"
35,"131"
36,"131"
37,"129"
38,"130"
39,"101"
40,"106"
41,"134"
42,"141"
43,"130"
44,"140"
45,"146"
46,"151"
47,"144"
48,"149"
49,"170"
50,"128"
51,"127"
52,"126"
53,"132"
54,"117"
55,"118"
56,"131"
57,"134"
58,"147"
59,"108"
60,"121"
61,"159"
62,"132"
63,"153"
64,"108"
65,"114"
66,"122"
67,"107"
68,"129"
69,"134"
70,"143"
71,"170"
72,"180"
73,"199"
74,"189"
75,"213"
76,"168"
77,"171"
78,"171"
79,"144"
80,"168"
81,"192"
82,"327"
83,"473"
84,"712"
85,"875"
86,"966"
87,"883"
88,"778"
89,"606"
90,"400"
91,"274"
92,"193"
93,"170"
94,"125"
95,"127"
96,"114"
97,"125"
98,"139"
99,"153"
100,"126"
101,"126"
102,"130"
103,"125"
104,"106"
105,"111"
106,"115"
107,"134"
108,"118"
109,"111"
110,"122"
111,"151"
112,"165"
113,"185"
114,"209"
115,"210"
116,"217"
117,"243"
118,"177"
119,"184"
120,"196"
121,"175"
122,"194"
123,"192"
124,"196"
125,"252"
126,"289"
127,"380"
128,"505"
129,"757"
130,"1038"
131,"1357"
132,"1718"
133,"1980"
134,"2017"
135,"1900"
136,"1696"
137,"1440"
138,"1345"
139,"1277"
140,"1331"
141,"1400"
142,"1425"
143,"1576"
144,"1566"
145,"1751"
146,"1875"
147,"1737"
148,"1549"
149,"1285"
150,"999"
151,"686"
152,"507"
153,"333"
154,"312"
155,"312"
156,"332"
157,"423"
158,"464"
159,"685"
160,"874"
161,"1303"
162,"1774"
163,"2163"
164,"2331"
165,"2354"
166,"2021"
167,"1630"
168,"1209"
169,"721"
170,"457"
171,"319"
172,"257"
173,"240"
174,"316"
175,"360"
176,"420"
177,"510"
178,"567"
179,"625"
180,"623"
181,"609"
182,"614"
183,"570"
184,"505"
185,"477"
186,"353"
187,"344"
188,"226"
189,"196"
190,"205"
191,"159"
192,"202"
193,"177"
194,"191"
195,"188"
196,"186"
197,"225"
198,"244"
199,"232"
200,"241"
201,"256"
202,"217"
203,"197"
204,"208"
205,"191"
206,"204"
207,"186"
208,"192"
209,"185"
210,"205"
211,"223"
212,"229"
213,"212"
214,"224"
215,"204"
216,"237"
217,"266"
218,"305"
219,"329"
220,"413"
221,"463"
222,"466"
223,"502"
224,"504"
225,"496"
226,"462"
227,"399"
228,"343"
229,"313"
230,"280"
231,"260"
232,"267"
233,"269"
234,"269"
235,"267"
236,"267"
237,"253"
238,"242"
239,"300"
240,"306"
241,"299"
242,"306"
243,"275"
244,"307"
245,"294"
246,"310"
247,"318"
248,"292"
249,"294"
250,"271"
251,"276"
252,"286"
253,"302"
254,"290"
255,"315"
256,"305"
257,"295"
258,"295"
259,"295"
260,"326"
261,"311"
262,"297"
263,"345"
264,"364"
265,"329"
266,"366"
267,"339"
268,"368"
269,"351"
270,"348"
271,"413"
272,"331"
273,"314"
274,"362"
275,"395"
276,"316"
277,"339"
278,"349"
279,"340"
280,"348"
281,"332"
282,"335"
283,"328"
284,"347"
285,"328"
286,"339"
287,"332"
288,"355"
289,"366"
290,"379"
291,"414"
292,"366"
293,"404"
294,"394"
295,"418"
296,"386"
297,"374"
298,"376"
299,"365"
300,"387"
301,"403"
302,"425"
303,"406"
304,"409"
305,"402"
306,"422"
307,"434"
308,"479"
309,"556"
310,"716"
311,"869"
312,"1197"
313,"1742"
314,"2309"
315,"2837"
316,"3501"
317,"3816"
318,"3882"
319,"3855"
320,"3222"
321,"2689"
322,"1964"
323,"1395"
324,"994"
325,"755"
326,"575"
327,"456"
328,"426"
329,"437"
330,"387"
331,"403"
332,"381"
333,"417"
334,"423"
335,"434"
336,"427"
337,"437"
338,"430"
339,"449"
340,"470"
341,"471"
342,"489"
343,"534"
344,"586"
345,"606"
346,"689"
347,"801"
348,"884"
349,"880"
350,"999"
351,"977"
352,"907"
353,"869"
354,"794"
355,"755"
356,"703"
357,"649"
358,"597"
359,"688"
360,"696"
361,"756"
362,"783"
363,"797"
364,"807"
365,"830"
366,"884"
367,"933"
368,"987"
369,"1080"
370,"1136"
371,"1126"
372,"1067"
373,"943"
374,"829"
375,"737"
376,"652"
377,"573"
378,"473"
379,"406"
380,"429"
381,"385"
382,"418"
383,"376"
384,"365"
385,"407"
386,"411"
387,"402"
388,"415"
389,"411"
390,"450"
391,"428"
392,"436"
393,"485"
394,"489"
395,"568"
396,"615"
397,"615"
398,"696"
399,"712"
400,"715"
401,"692"
402,"652"
403,"612"
404,"609"
405,"572"
406,"557"
407,"541"
408,"522"
409,"543"
410,"546"
411,"506"
412,"497"
413,"438"
414,"412"
415,"442"
416,"445"
417,"385"
418,"415"
419,"359"
420,"356"
421,"365"
422,"397"
423,"389"
424,"370"
425,"410"
426,"364"
427,"406"
428,"453"
429,"441"
430,"444"
431,"423"
432,"448"
433,"455"
434,"428"
435,"426"
436,"440"
437,"466"
