Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3D 0phi 0"
Duration Time,60.098
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"684449"
Raw Accumulated Counts,"708365"
Valid Count Last Packet,"10534"
Raw Count Last Packet,"10889"
Live Time,58.417995
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0874
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1841"
1,"1477"
2,"1027"
3,"472"
4,"211"
5,"104"
6,"26"
7,"4"
8,"2"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"31"
23,"96"
24,"159"
25,"166"
26,"158"
27,"175"
28,"174"
29,"159"
30,"171"
31,"134"
32,"149"
33,"160"
34,"166"
35,"142"
36,"173"
37,"159"
38,"164"
39,"151"
40,"149"
41,"159"
42,"139"
43,"144"
44,"160"
45,"187"
46,"175"
47,"174"
48,"150"
49,"141"
50,"140"
51,"139"
52,"155"
53,"146"
54,"140"
55,"122"
56,"136"
57,"147"
58,"149"
59,"141"
60,"109"
61,"162"
62,"127"
63,"139"
64,"131"
65,"101"
66,"128"
67,"126"
68,"119"
69,"135"
70,"145"
71,"179"
72,"189"
73,"216"
74,"197"
75,"205"
76,"184"
77,"193"
78,"155"
79,"167"
80,"170"
81,"243"
82,"366"
83,"584"
84,"813"
85,"1070"
86,"1192"
87,"1217"
88,"973"
89,"766"
90,"504"
91,"356"
92,"243"
93,"173"
94,"148"
95,"120"
96,"131"
97,"111"
98,"140"
99,"138"
100,"141"
101,"151"
102,"147"
103,"139"
104,"119"
105,"126"
106,"122"
107,"146"
108,"129"
109,"113"
110,"151"
111,"173"
112,"183"
113,"214"
114,"268"
115,"225"
116,"252"
117,"212"
118,"227"
119,"184"
120,"185"
121,"198"
122,"174"
123,"215"
124,"204"
125,"253"
126,"290"
127,"342"
128,"502"
129,"726"
130,"942"
131,"1286"
132,"1621"
133,"1981"
134,"2045"
135,"1951"
136,"1722"
137,"1481"
138,"1362"
139,"1322"
140,"1449"
141,"1383"
142,"1524"
143,"1532"
144,"1638"
145,"1677"
146,"1815"
147,"1784"
148,"1644"
149,"1299"
150,"1061"
151,"719"
152,"524"
153,"408"
154,"323"
155,"319"
156,"305"
157,"383"
158,"495"
159,"630"
160,"856"
161,"1249"
162,"1768"
163,"2109"
164,"2541"
165,"2510"
166,"2308"
167,"1861"
168,"1342"
169,"875"
170,"539"
171,"365"
172,"258"
173,"258"
174,"279"
175,"330"
176,"425"
177,"556"
178,"598"
179,"626"
180,"650"
181,"692"
182,"651"
183,"635"
184,"606"
185,"516"
186,"416"
187,"349"
188,"250"
189,"235"
190,"190"
191,"197"
192,"177"
193,"207"
194,"189"
195,"234"
196,"239"
197,"210"
198,"254"
199,"231"
200,"241"
201,"219"
202,"223"
203,"215"
204,"217"
205,"243"
206,"208"
207,"197"
208,"206"
209,"217"
210,"235"
211,"232"
212,"209"
213,"228"
214,"247"
215,"237"
216,"239"
217,"255"
218,"269"
219,"351"
220,"411"
221,"483"
222,"598"
223,"619"
224,"665"
225,"699"
226,"532"
227,"512"
228,"431"
229,"419"
230,"323"
231,"344"
232,"309"
233,"278"
234,"318"
235,"290"
236,"324"
237,"358"
238,"366"
239,"378"
240,"371"
241,"407"
242,"424"
243,"361"
244,"412"
245,"381"
246,"397"
247,"381"
248,"364"
249,"388"
250,"325"
251,"314"
252,"334"
253,"313"
254,"318"
255,"287"
256,"296"
257,"323"
258,"299"
259,"294"
260,"310"
261,"280"
262,"318"
263,"319"
264,"305"
265,"332"
266,"348"
267,"315"
268,"357"
269,"330"
270,"320"
271,"336"
272,"344"
