Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3AE 1phi 1"
Duration Time,60.034
Ambient Temperature,"102.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"702938"
Raw Accumulated Counts,"728319"
Valid Count Last Packet,"11126"
Raw Count Last Packet,"11515"
Live Time,58.297985
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0886
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1795"
1,"1498"
2,"947"
3,"483"
4,"200"
5,"61"
6,"23"
7,"1"
8,"3"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"0"
19,"0"
20,"0"
21,"3"
22,"29"
23,"117"
24,"177"
25,"204"
26,"191"
27,"186"
28,"201"
29,"173"
30,"170"
31,"194"
32,"153"
33,"179"
34,"173"
35,"156"
36,"149"
37,"141"
38,"150"
39,"169"
40,"146"
41,"154"
42,"181"
43,"161"
44,"165"
45,"210"
46,"160"
47,"187"
48,"176"
49,"174"
50,"162"
51,"167"
52,"162"
53,"166"
54,"178"
55,"162"
56,"140"
57,"143"
58,"167"
59,"156"
60,"163"
61,"158"
62,"153"
63,"143"
64,"132"
65,"157"
66,"136"
67,"144"
68,"142"
69,"151"
70,"154"
71,"188"
72,"225"
73,"227"
74,"218"
75,"247"
76,"228"
77,"213"
78,"207"
79,"222"
80,"212"
81,"358"
82,"473"
83,"881"
84,"1185"
85,"1592"
86,"1697"
87,"1622"
88,"1523"
89,"1095"
90,"740"
91,"475"
92,"314"
93,"244"
94,"174"
95,"140"
96,"149"
97,"134"
98,"150"
99,"155"
100,"133"
101,"148"
102,"155"
103,"118"
104,"111"
105,"127"
106,"121"
107,"133"
108,"122"
109,"132"
110,"124"
111,"156"
112,"186"
113,"218"
114,"207"
115,"265"
116,"220"
117,"262"
118,"224"
119,"218"
120,"179"
121,"222"
122,"198"
123,"189"
124,"233"
125,"249"
126,"322"
127,"380"
128,"571"
129,"811"
130,"1096"
131,"1561"
132,"1880"
133,"2325"
134,"2282"
135,"2163"
136,"1916"
137,"1663"
138,"1509"
139,"1318"
140,"1347"
141,"1372"
142,"1455"
143,"1524"
144,"1552"
145,"1690"
146,"1780"
147,"1677"
148,"1562"
149,"1363"
150,"1021"
151,"689"
152,"479"
153,"362"
154,"278"
155,"319"
156,"377"
157,"433"
158,"603"
159,"813"
160,"1215"
161,"1888"
162,"2629"
163,"3377"
164,"3843"
165,"3866"
166,"3502"
167,"2817"
168,"2012"
169,"1345"
170,"785"
171,"490"
172,"333"
173,"318"
174,"376"
175,"415"
176,"614"
177,"706"
178,"838"
179,"848"
180,"897"
181,"902"
182,"934"
183,"889"
184,"800"
185,"719"
186,"565"
187,"429"
188,"353"
189,"228"
190,"194"
191,"171"
192,"164"
193,"196"
194,"181"
195,"210"
196,"226"
197,"234"
198,"283"
199,"268"
200,"238"
201,"263"
202,"274"
203,"224"
204,"205"
205,"182"
206,"199"
207,"204"
208,"187"
209,"213"
210,"221"
211,"198"
212,"206"
213,"217"
214,"194"
215,"215"
216,"252"
217,"230"
218,"292"
219,"333"
220,"405"
221,"445"
222,"398"
223,"436"
224,"420"
225,"411"
226,"385"
227,"360"
228,"297"
229,"282"
230,"263"
231,"249"
232,"252"
233,"283"
234,"261"
235,"254"
236,"302"
237,"279"
238,"288"
239,"291"
240,"336"
241,"305"
242,"299"
243,"313"
244,"313"
245,"322"
246,"301"
247,"293"
248,"285"
249,"313"
250,"275"
251,"274"
252,"292"
253,"282"
254,"311"
255,"336"
256,"299"
257,"304"
258,"339"
259,"301"
260,"307"
261,"350"
262,"292"
263,"316"
264,"326"
265,"303"
266,"345"
267,"348"
268,"346"
269,"369"
270,"393"
271,"370"
272,"397"
273,"351"
