Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-4D 1phi 1"
Duration Time,60.174
Ambient Temperature,"101.2"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"668610"
Raw Accumulated Counts,"691900"
Valid Count Last Packet,"10635"
Raw Count Last Packet,"11037"
Live Time,58.562016
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0867
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1798"
1,"1484"
2,"989"
3,"479"
4,"217"
5,"87"
6,"21"
7,"4"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"1"
22,"16"
23,"72"
24,"142"
25,"134"
26,"147"
27,"156"
28,"153"
29,"123"
30,"124"
31,"146"
32,"145"
33,"112"
34,"121"
35,"132"
36,"119"
37,"119"
38,"106"
39,"132"
40,"119"
41,"118"
42,"130"
43,"135"
44,"131"
45,"108"
46,"147"
47,"128"
48,"147"
49,"132"
50,"135"
51,"101"
52,"109"
53,"130"
54,"114"
55,"149"
56,"109"
57,"116"
58,"132"
59,"141"
60,"127"
61,"115"
62,"125"
63,"114"
64,"97"
65,"102"
66,"87"
67,"104"
68,"104"
69,"117"
70,"117"
71,"141"
72,"189"
73,"197"
74,"188"
75,"185"
76,"182"
77,"159"
78,"180"
79,"132"
80,"143"
81,"174"
82,"259"
83,"345"
84,"495"
85,"581"
86,"640"
87,"708"
88,"575"
89,"467"
90,"317"
91,"218"
92,"194"
93,"135"
94,"113"
95,"117"
96,"124"
97,"143"
98,"132"
99,"127"
100,"139"
101,"134"
102,"136"
103,"112"
104,"127"
105,"115"
106,"98"
107,"113"
108,"117"
109,"136"
110,"139"
111,"188"
112,"188"
113,"238"
114,"234"
115,"260"
116,"232"
117,"223"
118,"239"
119,"198"
120,"187"
121,"189"
122,"180"
123,"196"
124,"238"
125,"228"
126,"298"
127,"404"
128,"619"
129,"840"
130,"1121"
131,"1471"
132,"1753"
133,"1950"
134,"2087"
135,"1970"
136,"1744"
137,"1519"
138,"1396"
139,"1386"
140,"1375"
141,"1484"
142,"1532"
143,"1546"
144,"1623"
145,"1741"
146,"1817"
147,"1823"
148,"1595"
149,"1363"
150,"1093"
151,"742"
152,"569"
153,"366"
154,"329"
155,"323"
156,"333"
157,"414"
158,"504"
159,"687"
160,"971"
161,"1401"
162,"1990"
163,"2534"
164,"2953"
165,"2926"
166,"2692"
167,"2311"
168,"1593"
169,"1079"
170,"686"
171,"434"
172,"311"
173,"281"
174,"336"
175,"357"
176,"483"
177,"664"
178,"779"
179,"856"
180,"1075"
181,"1205"
182,"1216"
183,"1294"
184,"1212"
185,"1069"
186,"824"
187,"653"
188,"433"
189,"299"
190,"252"
191,"231"
192,"202"
193,"203"
194,"230"
195,"251"
196,"294"
197,"325"
198,"317"
199,"354"
200,"379"
201,"354"
202,"348"
203,"283"
204,"234"
205,"270"
206,"234"
207,"229"
208,"225"
209,"242"
210,"235"
211,"245"
212,"247"
213,"223"
214,"225"
215,"271"
216,"252"
217,"365"
218,"425"
219,"597"
220,"807"
221,"1096"
222,"1435"
223,"1661"
224,"1705"
225,"1783"
226,"1519"
227,"1198"
228,"944"
229,"751"
230,"558"
231,"426"
232,"371"
233,"347"
234,"333"
235,"313"
236,"334"
237,"333"
238,"342"
239,"362"
240,"370"
241,"448"
242,"440"
243,"486"
244,"563"
245,"506"
246,"566"
247,"525"
248,"488"
249,"450"
250,"374"
251,"365"
252,"313"
253,"317"
254,"305"
255,"307"
256,"332"
257,"305"
258,"309"
259,"303"
260,"312"
261,"322"
262,"339"
263,"349"
264,"321"
265,"355"
266,"337"
267,"367"
268,"398"
269,"372"
270,"356"
271,"355"
272,"412"
273,"376"
274,"350"
275,"371"
276,"354"
277,"418"
278,"349"
279,"359"
280,"393"
281,"378"
282,"357"
283,"387"
284,"359"
285,"379"
286,"418"
287,"369"
288,"424"
289,"430"
290,"502"
291,"493"
292,"521"
293,"578"
294,"527"
295,"519"
296,"548"
297,"473"
298,"451"
299,"485"
300,"478"
301,"458"
302,"464"
303,"461"
304,"493"
305,"501"
306,"536"
307,"589"
308,"761"
309,"992"
310,"1425"
311,"2227"
312,"3583"
313,"5349"
314,"7599"
315,"10608"
316,"13462"
317,"15431"
318,"16579"
319,"16342"
320,"14567"
321,"11923"
322,"9066"
323,"6229"
324,"4163"
325,"2644"
326,"1633"
327,"1005"
328,"753"
329,"571"
330,"540"
331,"466"
332,"501"
333,"536"
334,"485"
335,"498"
336,"511"
337,"498"
338,"513"
339,"544"
340,"550"
341,"629"
342,"687"
343,"774"
344,"951"
345,"1236"
346,"1467"
347,"1906"
348,"2285"
349,"2685"
350,"3056"
351,"3048"
352,"2878"
353,"2578"
354,"2243"
355,"1876"
356,"1445"
357,"1123"
358,"901"
359,"877"
360,"801"
361,"761"
362,"753"
363,"799"
364,"829"
365,"880"
366,"899"
367,"985"
368,"1053"
369,"1059"
370,"1147"
371,"1169"
372,"1182"
373,"1114"
374,"939"
375,"855"
376,"705"
377,"691"
378,"523"
379,"453"
380,"444"
381,"454"
382,"403"
383,"393"
384,"375"
385,"389"
386,"426"
387,"354"
388,"422"
389,"440"
390,"406"
391,"419"
392,"429"
393,"446"
394,"528"
395,"509"
396,"590"
397,"592"
398,"665"
399,"667"
400,"668"
401,"696"
402,"616"
403,"645"
404,"594"
405,"564"
406,"546"
407,"522"
408,"535"
409,"508"
410,"500"
411,"487"
412,"450"
413,"489"
414,"505"
415,"431"
416,"421"
417,"439"
418,"408"
419,"388"
420,"419"
421,"419"
422,"418"
423,"446"
424,"454"
425,"465"
426,"491"
427,"495"
428,"512"
429,"563"
430,"512"
431,"578"
432,"560"
433,"513"
434,"493"
435,"462"
436,"450"
437,"446"
438,"415"
439,"472"
440,"434"
441,"426"
442,"420"
443,"426"
444,"469"
445,"431"
446,"416"
447,"433"
448,"377"
449,"442"
450,"424"
451,"440"
452,"449"
453,"465"
454,"486"
455,"448"
456,"497"
457,"495"
458,"570"
459,"517"
460,"524"
461,"517"
462,"521"
463,"475"
464,"479"
465,"467"
466,"427"
467,"405"
468,"410"
469,"438"
470,"422"
471,"437"
472,"432"
473,"402"
474,"462"
475,"409"
476,"406"
477,"458"
478,"436"
479,"411"
480,"437"
481,"427"
482,"445"
483,"393"
484,"431"
485,"433"
486,"427"
487,"436"
488,"390"
489,"437"
490,"424"
491,"424"
492,"442"
493,"419"
494,"415"
495,"417"
496,"403"
497,"431"
498,"392"
499,"419"
500,"428"
501,"422"
502,"380"
503,"395"
504,"406"
505,"421"
506,"434"
507,"456"
508,"433"
509,"423"
510,"456"
511,"418"
512,"380"
513,"438"
514,"367"
515,"424"
516,"446"
517,"394"
518,"413"
519,"415"
520,"406"
521,"397"
522,"453"
523,"444"
524,"443"
525,"404"
526,"457"
527,"459"
528,"431"
529,"405"
530,"421"
531,"411"
532,"404"
533,"392"
534,"432"
535,"379"
536,"450"
537,"372"
538,"421"
539,"408"
540,"423"
541,"399"
542,"423"
543,"380"
544,"406"
545,"419"
546,"395"
547,"406"
548,"425"
549,"388"
550,"444"
551,"397"
552,"384"
553,"379"
554,"445"
555,"400"
556,"403"
557,"394"
558,"429"
559,"428"
560,"441"
561,"387"
562,"405"
563,"410"
564,"406"
565,"385"
566,"413"
567,"375"
568,"384"
569,"365"
570,"371"
571,"358"
572,"396"
573,"410"
574,"386"
575,"408"
576,"408"
577,"423"
578,"437"
579,"391"
580,"383"
581,"411"
582,"391"
583,"368"
584,"404"
585,"390"
586,"423"
587,"380"
588,"429"
589,"431"
590,"406"
591,"443"
592,"452"
593,"391"
594,"422"
595,"446"
596,"407"
597,"436"
598,"408"
599,"373"
600,"394"
601,"370"
602,"367"
603,"382"
604,"387"
605,"381"
606,"410"
607,"414"
608,"369"
609,"341"
610,"389"
611,"390"
612,"385"
613,"380"
614,"364"
615,"404"
616,"380"
617,"391"
618,"403"
619,"362"
620,"359"
621,"369"
622,"352"
623,"399"
