Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2A 2phi 0"
Duration Time,60.053
Ambient Temperature,"98.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"687290"
Raw Accumulated Counts,"712131"
Valid Count Last Packet,"10916"
Raw Count Last Packet,"11286"
Live Time,58.384987
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7984
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1728"
1,"1483"
2,"979"
3,"489"
4,"216"
5,"80"
6,"27"
7,"5"
8,"0"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"28"
23,"87"
24,"171"
25,"178"
26,"182"
27,"194"
28,"178"
29,"152"
30,"167"
31,"178"
32,"157"
33,"162"
34,"167"
35,"141"
36,"140"
37,"157"
38,"160"
39,"154"
40,"140"
41,"160"
42,"151"
43,"174"
44,"161"
45,"174"
46,"144"
47,"148"
48,"140"
49,"159"
50,"152"
51,"144"
52,"165"
53,"134"
54,"145"
55,"148"
56,"160"
57,"144"
58,"148"
59,"165"
60,"139"
61,"153"
62,"165"
63,"137"
64,"122"
65,"120"
66,"126"
67,"102"
68,"127"
69,"139"
70,"148"
71,"183"
72,"206"
73,"232"
74,"251"
75,"242"
76,"232"
77,"224"
78,"206"
79,"207"
80,"207"
81,"305"
82,"408"
83,"637"
84,"910"
85,"1122"
86,"1285"
87,"1218"
88,"1023"
89,"764"
90,"610"
91,"364"
92,"233"
93,"177"
94,"149"
95,"119"
96,"125"
97,"135"
98,"137"
99,"110"
100,"134"
101,"128"
102,"114"
103,"109"
104,"111"
105,"117"
106,"116"
107,"119"
108,"104"
109,"152"
110,"136"
111,"172"
112,"184"
113,"220"
114,"246"
115,"253"
116,"248"
117,"237"
118,"177"
119,"209"
120,"183"
121,"184"
122,"195"
123,"213"
124,"202"
125,"241"
126,"280"
127,"400"
128,"496"
129,"693"
130,"984"
131,"1318"
132,"1648"
133,"1901"
134,"2022"
135,"1867"
136,"1634"
137,"1472"
138,"1347"
139,"1288"
140,"1419"
141,"1358"
142,"1492"
143,"1516"
144,"1661"
145,"1743"
146,"1788"
147,"1787"
148,"1518"
149,"1272"
150,"931"
151,"681"
152,"526"
153,"351"
154,"324"
155,"339"
156,"369"
157,"462"
158,"578"
159,"935"
160,"1357"
161,"2244"
162,"2881"
163,"3609"
164,"4166"
165,"4162"
166,"3706"
167,"2906"
168,"2081"
169,"1323"
170,"780"
171,"493"
172,"311"
173,"325"
174,"417"
175,"509"
176,"650"
177,"795"
178,"850"
179,"881"
180,"896"
181,"864"
182,"813"
183,"743"
184,"638"
185,"543"
186,"437"
187,"378"
188,"286"
189,"221"
190,"180"
191,"190"
192,"186"
193,"198"
194,"199"
195,"216"
196,"234"
197,"190"
198,"245"
199,"211"
200,"294"
201,"224"
202,"223"
203,"222"
204,"237"
205,"219"
206,"208"
207,"182"
208,"192"
209,"210"
210,"207"
211,"228"
212,"213"
213,"205"
214,"213"
215,"233"
216,"228"
217,"245"
218,"312"
219,"343"
220,"430"
221,"519"
222,"534"
223,"638"
224,"647"
225,"588"
226,"533"
227,"463"
228,"397"
229,"355"
230,"283"
231,"291"
232,"276"
233,"290"
234,"290"
235,"283"
236,"318"
237,"308"
238,"293"
239,"311"
240,"344"
241,"346"
242,"347"
243,"410"
244,"369"
245,"374"
246,"382"
247,"362"
248,"333"
249,"328"
250,"334"
251,"338"
252,"305"
253,"307"
254,"336"
255,"322"
256,"327"
257,"314"
258,"345"
259,"321"
260,"328"
261,"343"
262,"327"
263,"365"
264,"348"
265,"333"
266,"348"
267,"355"
268,"332"
269,"360"
270,"404"
271,"340"
272,"347"
273,"363"
274,"376"
275,"386"
276,"378"
277,"400"
278,"347"
279,"381"
280,"416"
281,"351"
282,"384"
283,"420"
284,"413"
285,"400"
286,"394"
287,"457"
288,"469"
289,"450"
290,"510"
291,"485"
292,"523"
293,"509"
294,"495"
295,"557"
296,"490"
297,"499"
298,"490"
299,"452"
300,"481"
301,"494"
302,"436"
303,"422"
304,"483"
305,"487"
306,"495"
307,"477"
308,"542"
309,"594"
310,"688"
311,"865"
312,"1196"
313,"1657"
314,"2147"
315,"2636"
316,"3071"
317,"3553"
318,"3545"
319,"3355"
320,"3005"
321,"2309"
322,"1879"
323,"1415"
324,"1005"
325,"782"
326,"585"
327,"506"
328,"466"
329,"476"
330,"515"
331,"450"
332,"444"
333,"433"
334,"424"
335,"508"
336,"477"
337,"487"
338,"461"
339,"497"
340,"506"
341,"526"
342,"549"
343,"574"
344,"588"
345,"667"
346,"746"
347,"797"
348,"883"
349,"959"
350,"979"
351,"982"
352,"895"
353,"876"
354,"865"
355,"815"
356,"746"
357,"715"
358,"712"
359,"810"
360,"790"
361,"821"
362,"862"
363,"897"
364,"935"
365,"900"
366,"1074"
367,"1200"
368,"1179"
369,"1340"
370,"1342"
371,"1323"
372,"1337"
373,"1150"
374,"1040"
375,"861"
376,"706"
377,"644"
378,"600"
379,"525"
380,"447"
381,"438"
382,"412"
383,"461"
384,"452"
385,"462"
386,"466"
387,"444"
388,"407"
389,"408"
390,"463"
391,"459"
392,"506"
393,"535"
394,"555"
395,"628"
396,"678"
397,"735"
398,"710"
399,"740"
400,"734"
401,"720"
402,"760"
403,"692"
404,"661"
405,"649"
406,"649"
407,"620"
408,"666"
409,"687"
410,"661"
411,"632"
412,"604"
413,"586"
414,"530"
415,"525"
416,"488"
417,"533"
418,"511"
419,"497"
420,"495"
421,"476"
422,"507"
423,"489"
424,"540"
425,"499"
426,"529"
427,"556"
428,"538"
429,"571"
430,"545"
431,"573"
432,"554"
433,"587"
434,"536"
435,"516"
436,"491"
437,"526"
438,"523"
439,"568"
440,"509"
441,"539"
442,"535"
443,"487"
444,"547"
445,"524"
446,"529"
447,"519"
448,"506"
449,"531"
450,"505"
451,"524"
452,"530"
453,"496"
454,"530"
455,"542"
456,"590"
457,"545"
458,"549"
459,"549"
460,"517"
461,"562"
462,"552"
463,"551"
464,"511"
465,"552"
466,"542"
467,"531"
468,"524"
469,"502"
470,"501"
471,"542"
472,"496"
473,"523"
474,"520"
475,"548"
476,"547"
477,"517"
478,"544"
479,"488"
480,"505"
481,"521"
482,"539"
483,"504"
484,"526"
485,"540"
486,"500"
487,"517"
488,"520"
489,"509"
490,"506"
491,"503"
492,"556"
493,"544"
494,"508"
495,"502"
496,"530"
497,"476"
498,"497"
499,"499"
500,"561"
501,"534"
502,"504"
503,"519"
504,"511"
505,"538"
506,"504"
507,"516"
508,"515"
509,"499"
510,"514"
511,"559"
512,"450"
513,"512"
514,"516"
515,"539"
516,"514"
517,"537"
518,"530"
519,"524"
520,"517"
521,"553"
522,"558"
523,"586"
524,"568"
525,"533"
526,"559"
527,"564"
528,"527"
529,"494"
530,"514"
531,"523"
532,"508"
533,"480"
534,"511"
535,"494"
536,"501"
537,"530"
538,"480"
539,"503"
540,"482"
541,"496"
542,"503"
543,"529"
544,"482"
545,"491"
546,"515"
547,"448"
548,"509"
549,"516"
550,"483"
551,"474"
552,"474"
553,"493"
554,"524"
555,"489"
556,"529"
557,"512"
558,"500"
559,"492"
560,"493"
561,"458"
562,"502"
563,"518"
564,"467"
565,"483"
566,"496"
567,"489"
568,"503"
569,"478"
570,"461"
571,"498"
572,"553"
573,"492"
574,"471"
575,"514"
576,"508"
577,"486"
578,"490"
579,"518"
580,"518"
581,"481"
582,"511"
583,"542"
584,"499"
585,"519"
586,"562"
587,"508"
588,"512"
589,"520"
590,"532"
591,"497"
592,"546"
593,"511"
594,"506"
595,"508"
596,"515"
597,"516"
598,"534"
599,"494"
600,"550"
601,"503"
602,"527"
603,"504"
604,"488"
605,"533"
606,"527"
607,"475"
608,"484"
609,"516"
610,"489"
611,"524"
612,"511"
613,"518"
614,"466"
615,"503"
616,"477"
617,"523"
618,"487"
619,"552"
620,"551"
621,"510"
622,"498"
623,"545"
624,"576"
625,"518"
626,"538"
627,"565"
628,"534"
629,"540"
630,"534"
631,"523"
