Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4G -1phi 0"
Duration Time,60.931
Ambient Temperature,"100.3"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"717029"
Raw Accumulated Counts,"743226"
Valid Count Last Packet,"11158"
Raw Count Last Packet,"11525"
Live Time,59.170982
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.9176
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1714"
1,"1527"
2,"983"
3,"497"
4,"200"
5,"94"
6,"23"
7,"1"
8,"1"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"2"
22,"48"
23,"92"
24,"182"
25,"203"
26,"192"
27,"217"
28,"233"
29,"220"
30,"214"
31,"173"
32,"181"
33,"195"
34,"186"
35,"180"
36,"185"
37,"167"
38,"157"
39,"182"
40,"146"
41,"161"
42,"160"
43,"148"
44,"161"
45,"181"
46,"189"
47,"186"
48,"208"
49,"169"
50,"160"
51,"158"
52,"182"
53,"182"
54,"165"
55,"170"
56,"159"
57,"157"
58,"140"
59,"179"
60,"159"
61,"167"
62,"167"
63,"153"
64,"156"
65,"147"
66,"144"
67,"151"
68,"130"
69,"154"
70,"173"
71,"152"
72,"163"
73,"203"
74,"206"
75,"182"
76,"185"
77,"160"
78,"198"
79,"214"
80,"317"
81,"458"
82,"859"
83,"1469"
84,"2155"
85,"2833"
86,"3127"
87,"3135"
88,"2647"
89,"1943"
90,"1265"
91,"726"
92,"458"
93,"292"
94,"227"
95,"169"
96,"144"
97,"160"
98,"135"
99,"159"
100,"138"
101,"141"
102,"134"
103,"135"
104,"122"
105,"118"
106,"116"
107,"120"
108,"140"
109,"143"
110,"155"
111,"174"
112,"205"
113,"229"
114,"214"
115,"240"
116,"234"
117,"222"
118,"211"
119,"181"
120,"187"
121,"188"
122,"227"
123,"193"
124,"225"
125,"242"
126,"269"
127,"362"
128,"473"
129,"714"
130,"921"
131,"1332"
132,"1618"
133,"1825"
134,"1967"
135,"1827"
136,"1633"
137,"1479"
138,"1304"
139,"1292"
140,"1254"
141,"1388"
142,"1426"
143,"1466"
144,"1651"
145,"1722"
146,"1738"
147,"1778"
148,"1640"
149,"1303"
150,"999"
151,"728"
152,"498"
153,"369"
154,"300"
155,"288"
156,"294"
157,"279"
158,"314"
159,"373"
160,"379"
161,"366"
162,"432"
163,"520"
164,"551"
165,"529"
166,"488"
167,"386"
168,"320"
169,"250"
170,"201"
171,"176"
172,"171"
173,"152"
174,"156"
175,"164"
176,"229"
177,"239"
178,"336"
179,"430"
180,"579"
181,"697"
182,"822"
183,"910"
184,"849"
185,"774"
186,"623"
187,"489"
188,"373"
189,"268"
190,"228"
191,"177"
192,"215"
193,"207"
194,"215"
195,"224"
196,"258"
197,"290"
198,"300"
199,"324"
200,"326"
201,"316"
202,"271"
203,"245"
204,"241"
205,"242"
206,"226"
207,"214"
208,"215"
209,"206"
210,"207"
211,"238"
212,"226"
213,"226"
214,"224"
215,"258"
216,"231"
217,"241"
218,"231"
219,"268"
220,"264"
221,"312"
222,"334"
223,"349"
224,"357"
225,"341"
226,"327"
227,"329"
228,"291"
229,"297"
230,"246"
231,"248"
232,"246"
233,"255"
234,"254"
235,"266"
236,"254"
237,"289"
238,"324"
239,"325"
240,"414"
241,"429"
242,"560"
243,"661"
244,"719"
245,"852"
246,"948"
247,"1061"
248,"1090"
249,"1106"
250,"1023"
251,"1005"
252,"894"
253,"708"
254,"659"
255,"542"
256,"465"
257,"397"
258,"370"
259,"360"
260,"323"
261,"318"
262,"296"
263,"283"
264,"310"
265,"350"
266,"325"
267,"352"
268,"329"
269,"347"
270,"337"
271,"370"
272,"371"
273,"335"
274,"359"
275,"362"
276,"398"
277,"384"
278,"431"
279,"378"
280,"399"
281,"436"
282,"353"
283,"372"
284,"371"
285,"387"
286,"382"
287,"379"
288,"373"
289,"387"
290,"385"
291,"394"
292,"383"
293,"380"
294,"389"
295,"364"
296,"417"
297,"416"
298,"423"
299,"418"
300,"394"
301,"406"
302,"423"
303,"409"
304,"459"
305,"412"
306,"461"
307,"453"
308,"435"
309,"447"
310,"495"
311,"540"
312,"541"
313,"628"
314,"698"
315,"800"
316,"891"
317,"924"
318,"974"
319,"931"
320,"845"
321,"736"
322,"647"
323,"560"
324,"557"
325,"491"
326,"475"
327,"451"
328,"422"
329,"449"
330,"499"
331,"520"
332,"486"
333,"544"
334,"517"
335,"535"
336,"547"
337,"526"
338,"536"
339,"551"
340,"553"
341,"572"
342,"503"
343,"570"
344,"565"
345,"578"
346,"594"
347,"611"
348,"615"
349,"638"
350,"645"
351,"600"
352,"633"
353,"605"
354,"630"
355,"607"
356,"680"
357,"685"
358,"697"
359,"813"
360,"834"
361,"886"
362,"890"
363,"969"
364,"957"
365,"1045"
366,"1078"
367,"1248"
368,"1343"
369,"1403"
370,"1429"
371,"1482"
372,"1454"
373,"1308"
374,"1181"
375,"1039"
376,"847"
377,"721"
378,"609"
379,"559"
380,"506"
381,"482"
382,"463"
383,"479"
384,"464"
385,"495"
386,"460"
387,"420"
388,"455"
389,"502"
390,"503"
391,"533"
392,"579"
393,"543"
394,"548"
395,"651"
396,"672"
397,"711"
398,"745"
399,"795"
400,"774"
401,"752"
402,"733"
403,"712"
404,"643"
405,"656"
406,"611"
407,"603"
408,"613"
409,"636"
410,"613"
411,"659"
412,"600"
413,"598"
414,"576"
415,"590"
416,"510"
417,"513"
418,"496"
419,"512"
420,"543"
421,"522"
422,"562"
423,"541"
424,"547"
425,"596"
426,"562"
427,"516"
428,"553"
429,"568"
430,"595"
431,"532"
432,"545"
433,"563"
434,"533"
435,"581"
436,"532"
437,"568"
438,"552"
439,"570"
440,"568"
441,"571"
442,"585"
443,"539"
444,"592"
445,"595"
446,"632"
447,"581"
448,"579"
449,"616"
450,"560"
451,"587"
452,"597"
453,"572"
454,"553"
455,"573"
456,"609"
457,"573"
458,"608"
459,"553"
460,"535"
461,"543"
462,"491"
463,"531"
464,"548"
465,"498"
466,"501"
467,"482"
468,"497"
469,"464"
470,"504"
471,"520"
472,"546"
473,"549"
474,"569"
475,"505"
476,"507"
477,"471"
478,"533"
479,"529"
480,"533"
481,"569"
482,"540"
483,"512"
484,"547"
485,"565"
486,"522"
487,"546"
488,"581"
489,"574"
490,"573"
491,"572"
492,"638"
493,"614"
494,"626"
495,"590"
496,"665"
497,"625"
498,"585"
499,"640"
500,"651"
501,"636"
502,"610"
503,"603"
504,"586"
505,"561"
506,"548"
507,"573"
508,"583"
509,"566"
510,"548"
511,"575"
512,"576"
513,"567"
514,"538"
515,"526"
516,"558"
517,"566"
518,"547"
519,"537"
520,"519"
521,"559"
522,"494"
523,"534"
524,"566"
525,"548"
526,"563"
527,"506"
528,"559"
529,"541"
530,"522"
531,"555"
532,"605"
533,"568"
534,"548"
535,"562"
536,"514"
537,"537"
538,"576"
539,"560"
540,"607"
541,"565"
542,"527"
543,"530"
544,"544"
545,"544"
546,"565"
547,"611"
548,"546"
549,"577"
550,"542"
551,"568"
552,"563"
553,"545"
554,"512"
555,"551"
556,"549"
557,"535"
558,"506"
559,"498"
560,"488"
561,"517"
562,"527"
563,"507"
564,"492"
565,"532"
566,"469"
567,"477"
568,"481"
569,"538"
570,"515"
571,"523"
572,"524"
573,"495"
574,"529"
575,"517"
576,"520"
577,"564"
578,"526"
579,"504"
580,"508"
581,"515"
582,"467"
583,"471"
584,"534"
585,"517"
586,"482"
587,"521"
588,"516"
589,"535"
590,"538"
591,"522"
592,"476"
593,"502"
594,"518"
595,"523"
596,"536"
597,"520"
598,"455"
599,"525"
600,"485"
601,"522"
602,"548"
603,"513"
604,"551"
605,"502"
606,"549"
607,"529"
608,"491"
609,"522"
610,"521"
611,"468"
612,"521"
613,"498"
614,"506"
615,"551"
616,"514"
617,"529"
618,"548"
619,"536"
620,"514"
621,"523"
622,"522"
623,"501"
624,"511"
625,"568"
626,"538"
627,"542"
628,"530"
629,"552"
630,"554"
