Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4G 0phi 0"
Duration Time,60.1
Ambient Temperature,"101.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"596474"
Raw Accumulated Counts,"615945"
Valid Count Last Packet,"9520"
Raw Count Last Packet,"9792"
Live Time,58.655994
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1769"
1,"1477"
2,"958"
3,"513"
4,"198"
5,"69"
6,"15"
7,"4"
8,"2"
9,"1"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"1"
22,"24"
23,"111"
24,"150"
25,"183"
26,"176"
27,"184"
28,"160"
29,"175"
30,"168"
31,"151"
32,"147"
33,"141"
34,"148"
35,"135"
36,"141"
37,"165"
38,"148"
39,"144"
40,"145"
41,"122"
42,"126"
43,"158"
44,"155"
45,"149"
46,"162"
47,"151"
48,"164"
49,"150"
50,"139"
51,"138"
52,"149"
53,"131"
54,"124"
55,"134"
56,"138"
57,"137"
58,"149"
59,"126"
60,"145"
61,"158"
62,"149"
63,"121"
64,"127"
65,"133"
66,"101"
67,"114"
68,"127"
69,"140"
70,"160"
71,"145"
72,"137"
73,"194"
74,"169"
75,"183"
76,"199"
77,"186"
78,"177"
79,"186"
80,"203"
81,"295"
82,"418"
83,"667"
84,"1021"
85,"1324"
86,"1529"
87,"1433"
88,"1242"
89,"944"
90,"602"
91,"384"
92,"256"
93,"193"
94,"179"
95,"139"
96,"105"
97,"117"
98,"110"
99,"126"
100,"128"
101,"122"
102,"124"
103,"109"
104,"113"
105,"121"
106,"99"
107,"137"
108,"104"
109,"136"
110,"138"
111,"162"
112,"171"
113,"188"
114,"207"
115,"232"
116,"238"
117,"204"
118,"195"
119,"186"
120,"185"
121,"165"
122,"174"
123,"172"
124,"202"
125,"231"
126,"243"
127,"359"
128,"509"
129,"689"
130,"991"
131,"1351"
132,"1695"
133,"1846"
134,"1916"
135,"1921"
136,"1659"
137,"1398"
138,"1317"
139,"1324"
140,"1324"
141,"1253"
142,"1413"
143,"1484"
144,"1576"
145,"1762"
146,"1824"
147,"1742"
148,"1638"
149,"1255"
150,"986"
151,"669"
152,"540"
153,"376"
154,"321"
155,"301"
156,"347"
157,"386"
158,"518"
159,"709"
160,"1056"
161,"1451"
162,"1978"
163,"2484"
164,"2708"
165,"2822"
166,"2516"
167,"2041"
168,"1395"
169,"969"
170,"627"
171,"369"
172,"270"
173,"268"
174,"261"
175,"352"
176,"410"
177,"551"
178,"603"
179,"643"
180,"633"
181,"591"
182,"583"
183,"545"
184,"522"
185,"460"
186,"389"
187,"305"
188,"254"
189,"202"
190,"179"
191,"186"
192,"173"
193,"167"
194,"179"
195,"193"
196,"186"
197,"236"
198,"180"
199,"211"
200,"225"
201,"213"
202,"201"
203,"215"
204,"198"
205,"188"
206,"186"
207,"211"
208,"192"
209,"189"
210,"204"
211,"202"
212,"176"
213,"189"
214,"217"
215,"181"
216,"238"
217,"225"
218,"254"
219,"301"
220,"308"
221,"299"
222,"324"
223,"352"
224,"348"
225,"325"
226,"349"
227,"302"
228,"288"
229,"284"
230,"292"
231,"325"
232,"347"
233,"376"
234,"352"
235,"335"
236,"339"
237,"398"
238,"383"
239,"394"
240,"361"
241,"403"
242,"304"
243,"359"
244,"309"
245,"323"
246,"330"
247,"297"
248,"319"
249,"288"
250,"294"
251,"282"
252,"295"
253,"263"
254,"260"
255,"261"
256,"259"
257,"259"
258,"271"
259,"256"
260,"242"
261,"244"
262,"274"
263,"274"
264,"276"
265,"284"
266,"275"
267,"300"
268,"299"
269,"335"
270,"335"
271,"360"
272,"433"
273,"420"
274,"451"
275,"503"
276,"515"
277,"578"
278,"546"
279,"547"
280,"550"
281,"578"
282,"524"
283,"551"
284,"528"
285,"472"
286,"513"
287,"449"
288,"486"
289,"382"
290,"405"
291,"398"
292,"353"
293,"336"
294,"374"
295,"367"
296,"318"
297,"360"
298,"359"
299,"338"
300,"364"
301,"368"
302,"324"
303,"376"
304,"371"
305,"405"
306,"368"
307,"430"
308,"422"
309,"403"
310,"420"
311,"461"
312,"502"
313,"592"
314,"664"
315,"803"
316,"882"
317,"900"
318,"896"
319,"912"
320,"783"
321,"717"
322,"622"
323,"550"
324,"522"
325,"404"
326,"400"
327,"434"
328,"455"
329,"435"
330,"417"
331,"433"
332,"474"
333,"470"
334,"481"
335,"467"
336,"459"
337,"490"
338,"483"
339,"497"
340,"489"
341,"477"
342,"537"
343,"530"
344,"520"
345,"533"
346,"554"
347,"592"
348,"497"
349,"580"
350,"579"
351,"559"
352,"567"
353,"527"
354,"591"
355,"623"
356,"590"
357,"673"
358,"658"
359,"641"
360,"724"
361,"765"
362,"855"
363,"887"
364,"998"
365,"936"
366,"1013"
367,"1127"
368,"1255"
369,"1304"
370,"1400"
371,"1338"
372,"1270"
373,"1190"
374,"1023"
375,"853"
376,"693"
377,"574"
378,"495"
379,"477"
380,"427"
381,"375"
382,"412"
383,"425"
384,"371"
385,"414"
386,"453"
387,"387"
388,"409"
389,"428"
390,"393"
391,"396"
392,"438"
393,"452"
394,"480"
395,"521"
396,"546"
