Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4E -1phi 3"
Duration Time,60.159
Ambient Temperature,"101.7"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"560363"
Raw Accumulated Counts,"578241"
Valid Count Last Packet,"9006"
Raw Count Last Packet,"9283"
Live Time,58.758984
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,753
Channel#,Intensity
0,"1761"
1,"1525"
2,"959"
3,"528"
4,"259"
5,"71"
6,"16"
7,"2"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"0"
21,"4"
22,"23"
23,"100"
24,"177"
25,"157"
26,"162"
27,"143"
28,"158"
29,"158"
30,"128"
31,"153"
32,"164"
33,"142"
34,"155"
35,"135"
36,"128"
37,"137"
38,"138"
39,"123"
40,"119"
41,"115"
42,"143"
43,"135"
44,"154"
45,"145"
46,"150"
47,"159"
48,"138"
49,"153"
50,"146"
51,"131"
52,"135"
53,"160"
54,"154"
55,"153"
56,"123"
57,"144"
58,"121"
59,"125"
60,"116"
61,"160"
62,"130"
63,"137"
64,"117"
65,"100"
66,"113"
67,"138"
68,"88"
69,"124"
70,"151"
71,"138"
72,"125"
73,"127"
74,"157"
75,"142"
76,"147"
77,"141"
78,"160"
79,"144"
80,"206"
81,"265"
82,"459"
83,"830"
84,"1194"
85,"1473"
86,"1726"
87,"1642"
88,"1404"
89,"1052"
90,"705"
91,"464"
92,"290"
93,"202"
94,"141"
95,"136"
96,"140"
97,"117"
98,"117"
99,"137"
100,"114"
101,"120"
102,"124"
103,"111"
104,"108"
105,"117"
106,"105"
107,"114"
108,"120"
109,"121"
110,"137"
111,"152"
112,"174"
113,"178"
114,"199"
115,"231"
116,"237"
117,"196"
118,"193"
119,"202"
120,"181"
121,"197"
122,"187"
123,"185"
124,"207"
125,"238"
126,"298"
127,"349"
128,"475"
129,"731"
130,"1001"
131,"1378"
132,"1639"
133,"1868"
134,"1942"
135,"1945"
136,"1710"
137,"1410"
138,"1315"
139,"1243"
140,"1301"
141,"1381"
142,"1453"
143,"1488"
144,"1600"
145,"1753"
146,"1773"
147,"1806"
148,"1645"
149,"1369"
150,"1005"
151,"716"
152,"483"
153,"348"
154,"291"
155,"286"
156,"276"
157,"312"
158,"345"
159,"336"
160,"383"
161,"444"
162,"476"
163,"588"
164,"627"
165,"689"
166,"553"
167,"466"
168,"350"
169,"289"
170,"210"
171,"176"
172,"165"
173,"127"
174,"160"
175,"174"
176,"197"
177,"223"
178,"234"
179,"290"
180,"299"
181,"349"
182,"362"
183,"379"
184,"403"
185,"346"
186,"309"
187,"263"
188,"208"
189,"186"
190,"181"
191,"139"
192,"164"
193,"149"
194,"170"
195,"183"
196,"192"
197,"183"
198,"201"
199,"223"
200,"232"
201,"201"
202,"198"
203,"204"
204,"178"
205,"167"
206,"181"
207,"188"
208,"187"
209,"162"
210,"198"
211,"208"
212,"193"
213,"211"
214,"216"
215,"242"
216,"241"
217,"272"
218,"245"
219,"268"
220,"258"
221,"259"
222,"255"
223,"302"
224,"262"
225,"276"
226,"242"
227,"223"
228,"226"
229,"209"
230,"233"
231,"231"
232,"236"
233,"232"
234,"271"
235,"267"
236,"264"
237,"303"
238,"320"
239,"333"
240,"358"
241,"340"
242,"356"
243,"373"
244,"354"
245,"341"
246,"367"
247,"369"
248,"321"
249,"325"
250,"358"
251,"329"
252,"322"
253,"305"
254,"301"
255,"293"
256,"289"
257,"272"
